Time,Miami,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:57.0, ,43-36,Offensive rebound by J. Green,,2,43,36,7,1023.0
6:57.0, ,43-36,Shooting foul by C. Martin (drawn by J. Green),,2,43,36,7,1023.0
6:57.0, ,43-36,Houston full timeout,,2,43,36,7,1023.0
6:57.0,T. Rozier enters the game for C. Martin,43-36, ,,2,43,36,7,1023.0
6:57.0, ,43-36,D. Brooks enters the game for R. Bullock,,2,43,36,7,1023.0
6:57.0, ,43-37,J. Green makes free throw 1 of 2,,2,43,37,6,1023.0
6:57.0, ,43-38,J. Green makes free throw 2 of 2,,2,43,38,5,1023.0
6:32.0,Shooting foul by J. Smith (drawn by T. Rozier),43-38, ,,2,43,38,5,1048.0
6:32.0,T. Rozier misses free throw 1 of 3,43-38, ,,2,43,38,5,1048.0
6:32.0,Offensive rebound by Team,43-38, ,,2,43,38,5,1048.0
6:32.0,T. Rozier makes free throw 2 of 3,44-38, ,,2,44,38,6,1048.0
6:32.0,J. Butler enters the game for B. Adebayo,44-38, ,,2,44,38,6,1048.0
6:32.0,K. Love enters the game for J. Jaquez,44-38, ,,2,44,38,6,1048.0
6:32.0, ,44-38,J. Landale enters the game for J. Smith,,2,44,38,6,1048.0
6:32.0,T. Rozier makes free throw 3 of 3,45-38, ,,2,45,38,7,1048.0
6:19.0, ,45-38,Turnover by F. VanVleet (bad pass; steal by T. Rozier),,2,45,38,7,1061.0
6:14.0,J. Butler misses 2-pt layup from 4 ft,45-38, ,,2,45,38,7,1066.0
6:11.0,Offensive rebound by H. Highsmith,45-38, ,,2,45,38,7,1069.0
6:06.0,T. Rozier makes 3-pt jump shot from 26 ft,48-38, ,,2,48,38,10,1074.0
5:56.0, ,48-38,Personal foul by K. Love (drawn by J. Green),,2,48,38,10,1084.0
5:47.0, ,48-40,J. Landale makes 2-pt jump shot from 7 ft (assist by J. Green),,2,48,40,8,1093.0
