Time,Portland,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:25.0, ,38-74,T. Rozier misses 3-pt jump shot from 26 ft,,2,74,38,36,1415.0
0:22.0,Defensive rebound by J. Walker,38-74, ,,2,74,38,36,1418.0
0:05.0,S. Henderson makes 2-pt layup from 4 ft,40-74, ,,2,74,40,34,1435.0
0:00.0, ,40-74,Offensive foul by B. Adebayo (drawn by S. Henderson),,2,74,40,34,1440.0
0:00.0, ,40-74,Turnover by B. Adebayo (offensive foul),,2,74,40,34,1440.0
0:00.0,S. Henderson misses 3-pt jump shot from 59 ft,40-74, ,,2,74,40,34,1440.0
0:00.0,Offensive rebound by Team,40-74, ,,2,74,40,34,1440.0
0:00.0,End of 2nd quarter,40-74,,,2,74,40,34,1440.0
12:00.0,Start of 3rd quarter,40-74,,,3,74,40,34,1440.0
11:43.0, ,40-77,T. Rozier makes 3-pt jump shot from 26 ft (assist by N. Jović),,3,77,40,37,1457.0
11:28.0,Offensive foul by R. Rupert (drawn by T. Rozier),40-77, ,,3,77,40,37,1472.0
11:28.0,Turnover by R. Rupert (offensive foul),40-77, ,,3,77,40,37,1472.0
11:15.0, ,40-79,P. Mills makes 2-pt layup from 3 ft (assist by N. Jović),,3,79,40,39,1485.0
11:03.0,K. Murray makes 3-pt jump shot from 28 ft (assist by S. Henderson),43-79, ,,3,79,43,36,1497.0
10:51.0, ,43-79,Turnover by  (8 sec),,3,79,43,36,1509.0
10:32.0,J. Walker misses 3-pt jump shot from 27 ft,43-79, ,,3,79,43,36,1528.0
10:28.0, ,43-79,Defensive rebound by B. Adebayo,,3,79,43,36,1532.0
10:23.0, ,43-79,Personal foul by R. Rupert (drawn by B. Adebayo),,3,79,43,36,1537.0
10:23.0,J. Minaya enters the game for R. Rupert,43-79, ,,3,79,43,36,1537.0
10:12.0, ,43-82,T. Rozier makes 3-pt jump shot from 26 ft (assist by N. Jović),,3,82,43,39,1548.0
10:00.0,D. Ayton misses 2-pt jump shot from 19 ft,43-82, ,,3,82,43,39,1560.0
9:58.0, ,43-82,Defensive rebound by J. Butler,,3,82,43,39,1562.0
9:49.0, ,43-82,T. Rozier misses 3-pt jump shot from 26 ft,,3,82,43,39,1571.0
9:44.0,Defensive rebound by D. Ayton,43-82, ,,3,82,43,39,1576.0
9:38.0,Turnover by J. Walker (bad pass; steal by P. Mills),43-82, ,,3,82,43,39,1582.0
9:35.0, ,43-82,Personal foul by J. Minaya (drawn by P. Mills),,3,82,43,39,1585.0
9:32.0, ,43-82,Personal foul by K. Murray (drawn by B. Adebayo),,3,82,43,39,1588.0
9:32.0,D. Banton enters the game for J. Minaya,43-82, ,,3,82,43,39,1588.0
9:26.0, ,43-84,N. Jović makes 2-pt layup from 4 ft (assist by J. Butler),,3,84,43,41,1594.0
9:06.0,Personal foul by N. Jović (drawn by K. Murray),43-84, ,,3,84,43,41,1614.0
8:53.0,D. Ayton makes 2-pt jump shot from 10 ft (assist by S. Henderson),45-84, ,,3,84,45,39,1627.0
8:41.0, ,45-84,P. Mills misses 3-pt jump shot from 28 ft,,3,84,45,39,1639.0
8:38.0,Defensive rebound by D. Ayton,45-84, ,,3,84,45,39,1642.0
8:26.0,J. Walker misses 2-pt layup from 6 ft,45-84, ,,3,84,45,39,1654.0
8:23.0, ,45-84,Defensive rebound by B. Adebayo,,3,84,45,39,1657.0
8:11.0, ,45-84,Turnover by P. Mills (bad pass; steal by D. Ayton),,3,84,45,39,1669.0
8:05.0,D. Banton misses 3-pt jump shot from 27 ft,45-84, ,,3,84,45,39,1675.0
8:02.0, ,45-84,Defensive rebound by N. Jović,,3,84,45,39,1678.0
8:02.0, ,45-84,J. Jaquez enters the game for N. Jović,,3,84,45,39,1678.0
7:39.0, ,45-86,T. Rozier makes 2-pt jump shot from 21 ft (assist by B. Adebayo),,3,86,45,41,1701.0
7:22.0,D. Banton misses 2-pt jump shot from 11 ft,45-86, ,,3,86,45,41,1718.0
7:17.0,Offensive rebound by D. Banton,45-86, ,,3,86,45,41,1723.0
7:17.0,D. Banton makes 2-pt layup at rim,47-86, ,,3,86,47,39,1723.0
6:58.0, ,47-89,P. Mills makes 3-pt jump shot from 23 ft (assist by J. Jaquez),,3,89,47,42,1742.0
6:41.0,D. Banton misses 3-pt jump shot from 26 ft,47-89, ,,3,89,47,42,1759.0
6:38.0,Offensive rebound by D. Banton,47-89, ,,3,89,47,42,1762.0
6:34.0,D. Banton misses 2-pt jump shot from 2 ft,47-89, ,,3,89,47,42,1766.0
6:32.0, ,47-89,Defensive rebound by B. Adebayo,,3,89,47,42,1768.0
6:31.0, ,47-92,J. Butler makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,3,92,47,45,1769.0
6:30.0,Portland full timeout,47-92, ,,3,92,47,45,1770.0
6:30.0,D. Reath enters the game for D. Ayton,47-92, ,,3,92,47,45,1770.0
6:21.0,Personal foul by J. Jaquez (drawn by D. Reath),47-92, ,,3,92,47,45,1779.0
6:08.0,Shooting foul by B. Adebayo (drawn by S. Henderson),47-92, ,,3,92,47,45,1792.0
6:08.0,S. Henderson makes free throw 1 of 3,48-92, ,,3,92,48,44,1792.0
6:08.0,S. Henderson makes free throw 2 of 3,49-92, ,,3,92,49,43,1792.0
6:08.0,S. Henderson misses free throw 3 of 3,49-92, ,,3,92,49,43,1792.0
6:06.0,Offensive rebound by Team,49-92, ,,3,92,49,43,1794.0
5:58.0,S. Henderson makes 2-pt jump shot from 8 ft (assist by J. Walker),51-92, ,,3,92,51,41,1802.0
5:45.0, ,51-92,Personal foul by S. Henderson (drawn by T. Rozier),,3,92,51,41,1815.0
5:36.0, ,51-95,P. Mills makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,3,95,51,44,1824.0
5:18.0,D. Banton misses 2-pt jump shot from 13 ft,51-95, ,,3,95,51,44,1842.0
5:15.0, ,51-95,Defensive rebound by T. Rozier,,3,95,51,44,1845.0
5:03.0, ,51-95,P. Mills misses 3-pt jump shot from 26 ft,,3,95,51,44,1857.0
5:00.0,Defensive rebound by K. Murray,51-95, ,,3,95,51,44,1860.0
4:42.0,D. Banton makes 3-pt jump shot from 30 ft (assist by K. Murray),54-95, ,,3,95,54,41,1878.0
4:30.0, ,54-95,T. Rozier misses 2-pt layup from 5 ft,,3,95,54,41,1890.0
4:27.0,Defensive rebound by K. Murray,54-95, ,,3,95,54,41,1893.0
4:26.0,Turnover by K. Murray (bad pass; steal by P. Mills),54-95, ,,3,95,54,41,1894.0
4:20.0, ,54-97,J. Jaquez makes 2-pt layup from 3 ft (assist by T. Rozier),,3,97,54,43,1900.0
4:10.0,J. Walker misses 2-pt layup from 6 ft,54-97, ,,3,97,54,43,1910.0
4:08.0, ,54-97,Defensive rebound by B. Adebayo,,3,97,54,43,1912.0
3:52.0, ,54-100,B. Adebayo makes 3-pt jump shot from 25 ft (assist by T. Rozier),,3,100,54,46,1928.0
3:36.0,S. Henderson makes 2-pt layup from 6 ft,56-100, ,,3,100,56,44,1944.0
3:25.0, ,56-102,J. Jaquez makes 2-pt layup from 6 ft,,3,102,56,46,1955.0
3:07.0,D. Reath makes 2-pt dunk from 5 ft (assist by S. Henderson),58-102, ,,3,102,58,44,1973.0
2:52.0, ,58-102,B. Adebayo misses 3-pt jump shot from 25 ft,,3,102,58,44,1988.0
2:52.0,Defensive rebound by K. Murray,58-102, ,,3,102,58,44,1988.0
2:44.0,S. Henderson misses 2-pt dunk from 5 ft,58-102, ,,3,102,58,44,1996.0
2:41.0, ,58-102,Defensive rebound by B. Adebayo,,3,102,58,44,1999.0
2:36.0, ,58-102,J. Butler misses 3-pt jump shot from 27 ft,,3,102,58,44,2004.0
2:31.0,Defensive rebound by S. Henderson,58-102, ,,3,102,58,44,2009.0
2:30.0,Turnover by S. Henderson (bad pass; steal by T. Rozier),58-102, ,,3,102,58,44,2010.0
2:16.0, ,58-104,J. Jaquez makes 2-pt layup from 3 ft (assist by B. Adebayo),,3,104,58,46,2024.0
2:01.0,D. Banton misses 2-pt jump shot from 11 ft,58-104, ,,3,104,58,46,2039.0
2:01.0, ,58-104,Defensive rebound by B. Adebayo,,3,104,58,46,2039.0
1:54.0, ,58-104,Miami full timeout,,3,104,58,46,2046.0
1:54.0,J. Minaya enters the game for S. Henderson,58-104, ,,3,104,58,46,2046.0
1:54.0, ,58-104,H. Highsmith enters the game for J. Butler,,3,104,58,46,2046.0
1:54.0, ,58-104,D. Wright enters the game for T. Rozier,,3,104,58,46,2046.0
1:46.0, ,58-104,P. Mills misses 3-pt jump shot from 25 ft,,3,104,58,46,2054.0
1:36.0,Defensive rebound by K. Murray,58-104, ,,3,104,58,46,2064.0
1:36.0,Turnover by D. Banton (bad pass),58-104, ,,3,104,58,46,2064.0
