Time,Chicago,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:30.0,D. Terry misses 3-pt jump shot from 23 ft,60-72, ,,3,72,60,12,2010.0
2:26.0, ,60-72,Defensive rebound by H. Highsmith,,3,72,60,12,2014.0
2:15.0, ,60-72,Shooting foul by C. White (drawn by K. Love),,3,72,60,12,2025.0
2:15.0, ,60-73,K. Love makes free throw 1 of 2,,3,73,60,13,2025.0
2:15.0,D. DeRozan enters the game for J. Green,60-73, ,,3,73,60,13,2025.0
2:15.0,A. Drummond enters the game for C. White,60-73, ,,3,73,60,13,2025.0
2:15.0, ,60-74,K. Love makes free throw 2 of 2,,3,74,60,14,2025.0
2:12.0,Turnover by A. Caruso (bad pass; steal by D. Wright),60-74, ,,3,74,60,14,2028.0
1:53.0, ,60-77,D. Wright makes 3-pt jump shot from 25 ft (assist by T. Herro),,3,77,60,17,2047.0
1:44.0,Offensive foul by A. Drummond (drawn by D. Wright),60-77, ,,3,77,60,17,2056.0
1:44.0,Turnover by A. Drummond (offensive foul),60-77, ,,3,77,60,17,2056.0
1:44.0,C. White enters the game for D. Terry,60-77, ,,3,77,60,17,2056.0
1:25.0, ,60-77,Turnover by T. Herro (lost ball; steal by A. Drummond),,3,77,60,17,2075.0
1:22.0,Turnover by A. Drummond (bad pass; steal by H. Highsmith),60-77, ,,3,77,60,17,2078.0
1:14.0, ,60-77,J. Jaquez misses 3-pt jump shot from 24 ft,,3,77,60,17,2086.0
1:12.0,Defensive rebound by C. White,60-77, ,,3,77,60,17,2088.0
1:09.0,Turnover by C. White (lost ball; steal by H. Highsmith),60-77, ,,3,77,60,17,2091.0
1:04.0, ,60-80,T. Herro makes 3-pt jump shot from 28 ft,,3,80,60,20,2096.0
0:40.0,A. Drummond misses 2-pt hook shot from 7 ft,60-80, ,,3,80,60,20,2120.0
0:36.0, ,60-80,Defensive rebound by K. Love,,3,80,60,20,2124.0
0:20.0, ,60-80,K. Love misses 2-pt jump shot from 6 ft,,3,80,60,20,2140.0
0:18.0,Defensive rebound by A. Drummond,60-80, ,,3,80,60,20,2142.0
0:04.0,C. White misses 3-pt jump shot from 26 ft,60-80, ,,3,80,60,20,2156.0
0:02.0, ,60-80,Defensive rebound by Team,,3,80,60,20,2158.0
0:02.0,Loose ball foul by A. Drummond (drawn by K. Love),60-80, ,,3,80,60,20,2158.0
0:02.0, ,60-81,K. Love makes free throw 1 of 2,,3,81,60,21,2158.0
0:02.0, ,60-82,K. Love makes free throw 2 of 2,,3,82,60,22,2158.0
0:00.0,A. Dosunmu misses 3-pt jump shot from 50 ft,60-82, ,,3,82,60,22,2160.0
0:00.0,Offensive rebound by Team,60-82, ,,3,82,60,22,2160.0
0:00.0,End of 3rd quarter,60-82,,,3,82,60,22,2160.0
12:00.0,Start of 4th quarter,60-82,,,4,82,60,22,2160.0
11:40.0,D. DeRozan misses 2-pt layup from 4 ft (block by D. Wright),60-82, ,,4,82,60,22,2180.0
11:37.0, ,60-82,Defensive rebound by K. Love,,4,82,60,22,2183.0
11:35.0, ,60-84,J. Jaquez makes 2-pt dunk from 3 ft (assist by T. Herro),,4,84,60,24,2185.0
11:25.0,N. Vučević makes 2-pt jump shot from 6 ft (assist by A. Caruso),62-84, ,,4,84,62,22,2195.0
11:10.0, ,62-84,Shooting foul by A. Caruso (drawn by K. Love),,4,84,62,22,2210.0
11:10.0, ,62-85,K. Love makes free throw 1 of 2,,4,85,62,23,2210.0
11:10.0, ,62-86,K. Love makes free throw 2 of 2,,4,86,62,24,2210.0
10:58.0,C. White misses 3-pt jump shot from 27 ft,62-86, ,,4,86,62,24,2222.0
10:53.0,Offensive rebound by N. Vučević,62-86, ,,4,86,62,24,2227.0
10:51.0,A. Caruso makes 3-pt jump shot from 26 ft (assist by D. DeRozan),65-86, ,,4,86,65,21,2229.0
10:35.0, ,65-86,H. Highsmith misses 3-pt jump shot from 27 ft,,4,86,65,21,2245.0
10:31.0,Defensive rebound by N. Vučević,65-86, ,,4,86,65,21,2249.0
10:20.0,C. White misses 2-pt layup from 3 ft,65-86, ,,4,86,65,21,2260.0
10:17.0, ,65-86,Defensive rebound by T. Herro,,4,86,65,21,2263.0
10:05.0, ,65-89,T. Herro makes 3-pt jump shot from 26 ft,,4,89,65,24,2275.0
9:52.0,D. DeRozan misses 2-pt jump shot from 9 ft,65-89, ,,4,89,65,24,2288.0
9:52.0,Offensive rebound by Team,65-89, ,,4,89,65,24,2288.0
9:52.0,Chicago full timeout,65-89, ,,4,89,65,24,2288.0
9:52.0,Instant Replay (Challenge: Ruling Stands),65-89, ,,4,89,65,24,2288.0
9:41.0,N. Vučević misses 2-pt jump shot from 18 ft,65-89, ,,4,89,65,24,2299.0
9:39.0, ,65-89,Defensive rebound by K. Love,,4,89,65,24,2301.0
9:25.0, ,65-92,K. Love makes 3-pt jump shot from 23 ft (assist by J. Jaquez),,4,92,65,27,2315.0
9:10.0,D. DeRozan makes 2-pt jump shot from 16 ft (assist by A. Dosunmu),67-92, ,,4,92,67,25,2330.0
8:53.0, ,67-92,K. Love misses 3-pt jump shot from 26 ft,,4,92,67,25,2347.0
8:49.0,Defensive rebound by A. Dosunmu,67-92, ,,4,92,67,25,2351.0
8:39.0,A. Caruso misses 3-pt jump shot from 28 ft,67-92, ,,4,92,67,25,2361.0
8:35.0, ,67-92,Defensive rebound by K. Love,,4,92,67,25,2365.0
8:22.0, ,67-92,Turnover by T. Herro (lost ball; steal by D. DeRozan),,4,92,67,25,2378.0
8:17.0,A. Dosunmu misses 3-pt jump shot from 23 ft,67-92, ,,4,92,67,25,2383.0
8:14.0, ,67-92,Defensive rebound by K. Love,,4,92,67,25,2386.0
8:04.0, ,67-94,J. Jaquez makes 2-pt layup from 2 ft (assist by K. Love),,4,94,67,27,2396.0
8:04.0, ,67-94,Shooting foul by A. Caruso (drawn by J. Jaquez),,4,94,67,27,2396.0
8:04.0,J. Green enters the game for C. White,67-94, ,,4,94,67,27,2396.0
8:04.0, ,67-94,B. Adebayo enters the game for T. Herro,,4,94,67,27,2396.0
8:04.0, ,67-94,D. Robinson enters the game for K. Love,,4,94,67,27,2396.0
8:04.0, ,67-95,J. Jaquez makes free throw 1 of 1,,4,95,67,28,2396.0
7:54.0,D. DeRozan makes 3-pt jump shot from 24 ft (assist by N. Vučević),70-95, ,,4,95,70,25,2406.0
7:29.0, ,70-95,D. Robinson misses 2-pt jump shot from 5 ft,,4,95,70,25,2431.0
7:29.0, ,70-95,Offensive rebound by D. Robinson,,4,95,70,25,2431.0
7:28.0, ,70-97,D. Robinson makes 2-pt layup from 5 ft,,4,97,70,27,2432.0
7:16.0,D. DeRozan misses 3-pt jump shot from 25 ft,70-97, ,,4,97,70,27,2444.0
7:14.0, ,70-97,Defensive rebound by J. Jaquez,,4,97,70,27,2446.0
7:05.0, ,70-97,Shooting foul by N. Vučević (drawn by J. Jaquez),,4,97,70,27,2455.0
7:05.0, ,70-98,J. Jaquez makes free throw 1 of 2,,4,98,70,28,2455.0
7:05.0,C. White enters the game for A. Caruso,70-98, ,,4,98,70,28,2455.0
7:05.0, ,70-99,J. Jaquez makes free throw 2 of 2,,4,99,70,29,2455.0
6:47.0,J. Green makes 2-pt layup from 1 ft (assist by N. Vučević),72-99, ,,4,99,72,27,2473.0
6:31.0, ,72-101,B. Adebayo makes 2-pt dunk from 2 ft (assist by D. Robinson),,4,101,72,29,2489.0
6:18.0,A. Dosunmu misses 3-pt jump shot from 25 ft,72-101, ,,4,101,72,29,2502.0
6:15.0,Offensive rebound by J. Green,72-101, ,,4,101,72,29,2505.0
6:13.0,J. Green makes 2-pt layup from 3 ft,74-101, ,,4,101,74,27,2507.0
5:53.0, ,74-101,Turnover by D. Robinson (bad pass; steal by A. Dosunmu),,4,101,74,27,2527.0
5:51.0,Turnover by A. Dosunmu (bad pass),74-101, ,,4,101,74,27,2529.0
5:33.0, ,74-101,H. Highsmith misses 3-pt jump shot from 25 ft,,4,101,74,27,2547.0
5:30.0,Defensive rebound by A. Dosunmu,74-101, ,,4,101,74,27,2550.0
5:24.0,A. Dosunmu misses 3-pt jump shot from 27 ft,74-101, ,,4,101,74,27,2556.0
5:21.0, ,74-101,Defensive rebound by D. Wright,,4,101,74,27,2559.0
5:07.0, ,74-101,B. Adebayo misses 2-pt jump shot from 17 ft,,4,101,74,27,2573.0
5:06.0, ,74-101,Offensive rebound by H. Highsmith,,4,101,74,27,2574.0
5:06.0, ,74-103,H. Highsmith makes 2-pt dunk at rim,,4,103,74,29,2574.0
4:52.0,C. White makes 3-pt jump shot from 26 ft (assist by D. DeRozan),77-103, ,,4,103,77,26,2588.0
4:52.0, ,77-103,Miami full timeout,,4,103,77,26,2588.0
4:52.0,T. Craig enters the game for D. DeRozan,77-103, ,,4,103,77,26,2588.0
4:52.0,D. Terry enters the game for C. White,77-103, ,,4,103,77,26,2588.0
4:52.0, ,77-103,N. Jović enters the game for J. Jaquez,,4,103,77,26,2588.0
4:34.0, ,77-105,D. Wright makes 2-pt jump shot from 7 ft,,4,105,77,28,2606.0
4:13.0,N. Vučević misses 2-pt layup from 4 ft,77-105, ,,4,105,77,28,2627.0
4:10.0,Offensive rebound by T. Craig,77-105, ,,4,105,77,28,2630.0
4:06.0,A. Dosunmu misses 2-pt layup from 2 ft,77-105, ,,4,105,77,28,2634.0
4:02.0,Offensive rebound by T. Craig,77-105, ,,4,105,77,28,2638.0
3:59.0,D. Terry misses 2-pt jump shot from 21 ft,77-105, ,,4,105,77,28,2641.0
3:59.0,Offensive rebound by Team,77-105, ,,4,105,77,28,2641.0
3:59.0, ,77-105,Loose ball foul by D. Robinson (drawn by A. Dosunmu),,4,105,77,28,2641.0
3:59.0,J. Carter enters the game for A. Dosunmu,77-105, ,,4,105,77,28,2641.0
3:59.0, ,77-105,T. Bryant enters the game for B. Adebayo,,4,105,77,28,2641.0
3:51.0,N. Vučević makes 2-pt hook shot from 8 ft (assist by J. Green),79-105, ,,4,105,79,26,2649.0
3:39.0, ,79-105,Turnover by N. Jović (bad pass; steal by J. Green),,4,105,79,26,2661.0
3:32.0,N. Vučević misses 3-pt jump shot from 27 ft,79-105, ,,4,105,79,26,2668.0
3:30.0, ,79-105,Defensive rebound by T. Bryant,,4,105,79,26,2670.0
3:17.0, ,79-105,Turnover by H. Highsmith (traveling),,4,105,79,26,2683.0
3:17.0,A. Dosunmu enters the game for N. Vučević,79-105, ,,4,105,79,26,2683.0
3:17.0, ,79-105,P. Mills enters the game for D. Robinson,,4,105,79,26,2683.0
3:02.0,T. Craig makes 3-pt jump shot from 24 ft (assist by J. Green),82-105, ,,4,105,82,23,2698.0
2:51.0, ,82-105,Personal foul by D. Terry (drawn by N. Jović),,4,105,82,23,2709.0
2:26.0, ,82-105,T. Bryant misses 2-pt hook shot from 5 ft,,4,105,82,23,2734.0
2:24.0, ,82-105,Offensive rebound by T. Bryant,,4,105,82,23,2736.0
2:24.0, ,82-105,Shooting foul by T. Craig (drawn by T. Bryant),,4,105,82,23,2736.0
2:24.0, ,82-106,T. Bryant makes free throw 1 of 2,,4,106,82,24,2736.0
2:24.0, ,82-106,O. Robinson enters the game for N. Jović,,4,106,82,24,2736.0
2:24.0, ,82-107,T. Bryant makes free throw 2 of 2,,4,107,82,25,2736.0
2:10.0,J. Green makes 2-pt jump shot from 11 ft (assist by D. Terry),84-107, ,,4,107,84,23,2750.0
1:49.0, ,84-107,D. Wright misses 2-pt jump shot from 10 ft,,4,107,84,23,2771.0
1:46.0,Defensive rebound by J. Carter,84-107, ,,4,107,84,23,2774.0
1:40.0,T. Craig makes 3-pt jump shot from 27 ft (assist by J. Carter),87-107, ,,4,107,87,20,2780.0
1:39.0, ,87-107,Turnover by H. Highsmith (bad pass),,4,107,87,20,2781.0
1:34.0,Turnover by D. Terry (bad pass; steal by O. Robinson),87-107, ,,4,107,87,20,2786.0
1:23.0, ,87-110,H. Highsmith makes 3-pt jump shot from 26 ft (assist by O. Robinson),,4,110,87,23,2797.0
1:14.0,J. Carter makes 2-pt jump shot from 18 ft (assist by T. Craig),89-110, ,,4,110,89,21,2806.0
0:58.0, ,89-110,Turnover by H. Highsmith (bad pass),,4,110,89,21,2822.0
0:48.0,D. Terry misses 2-pt layup from 5 ft,89-110, ,,4,110,89,21,2832.0
0:46.0, ,89-110,Defensive rebound by T. Bryant,,4,110,89,21,2834.0
0:24.0, ,89-112,T. Bryant makes 2-pt jump shot from 20 ft (assist by P. Mills),,4,112,89,23,2856.0
0:17.0,D. Terry makes 2-pt layup from 2 ft,91-112, ,,4,112,91,21,2863.0
0:00.0,End of 4th quarter,91-112,,,4,112,91,21,2880.0
