Time,Charlotte,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:43.0,G. Hayward makes free throw 1 of 2,44-43, ,Lead change,2,43,44,-1,1217.0
3:43.0,T. Rozier enters the game for I. Smith,44-43, ,,2,43,44,-1,1217.0
3:43.0,G. Hayward makes free throw 2 of 2,45-43, ,,2,43,45,-2,1217.0
3:32.0, ,45-43,Personal foul by M. Bridges (drawn by K. Lowry),,2,43,45,-2,1228.0
3:23.0, ,45-43,J. Butler misses 2-pt jump shot from 13 ft,,2,43,45,-2,1237.0
3:20.0,Defensive rebound by G. Hayward,45-43, ,,2,43,45,-2,1240.0
3:10.0,Turnover by M. Bridges (lost ball; steal by K. Lowry),45-43, ,,2,43,45,-2,1250.0
3:06.0, ,45-43,Offensive foul by K. Lowry (drawn by B. McGowens),,2,43,45,-2,1254.0
3:06.0, ,45-43,Turnover by K. Lowry (offensive foul),,2,43,45,-2,1254.0
3:06.0,B. Miller enters the game for M. Bridges,45-43, ,,2,43,45,-2,1254.0
3:06.0,N. Richards enters the game for B. McGowens,45-43, ,,2,43,45,-2,1254.0
2:55.0,G. Hayward misses 2-pt layup from 2 ft (block by C. Martin),45-43, ,,2,43,45,-2,1265.0
2:51.0, ,45-43,Defensive rebound by K. Lowry,,2,43,45,-2,1269.0
2:46.0, ,45-45,J. Butler makes 2-pt layup from 2 ft (assist by K. Love),Tie,2,45,45,0,1274.0
2:36.0,B. Miller misses 2-pt jump shot from 14 ft,45-45, ,,2,45,45,0,1284.0
2:32.0, ,45-45,Defensive rebound by K. Love,,2,45,45,0,1288.0
2:32.0, ,45-45,Personal foul by T. Rozier (drawn by J. Butler),,2,45,45,0,1288.0
2:32.0,Charlotte full timeout,45-45, ,,2,45,45,0,1288.0
2:32.0, ,45-45,D. Robinson enters the game for J. Jaquez,,2,45,45,0,1288.0
2:22.0, ,45-48,K. Lowry makes 3-pt jump shot from 23 ft (assist by J. Butler),Lead change,2,48,45,3,1298.0
1:59.0,B. Miller misses 3-pt jump shot from 26 ft,45-48, ,,2,48,45,3,1321.0
1:55.0, ,45-48,Defensive rebound by J. Butler,,2,48,45,3,1325.0
1:39.0, ,45-51,D. Robinson makes 3-pt jump shot from 23 ft (assist by C. Martin),,2,51,45,6,1341.0
1:21.0,Turnover by B. Miller (traveling),45-51, ,,2,51,45,6,1359.0
1:21.0,I. Smith enters the game for T. Rozier,45-51, ,,2,51,45,6,1359.0
1:10.0, ,45-51,Turnover by J. Butler (traveling),,2,51,45,6,1370.0
0:50.0,I. Smith misses 2-pt jump shot from 15 ft,45-51, ,,2,51,45,6,1390.0
0:47.0, ,45-51,Defensive rebound by K. Lowry,,2,51,45,6,1393.0
0:34.0, ,45-54,K. Lowry makes 3-pt jump shot from 26 ft (assist by J. Butler),,2,54,45,9,1406.0
0:24.0,Offensive foul by N. Richards (drawn by C. Martin),45-54, ,,2,54,45,9,1416.0
0:24.0,Turnover by N. Richards (offensive foul),45-54, ,,2,54,45,9,1416.0
0:04.0, ,45-56,C. Martin makes 2-pt jump shot from 20 ft (assist by J. Butler),,2,56,45,11,1436.0
0:01.0,I. Smith misses 3-pt jump shot from 28 ft,45-56, ,,2,56,45,11,1439.0
0:00.0,Offensive rebound by Team,45-56, ,,2,56,45,11,1440.0
0:00.0,End of 2nd quarter,45-56,,,2,56,45,11,1440.0
12:00.0,Start of 3rd quarter,45-56,,,3,56,45,11,1440.0
11:37.0, ,45-59,K. Lowry makes 3-pt jump shot from 25 ft (assist by J. Butler),,3,59,45,14,1463.0
11:18.0,Turnover by M. Bridges (lost ball; steal by K. Lowry),45-59, ,,3,59,45,14,1482.0
11:11.0, ,45-62,D. Robinson makes 3-pt jump shot from 23 ft (assist by J. Butler),,3,62,45,17,1489.0
11:01.0,Def 3 sec tech foul by Team,45-62, ,,3,62,45,17,1499.0
11:01.0,T. Rozier makes technical free throw,46-62, ,,3,62,46,16,1499.0
10:56.0,T. Rozier makes 2-pt layup from 2 ft (assist by G. Hayward),48-62, ,,3,62,48,14,1504.0
10:37.0, ,48-62,Turnover by J. Butler (bad pass; steal by M. Bridges),,3,62,48,14,1523.0
10:28.0,M. Bridges misses 3-pt jump shot from 25 ft,48-62, ,,3,62,48,14,1532.0
10:24.0, ,48-62,Defensive rebound by C. Martin,,3,62,48,14,1536.0
10:13.0, ,48-64,O. Robinson makes 2-pt layup from 3 ft (assist by K. Lowry),,3,64,48,16,1547.0
10:01.0,B. Miller makes 3-pt jump shot from 25 ft (assist by M. Bridges),51-64, ,,3,64,51,13,1559.0
9:49.0, ,51-64,Offensive foul by O. Robinson (drawn by T. Rozier),,3,64,51,13,1571.0
9:49.0, ,51-64,Turnover by O. Robinson (offensive foul),,3,64,51,13,1571.0
9:32.0,Personal foul by C. Martin (drawn by G. Hayward),51-64, ,,3,64,51,13,1588.0
9:23.0,M. Bridges misses 3-pt jump shot from 27 ft,51-64, ,,3,64,51,13,1597.0
9:19.0, ,51-64,Defensive rebound by O. Robinson,,3,64,51,13,1601.0
9:01.0, ,51-66,K. Lowry makes 2-pt layup from 2 ft (assist by J. Butler),,3,66,51,15,1619.0
8:47.0,Turnover by M. Bridges (out of bounds lost ball),51-66, ,,3,66,51,15,1633.0
8:37.0, ,51-66,J. Butler misses 2-pt jump shot from 9 ft,,3,66,51,15,1643.0
8:36.0, ,51-66,Offensive rebound by J. Butler,,3,66,51,15,1644.0
8:35.0, ,51-66,Shooting foul by B. Miller (drawn by J. Butler),,3,66,51,15,1645.0
8:35.0, ,51-67,J. Butler makes free throw 1 of 2,,3,67,51,16,1645.0
8:35.0, ,51-68,J. Butler makes free throw 2 of 2,,3,68,51,17,1645.0
8:21.0,G. Hayward misses 3-pt jump shot from 26 ft,51-68, ,,3,68,51,17,1659.0
8:17.0, ,51-68,Defensive rebound by J. Butler,,3,68,51,17,1663.0
8:12.0, ,51-68,C. Martin misses 2-pt layup from 2 ft,,3,68,51,17,1668.0
8:11.0, ,51-68,Offensive rebound by C. Martin,,3,68,51,17,1669.0
8:11.0, ,51-68,C. Martin misses 2-pt layup from 1 ft,,3,68,51,17,1669.0
8:10.0, ,51-68,C. Martin misses 2-pt layup at rim,,3,68,51,17,1670.0
