Time,Miami,Score,Charlotte,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:47.0,B. Adebayo misses 2-pt dunk from 12 ft,38-38, ,,2,38,38,0,1093.0
5:47.0,Offensive rebound by J. Jaquez,38-38, ,,2,38,38,0,1093.0
5:40.0,J. Richardson misses 3-pt jump shot from 23 ft,38-38, ,,2,38,38,0,1100.0
5:38.0, ,38-38,Defensive rebound by T. Maledon,,2,38,38,0,1102.0
5:32.0, ,38-40,M. Williams makes 2-pt dunk from 2 ft (assist by T. Maledon),Lead change,2,38,40,-2,1108.0
5:25.0,Miami full timeout,38-40, ,,2,38,40,-2,1115.0
5:25.0,T. Bryant enters the game for B. Adebayo,38-40, ,,2,38,40,-2,1115.0
5:25.0,J. Butler enters the game for D. Robinson,38-40, ,,2,38,40,-2,1115.0
5:25.0, ,38-40,L. Ball enters the game for L. Black,,2,38,40,-2,1115.0
5:18.0,Turnover by J. Jaquez (lost ball; steal by L. Ball),38-40, ,,2,38,40,-2,1122.0
5:12.0, ,38-40,L. Ball misses 3-pt jump shot from 28 ft,,2,38,40,-2,1128.0
5:09.0,Defensive rebound by J. Jaquez,38-40, ,,2,38,40,-2,1131.0
5:00.0,J. Butler misses 2-pt jump shot from 2 ft,38-40, ,,2,38,40,-2,1140.0
4:56.0,Offensive rebound by T. Bryant,38-40, ,,2,38,40,-2,1144.0
4:56.0,T. Bryant misses 2-pt layup at rim,38-40, ,,2,38,40,-2,1144.0
4:55.0, ,38-40,Defensive rebound by N. Smith,,2,38,40,-2,1145.0
4:53.0, ,38-40,N. Smith misses 2-pt layup from 3 ft,,2,38,40,-2,1147.0
4:45.0, ,38-40,Offensive rebound by M. Williams,,2,38,40,-2,1155.0
4:45.0, ,38-42,M. Williams makes 2-pt dunk at rim,,2,38,42,-4,1155.0
4:29.0,J. Butler makes 2-pt jump shot from 11 ft (assist by J. Richardson),40-42, ,,2,40,42,-2,1171.0
4:11.0, ,40-44,P. Washington makes 2-pt hook shot from 8 ft (assist by L. Ball),,2,40,44,-4,1189.0
3:57.0,T. Bryant misses 2-pt jump shot from 14 ft,40-44, ,,2,40,44,-4,1203.0
3:53.0, ,40-44,Defensive rebound by T. Maledon,,2,40,44,-4,1207.0
3:46.0, ,40-44,Turnover by T. Maledon (back court),,2,40,44,-4,1214.0
3:24.0,J. Jaquez makes 2-pt jump shot from 13 ft,42-44, ,,2,42,44,-2,1236.0
3:16.0, ,42-44,Turnover by L. Ball (lost ball; steal by H. Highsmith),,2,42,44,-2,1244.0
3:10.0,H. Highsmith makes 2-pt layup from 1 ft (assist by J. Jaquez),44-44, ,Tie,2,44,44,0,1250.0
3:04.0, ,44-44,Offensive foul by L. Ball (drawn by H. Highsmith),,2,44,44,0,1256.0
3:04.0, ,44-44,Turnover by L. Ball (offensive foul),,2,44,44,0,1256.0
3:04.0, ,44-44,I. Smith enters the game for T. Maledon,,2,44,44,0,1256.0
3:04.0, ,44-44,J. Thor enters the game for N. Smith,,2,44,44,0,1256.0
2:52.0,H. Highsmith makes 3-pt jump shot from 23 ft (assist by J. Butler),47-44, ,Lead change,2,47,44,3,1268.0
2:34.0, ,47-46,M. Williams makes 2-pt hook shot from 3 ft,,2,47,46,1,1286.0
2:18.0,T. Bryant makes 2-pt layup from 2 ft (assist by J. Butler),49-46, ,,2,49,46,3,1302.0
2:03.0, ,49-46,Personal foul by J. Jaquez (drawn by L. Ball),,2,49,46,3,1317.0
2:03.0,B. Adebayo enters the game for T. Bryant,49-46, ,,2,49,46,3,1317.0
2:03.0,D. Robinson enters the game for J. Jaquez,49-46, ,,2,49,46,3,1317.0
2:03.0, ,49-46,B. McGowens enters the game for L. Ball,,2,49,46,3,1317.0
1:55.0, ,49-46,Turnover by B. McGowens (bad pass; steal by J. Butler),,2,49,46,3,1325.0
1:42.0,B. Adebayo misses 2-pt jump shot from 9 ft,49-46, ,,2,49,46,3,1338.0
1:40.0, ,49-46,Defensive rebound by M. Williams,,2,49,46,3,1340.0
1:31.0, ,49-46,Turnover by I. Smith (bad pass; steal by J. Butler),,2,49,46,3,1349.0
1:26.0,Personal foul by M. Williams (drawn by B. Adebayo),49-46, ,,2,49,46,3,1354.0
1:15.0,Turnover by J. Butler (bad pass),49-46, ,,2,49,46,3,1365.0
1:04.0, ,49-46,P. Washington misses 3-pt jump shot from 27 ft,,2,49,46,3,1376.0
1:00.0,Defensive rebound by B. Adebayo,49-46, ,,2,49,46,3,1380.0
0:57.0,H. Highsmith makes 2-pt layup from 3 ft (assist by B. Adebayo),51-46, ,,2,51,46,5,1383.0
0:45.0,Loose ball foul by J. Richardson (drawn by M. Williams),51-46, ,,2,51,46,5,1395.0
0:35.0, ,51-46,Turnover by I. Smith (lost ball; steal by H. Highsmith),,2,51,46,5,1405.0
0:23.0,H. Highsmith makes 3-pt jump shot from 27 ft (assist by J. Richardson),54-46, ,,2,54,46,8,1417.0
0:03.0, ,54-48,J. Thor makes 2-pt dunk from 2 ft (assist by I. Smith),,2,54,48,6,1437.0
0:00.0,J. Butler makes 3-pt jump shot from 36 ft,57-48, ,,2,57,48,9,1440.0
0:00.0,Instant Replay (Request: Ruling Stands),57-48, ,,2,57,48,9,1440.0
0:00.0,End of 2nd quarter,57-48,,,2,57,48,9,1440.0
12:00.0,Start of 3rd quarter,57-48,,,3,57,48,9,1440.0
11:41.0, ,57-51,L. Ball makes 3-pt jump shot from 35 ft,,3,57,51,6,1459.0
11:17.0,B. Adebayo makes 2-pt jump shot from 8 ft,59-51, ,,3,59,51,8,1483.0
10:53.0, ,59-54,J. Thor makes 3-pt jump shot from 23 ft (assist by T. Maledon),,3,59,54,5,1507.0
10:31.0,B. Adebayo makes 2-pt jump shot from 8 ft,61-54, ,,3,61,54,7,1529.0
10:21.0, ,61-54,P. Washington misses 3-pt jump shot from 22 ft,,3,61,54,7,1539.0
10:18.0,Defensive rebound by B. Adebayo,61-54, ,,3,61,54,7,1542.0
10:08.0,B. Adebayo makes 2-pt layup from 2 ft,63-54, ,,3,63,54,9,1552.0
