Time,Houston,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:42.0,Turnover by J. Green (lost ball; steal by D. Robinson),27-34, ,,2,34,27,7,738.0
11:31.0, ,27-34,Personal foul by A. Thompson (drawn by B. Adebayo),,2,34,27,7,749.0
11:19.0, ,27-34,B. Adebayo misses 2-pt jump shot from 15 ft,,2,34,27,7,761.0
11:17.0,Defensive rebound by A. Thompson,27-34, ,,2,34,27,7,763.0
11:05.0,C. Whitmore makes 2-pt layup from 6 ft (assist by J. Green),29-34, ,,2,34,29,5,775.0
10:51.0, ,29-34,Turnover by B. Adebayo (bad pass; steal by A. Holiday),,2,34,29,5,789.0
10:46.0,A. Holiday misses 3-pt jump shot from 27 ft,29-34, ,,2,34,29,5,794.0
10:45.0,Offensive rebound by Team,29-34, ,,2,34,29,5,795.0
10:33.0,C. Whitmore misses 2-pt jump shot from 15 ft,29-34, ,,2,34,29,5,807.0
10:31.0, ,29-34,Defensive rebound by J. Richardson,,2,34,29,5,809.0
10:20.0, ,29-34,D. Robinson misses 3-pt jump shot from 26 ft,,2,34,29,5,820.0
10:16.0,Defensive rebound by A. Thompson,29-34, ,,2,34,29,5,824.0
10:10.0,A. Holiday misses 3-pt jump shot from 26 ft,29-34, ,,2,34,29,5,830.0
10:07.0, ,29-34,Defensive rebound by B. Adebayo,,2,34,29,5,833.0
9:48.0, ,29-34,Shooting foul by J. Green (drawn by J. Richardson),,2,34,29,5,852.0
9:48.0, ,29-35,J. Richardson makes free throw 1 of 2,,2,35,29,6,852.0
9:48.0, ,29-36,J. Richardson makes free throw 2 of 2,,2,36,29,7,852.0
9:30.0,Turnover by J. Smith (bad pass; steal by B. Adebayo),29-36, ,,2,36,29,7,870.0
9:28.0, ,29-36,Shooting foul by C. Whitmore (drawn by B. Adebayo),,2,36,29,7,872.0
9:28.0, ,29-36,B. Adebayo misses free throw 1 of 2,,2,36,29,7,872.0
9:28.0, ,29-36,Offensive rebound by Team,,2,36,29,7,872.0
9:28.0,J. Green enters the game for A. Holiday,29-36, ,,2,36,29,7,872.0
9:28.0,A. Sengun enters the game for J. Smith,29-36, ,,2,36,29,7,872.0
9:28.0,F. VanVleet enters the game for A. Thompson,29-36, ,,2,36,29,7,872.0
9:28.0, ,29-36,B. Adebayo misses free throw 2 of 2,,2,36,29,7,872.0
9:25.0,Defensive rebound by J. Green,29-36, ,,2,36,29,7,875.0
9:15.0,A. Sengun misses 2-pt jump shot from 10 ft,29-36, ,,2,36,29,7,885.0
9:13.0, ,29-36,Defensive rebound by J. Richardson,,2,36,29,7,887.0
9:07.0, ,29-36,D. Robinson misses 3-pt jump shot from 26 ft,,2,36,29,7,893.0
9:04.0,Defensive rebound by J. Green,29-36, ,,2,36,29,7,896.0
8:54.0,J. Green misses 2-pt jump shot from 12 ft,29-36, ,,2,36,29,7,906.0
8:51.0,Offensive rebound by A. Sengun,29-36, ,,2,36,29,7,909.0
8:51.0,F. VanVleet makes 3-pt jump shot from 26 ft (assist by A. Sengun),32-36, ,,2,36,32,4,909.0
8:32.0, ,32-38,J. Richardson makes 2-pt hook shot from 7 ft (assist by B. Adebayo),,2,38,32,6,928.0
8:12.0,J. Green makes 3-pt jump shot from 27 ft,35-38, ,,2,38,35,3,948.0
7:53.0, ,35-40,D. Robinson makes 2-pt jump shot from 7 ft,,2,40,35,5,967.0
7:53.0, ,35-40,Shooting foul by A. Sengun (drawn by D. Robinson),,2,40,35,5,967.0
7:53.0,J. Tate enters the game for C. Whitmore,35-40, ,,2,40,35,5,967.0
7:53.0, ,35-41,D. Robinson makes free throw 1 of 1,,2,41,35,6,967.0
7:31.0,A. Sengun misses 2-pt jump shot from 16 ft,35-41, ,,2,41,35,6,989.0
7:28.0, ,35-41,Defensive rebound by B. Adebayo,,2,41,35,6,992.0
7:16.0, ,35-43,B. Adebayo makes 2-pt layup from 5 ft (assist by D. Robinson),,2,43,35,8,1004.0
