Time,Houston,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:41.0, ,61-66,J. Jaquez misses 2-pt layup from 6 ft,,3,66,61,5,1579.0
9:36.0,Defensive rebound by A. Sengun,61-66, ,,3,66,61,5,1584.0
9:31.0,J. Smith misses 3-pt jump shot from 26 ft,61-66, ,,3,66,61,5,1589.0
9:29.0, ,61-66,Defensive rebound by B. Adebayo,,3,66,61,5,1591.0
9:22.0, ,61-66,Personal foul by J. Tate (drawn by B. Adebayo),,3,66,61,5,1598.0
9:12.0, ,61-66,N. Jović misses 3-pt jump shot from 25 ft,,3,66,61,5,1608.0
9:09.0, ,61-66,Offensive rebound by T. Herro,,3,66,61,5,1611.0
8:58.0, ,61-68,B. Adebayo makes 2-pt jump shot from 13 ft (assist by K. Lowry),,3,68,61,7,1622.0
8:50.0,F. VanVleet misses 2-pt layup from 3 ft (block by K. Lowry),61-68, ,,3,68,61,7,1630.0
8:46.0,Offensive rebound by J. Tate,61-68, ,,3,68,61,7,1634.0
8:45.0,J. Tate makes 2-pt layup from 3 ft,63-68, ,,3,68,63,5,1635.0
8:23.0, ,63-68,J. Jaquez misses 2-pt layup from 6 ft,,3,68,63,5,1657.0
8:20.0,Defensive rebound by A. Sengun,63-68, ,,3,68,63,5,1660.0
8:18.0,Personal take foul by T. Herro (drawn by J. Green),63-68, ,,3,68,63,5,1662.0
8:18.0, ,63-68,D. Robinson enters the game for K. Lowry,,3,68,63,5,1662.0
8:06.0,Shooting foul by N. Jović (drawn by J. Green),63-68, ,,3,68,63,5,1674.0
8:06.0,J. Green makes free throw 1 of 2,64-68, ,,3,68,64,4,1674.0
8:06.0,J. Green makes free throw 2 of 2,65-68, ,,3,68,65,3,1674.0
7:50.0, ,65-71,T. Herro makes 3-pt jump shot from 27 ft (assist by B. Adebayo),,3,71,65,6,1690.0
7:35.0,J. Smith makes 3-pt jump shot from 26 ft (assist by J. Green),68-71, ,,3,71,68,3,1705.0
7:18.0, ,68-73,B. Adebayo makes 2-pt jump shot from 10 ft (assist by D. Robinson),,3,73,68,5,1722.0
7:07.0,Personal foul by D. Robinson (drawn by A. Sengun),68-73, ,,3,73,68,5,1733.0
6:58.0,J. Smith misses 2-pt hook shot from 6 ft,68-73, ,,3,73,68,5,1742.0
6:55.0, ,68-73,Defensive rebound by B. Adebayo,,3,73,68,5,1745.0
6:49.0, ,68-75,J. Jaquez makes 2-pt dunk from 4 ft (assist by D. Robinson),,3,75,68,7,1751.0
6:35.0,F. VanVleet makes 3-pt jump shot from 25 ft,71-75, ,,3,75,71,4,1765.0
6:21.0, ,71-75,N. Jović misses 3-pt jump shot from 23 ft,,3,75,71,4,1779.0
6:17.0,Defensive rebound by J. Green,71-75, ,,3,75,71,4,1783.0
6:04.0,Turnover by A. Sengun (bad pass; steal by N. Jović),71-75, ,,3,75,71,4,1796.0
5:59.0, ,71-75,N. Jović misses 2-pt jump shot from 14 ft (block by F. VanVleet),,3,75,71,4,1801.0
5:59.0, ,71-75,Offensive rebound by B. Adebayo,,3,75,71,4,1801.0
5:59.0, ,71-77,B. Adebayo makes 2-pt dunk at rim,,3,77,71,6,1801.0
5:59.0,Houston full timeout,71-77, ,,3,77,71,6,1801.0
5:59.0,J. Green enters the game for A. Sengun,71-77, ,,3,77,71,6,1801.0
5:36.0,J. Green makes 2-pt layup from 3 ft (assist by F. VanVleet),73-77, ,,3,77,73,4,1824.0
5:21.0, ,73-77,Personal foul by J. Green (drawn by B. Adebayo),,3,77,73,4,1839.0
5:12.0, ,73-79,B. Adebayo makes 2-pt layup from 5 ft (assist by D. Robinson),,3,79,73,6,1848.0
4:59.0,F. VanVleet misses 2-pt jump shot from 21 ft,73-79, ,,3,79,73,6,1861.0
4:57.0,Offensive rebound by F. VanVleet,73-79, ,,3,79,73,6,1863.0
