Time,Miami,Score,Philadelphia,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:20.0,D. Wright misses 2-pt jump shot from 6 ft,57-72, ,,3,57,72,-15,1960.0
3:18.0, ,57-72,Defensive rebound by T. Maxey,,3,57,72,-15,1962.0
3:10.0, ,57-74,T. Maxey makes 2-pt jump shot from 24 ft,,3,57,74,-17,1970.0
3:00.0,B. Adebayo makes 3-pt jump shot from 28 ft (assist by D. Wright),60-74, ,,3,60,74,-14,1980.0
2:42.0, ,60-74,T. Maxey misses 3-pt jump shot from 29 ft,,3,60,74,-14,1998.0
2:40.0,Defensive rebound by B. Adebayo,60-74, ,,3,60,74,-14,2000.0
2:29.0,P. Mills misses 3-pt jump shot from 26 ft,60-74, ,,3,60,74,-14,2011.0
2:27.0,Offensive rebound by B. Adebayo,60-74, ,,3,60,74,-14,2013.0
2:27.0,Turnover by B. Adebayo (lost ball; steal by K. Lowry),60-74, ,,3,60,74,-14,2013.0
2:07.0, ,60-74,K. Oubre misses 2-pt jump shot from 8 ft,,3,60,74,-14,2033.0
2:07.0,Defensive rebound by C. Martin,60-74, ,,3,60,74,-14,2033.0
1:49.0,H. Highsmith makes 3-pt jump shot from 24 ft (assist by D. Wright),63-74, ,,3,63,74,-11,2051.0
1:48.0, ,63-74,Philadelphia full timeout,,3,63,74,-11,2052.0
1:48.0,T. Bryant enters the game for B. Adebayo,63-74, ,,3,63,74,-11,2052.0
1:48.0,J. Jaquez enters the game for H. Highsmith,63-74, ,,3,63,74,-11,2052.0
1:48.0, ,63-74,N. Batum enters the game for K. Lowry,,3,63,74,-11,2052.0
1:48.0, ,63-74,C. Payne enters the game for K. Oubre,,3,63,74,-11,2052.0
1:29.0, ,63-77,B. Hield makes 3-pt jump shot from 27 ft (assist by T. Maxey),,3,63,77,-14,2071.0
1:02.0,J. Jaquez misses 3-pt jump shot from 27 ft,63-77, ,,3,63,77,-14,2098.0
1:00.0, ,63-77,Defensive rebound by T. Maxey,,3,63,77,-14,2100.0
0:44.0, ,63-77,Shooting foul by T. Bryant (drawn by P. Reed),,3,63,77,-14,2116.0
0:44.0, ,63-78,P. Reed makes free throw 1 of 2,,3,63,78,-15,2116.0
0:44.0, ,63-79,P. Reed makes free throw 2 of 2,,3,63,79,-16,2116.0
0:32.0,C. Martin misses 2-pt layup from 1 ft,63-79, ,,3,63,79,-16,2128.0
0:31.0,Offensive rebound by T. Bryant,63-79, ,,3,63,79,-16,2129.0
0:30.0,T. Bryant misses 2-pt layup from 1 ft (block by P. Reed),63-79, ,,3,63,79,-16,2130.0
0:27.0, ,63-79,Defensive rebound by C. Payne,,3,63,79,-16,2133.0
0:24.0, ,63-79,Turnover by C. Payne (lost ball; steal by C. Martin),,3,63,79,-16,2136.0
0:22.0,T. Bryant makes 2-pt dunk at rim (assist by C. Martin),65-79, ,,3,65,79,-14,2138.0
0:00.0, ,65-79,C. Payne misses 2-pt jump shot from 11 ft,,3,65,79,-14,2160.0
0:00.0, ,65-79,Offensive rebound by Team,,3,65,79,-14,2160.0
0:00.0,End of 3rd quarter,65-79,,,3,65,79,-14,2160.0
12:00.0,Start of 4th quarter,65-79,,,4,65,79,-14,2160.0
11:42.0, ,65-79,C. Payne misses 3-pt jump shot from 24 ft,,4,65,79,-14,2178.0
11:35.0,Defensive rebound by D. Wright,65-79, ,,4,65,79,-14,2185.0
11:15.0,T. Bryant makes 3-pt jump shot from 27 ft (assist by P. Mills),68-79, ,,4,68,79,-11,2205.0
10:56.0, ,68-79,B. Hield misses 3-pt jump shot from 24 ft,,4,68,79,-11,2224.0
10:55.0,Defensive rebound by Team,68-79, ,,4,68,79,-11,2225.0
10:42.0,J. Jaquez misses 2-pt jump shot from 2 ft (block by B. Hield),68-79, ,,4,68,79,-11,2238.0
10:41.0,Offensive rebound by Team,68-79, ,,4,68,79,-11,2239.0
10:41.0, ,68-79,Violation by Team (kicked ball),,4,68,79,-11,2239.0
10:35.0,Turnover by P. Mills (bad pass; steal by N. Batum),68-79, ,,4,68,79,-11,2245.0
10:29.0, ,68-81,K. Oubre makes 2-pt layup from 1 ft,,4,68,81,-13,2251.0
10:17.0,Turnover by C. Martin (lost ball; steal by N. Batum),68-81, ,,4,68,81,-13,2263.0
10:00.0, ,68-81,Offensive foul by P. Reed (drawn by C. Martin),,4,68,81,-13,2280.0
10:00.0, ,68-81,Turnover by P. Reed (offensive foul),,4,68,81,-13,2280.0
10:00.0,T. Rozier enters the game for D. Wright,68-81, ,,4,68,81,-13,2280.0
9:49.0,T. Rozier makes 2-pt jump shot from 18 ft,70-81, ,,4,70,81,-11,2291.0
9:34.0, ,70-81,N. Batum misses 2-pt jump shot from 20 ft,,4,70,81,-11,2306.0
9:32.0,Defensive rebound by J. Jaquez,70-81, ,,4,70,81,-11,2308.0
9:30.0,Shooting foul by N. Batum (drawn by J. Jaquez),70-81, ,,4,70,81,-11,2310.0
9:30.0,J. Jaquez makes free throw 1 of 2,71-81, ,,4,71,81,-10,2310.0
9:30.0,J. Jaquez makes free throw 2 of 2,72-81, ,,4,72,81,-9,2310.0
9:21.0, ,72-81,Turnover by K. Oubre (bad pass; steal by C. Martin),,4,72,81,-9,2319.0
9:15.0,Turnover by C. Martin (out of bounds lost ball),72-81, ,,4,72,81,-9,2325.0
8:55.0, ,72-81,P. Reed misses 2-pt layup from 2 ft (block by C. Martin),,4,72,81,-9,2345.0
8:52.0,Defensive rebound by J. Jaquez,72-81, ,,4,72,81,-9,2348.0
8:44.0,T. Bryant makes 2-pt jump shot from 7 ft (assist by P. Mills),74-81, ,,4,74,81,-7,2356.0
8:44.0, ,74-81,Philadelphia full timeout,,4,74,81,-7,2356.0
8:44.0, ,74-81,M. Bamba enters the game for C. Payne,,4,74,81,-7,2356.0
8:44.0, ,74-81,T. Maxey enters the game for P. Reed,,4,74,81,-7,2356.0
8:36.0, ,74-81,Turnover by T. Maxey (bad pass; steal by C. Martin),,4,74,81,-7,2364.0
8:32.0,P. Mills makes 3-pt jump shot from 25 ft (assist by C. Martin),77-81, ,,4,77,81,-4,2368.0
8:15.0, ,77-83,K. Oubre makes 2-pt layup from 4 ft (assist by N. Batum),,4,77,83,-6,2385.0
7:59.0,T. Rozier makes 3-pt jump shot from 26 ft,80-83, ,,4,80,83,-3,2401.0
7:34.0, ,80-85,B. Hield makes 2-pt jump shot from 6 ft (assist by T. Maxey),,4,80,85,-5,2426.0
7:21.0,T. Rozier makes 3-pt jump shot from 25 ft,83-85, ,,4,83,85,-2,2439.0
7:04.0, ,83-85,T. Maxey misses 2-pt jump shot from 9 ft,,4,83,85,-2,2456.0
7:02.0, ,83-85,Offensive rebound by M. Bamba,,4,83,85,-2,2458.0
6:58.0, ,83-85,Turnover by M. Bamba (bad pass; steal by T. Rozier),,4,83,85,-2,2462.0
6:54.0,C. Martin makes 2-pt dunk at rim (assist by T. Rozier),85-85, ,Tie,4,85,85,0,2466.0
6:34.0, ,85-88,B. Hield makes 3-pt jump shot from 26 ft (assist by T. Maxey),,4,85,88,-3,2486.0
6:17.0,T. Rozier misses 2-pt jump shot from 11 ft,85-88, ,,4,85,88,-3,2503.0
6:15.0, ,85-88,Defensive rebound by B. Hield,,4,85,88,-3,2505.0
6:13.0, ,85-88,B. Hield misses 3-pt jump shot from 29 ft,,4,85,88,-3,2507.0
6:09.0, ,85-88,Offensive rebound by B. Hield,,4,85,88,-3,2511.0
6:08.0, ,85-88,B. Hield misses 2-pt layup from 5 ft,,4,85,88,-3,2512.0
6:04.0,Defensive rebound by J. Jaquez,85-88, ,,4,85,88,-3,2516.0
5:55.0,T. Bryant misses 2-pt layup at rim,85-88, ,,4,85,88,-3,2525.0
5:52.0, ,85-88,Defensive rebound by K. Oubre,,4,85,88,-3,2528.0
5:47.0, ,85-88,K. Oubre misses 3-pt jump shot from 28 ft,,4,85,88,-3,2533.0
5:43.0, ,85-88,Offensive rebound by N. Batum,,4,85,88,-3,2537.0
5:41.0, ,85-88,B. Hield misses 3-pt jump shot from 26 ft,,4,85,88,-3,2539.0
5:41.0,Defensive rebound by Team,85-88, ,,4,85,88,-3,2539.0
5:39.0,Miami full timeout,85-88, ,,4,85,88,-3,2541.0
5:39.0,B. Adebayo enters the game for T. Bryant,85-88, ,,4,85,88,-3,2541.0
5:39.0, ,85-88,K. Lowry enters the game for M. Bamba,,4,85,88,-3,2541.0
5:39.0, ,85-88,P. Reed enters the game for K. Oubre,,4,85,88,-3,2541.0
5:23.0,C. Martin misses 3-pt jump shot from 27 ft,85-88, ,,4,85,88,-3,2557.0
5:20.0, ,85-88,Defensive rebound by N. Batum,,4,85,88,-3,2560.0
4:58.0, ,85-88,P. Reed misses 2-pt layup from 2 ft,,4,85,88,-3,2582.0
4:55.0,Defensive rebound by B. Adebayo,85-88, ,,4,85,88,-3,2585.0
4:47.0,T. Rozier makes 2-pt layup from 1 ft,87-88, ,,4,87,88,-1,2593.0
4:22.0, ,87-88,T. Maxey misses 3-pt jump shot from 28 ft,,4,87,88,-1,2618.0
4:19.0,Defensive rebound by J. Jaquez,87-88, ,,4,87,88,-1,2621.0
4:05.0,P. Mills misses 3-pt jump shot from 23 ft,87-88, ,,4,87,88,-1,2635.0
4:02.0, ,87-88,Defensive rebound by K. Lowry,,4,87,88,-1,2638.0
3:52.0, ,87-88,Turnover by T. Maxey (bad pass; steal by J. Jaquez),,4,87,88,-1,2648.0
3:41.0,Personal foul by N. Batum (drawn by T. Rozier),87-88, ,,4,87,88,-1,2659.0
3:41.0, ,87-88,K. Oubre enters the game for B. Hield,,4,87,88,-1,2659.0
3:28.0,J. Jaquez misses 2-pt jump shot from 12 ft,87-88, ,,4,87,88,-1,2672.0
3:25.0, ,87-88,Defensive rebound by K. Oubre,,4,87,88,-1,2675.0
3:09.0, ,87-91,K. Lowry makes 3-pt jump shot from 30 ft (assist by T. Maxey),,4,87,91,-4,2691.0
2:47.0,T. Rozier misses 2-pt jump shot from 16 ft,87-91, ,,4,87,91,-4,2713.0
2:45.0, ,87-91,Defensive rebound by P. Reed,,4,87,91,-4,2715.0
2:28.0, ,87-93,K. Oubre makes 2-pt layup from 2 ft (assist by T. Maxey),,4,87,93,-6,2732.0
2:16.0,J. Jaquez misses 2-pt layup from 2 ft (block by K. Oubre),87-93, ,,4,87,93,-6,2744.0
2:16.0,Offensive rebound by Team,87-93, ,,4,87,93,-6,2744.0
2:12.0,P. Mills misses 3-pt jump shot from 24 ft,87-93, ,,4,87,93,-6,2748.0
2:09.0,Offensive rebound by P. Mills,87-93, ,,4,87,93,-6,2751.0
2:07.0,C. Martin makes 2-pt layup from 2 ft (assist by B. Adebayo),89-93, ,,4,89,93,-4,2753.0
2:07.0,Shooting foul by K. Lowry (drawn by C. Martin),89-93, ,,4,89,93,-4,2753.0
2:07.0, ,89-93,Philadelphia full timeout,,4,89,93,-4,2753.0
2:07.0, ,89-93,Instant Replay (Challenge: Stands),,4,89,93,-4,2753.0
2:07.0,C. Martin misses free throw 1 of 1,89-93, ,,4,89,93,-4,2753.0
2:06.0, ,89-93,Defensive rebound by K. Oubre,,4,89,93,-4,2754.0
1:51.0, ,89-93,T. Maxey misses 3-pt jump shot from 25 ft,,4,89,93,-4,2769.0
1:47.0, ,89-93,Offensive rebound by P. Reed,,4,89,93,-4,2773.0
1:36.0, ,89-95,K. Lowry makes 2-pt layup from 3 ft,,4,89,95,-6,2784.0
1:16.0,T. Rozier misses 3-pt jump shot from 25 ft,89-95, ,,4,89,95,-6,2804.0
1:12.0,Offensive rebound by C. Martin,89-95, ,,4,89,95,-6,2808.0
1:12.0,C. Martin makes 2-pt dunk at rim,91-95, ,,4,91,95,-4,2808.0
0:52.0, ,91-95,K. Lowry misses 2-pt jump shot from 19 ft,,4,91,95,-4,2828.0
0:50.0,Defensive rebound by J. Jaquez,91-95, ,,4,91,95,-4,2830.0
0:36.0,J. Jaquez misses 2-pt jump shot from 4 ft (block by K. Oubre),91-95, ,,4,91,95,-4,2844.0
0:33.0, ,91-95,Defensive rebound by N. Batum,,4,91,95,-4,2847.0
0:27.0, ,91-95,Philadelphia full timeout,,4,91,95,-4,2853.0
0:27.0,H. Highsmith enters the game for P. Mills,91-95, ,,4,91,95,-4,2853.0
0:27.0, ,91-95,B. Hield enters the game for P. Reed,,4,91,95,-4,2853.0
0:24.0, ,91-95,Turnover by N. Batum (bad pass; steal by C. Martin),,4,91,95,-4,2856.0
0:19.0,J. Jaquez misses 3-pt jump shot from 25 ft,91-95, ,,4,91,95,-4,2861.0
0:18.0, ,91-95,Defensive rebound by Team,,4,91,95,-4,2862.0
0:18.0, ,91-95,Away from play foul by C. Martin (drawn by T. Maxey),,4,91,95,-4,2862.0
0:18.0, ,91-96,T. Maxey makes free throw 1 of 1,,4,91,96,-5,2862.0
0:12.0, ,91-96,Personal take foul by C. Martin (drawn by B. Hield),,4,91,96,-5,2868.0
0:12.0, ,91-97,B. Hield makes free throw 1 of 2,,4,91,97,-6,2868.0
0:12.0, ,91-98,B. Hield makes free throw 2 of 2,,4,91,98,-7,2868.0
0:12.0,Miami full timeout,91-98, ,,4,91,98,-7,2868.0
0:12.0,P. Mills enters the game for H. Highsmith,91-98, ,,4,91,98,-7,2868.0
0:09.0,P. Mills misses 3-pt jump shot from 26 ft,91-98, ,,4,91,98,-7,2871.0
0:07.0, ,91-98,Defensive rebound by N. Batum,,4,91,98,-7,2873.0
0:00.0,End of 4th quarter,91-98,,,4,91,98,-7,2880.0
