Time,Miami,Score,Milwaukee,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:27.0, ,77-64,D. Lillard makes free throw 1 of 3,,3,77,64,13,1653.0
8:27.0, ,77-65,D. Lillard makes free throw 2 of 3,,3,77,65,12,1653.0
8:27.0, ,77-66,D. Lillard makes free throw 3 of 3,,3,77,66,11,1653.0
8:16.0,T. Herro misses 2-pt jump shot from 19 ft,77-66, ,,3,77,66,11,1664.0
8:13.0, ,77-66,Defensive rebound by G. Antetokounmpo,,3,77,66,11,1667.0
8:00.0, ,77-66,G. Antetokounmpo misses 2-pt layup from 4 ft (block by C. Martin),,3,77,66,11,1680.0
7:56.0,Defensive rebound by B. Adebayo,77-66, ,,3,77,66,11,1684.0
7:53.0,Turnover by B. Adebayo (lost ball; steal by M. Beasley),77-66, ,,3,77,66,11,1687.0
7:44.0, ,77-68,G. Antetokounmpo makes 2-pt layup from 1 ft,,3,77,68,9,1696.0
7:44.0,Miami full timeout,77-68, ,,3,77,68,9,1696.0
7:29.0,D. Robinson makes 2-pt layup from 2 ft (assist by B. Adebayo),79-68, ,,3,79,68,11,1711.0
7:09.0, ,79-70,D. Lillard makes 2-pt jump shot from 7 ft,,3,79,70,9,1731.0
6:59.0,N. Jović misses 3-pt jump shot from 26 ft,79-70, ,,3,79,70,9,1741.0
6:55.0, ,79-70,Defensive rebound by G. Antetokounmpo,,3,79,70,9,1745.0
6:38.0, ,79-70,Turnover by G. Antetokounmpo (lost ball; steal by N. Jović),,3,79,70,9,1762.0
6:29.0,N. Jović makes 3-pt jump shot from 23 ft (assist by D. Robinson),82-70, ,,3,82,70,12,1771.0
6:17.0, ,82-70,Personal foul by C. Martin (drawn by D. Lillard),,3,82,70,12,1783.0
6:17.0, ,82-70,P. Connaughton enters the game for J. Crowder,,3,82,70,12,1783.0
6:05.0, ,82-70,D. Lillard misses 3-pt jump shot from 27 ft,,3,82,70,12,1795.0
6:02.0,Defensive rebound by D. Robinson,82-70, ,,3,82,70,12,1798.0
5:59.0,T. Herro misses 3-pt jump shot from 25 ft,82-70, ,,3,82,70,12,1801.0
5:59.0, ,82-70,Defensive rebound by B. Lopez,,3,82,70,12,1801.0
5:47.0, ,82-70,G. Antetokounmpo misses 2-pt layup from 1 ft,,3,82,70,12,1813.0
5:43.0,Defensive rebound by N. Jović,82-70, ,,3,82,70,12,1817.0
5:38.0,Turnover by C. Martin (bad pass; steal by M. Beasley),82-70, ,,3,82,70,12,1822.0
5:38.0,J. Jaquez enters the game for B. Adebayo,82-70, ,,3,82,70,12,1822.0
5:38.0,K. Love enters the game for T. Herro,82-70, ,,3,82,70,12,1822.0
5:38.0, ,82-70,B. Portis enters the game for G. Antetokounmpo,,3,82,70,12,1822.0
5:29.0, ,82-70,D. Lillard misses 3-pt jump shot from 26 ft,,3,82,70,12,1831.0
5:26.0,Defensive rebound by N. Jović,82-70, ,,3,82,70,12,1834.0
5:14.0,N. Jović makes 2-pt jump shot from 3 ft (assist by J. Jaquez),84-70, ,,3,84,70,14,1846.0
4:57.0, ,84-70,B. Lopez misses 3-pt jump shot from 28 ft,,3,84,70,14,1863.0
4:54.0,Defensive rebound by D. Robinson,84-70, ,,3,84,70,14,1866.0
4:38.0,Shooting foul by M. Beasley (drawn by N. Jović),84-70, ,,3,84,70,14,1882.0
4:38.0,N. Jović misses free throw 1 of 2,84-70, ,,3,84,70,14,1882.0
4:38.0,Offensive rebound by Team,84-70, ,,3,84,70,14,1882.0
4:38.0,N. Jović makes free throw 2 of 2,85-70, ,,3,85,70,15,1882.0
4:23.0, ,85-70,B. Lopez misses 3-pt jump shot from 23 ft,,3,85,70,15,1897.0
4:19.0,Defensive rebound by K. Love,85-70, ,,3,85,70,15,1901.0
