Time,Miami,Score,Chicago,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Start of 4th quarter,93-81,,,4,93,81,12,2160.0
11:43.0,D. Robinson makes 3-pt jump shot from 24 ft (assist by J. Richardson),96-81, ,,4,96,81,15,2177.0
11:39.0, ,96-81,Personal foul by D. Robinson (drawn by A. Caruso),,4,96,81,15,2181.0
11:21.0, ,96-81,A. Caruso misses 3-pt jump shot from 24 ft,,4,96,81,15,2199.0
11:18.0,Defensive rebound by J. Richardson,96-81, ,,4,96,81,15,2202.0
11:10.0,Shooting foul by J. Carter (drawn by B. Adebayo),96-81, ,,4,96,81,15,2210.0
11:10.0,B. Adebayo misses free throw 1 of 2,96-81, ,,4,96,81,15,2210.0
11:10.0,Offensive rebound by Team,96-81, ,,4,96,81,15,2210.0
11:10.0,B. Adebayo makes free throw 2 of 2,97-81, ,,4,97,81,16,2210.0
10:57.0, ,97-81,Personal foul by D. Robinson (drawn by D. DeRozan),,4,97,81,16,2223.0
10:46.0, ,97-83,D. DeRozan makes 2-pt layup at rim (assist by J. Carter),,4,97,83,14,2234.0
10:46.0, ,97-83,Shooting foul by B. Adebayo (drawn by D. DeRozan),,4,97,83,14,2234.0
10:46.0, ,97-84,D. DeRozan makes free throw 1 of 1,,4,97,84,13,2234.0
10:25.0,C. Martin misses 2-pt layup from 3 ft (block by P. Williams),97-84, ,,4,97,84,13,2255.0
10:22.0, ,97-84,Defensive rebound by D. DeRozan,,4,97,84,13,2258.0
10:18.0, ,97-84,J. Carter misses 3-pt jump shot from 23 ft,,4,97,84,13,2262.0
10:12.0, ,97-84,Offensive rebound by A. Drummond,,4,97,84,13,2268.0
10:11.0, ,97-84,Turnover by A. Drummond (bad pass; steal by C. Martin),,4,97,84,13,2269.0
10:08.0,C. Martin misses 3-pt jump shot from 27 ft,97-84, ,,4,97,84,13,2272.0
10:04.0, ,97-84,Defensive rebound by A. Drummond,,4,97,84,13,2276.0
9:53.0, ,97-84,Turnover by P. Williams (out of bounds lost ball),,4,97,84,13,2287.0
9:33.0,C. Martin misses 3-pt jump shot from 23 ft,97-84, ,,4,97,84,13,2307.0
9:29.0,Offensive rebound by J. Jaquez,97-84, ,,4,97,84,13,2311.0
9:28.0,B. Adebayo makes 2-pt dunk at rim (assist by J. Jaquez),99-84, ,,4,99,84,15,2312.0
9:14.0, ,99-84,Turnover by A. Caruso (bad pass; steal by J. Jaquez),,4,99,84,15,2326.0
9:06.0,Shooting foul by D. DeRozan (drawn by D. Robinson),99-84, ,,4,99,84,15,2334.0
9:06.0,D. Robinson makes free throw 1 of 2,100-84, ,,4,100,84,16,2334.0
9:06.0, ,100-84,Z. LaVine enters the game for A. Caruso,,4,100,84,16,2334.0
9:06.0, ,100-84,N. Vučević enters the game for A. Drummond,,4,100,84,16,2334.0
9:06.0,D. Robinson makes free throw 2 of 2,101-84, ,,4,101,84,17,2334.0
8:57.0, ,101-84,Personal foul by J. Richardson (drawn by D. DeRozan),,4,101,84,17,2343.0
8:50.0, ,101-84,J. Carter misses 3-pt jump shot from 27 ft,,4,101,84,17,2350.0
8:48.0,Defensive rebound by D. Robinson,101-84, ,,4,101,84,17,2352.0
8:34.0,B. Adebayo misses 2-pt jump shot from 16 ft,101-84, ,,4,101,84,17,2366.0
8:31.0,Offensive rebound by J. Jaquez,101-84, ,,4,101,84,17,2369.0
8:29.0,D. Robinson makes 3-pt jump shot from 24 ft (assist by J. Jaquez),104-84, ,,4,104,84,20,2371.0
8:13.0, ,104-84,P. Williams misses 3-pt jump shot from 26 ft,,4,104,84,20,2387.0
8:11.0,Defensive rebound by C. Martin,104-84, ,,4,104,84,20,2389.0
7:51.0,B. Adebayo makes 2-pt jump shot from 6 ft,106-84, ,,4,106,84,22,2409.0
7:38.0, ,106-86,N. Vučević makes 2-pt jump shot from 9 ft (assist by D. DeRozan),,4,106,86,20,2422.0
7:23.0,J. Richardson misses 2-pt jump shot from 8 ft,106-86, ,,4,106,86,20,2437.0
7:21.0, ,106-86,Defensive rebound by Z. LaVine,,4,106,86,20,2439.0
7:07.0, ,106-88,Z. LaVine makes 2-pt jump shot from 2 ft,,4,106,88,18,2453.0
7:00.0,Miami full timeout,106-88, ,,4,106,88,18,2460.0
7:00.0, ,106-88,A. Caruso enters the game for J. Carter,,4,106,88,18,2460.0
7:00.0, ,106-88,T. Craig enters the game for D. DeRozan,,4,106,88,18,2460.0
7:00.0, ,106-88,C. White enters the game for P. Williams,,4,106,88,18,2460.0
6:45.0,J. Jaquez misses 2-pt jump shot from 11 ft,106-88, ,,4,106,88,18,2475.0
6:43.0, ,106-88,Defensive rebound by A. Caruso,,4,106,88,18,2477.0
6:40.0, ,106-88,T. Craig misses 3-pt jump shot from 23 ft,,4,106,88,18,2480.0
6:36.0,Defensive rebound by C. Martin,106-88, ,,4,106,88,18,2484.0
6:20.0,B. Adebayo misses 2-pt jump shot from 5 ft,106-88, ,,4,106,88,18,2500.0
6:18.0, ,106-88,Defensive rebound by N. Vučević,,4,106,88,18,2502.0
6:13.0, ,106-88,N. Vučević misses 3-pt jump shot from 26 ft,,4,106,88,18,2507.0
6:09.0, ,106-88,Offensive rebound by C. White,,4,106,88,18,2511.0
6:05.0, ,106-90,A. Caruso makes 2-pt layup from 1 ft (assist by C. White),,4,106,90,16,2515.0
5:39.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by J. Jaquez),109-90, ,,4,109,90,19,2541.0
5:20.0, ,109-92,T. Craig makes 2-pt dunk from 1 ft (assist by Z. LaVine),,4,109,92,17,2560.0
4:53.0,B. Adebayo misses 2-pt jump shot from 12 ft,109-92, ,,4,109,92,17,2587.0
4:53.0,Offensive rebound by Team,109-92, ,,4,109,92,17,2587.0
4:53.0,Turnover by Team (shot clock),109-92, ,,4,109,92,17,2587.0
4:53.0, ,109-92,D. DeRozan enters the game for T. Craig,,4,109,92,17,2587.0
4:38.0, ,109-94,N. Vučević makes 2-pt hook shot from 4 ft (assist by A. Caruso),,4,109,94,15,2602.0
4:28.0,J. Richardson misses 3-pt jump shot from 25 ft,109-94, ,,4,109,94,15,2612.0
4:28.0, ,109-94,Defensive rebound by N. Vučević,,4,109,94,15,2612.0
4:17.0, ,109-94,D. DeRozan misses 3-pt jump shot from 26 ft,,4,109,94,15,2623.0
4:13.0,Defensive rebound by B. Adebayo,109-94, ,,4,109,94,15,2627.0
4:06.0,Shooting foul by N. Vučević (drawn by B. Adebayo),109-94, ,,4,109,94,15,2634.0
4:06.0,B. Adebayo makes free throw 1 of 2,110-94, ,,4,110,94,16,2634.0
4:06.0,B. Adebayo makes free throw 2 of 2,111-94, ,,4,111,94,17,2634.0
3:57.0, ,111-94,N. Vučević misses 3-pt jump shot from 23 ft,,4,111,94,17,2643.0
3:53.0,Defensive rebound by D. Robinson,111-94, ,,4,111,94,17,2647.0
3:44.0,D. Robinson makes 3-pt jump shot from 27 ft (assist by B. Adebayo),114-94, ,,4,114,94,20,2656.0
3:44.0, ,114-94,Chicago full timeout,,4,114,94,20,2656.0
3:26.0, ,114-94,A. Caruso misses 3-pt jump shot from 24 ft,,4,114,94,20,2674.0
3:24.0, ,114-94,Offensive rebound by Team,,4,114,94,20,2676.0
3:21.0, ,114-94,Turnover by A. Caruso (bad pass; steal by J. Jaquez),,4,114,94,20,2679.0
3:17.0,Turnover by J. Richardson (bad pass),114-94, ,,4,114,94,20,2683.0
3:06.0, ,114-94,N. Vučević misses 2-pt jump shot from 13 ft,,4,114,94,20,2694.0
3:04.0,Defensive rebound by B. Adebayo,114-94, ,,4,114,94,20,2696.0
2:56.0,J. Jaquez makes 2-pt layup from 1 ft (assist by B. Adebayo),116-94, ,,4,116,94,22,2704.0
2:39.0, ,116-94,A. Caruso misses 2-pt jump shot from 9 ft,,4,116,94,22,2721.0
2:37.0,Defensive rebound by B. Adebayo,116-94, ,,4,116,94,22,2723.0
2:28.0,J. Jaquez makes 2-pt dunk at rim (assist by D. Robinson),118-94, ,,4,118,94,24,2732.0
2:28.0, ,118-94,Chicago full timeout,,4,118,94,24,2732.0
2:28.0,O. Robinson enters the game for B. Adebayo,118-94, ,,4,118,94,24,2732.0
2:28.0,D. Smith enters the game for D. Robinson,118-94, ,,4,118,94,24,2732.0
2:28.0, ,118-94,J. Carter enters the game for A. Caruso,,4,118,94,24,2732.0
2:28.0, ,118-94,A. Dosunmu enters the game for D. DeRozan,,4,118,94,24,2732.0
2:28.0, ,118-94,J. Phillips enters the game for Z. LaVine,,4,118,94,24,2732.0
2:28.0, ,118-94,T. Taylor enters the game for N. Vučević,,4,118,94,24,2732.0
2:28.0, ,118-94,P. Williams enters the game for C. White,,4,118,94,24,2732.0
2:09.0, ,118-94,Turnover by P. Williams (bad pass; steal by D. Smith),,4,118,94,24,2751.0
2:00.0,C. Martin misses 3-pt jump shot from 22 ft,118-94, ,,4,118,94,24,2760.0
1:57.0, ,118-94,Defensive rebound by J. Phillips,,4,118,94,24,2763.0
1:50.0, ,118-94,J. Phillips misses 2-pt layup from 1 ft,,4,118,94,24,2770.0
1:48.0,Defensive rebound by D. Smith,118-94, ,,4,118,94,24,2772.0
1:48.0,Personal foul by J. Phillips (drawn by D. Smith),118-94, ,,4,118,94,24,2772.0
1:48.0,H. Highsmith enters the game for J. Jaquez,118-94, ,,4,118,94,24,2772.0
1:32.0,J. Richardson misses 3-pt jump shot from 25 ft,118-94, ,,4,118,94,24,2788.0
1:31.0, ,118-94,Defensive rebound by Team,,4,118,94,24,2789.0
1:09.0, ,118-96,J. Phillips makes 2-pt jump shot from 14 ft (assist by A. Dosunmu),,4,118,96,22,2811.0
0:59.0,D. Smith misses 3-pt jump shot from 25 ft,118-96, ,,4,118,96,22,2821.0
0:57.0, ,118-96,Defensive rebound by P. Williams,,4,118,96,22,2823.0
0:52.0, ,118-98,P. Williams makes 2-pt layup from 1 ft,,4,118,98,20,2828.0
0:29.0,H. Highsmith misses 2-pt jump shot from 8 ft (block by J. Carter),118-98, ,,4,118,98,20,2851.0
0:29.0,Offensive rebound by H. Highsmith,118-98, ,,4,118,98,20,2851.0
0:28.0,Turnover by Team (shot clock),118-98, ,,4,118,98,20,2852.0
0:22.0, ,118-98,Shooting foul by O. Robinson (drawn by A. Dosunmu),,4,118,98,20,2858.0
0:22.0, ,118-99,A. Dosunmu makes free throw 1 of 2,,4,118,99,19,2858.0
0:22.0, ,118-100,A. Dosunmu makes free throw 2 of 2,,4,118,100,18,2858.0
0:00.0,End of 4th quarter,118-100,,,4,118,100,18,2880.0
