Time,Indiana,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:12.0,Indiana full timeout,16-22, ,,1,22,16,6,588.0
1:54.0,B. Mathurin makes 2-pt layup from 6 ft (assist by T. McConnell),18-22, ,,1,22,18,4,606.0
1:48.0, ,18-25,J. Richardson makes 3-pt jump shot from 25 ft (assist by C. Martin),,1,25,18,7,612.0
1:36.0,T. McConnell makes 2-pt jump shot from 13 ft,20-25, ,,1,25,20,5,624.0
1:24.0, ,20-25,Personal foul by B. Sheppard (drawn by J. Jaquez),,1,25,20,5,636.0
1:24.0, ,20-25,D. Robinson enters the game for J. Butler,,1,25,20,5,636.0
1:17.0, ,20-25,J. Jaquez misses 2-pt hook shot from 11 ft,,1,25,20,5,643.0
1:17.0,Defensive rebound by I. Jackson,20-25, ,,1,25,20,5,643.0
1:09.0,T. McConnell makes 2-pt layup from 5 ft,22-25, ,,1,25,22,3,651.0
0:57.0, ,22-27,J. Richardson makes 2-pt jump shot from 6 ft,,1,27,22,5,663.0
0:42.0,Shooting foul by K. Love (drawn by B. Mathurin),22-27, ,,1,27,22,5,678.0
0:42.0,B. Mathurin makes free throw 1 of 2,23-27, ,,1,27,23,4,678.0
0:42.0,B. Mathurin misses free throw 2 of 2,23-27, ,,1,27,23,4,678.0
0:39.0, ,23-27,Defensive rebound by K. Love,,1,27,23,4,681.0
0:33.0, ,23-30,D. Robinson makes 3-pt jump shot from 26 ft,,1,30,23,7,687.0
0:20.0,B. Mathurin makes 2-pt layup from 4 ft (assist by I. Jackson),25-30, ,,1,30,25,5,700.0
0:04.0, ,25-30,Shooting foul by A. Nesmith (drawn by J. Jaquez),,1,30,25,5,716.0
0:04.0, ,25-30,J. Jaquez misses free throw 1 of 2,,1,30,25,5,716.0
0:04.0, ,25-30,Offensive rebound by Team,,1,30,25,5,716.0
0:04.0, ,25-30,J. Cain enters the game for K. Love,,1,30,25,5,716.0
0:04.0, ,25-30,O. Robinson enters the game for C. Martin,,1,30,25,5,716.0
0:04.0, ,25-31,J. Jaquez makes free throw 2 of 2,,1,31,25,6,716.0
0:00.0,T. McConnell misses 2-pt layup from 6 ft,25-31, ,,1,31,25,6,720.0
0:00.0,Offensive rebound by Team,25-31, ,,1,31,25,6,720.0
0:00.0,Instant Replay (Request: Ruling Stands),25-31, ,,1,31,25,6,720.0
0:00.0,End of 1st quarter,25-31,,,1,31,25,6,720.0
12:00.0,Start of 2nd quarter,25-31,,,2,31,25,6,720.0
11:43.0, ,25-34,J. Jaquez makes 3-pt jump shot from 28 ft (assist by J. Richardson),,2,34,25,9,737.0
11:29.0,Personal foul by J. Cain (drawn by T. McConnell),25-34, ,,2,34,25,9,751.0
11:29.0,B. Hield enters the game for I. Jackson,25-34, ,,2,34,25,9,751.0
11:29.0,M. Turner enters the game for B. Sheppard,25-34, ,,2,34,25,9,751.0
11:21.0,B. Mathurin misses 2-pt layup from 6 ft,25-34, ,,2,34,25,9,759.0
11:18.0,Offensive rebound by B. Mathurin,25-34, ,,2,34,25,9,762.0
11:18.0,B. Mathurin makes 2-pt layup from 4 ft,27-34, ,,2,34,27,7,762.0
11:18.0, ,27-34,Turnover by J. Richardson (inbound),,2,34,27,7,762.0
11:13.0,B. Hield makes 2-pt jump shot from 5 ft,29-34, ,,2,34,29,5,767.0
11:01.0, ,29-34,Personal foul by B. Mathurin (drawn by J. Richardson),,2,34,29,5,779.0
10:53.0, ,29-36,O. Robinson makes 2-pt layup from 5 ft,,2,36,29,7,787.0
10:43.0,M. Turner makes 2-pt dunk from 4 ft (assist by T. McConnell),31-36, ,,2,36,31,5,797.0
10:29.0, ,31-36,J. Jaquez misses 2-pt jump shot from 13 ft,,2,36,31,5,811.0
10:28.0,Defensive rebound by B. Mathurin,31-36, ,,2,36,31,5,812.0
10:22.0,T. McConnell makes 2-pt layup from 5 ft,33-36, ,,2,36,33,3,818.0
10:21.0, ,33-36,Miami full timeout,,2,36,33,3,819.0
10:04.0, ,33-36,D. Robinson misses 3-pt jump shot from 27 ft,,2,36,33,3,836.0
10:03.0, ,33-36,Offensive rebound by Team,,2,36,33,3,837.0
9:54.0, ,33-36,Away from play foul by B. Hield (drawn by D. Robinson),,2,36,33,3,846.0
9:54.0, ,33-36,Instant Replay (Request: Ruling Stands),,2,36,33,3,846.0
9:54.0, ,33-37,D. Robinson makes free throw 1 of 1,,2,37,33,4,846.0
9:45.0, ,33-37,J. Jaquez misses 2-pt jump shot from 11 ft,,2,37,33,4,855.0
9:45.0, ,33-37,Offensive rebound by Team,,2,37,33,4,855.0
9:45.0,Loose ball foul by M. Turner (drawn by O. Robinson),33-37, ,,2,37,33,4,855.0
9:35.0, ,33-39,D. Robinson makes 2-pt jump shot from 10 ft (assist by J. Jaquez),,2,39,33,6,865.0
9:19.0,B. Hield misses 3-pt jump shot from 26 ft,33-39, ,,2,39,33,6,881.0
9:16.0, ,33-39,Defensive rebound by O. Robinson,,2,39,33,6,884.0
9:04.0, ,33-39,J. Richardson misses 2-pt layup from 4 ft (block by A. Nesmith),,2,39,33,6,896.0
9:04.0, ,33-39,Offensive rebound by Team,,2,39,33,6,896.0
8:56.0, ,33-41,D. Robinson makes 2-pt jump shot from 9 ft (assist by O. Robinson),,2,41,33,8,904.0
8:45.0,B. Mathurin misses 3-pt jump shot from 27 ft,33-41, ,,2,41,33,8,915.0
8:42.0,Offensive rebound by M. Turner,33-41, ,,2,41,33,8,918.0
8:39.0,B. Hield misses 3-pt jump shot from 25 ft,33-41, ,,2,41,33,8,921.0
8:34.0, ,33-41,Defensive rebound by J. Jaquez,,2,41,33,8,926.0
8:32.0, ,33-41,Turnover by J. Richardson (bad pass; steal by B. Hield),,2,41,33,8,928.0
8:26.0,Shooting foul by O. Robinson (drawn by A. Nesmith),33-41, ,,2,41,33,8,934.0
8:26.0,A. Nesmith misses free throw 1 of 2,33-41, ,,2,41,33,8,934.0
8:26.0,Offensive rebound by Team,33-41, ,,2,41,33,8,934.0
8:26.0,B. Brown enters the game for B. Hield,33-41, ,,2,41,33,8,934.0
8:26.0,A. Nesmith misses free throw 2 of 2,33-41, ,,2,41,33,8,934.0
8:22.0, ,33-41,Defensive rebound by J. Jaquez,,2,41,33,8,938.0
8:04.0, ,33-43,D. Robinson makes 2-pt jump shot from 7 ft,,2,43,33,10,956.0
7:53.0,T. McConnell makes 2-pt jump shot from 8 ft,35-43, ,,2,43,35,8,967.0
7:41.0, ,35-45,J. Richardson makes 2-pt jump shot from 13 ft,,2,45,35,10,979.0
7:22.0,B. Mathurin makes 2-pt layup from 6 ft (assist by T. McConnell),37-45, ,,2,45,37,8,998.0
7:22.0,Shooting foul by J. Cain (drawn by B. Mathurin),37-45, ,,2,45,37,8,998.0
7:22.0,B. Mathurin makes free throw 1 of 1,38-45, ,,2,45,38,7,998.0
7:10.0, ,38-45,Personal foul by M. Turner (drawn by J. Cain),,2,45,38,7,1010.0
7:10.0,I. Jackson enters the game for T. McConnell,38-45, ,,2,45,38,7,1010.0
7:10.0,A. Nembhard enters the game for M. Turner,38-45, ,,2,45,38,7,1010.0
7:10.0, ,38-45,K. Lowry enters the game for J. Cain,,2,45,38,7,1010.0
6:57.0, ,38-45,J. Jaquez misses 3-pt jump shot from 24 ft,,2,45,38,7,1023.0
6:53.0,Defensive rebound by B. Mathurin,38-45, ,,2,45,38,7,1027.0
6:44.0,A. Nesmith makes 3-pt jump shot from 26 ft (assist by B. Mathurin),41-45, ,,2,45,41,4,1036.0
6:28.0, ,41-45,Personal foul by A. Nesmith (drawn by K. Lowry),,2,45,41,4,1052.0
6:28.0, ,41-46,K. Lowry makes free throw 1 of 2,,2,46,41,5,1052.0
6:28.0,O. Toppin enters the game for A. Nesmith,41-46, ,,2,46,41,5,1052.0
6:28.0, ,41-46,J. Butler enters the game for J. Jaquez,,2,46,41,5,1052.0
6:28.0, ,41-46,K. Love enters the game for D. Robinson,,2,46,41,5,1052.0
6:28.0, ,41-46,C. Martin enters the game for O. Robinson,,2,46,41,5,1052.0
6:28.0, ,41-47,K. Lowry makes free throw 2 of 2,,2,47,41,6,1052.0
6:20.0,I. Jackson makes 2-pt dunk from 6 ft (assist by A. Nembhard),43-47, ,,2,47,43,4,1060.0
6:08.0, ,43-47,Personal foul by O. Toppin (drawn by J. Butler),,2,47,43,4,1072.0
6:08.0, ,43-48,J. Butler makes free throw 1 of 2,,2,48,43,5,1072.0
6:08.0, ,43-49,J. Butler makes free throw 2 of 2,,2,49,43,6,1072.0
5:57.0,Turnover by B. Mathurin (bad pass),43-49, ,,2,49,43,6,1083.0
5:45.0, ,43-51,J. Butler makes 2-pt layup from 4 ft (assist by K. Love),,2,51,43,8,1095.0
5:44.0,Indiana full timeout,43-51, ,,2,51,43,8,1096.0
5:44.0,A. Nesmith enters the game for I. Jackson,43-51, ,,2,51,43,8,1096.0
5:31.0,Personal foul by K. Love (drawn by A. Nesmith),43-51, ,,2,51,43,8,1109.0
5:21.0,A. Nesmith makes 3-pt jump shot from 24 ft (assist by B. Brown),46-51, ,,2,51,46,5,1119.0
5:08.0, ,46-54,J. Richardson makes 3-pt jump shot from 27 ft (assist by K. Love),,2,54,46,8,1132.0
4:57.0,O. Toppin makes 2-pt dunk from 5 ft (assist by A. Nesmith),48-54, ,,2,54,48,6,1143.0
4:57.0,Shooting foul by J. Richardson (drawn by O. Toppin),48-54, ,,2,54,48,6,1143.0
4:57.0,O. Toppin makes free throw 1 of 1,49-54, ,,2,54,49,5,1143.0
4:54.0, ,49-54,Turnover by J. Butler (bad pass),,2,54,49,5,1146.0
4:36.0,A. Nesmith makes 2-pt layup from 4 ft (assist by B. Mathurin),51-54, ,,2,54,51,3,1164.0
4:10.0, ,51-54,Turnover by C. Martin (step out of bounds),,2,54,51,3,1190.0
3:59.0,A. Nesmith misses 3-pt jump shot from 24 ft,51-54, ,,2,54,51,3,1201.0
