Time,Miami,Score,New York,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:33.0,Shooting foul by J. Brunson (drawn by J. Richardson),67-51, ,,3,67,51,16,1707.0
7:33.0,J. Richardson makes free throw 1 of 2,68-51, ,,3,68,51,17,1707.0
7:33.0,J. Richardson makes free throw 2 of 2,69-51, ,,3,69,51,18,1707.0
7:15.0, ,69-51,R. Barrett misses 2-pt layup from 5 ft,,3,69,51,18,1725.0
7:14.0, ,69-51,Offensive rebound by M. Robinson,,3,69,51,18,1726.0
7:13.0, ,69-51,Shooting foul by K. Lowry (drawn by M. Robinson),,3,69,51,18,1727.0
7:13.0, ,69-51,M. Robinson misses free throw 1 of 2,,3,69,51,18,1727.0
7:13.0, ,69-51,Offensive rebound by Team,,3,69,51,18,1727.0
7:13.0, ,69-52,M. Robinson makes free throw 2 of 2,,3,69,52,17,1727.0
7:02.0,Turnover by H. Highsmith (bad pass; steal by M. Robinson),69-52, ,,3,69,52,17,1738.0
6:45.0, ,69-54,J. Brunson makes 2-pt jump shot from 3 ft (assist by J. Randle),,3,69,54,15,1755.0
6:28.0,Turnover by B. Adebayo (bad pass; steal by Q. Grimes),69-54, ,,3,69,54,15,1772.0
6:20.0, ,69-56,R. Barrett makes 2-pt layup from 1 ft (assist by J. Brunson),,3,69,56,13,1780.0
6:20.0,Miami full timeout,69-56, ,,3,69,56,13,1780.0
5:58.0,K. Lowry makes 2-pt jump shot from 17 ft,71-56, ,,3,71,56,15,1802.0
5:43.0, ,71-58,R. Barrett makes 2-pt layup from 5 ft,,3,71,58,13,1817.0
5:31.0,J. Richardson misses 2-pt layup from 2 ft,71-58, ,,3,71,58,13,1829.0
5:29.0,Offensive rebound by B. Adebayo,71-58, ,,3,71,58,13,1831.0
5:29.0,B. Adebayo makes 2-pt layup at rim,73-58, ,,3,73,58,15,1831.0
5:13.0, ,73-60,J. Brunson makes 2-pt jump shot from 14 ft,,3,73,60,13,1847.0
5:01.0,Personal foul by R. Barrett (drawn by B. Adebayo),73-60, ,,3,73,60,13,1859.0
5:01.0,J. Jaquez enters the game for B. Adebayo,73-60, ,,3,73,60,13,1859.0
