Time,Brooklyn,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:05.0,B. Simmons enters the game for T. Watford,28-31, ,,1,31,28,3,715.0
0:05.0,L. Walker makes free throw 3 of 3,29-31, ,,1,31,29,2,715.0
0:01.0, ,29-31,Shooting foul by B. Simmons (drawn by J. Richardson),,1,31,29,2,719.0
0:01.0, ,29-31,Instant Replay (Request: Ruling Stands),,1,31,29,2,719.0
0:01.0, ,29-32,J. Richardson makes free throw 1 of 2,,1,32,29,3,719.0
0:01.0, ,29-32,J. Richardson misses free throw 2 of 2,,1,32,29,3,719.0
0:01.0,Defensive rebound by B. Simmons,29-32, ,,1,32,29,3,719.0
0:00.0,End of 1st quarter,29-32,,,1,32,29,3,720.0
12:00.0,Start of 2nd quarter,29-32,,,2,32,29,3,720.0
11:49.0,Personal foul by T. Bryant (drawn by B. Simmons),29-32, ,,2,32,29,3,731.0
11:38.0,D. Finney-Smith misses 2-pt layup from 2 ft,29-32, ,,2,32,29,3,742.0
11:36.0,Offensive rebound by M. Bridges,29-32, ,,2,32,29,3,744.0
11:34.0,M. Bridges misses 3-pt jump shot from 25 ft,29-32, ,,2,32,29,3,746.0
11:30.0, ,29-32,Defensive rebound by D. Robinson,,2,32,29,3,750.0
11:23.0, ,29-34,T. Bryant makes 2-pt dunk from 1 ft (assist by D. Robinson),,2,34,29,5,757.0
11:10.0,M. Bridges misses 2-pt layup from 3 ft,29-34, ,,2,34,29,5,770.0
11:07.0, ,29-34,Defensive rebound by T. Bryant,,2,34,29,5,773.0
11:03.0, ,29-34,Offensive foul by T. Bryant (drawn by M. Bridges),,2,34,29,5,777.0
11:03.0, ,29-34,Turnover by T. Bryant (offensive foul),,2,34,29,5,777.0
10:52.0,C. Thomas misses 2-pt jump shot from 16 ft,29-34, ,,2,34,29,5,788.0
10:48.0, ,29-34,Defensive rebound by H. Highsmith,,2,34,29,5,792.0
10:37.0, ,29-37,T. Herro makes 3-pt jump shot from 27 ft,,2,37,29,8,803.0
10:16.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,29-37, ,,2,37,29,8,824.0
10:13.0, ,29-37,Defensive rebound by D. Robinson,,2,37,29,8,827.0
10:03.0, ,29-37,D. Robinson misses 2-pt layup from 6 ft,,2,37,29,8,837.0
10:00.0,Defensive rebound by R. O'Neale,29-37, ,,2,37,29,8,840.0
9:55.0,Turnover by C. Thomas (lost ball; steal by T. Bryant),29-37, ,,2,37,29,8,845.0
9:45.0, ,29-39,T. Herro makes 2-pt jump shot from 13 ft (assist by H. Highsmith),,2,39,29,10,855.0
9:33.0,Personal foul by D. Robinson (drawn by C. Thomas),29-39, ,,2,39,29,10,867.0
9:23.0,R. O'Neale misses 3-pt jump shot from 25 ft,29-39, ,,2,39,29,10,877.0
9:20.0, ,29-39,Defensive rebound by T. Bryant,,2,39,29,10,880.0
9:00.0, ,29-39,Turnover by H. Highsmith (bad pass; steal by M. Bridges),,2,39,29,10,900.0
8:56.0,D. Finney-Smith misses 2-pt dunk from 3 ft (block by H. Highsmith),29-39, ,,2,39,29,10,904.0
8:55.0, ,29-39,Defensive rebound by T. Herro,,2,39,29,10,905.0
8:54.0, ,29-39,Instant Replay (Challenge: Ruling Stands),,2,39,29,10,906.0
8:54.0, ,29-39,Miami full timeout,,2,39,29,10,906.0
8:33.0, ,29-39,T. Bryant misses 2-pt jump shot from 16 ft,,2,39,29,10,927.0
8:32.0, ,29-39,Offensive rebound by Team,,2,39,29,10,928.0
8:31.0, ,29-39,Turnover by Team (shot clock),,2,39,29,10,929.0
8:15.0,R. O'Neale misses 2-pt jump shot from 11 ft,29-39, ,,2,39,29,10,945.0
8:11.0, ,29-39,Defensive rebound by T. Herro,,2,39,29,10,949.0
8:08.0, ,29-39,T. Herro misses 3-pt jump shot from 26 ft,,2,39,29,10,952.0
8:04.0,Defensive rebound by B. Simmons,29-39, ,,2,39,29,10,956.0
7:56.0,C. Thomas makes 3-pt jump shot from 25 ft (assist by M. Bridges),32-39, ,,2,39,32,7,964.0
7:43.0, ,32-39,Turnover by T. Herro (lost ball; steal by C. Thomas),,2,39,32,7,977.0
7:38.0,C. Thomas misses 2-pt jump shot from 22 ft,32-39, ,,2,39,32,7,982.0
7:35.0, ,32-39,Defensive rebound by J. Richardson,,2,39,32,7,985.0
7:33.0, ,32-41,T. Herro makes 2-pt layup from 1 ft (assist by J. Richardson),,2,41,32,9,987.0
7:21.0,B. Simmons makes 2-pt jump shot from 3 ft,34-41, ,,2,41,34,7,999.0
7:10.0, ,34-41,J. Richardson misses 3-pt jump shot from 26 ft,,2,41,34,7,1010.0
7:09.0, ,34-41,Offensive rebound by T. Bryant,,2,41,34,7,1011.0
7:07.0, ,34-41,Shooting foul by D. Finney-Smith (drawn by T. Bryant),,2,41,34,7,1013.0
7:07.0, ,34-42,T. Bryant makes free throw 1 of 2,,2,42,34,8,1013.0
7:07.0,L. Walker enters the game for R. O'Neale,34-42, ,,2,42,34,8,1013.0
7:07.0,J. Wilson enters the game for C. Thomas,34-42, ,,2,42,34,8,1013.0
7:07.0, ,34-42,J. Butler enters the game for T. Herro,,2,42,34,8,1013.0
7:07.0, ,34-43,T. Bryant makes free throw 2 of 2,,2,43,34,9,1013.0
6:52.0,M. Bridges makes 2-pt layup from 2 ft,36-43, ,,2,43,36,7,1028.0
6:25.0, ,36-43,J. Richardson misses 2-pt jump shot from 14 ft,,2,43,36,7,1055.0
6:21.0,Defensive rebound by J. Wilson,36-43, ,,2,43,36,7,1059.0
