Time,Minnesota,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:54.0,Defensive rebound by N. Reid,12-22, ,,1,22,12,10,486.0
3:42.0,Turnover by N. Reid (bad pass; steal by T. Herro),12-22, ,,1,22,12,10,498.0
3:40.0, ,12-22,Personal foul by J. McDaniels (drawn by T. Herro),,1,22,12,10,500.0
3:40.0, ,12-23,T. Herro makes free throw 1 of 2,,1,23,12,11,500.0
3:40.0,N. Alexander-Walker enters the game for R. Gobert,12-23, ,,1,23,12,11,500.0
3:40.0, ,12-23,J. Richardson enters the game for C. Martin,,1,23,12,11,500.0
3:40.0, ,12-24,T. Herro makes free throw 2 of 2,,1,24,12,12,500.0
3:23.0,K. Anderson makes 2-pt jump shot from 11 ft (assist by A. Edwards),14-24, ,,1,24,14,10,517.0
2:59.0, ,14-27,J. Butler makes 3-pt jump shot from 26 ft (assist by J. Richardson),,1,27,14,13,541.0
2:40.0,A. Edwards makes 2-pt layup from 5 ft (assist by K. Anderson),16-27, ,,1,27,16,11,560.0
2:17.0, ,16-27,K. Love misses 3-pt jump shot from 27 ft,,1,27,16,11,583.0
2:13.0,Defensive rebound by N. Reid,16-27, ,,1,27,16,11,587.0
2:03.0,Shooting foul by K. Love (drawn by N. Reid),16-27, ,,1,27,16,11,597.0
2:03.0,Minnesota full timeout,16-27, ,,1,27,16,11,597.0
2:03.0,T. Brown enters the game for A. Edwards,16-27, ,,1,27,16,11,597.0
2:03.0,K. Towns enters the game for J. McDaniels,16-27, ,,1,27,16,11,597.0
2:03.0, ,16-27,B. Adebayo enters the game for T. Herro,,1,27,16,11,597.0
2:03.0, ,16-27,D. Robinson enters the game for K. Love,,1,27,16,11,597.0
2:03.0,N. Reid makes free throw 1 of 2,17-27, ,,1,27,17,10,597.0
2:03.0,N. Reid makes free throw 2 of 2,18-27, ,,1,27,18,9,597.0
1:49.0, ,18-27,Turnover by B. Adebayo (bad pass; steal by N. Reid),,1,27,18,9,611.0
1:43.0,K. Towns makes 2-pt layup from 3 ft (assist by K. Anderson),20-27, ,,1,27,20,7,617.0
1:26.0, ,20-29,J. Butler makes 2-pt layup from 5 ft,,1,29,20,9,634.0
1:26.0, ,20-29,Shooting foul by K. Towns (drawn by J. Butler),,1,29,20,9,634.0
1:26.0, ,20-30,J. Butler makes free throw 1 of 1,,1,30,20,10,634.0
1:05.0,N. Alexander-Walker misses 3-pt jump shot from 24 ft,20-30, ,,1,30,20,10,655.0
1:01.0,Offensive rebound by K. Towns,20-30, ,,1,30,20,10,659.0
1:00.0,K. Towns misses 2-pt layup from 2 ft (block by J. Jaquez),20-30, ,,1,30,20,10,660.0
1:00.0,Offensive rebound by N. Alexander-Walker,20-30, ,,1,30,20,10,660.0
0:59.0,N. Alexander-Walker misses 2-pt layup from 5 ft (block by J. Jaquez),20-30, ,,1,30,20,10,661.0
0:58.0, ,20-30,Defensive rebound by J. Richardson,,1,30,20,10,662.0
0:51.0, ,20-32,J. Richardson makes 2-pt layup from 5 ft,,1,32,20,12,669.0
0:38.0,N. Reid misses 2-pt hook shot from 8 ft,20-32, ,,1,32,20,12,682.0
0:37.0, ,20-32,Defensive rebound by J. Butler,,1,32,20,12,683.0
0:37.0, ,20-32,Personal foul by N. Reid (drawn by J. Butler),,1,32,20,12,683.0
0:37.0, ,20-32,J. Butler misses free throw 1 of 2,,1,32,20,12,683.0
0:37.0, ,20-32,Offensive rebound by Team,,1,32,20,12,683.0
0:37.0, ,20-33,J. Butler makes free throw 2 of 2,,1,33,20,13,683.0
0:30.0,K. Towns misses 3-pt jump shot from 26 ft,20-33, ,,1,33,20,13,690.0
0:27.0, ,20-33,Defensive rebound by Team,,1,33,20,13,693.0
0:27.0,Violation by Team (kicked ball),20-33, ,,1,33,20,13,693.0
0:27.0,R. Gobert enters the game for K. Towns,20-33, ,,1,33,20,13,693.0
0:27.0, ,20-33,H. Highsmith enters the game for J. Butler,,1,33,20,13,693.0
0:20.0,Violation by Team (kicked ball),20-33, ,,1,33,20,13,700.0
0:14.0, ,20-33,Turnover by J. Richardson (traveling),,1,33,20,13,706.0
0:14.0,K. Towns enters the game for R. Gobert,20-33, ,,1,33,20,13,706.0
0:01.0,N. Reid makes 2-pt layup from 1 ft (assist by N. Alexander-Walker),22-33, ,,1,33,22,11,719.0
0:00.0, ,22-33,J. Richardson misses 3-pt jump shot from 63 ft,,1,33,22,11,720.0
0:00.0, ,22-33,Offensive rebound by Team,,1,33,22,11,720.0
0:00.0,End of 1st quarter,22-33,,,1,33,22,11,720.0
12:00.0,Start of 2nd quarter,22-33,,,2,33,22,11,720.0
11:59.0,Personal foul by H. Highsmith (drawn by K. Anderson),22-33, ,,2,33,22,11,721.0
11:48.0,K. Towns misses 3-pt jump shot from 26 ft,22-33, ,,2,33,22,11,732.0
11:45.0, ,22-33,Defensive rebound by D. Robinson,,2,33,22,11,735.0
