Time,Miami,Score,Memphis,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:25.0,J. Butler misses 3-pt jump shot from 26 ft,71-64, ,,3,71,64,7,1775.0
6:25.0,Offensive rebound by Team,71-64, ,,3,71,64,7,1775.0
6:25.0, ,71-64,Loose ball foul by M. Smart (drawn by B. Adebayo),,3,71,64,7,1775.0
6:25.0, ,71-64,Memphis full timeout,,3,71,64,7,1775.0
6:25.0, ,71-64,L. Kennard enters the game for Z. Williams,,3,71,64,7,1775.0
6:19.0,Turnover by B. Adebayo (bad pass; steal by M. Smart),71-64, ,,3,71,64,7,1781.0
6:14.0, ,71-64,Offensive foul by M. Smart (drawn by J. Butler),,3,71,64,7,1786.0
6:14.0, ,71-64,Turnover by M. Smart (offensive foul),,3,71,64,7,1786.0
6:00.0,J. Butler misses 2-pt jump shot from 5 ft,71-64, ,,3,71,64,7,1800.0
6:00.0, ,71-64,Defensive rebound by Team,,3,71,64,7,1800.0
