Time,Miami,Score,Phoenix,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:52.0, ,65-83,B. Bol enters the game for B. Beal,,3,65,83,-18,1808.0
5:52.0, ,65-83,J. Okogie enters the game for C. Metu,,3,65,83,-18,1808.0
5:40.0,T. Herro misses 2-pt jump shot from 3 ft,65-83, ,,3,65,83,-18,1820.0
5:38.0, ,65-83,Defensive rebound by B. Bol,,3,65,83,-18,1822.0
5:27.0, ,65-83,J. Nurkić misses 2-pt layup from 2 ft,,3,65,83,-18,1833.0
5:25.0,Defensive rebound by B. Adebayo,65-83, ,,3,65,83,-18,1835.0
5:18.0,K. Lowry misses 3-pt jump shot from 24 ft,65-83, ,,3,65,83,-18,1842.0
5:13.0, ,65-83,Defensive rebound by J. Nurkić,,3,65,83,-18,1847.0
5:05.0, ,65-83,D. Booker misses 3-pt jump shot from 25 ft,,3,65,83,-18,1855.0
5:02.0,Defensive rebound by B. Adebayo,65-83, ,,3,65,83,-18,1858.0
4:56.0,B. Adebayo makes 2-pt jump shot from 13 ft (assist by J. Richardson),67-83, ,,3,67,83,-16,1864.0
4:38.0, ,67-83,Turnover by G. Allen (bad pass; steal by J. Richardson),,3,67,83,-16,1882.0
4:28.0,J. Richardson misses 3-pt jump shot from 26 ft,67-83, ,,3,67,83,-16,1892.0
4:25.0, ,67-83,Defensive rebound by D. Booker,,3,67,83,-16,1895.0
4:06.0, ,67-83,Turnover by G. Allen (bad pass; steal by J. Jaquez),,3,67,83,-16,1914.0
4:02.0,Turnover by J. Jaquez (bad pass; steal by D. Booker),67-83, ,,3,67,83,-16,1918.0
3:55.0, ,67-83,Turnover by D. Booker (bad pass; steal by J. Richardson),,3,67,83,-16,1925.0
3:47.0,J. Richardson misses 2-pt layup from 3 ft,67-83, ,,3,67,83,-16,1933.0
3:45.0, ,67-83,Defensive rebound by D. Booker,,3,67,83,-16,1935.0
3:42.0, ,67-83,Phoenix full timeout,,3,67,83,-16,1938.0
3:42.0,K. Love enters the game for B. Adebayo,67-83, ,,3,67,83,-16,1938.0
3:42.0,D. Robinson enters the game for K. Lowry,67-83, ,,3,67,83,-16,1938.0
3:42.0, ,67-83,D. Eubanks enters the game for J. Nurkić,,3,67,83,-16,1938.0
3:31.0, ,67-83,Personal foul by T. Herro (drawn by G. Allen),,3,67,83,-16,1949.0
3:20.0, ,67-83,G. Allen misses 3-pt jump shot from 28 ft,,3,67,83,-16,1960.0
3:17.0,Defensive rebound by T. Herro,67-83, ,,3,67,83,-16,1963.0
3:14.0,J. Jaquez makes 2-pt layup from 1 ft,69-83, ,,3,69,83,-14,1966.0
3:14.0, ,69-83,B. Beal enters the game for G. Allen,,3,69,83,-14,1966.0
2:58.0, ,69-85,B. Bol makes 2-pt jump shot from 15 ft (assist by B. Beal),,3,69,85,-16,1982.0
2:47.0,Turnover by D. Robinson (traveling),69-85, ,,3,69,85,-16,1993.0
2:47.0,J. Cain enters the game for J. Jaquez,69-85, ,,3,69,85,-16,1993.0
2:34.0, ,69-85,Shooting foul by D. Robinson (drawn by J. Okogie),,3,69,85,-16,2006.0
2:34.0, ,69-86,J. Okogie makes free throw 1 of 2,,3,69,86,-17,2006.0
