Time,Memphis,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:50.0,Defensive rebound by J. Konchar,30-29, ,,2,29,30,-1,1030.0
6:36.0,Personal foul by T. Bryant (drawn by G. Jackson),30-29, ,,2,29,30,-1,1044.0
6:23.0,Shooting foul by C. Martin (drawn by G. Jackson),30-29, ,,2,29,30,-1,1057.0
6:23.0,G. Jackson makes free throw 1 of 2,31-29, ,,2,29,31,-2,1057.0
6:23.0,J. Gilyard enters the game for S. Pippen ,31-29, ,,2,29,31,-2,1057.0
6:23.0,G. Jackson misses free throw 2 of 2,31-29, ,,2,29,31,-2,1057.0
6:20.0,Offensive rebound by J. Konchar,31-29, ,,2,29,31,-2,1060.0
6:14.0,Turnover by G. Jackson (lost ball; steal by T. Rozier),31-29, ,,2,29,31,-2,1066.0
6:09.0, ,31-29,Shooting foul by V. Williams (drawn by J. Butler),,2,29,31,-2,1071.0
6:09.0, ,31-30,J. Butler makes free throw 1 of 2,,2,30,31,-1,1071.0
6:09.0, ,31-31,J. Butler makes free throw 2 of 2,Tie,2,31,31,0,1071.0
5:52.0,V. Williams makes 3-pt jump shot from 24 ft (assist by J. Konchar),34-31, ,,2,31,34,-3,1088.0
5:34.0, ,34-31,Shooting foul by G. Jackson (drawn by C. Martin),,2,31,34,-3,1106.0
5:34.0, ,34-32,C. Martin makes free throw 1 of 2,,2,32,34,-2,1106.0
5:34.0, ,34-33,C. Martin makes free throw 2 of 2,,2,33,34,-1,1106.0
5:17.0,Turnover by J. Jackson (bad pass),34-33, ,,2,33,34,-1,1123.0
5:17.0,Z. Williams enters the game for J. Konchar,34-33, ,,2,33,34,-1,1123.0
5:00.0, ,34-33,T. Herro misses 2-pt jump shot from 17 ft,,2,33,34,-1,1140.0
4:59.0, ,34-33,Offensive rebound by J. Butler,,2,33,34,-1,1141.0
4:55.0, ,34-33,Turnover by J. Butler (back court),,2,33,34,-1,1145.0
4:45.0,Z. Williams misses 3-pt jump shot from 26 ft,34-33, ,,2,33,34,-1,1155.0
4:41.0, ,34-33,Defensive rebound by T. Herro,,2,33,34,-1,1159.0
4:33.0, ,34-36,J. Butler makes 3-pt jump shot from 23 ft (assist by T. Rozier),Lead change,2,36,34,2,1167.0
4:10.0,V. Williams makes 2-pt layup from 2 ft (assist by G. Jackson),36-36, ,Tie,2,36,36,0,1190.0
3:54.0, ,36-36,Turnover by T. Herro (bad pass; steal by Z. Williams),,2,36,36,0,1206.0
3:48.0,G. Jackson makes 3-pt jump shot from 25 ft (assist by J. Gilyard),39-36, ,Lead change,2,36,39,-3,1212.0
3:33.0, ,39-36,T. Rozier misses 2-pt jump shot from 4 ft,,2,36,39,-3,1227.0
3:29.0,Defensive rebound by J. Jackson,39-36, ,,2,36,39,-3,1231.0
3:25.0,V. Williams makes 3-pt jump shot from 26 ft (assist by J. Gilyard),42-36, ,,2,36,42,-6,1235.0
3:24.0, ,42-36,Miami full timeout,,2,36,42,-6,1236.0
3:24.0, ,42-36,B. Adebayo enters the game for T. Bryant,,2,36,42,-6,1236.0
3:24.0, ,42-36,J. Richardson enters the game for T. Rozier,,2,36,42,-6,1236.0
3:06.0, ,42-36,Shooting foul by V. Williams (drawn by B. Adebayo),,2,36,42,-6,1254.0
3:06.0, ,42-37,B. Adebayo makes free throw 1 of 2,,2,37,42,-5,1254.0
3:06.0,D. Roddy enters the game for V. Williams,42-37, ,,2,37,42,-5,1254.0
3:06.0, ,42-37,B. Adebayo misses free throw 2 of 2,,2,37,42,-5,1254.0
3:03.0,Defensive rebound by Z. Williams,42-37, ,,2,37,42,-5,1257.0
2:51.0,G. Jackson makes 2-pt layup from 1 ft (assist by J. Gilyard),44-37, ,,2,37,44,-7,1269.0
2:39.0, ,44-39,J. Richardson makes 2-pt jump shot from 8 ft,,2,39,44,-5,1281.0
2:24.0,Z. Williams misses 2-pt layup from 2 ft,44-39, ,,2,39,44,-5,1296.0
2:22.0, ,44-39,Defensive rebound by J. Butler,,2,39,44,-5,1298.0
2:18.0, ,44-39,C. Martin misses 3-pt jump shot from 24 ft,,2,39,44,-5,1302.0
2:13.0,Defensive rebound by J. Jackson,44-39, ,,2,39,44,-5,1307.0
2:07.0,D. Roddy misses 3-pt jump shot from 29 ft,44-39, ,,2,39,44,-5,1313.0
2:04.0,Offensive rebound by Z. Williams,44-39, ,,2,39,44,-5,1316.0
2:03.0,Z. Williams misses 2-pt layup from 1 ft (block by J. Richardson),44-39, ,,2,39,44,-5,1317.0
2:03.0, ,44-39,Defensive rebound by J. Richardson,,2,39,44,-5,1317.0
1:48.0, ,44-39,J. Richardson misses 3-pt jump shot from 27 ft,,2,39,44,-5,1332.0
1:47.0,Defensive rebound by Team,44-39, ,,2,39,44,-5,1333.0
1:47.0,J. Konchar enters the game for Z. Williams,44-39, ,,2,39,44,-5,1333.0
1:35.0,G. Jackson makes 3-pt jump shot from 23 ft (assist by J. Gilyard),47-39, ,,2,39,47,-8,1345.0
1:21.0, ,47-41,T. Herro makes 2-pt jump shot from 6 ft (assist by B. Adebayo),,2,41,47,-6,1359.0
1:00.0,J. Jackson misses 2-pt jump shot from 6 ft,47-41, ,,2,41,47,-6,1380.0
0:56.0,Offensive rebound by J. Konchar,47-41, ,,2,41,47,-6,1384.0
0:56.0,J. Konchar makes 2-pt layup at rim,49-41, ,,2,41,49,-8,1384.0
0:44.0, ,49-41,J. Butler misses 3-pt jump shot from 23 ft,,2,41,49,-8,1396.0
0:41.0,Defensive rebound by G. Jackson,49-41, ,,2,41,49,-8,1399.0
0:34.0,Turnover by J. Gilyard (bad pass),49-41, ,,2,41,49,-8,1406.0
0:23.0, ,49-41,Personal foul by D. Roddy (drawn by B. Adebayo),,2,41,49,-8,1417.0
0:23.0, ,49-42,B. Adebayo makes free throw 1 of 2,,2,42,49,-7,1417.0
0:23.0, ,49-42,H. Highsmith enters the game for J. Richardson,,2,42,49,-7,1417.0
0:23.0, ,49-42,B. Adebayo misses free throw 2 of 2,,2,42,49,-7,1417.0
0:22.0,Defensive rebound by J. Konchar,49-42, ,,2,42,49,-7,1418.0
0:03.0,Turnover by D. Roddy (step out of bounds),49-42, ,,2,42,49,-7,1437.0
0:01.0, ,49-42,B. Adebayo misses 3-pt jump shot from 29 ft,,2,42,49,-7,1439.0
0:00.0, ,49-42,Offensive rebound by Team,,2,42,49,-7,1440.0
0:00.0,End of 2nd quarter,49-42,,,2,42,49,-7,1440.0
12:00.0,Start of 3rd quarter,49-42,,,3,42,49,-7,1440.0
11:44.0, ,49-42,Turnover by J. Richardson (bad pass; steal by J. Jackson),,3,42,49,-7,1456.0
11:41.0,J. Jackson misses 2-pt layup from 2 ft (block by B. Adebayo),49-42, ,,3,42,49,-7,1459.0
11:37.0, ,49-42,Defensive rebound by T. Herro,,3,42,49,-7,1463.0
11:32.0, ,49-45,H. Highsmith makes 3-pt jump shot from 25 ft (assist by J. Butler),,3,45,49,-4,1468.0
11:10.0,V. Williams makes 3-pt jump shot from 24 ft (assist by J. Jackson),52-45, ,,3,45,52,-7,1490.0
10:56.0, ,52-47,B. Adebayo makes 2-pt dunk from 2 ft (assist by T. Herro),,3,47,52,-5,1504.0
10:44.0,J. Jackson misses 2-pt layup from 1 ft (block by H. Highsmith),52-47, ,,3,47,52,-5,1516.0
10:44.0,Offensive rebound by Team,52-47, ,,3,47,52,-5,1516.0
10:39.0,J. Jackson makes 2-pt hook shot from 17 ft,54-47, ,,3,47,54,-7,1521.0
10:39.0,Shooting foul by B. Adebayo (drawn by J. Jackson),54-47, ,,3,47,54,-7,1521.0
10:39.0,J. Jackson makes free throw 1 of 1,55-47, ,,3,47,55,-8,1521.0
10:29.0, ,55-50,J. Richardson makes 3-pt jump shot from 28 ft,,3,50,55,-5,1531.0
10:17.0,J. Jackson misses 3-pt jump shot from 26 ft,55-50, ,,3,50,55,-5,1543.0
10:14.0, ,55-50,Defensive rebound by J. Richardson,,3,50,55,-5,1546.0
