Time,Miami,Score,Dallas,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:17.0,C. Martin makes free throw 2 of 2,57-52, ,,2,57,52,5,1363.0
0:57.0, ,57-52,M. Kleber misses 2-pt layup from 6 ft,,2,57,52,5,1383.0
0:55.0,Defensive rebound by B. Adebayo,57-52, ,,2,57,52,5,1385.0
0:41.0,J. Butler misses 2-pt layup from 4 ft (block by M. Kleber),57-52, ,,2,57,52,5,1399.0
0:38.0, ,57-52,Defensive rebound by Team,,2,57,52,5,1402.0
0:38.0,Jump ball: M. Kleber vs. J. Butler (L. Dončić gains possession),57-52,,,2,57,52,5,1402.0
0:36.0, ,57-54,K. Irving makes 2-pt layup from 1 ft (assist by L. Dončić),,2,57,54,3,1404.0
0:15.0,C. Martin misses 3-pt jump shot from 22 ft,57-54, ,,2,57,54,3,1425.0
0:13.0,Offensive rebound by B. Adebayo,57-54, ,,2,57,54,3,1427.0
0:11.0,Shooting foul by P. Washington (drawn by B. Adebayo),57-54, ,,2,57,54,3,1429.0
0:11.0,B. Adebayo misses free throw 1 of 2,57-54, ,,2,57,54,3,1429.0
0:11.0,Offensive rebound by Team,57-54, ,,2,57,54,3,1429.0
0:11.0,H. Highsmith enters the game for C. Martin,57-54, ,,2,57,54,3,1429.0
0:11.0,J. Jaquez enters the game for D. Robinson,57-54, ,,2,57,54,3,1429.0
0:11.0,B. Adebayo makes free throw 2 of 2,58-54, ,,2,58,54,4,1429.0
0:02.0, ,58-54,Turnover by L. Dončić (traveling),,2,58,54,4,1438.0
0:02.0,D. Robinson enters the game for H. Highsmith,58-54, ,,2,58,54,4,1438.0
0:00.0,B. Adebayo misses 3-pt jump shot from 33 ft,58-54, ,,2,58,54,4,1440.0
0:00.0,Offensive rebound by Team,58-54, ,,2,58,54,4,1440.0
0:00.0,End of 2nd quarter,58-54,,,2,58,54,4,1440.0
12:00.0,Start of 3rd quarter,58-54,,,3,58,54,4,1440.0
11:45.0, ,58-54,L. Dončić misses 3-pt jump shot from 26 ft,,3,58,54,4,1455.0
