Time,Detroit,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:41.0, ,40-47,J. Smith enters the game for T. Eason,,2,40,47,-7,1039.0
6:41.0, ,40-47,F. VanVleet enters the game for A. Thompson,,2,40,47,-7,1039.0
6:41.0, ,40-47,J. Green misses free throw 2 of 2,,2,40,47,-7,1039.0
6:41.0,Defensive rebound by J. Duren,40-47, ,,2,40,47,-7,1039.0
6:21.0,A. Burks misses 3-pt jump shot from 27 ft,40-47, ,,2,40,47,-7,1059.0
6:17.0,Offensive rebound by J. Ivey,40-47, ,,2,40,47,-7,1063.0
6:14.0,J. Duren misses 2-pt layup from 4 ft (block by J. Smith),40-47, ,,2,40,47,-7,1066.0
6:11.0, ,40-47,Defensive rebound by R. Bullock,,2,40,47,-7,1069.0
6:06.0, ,40-47,J. Tate misses 3-pt jump shot from 25 ft,,2,40,47,-7,1074.0
6:05.0,Defensive rebound by K. Hayes,40-47, ,,2,40,47,-7,1075.0
5:56.0,K. Hayes misses 2-pt jump shot from 6 ft,40-47, ,,2,40,47,-7,1084.0
5:54.0, ,40-47,Defensive rebound by J. Smith,,2,40,47,-7,1086.0
5:49.0, ,40-47,Turnover by J. Green (out of bounds lost ball),,2,40,47,-7,1091.0
5:49.0,K. Knox enters the game for K. Hayes,40-47, ,,2,40,47,-7,1091.0
5:49.0, ,40-47,J. Green enters the game for J. Green,,2,40,47,-7,1091.0
5:49.0, ,40-47,A. Sengun enters the game for J. Tate,,2,40,47,-7,1091.0
5:41.0,Turnover by C. Cunningham (bad pass),40-47, ,,2,40,47,-7,1099.0
5:25.0, ,40-50,J. Smith makes 3-pt jump shot from 25 ft,,2,40,50,-10,1115.0
5:08.0,J. Ivey makes 2-pt layup from 2 ft (assist by C. Cunningham),42-50, ,,2,42,50,-8,1132.0
4:54.0, ,42-50,J. Green misses 3-pt jump shot from 27 ft,,2,42,50,-8,1146.0
4:53.0, ,42-50,Offensive rebound by A. Sengun,,2,42,50,-8,1147.0
4:49.0, ,42-50,J. Green misses 2-pt layup from 2 ft (block by A. Burks),,2,42,50,-8,1151.0
4:46.0,Defensive rebound by J. Duren,42-50, ,,2,42,50,-8,1154.0
4:43.0,Shooting foul by A. Sengun (drawn by A. Burks),42-50, ,,2,42,50,-8,1157.0
4:43.0,A. Burks makes free throw 1 of 2,43-50, ,,2,43,50,-7,1157.0
4:43.0, ,43-50,J. Tate enters the game for R. Bullock,,2,43,50,-7,1157.0
4:43.0,A. Burks makes free throw 2 of 2,44-50, ,,2,44,50,-6,1157.0
4:21.0, ,44-50,Turnover by A. Sengun (lost ball; steal by A. Burks),,2,44,50,-6,1179.0
4:18.0,Offensive foul by A. Burks (drawn by F. VanVleet),44-50, ,,2,44,50,-6,1182.0
4:18.0,Turnover by A. Burks (offensive foul),44-50, ,,2,44,50,-6,1182.0
4:10.0, ,44-53,F. VanVleet makes 3-pt jump shot from 26 ft,,2,44,53,-9,1190.0
3:57.0,A. Burks makes 3-pt jump shot from 22 ft (assist by J. Ivey),47-53, ,,2,47,53,-6,1203.0
3:34.0, ,47-53,J. Smith misses 2-pt dunk at rim,,2,47,53,-6,1226.0
3:31.0,Defensive rebound by J. Duren,47-53, ,,2,47,53,-6,1229.0
3:31.0,Personal foul by J. Tate (drawn by J. Duren),47-53, ,,2,47,53,-6,1229.0
3:17.0,A. Burks misses 2-pt layup from 9 ft,47-53, ,,2,47,53,-6,1243.0
3:15.0, ,47-53,Defensive rebound by J. Tate,,2,47,53,-6,1245.0
3:03.0, ,47-55,A. Sengun makes 2-pt layup from 3 ft (assist by F. VanVleet),,2,47,55,-8,1257.0
2:47.0,C. Cunningham misses 3-pt jump shot from 24 ft,47-55, ,,2,47,55,-8,1273.0
2:45.0, ,47-55,Defensive rebound by Team,,2,47,55,-8,1275.0
2:45.0, ,47-55,Houston full timeout,,2,47,55,-8,1275.0
2:45.0,B. Bogdanović enters the game for A. Burks,47-55, ,,2,47,55,-8,1275.0
2:25.0, ,47-57,F. VanVleet makes 2-pt jump shot from 9 ft,,2,47,57,-10,1295.0
2:05.0,J. Duren makes 2-pt hook shot from 7 ft (assist by C. Cunningham),49-57, ,,2,49,57,-8,1315.0
1:53.0, ,49-57,F. VanVleet misses 3-pt jump shot from 25 ft,,2,49,57,-8,1327.0
1:52.0,Defensive rebound by J. Duren,49-57, ,,2,49,57,-8,1328.0
1:41.0,B. Bogdanović misses 2-pt jump shot from 16 ft,49-57, ,,2,49,57,-8,1339.0
1:40.0,Offensive rebound by J. Ivey,49-57, ,,2,49,57,-8,1340.0
1:40.0,J. Ivey makes 2-pt layup at rim,51-57, ,,2,51,57,-6,1340.0
1:22.0, ,51-57,A. Sengun misses 3-pt jump shot from 25 ft,,2,51,57,-6,1358.0
1:20.0,Defensive rebound by J. Duren,51-57, ,,2,51,57,-6,1360.0
1:08.0,J. Duren makes 2-pt dunk from 3 ft (assist by C. Cunningham),53-57, ,,2,53,57,-4,1372.0
0:47.0, ,53-57,J. Green misses 3-pt jump shot from 26 ft,,2,53,57,-4,1393.0
0:46.0, ,53-57,Offensive rebound by Team,,2,53,57,-4,1394.0
0:46.0,Loose ball foul by J. Duren (drawn by A. Sengun),53-57, ,,2,53,57,-4,1394.0
0:32.0, ,53-57,J. Tate misses 3-pt jump shot from 22 ft,,2,53,57,-4,1408.0
0:29.0, ,53-57,Offensive rebound by Team,,2,53,57,-4,1411.0
0:17.0, ,53-59,A. Sengun makes 2-pt dunk from 1 ft,,2,53,59,-6,1423.0
0:07.0,Personal foul by J. Tate (drawn by C. Cunningham),53-59, ,,2,53,59,-6,1433.0
0:07.0,A. Burks enters the game for K. Knox,53-59, ,,2,53,59,-6,1433.0
0:07.0, ,53-59,T. Eason enters the game for J. Green,,2,53,59,-6,1433.0
0:07.0, ,53-59,J. Green enters the game for A. Sengun,,2,53,59,-6,1433.0
0:02.0,C. Cunningham misses 3-pt jump shot from 24 ft,53-59, ,,2,53,59,-6,1438.0
0:01.0,Offensive rebound by J. Duren,53-59, ,,2,53,59,-6,1439.0
0:00.0,J. Duren makes 2-pt layup at rim,55-59, ,,2,55,59,-4,1440.0
