Time,Detroit,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:27.0,Detroit full timeout,69-77, ,,3,69,77,-8,1713.0
7:12.0,J. Ivey misses 2-pt jump shot from 10 ft,69-77, ,,3,69,77,-8,1728.0
7:09.0,Offensive rebound by J. Duren,69-77, ,,3,69,77,-8,1731.0
7:04.0,C. Cunningham misses 3-pt jump shot from 25 ft,69-77, ,,3,69,77,-8,1736.0
7:00.0, ,69-77,Defensive rebound by N. Jović,,3,69,77,-8,1740.0
6:54.0, ,69-80,T. Rozier makes 3-pt jump shot from 26 ft (assist by J. Butler),,3,69,80,-11,1746.0
6:45.0,Shooting foul by T. Rozier (drawn by A. Thompson),69-80, ,,3,69,80,-11,1755.0
6:45.0,A. Thompson makes free throw 1 of 2,70-80, ,,3,70,80,-10,1755.0
6:45.0,Violation by Team (delay of game),70-80, ,,3,70,80,-10,1755.0
6:45.0,A. Thompson makes free throw 2 of 2,71-80, ,,3,71,80,-9,1755.0
6:32.0, ,71-80,Turnover by B. Adebayo (bad pass; steal by J. Ivey),,3,71,80,-9,1768.0
6:21.0,Personal foul by B. Adebayo (drawn by I. Stewart),71-80, ,,3,71,80,-9,1779.0
6:17.0,C. Cunningham makes 3-pt jump shot from 26 ft (assist by J. Duren),74-80, ,,3,74,80,-6,1783.0
6:00.0, ,74-82,N. Jović makes 2-pt layup from 5 ft (assist by B. Adebayo),,3,74,82,-8,1800.0
5:44.0,C. Cunningham misses 3-pt jump shot from 26 ft,74-82, ,,3,74,82,-8,1816.0
5:43.0,Offensive rebound by Team,74-82, ,,3,74,82,-8,1817.0
5:43.0, ,74-82,Loose ball foul by N. Jović (drawn by I. Stewart),,3,74,82,-8,1817.0
5:43.0, ,74-82,Technical foul by N. Jović,,3,74,82,-8,1817.0
5:43.0, ,74-82,N. Jović ejected from game,,3,74,82,-8,1817.0
5:43.0,C. Cunningham makes technical free throw,75-82, ,,3,75,82,-7,1817.0
5:43.0,S. Fontecchio enters the game for J. Ivey,75-82, ,,3,75,82,-7,1817.0
5:43.0, ,75-82,J. Jaquez enters the game for N. Jović,,3,75,82,-7,1817.0
5:36.0,A. Thompson makes 2-pt dunk from 3 ft (assist by C. Cunningham),77-82, ,,3,77,82,-5,1824.0
5:15.0, ,77-82,J. Butler misses 2-pt layup from 9 ft,,3,77,82,-5,1845.0
5:15.0, ,77-82,Offensive rebound by J. Butler,,3,77,82,-5,1845.0
5:12.0, ,77-82,D. Robinson misses 3-pt jump shot from 23 ft,,3,77,82,-5,1848.0
5:08.0, ,77-82,Offensive rebound by J. Butler,,3,77,82,-5,1852.0
4:59.0, ,77-85,T. Rozier makes 3-pt jump shot from 25 ft (assist by J. Butler),,3,77,85,-8,1861.0
4:42.0,I. Stewart makes 3-pt jump shot from 25 ft (assist by A. Thompson),80-85, ,,3,80,85,-5,1878.0
4:29.0, ,80-85,T. Rozier misses 3-pt jump shot from 25 ft,,3,80,85,-5,1891.0
4:27.0,Defensive rebound by A. Thompson,80-85, ,,3,80,85,-5,1893.0
4:22.0,S. Fontecchio misses 3-pt jump shot from 22 ft,80-85, ,,3,80,85,-5,1898.0
4:18.0,Offensive rebound by I. Stewart,80-85, ,,3,80,85,-5,1902.0
4:12.0,S. Fontecchio makes 3-pt jump shot from 23 ft (assist by J. Duren),83-85, ,,3,83,85,-2,1908.0
4:11.0, ,83-85,Miami full timeout,,3,83,85,-2,1909.0
4:11.0, ,83-85,C. Martin enters the game for J. Butler,,3,83,85,-2,1909.0
4:03.0, ,83-85,Personal foul by J. Duren (drawn by D. Robinson),,3,83,85,-2,1917.0
4:03.0, ,83-85,H. Highsmith enters the game for D. Robinson,,3,83,85,-2,1917.0
3:48.0, ,83-85,Turnover by C. Martin (out of bounds lost ball),,3,83,85,-2,1932.0
3:39.0,C. Cunningham misses 3-pt jump shot from 23 ft,83-85, ,,3,83,85,-2,1941.0
3:36.0, ,83-85,Defensive rebound by J. Jaquez,,3,83,85,-2,1944.0
3:19.0, ,83-88,J. Jaquez makes 3-pt jump shot from 25 ft (assist by C. Martin),,3,83,88,-5,1961.0
2:59.0,Turnover by C. Cunningham (traveling),83-88, ,,3,83,88,-5,1981.0
2:59.0,E. Fournier enters the game for I. Stewart,83-88, ,,3,83,88,-5,1981.0
