Time,Detroit,Score,Washington,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:30.0, ,20-16,J. Poole misses 3-pt jump shot from 23 ft,,1,20,16,4,510.0
3:26.0,Defensive rebound by C. Metu,20-16, ,,1,20,16,4,514.0
3:17.0,J. Ivey makes 2-pt jump shot from 8 ft,22-16, ,,1,22,16,6,523.0
3:15.0, ,22-16,Washington full timeout,,1,22,16,6,525.0
3:15.0,M. Flynn enters the game for C. Cunningham,22-16, ,,1,22,16,6,525.0
3:15.0,E. Fournier enters the game for J. Duren,22-16, ,,1,22,16,6,525.0
3:15.0,J. Wiseman enters the game for J. Ivey,22-16, ,,1,22,16,6,525.0
3:15.0, ,22-16,D. Avdija enters the game for K. Kuzma,,1,22,16,6,525.0
3:15.0, ,22-16,J. Butler enters the game for J. Poole,,1,22,16,6,525.0
3:03.0, ,22-16,Shooting foul by T. Evbuomwan (drawn by D. Avdija),,1,22,16,6,537.0
3:03.0, ,22-17,D. Avdija makes free throw 1 of 2,,1,22,17,5,537.0
3:03.0,T. Brown enters the game for T. Evbuomwan,22-17, ,,1,22,17,5,537.0
3:03.0, ,22-18,D. Avdija makes free throw 2 of 2,,1,22,18,4,537.0
2:44.0,C. Metu misses 2-pt layup from 4 ft,22-18, ,,1,22,18,4,556.0
2:42.0, ,22-18,Defensive rebound by J. Butler,,1,22,18,4,558.0
2:35.0, ,22-18,C. Kispert misses 2-pt layup from 9 ft,,1,22,18,4,565.0
2:31.0,Defensive rebound by J. Wiseman,22-18, ,,1,22,18,4,569.0
2:24.0,Personal foul by A. Gill (drawn by M. Flynn),22-18, ,,1,22,18,4,576.0
2:24.0,M. Flynn misses free throw 1 of 2,22-18, ,,1,22,18,4,576.0
2:24.0,Offensive rebound by Team,22-18, ,,1,22,18,4,576.0
2:24.0, ,22-18,T. Vukcevic enters the game for A. Gill,,1,22,18,4,576.0
2:24.0,M. Flynn makes free throw 2 of 2,23-18, ,,1,23,18,5,576.0
2:00.0, ,23-20,J. Butler makes 2-pt jump shot from 11 ft (assist by J. Davis),,1,23,20,3,600.0
1:38.0,T. Brown misses 2-pt jump shot from 11 ft,23-20, ,,1,23,20,3,622.0
1:35.0, ,23-20,Defensive rebound by T. Vukcevic,,1,23,20,3,625.0
1:27.0, ,23-20,Turnover by J. Butler (bad pass),,1,23,20,3,633.0
1:14.0,Turnover by M. Flynn (bad pass; steal by J. Davis),23-20, ,,1,23,20,3,646.0
1:07.0, ,23-20,C. Kispert misses 3-pt jump shot from 27 ft,,1,23,20,3,653.0
1:07.0,Defensive rebound by Team,23-20, ,,1,23,20,3,653.0
0:53.0,C. Metu misses 2-pt layup from 4 ft,23-20, ,,1,23,20,3,667.0
0:50.0, ,23-20,Defensive rebound by D. Avdija,,1,23,20,3,670.0
0:48.0, ,23-20,Turnover by D. Avdija (bad pass),,1,23,20,3,672.0
0:36.0,M. Flynn misses 3-pt jump shot from 27 ft,23-20, ,,1,23,20,3,684.0
0:29.0, ,23-20,Defensive rebound by T. Vukcevic,,1,23,20,3,691.0
0:10.0, ,23-20,D. Avdija misses 3-pt jump shot from 31 ft,,1,23,20,3,710.0
0:07.0,Defensive rebound by T. Brown,23-20, ,,1,23,20,3,713.0
0:01.0,Shooting foul by J. Butler (drawn by E. Fournier),23-20, ,,1,23,20,3,719.0
0:01.0,E. Fournier misses free throw 1 of 2,23-20, ,,1,23,20,3,719.0
0:01.0,Offensive rebound by Team,23-20, ,,1,23,20,3,719.0
0:01.0,E. Fournier misses free throw 2 of 2,23-20, ,,1,23,20,3,719.0
0:00.0, ,23-20,Defensive rebound by Team,,1,23,20,3,720.0
0:00.0,End of 1st quarter,23-20,,,1,23,20,3,720.0
12:00.0,Start of 2nd quarter,23-20,,,2,23,20,3,720.0
11:35.0, ,23-20,Turnover by Team (shot clock),,2,23,20,3,745.0
11:24.0,Offensive foul by J. Wiseman (drawn by M. Bagley),23-20, ,,2,23,20,3,756.0
11:24.0,Turnover by J. Wiseman (offensive foul),23-20, ,,2,23,20,3,756.0
11:24.0,Detroit full timeout,23-20, ,,2,23,20,3,756.0
11:24.0,Instant Replay (Challenge: Stands),23-20, ,,2,23,20,3,756.0
11:11.0, ,23-22,K. Kuzma makes 2-pt jump shot from 12 ft (assist by M. Bagley),,2,23,22,1,769.0
10:55.0,M. Flynn makes 2-pt layup from 3 ft,25-22, ,,2,25,22,3,785.0
10:41.0, ,25-22,Personal foul by E. Fournier (drawn by J. Bernard),,2,25,22,3,799.0
10:27.0, ,25-22,J. Butler misses 2-pt jump shot from 10 ft,,2,25,22,3,813.0
10:25.0,Defensive rebound by C. Metu,25-22, ,,2,25,22,3,815.0
10:17.0,E. Fournier makes 2-pt jump shot from 20 ft (assist by M. Flynn),27-22, ,,2,27,22,5,823.0
10:04.0, ,27-22,K. Kuzma misses 2-pt jump shot from 7 ft,,2,27,22,5,836.0
9:59.0, ,27-22,Offensive rebound by M. Bagley,,2,27,22,5,841.0
9:59.0, ,27-24,M. Bagley makes 2-pt layup at rim,,2,27,24,3,841.0
9:46.0,E. Fournier makes 2-pt jump shot from 18 ft,29-24, ,,2,29,24,5,854.0
9:35.0, ,29-24,Turnover by K. Kuzma (bad pass),,2,29,24,5,865.0
9:24.0,C. Metu makes 2-pt jump shot from 8 ft (assist by M. Flynn),31-24, ,,2,31,24,7,876.0
9:24.0,Shooting foul by P. Baldwin (drawn by C. Metu),31-24, ,,2,31,24,7,876.0
9:24.0,T. Evbuomwan enters the game for T. Brown,31-24, ,,2,31,24,7,876.0
9:24.0, ,31-24,D. Avdija enters the game for M. Bagley,,2,31,24,7,876.0
9:24.0, ,31-24,J. Poole enters the game for J. Butler,,2,31,24,7,876.0
9:24.0,C. Metu makes free throw 1 of 1,32-24, ,,2,32,24,8,876.0
9:03.0, ,32-24,J. Bernard misses 3-pt jump shot from 26 ft,,2,32,24,8,897.0
9:00.0, ,32-24,Offensive rebound by P. Baldwin,,2,32,24,8,900.0
8:55.0, ,32-24,J. Poole misses 2-pt jump shot from 19 ft,,2,32,24,8,905.0
8:51.0,Defensive rebound by M. Flynn,32-24, ,,2,32,24,8,909.0
