Time,Detroit,Score,Chicago,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:24.0,J. Duren makes 2-pt dunk from 1 ft (assist by S. Fontecchio),79-73, ,,3,79,73,6,2016.0
2:09.0, ,79-75,N. Vučević makes 2-pt layup at rim (assist by A. Dosunmu),,3,79,75,4,2031.0
2:09.0, ,79-75,Shooting foul by J. Duren (drawn by N. Vučević),,3,79,75,4,2031.0
2:09.0,Detroit full timeout,79-75, ,,3,79,75,4,2031.0
2:09.0,J. Wiseman enters the game for J. Duren,79-75, ,,3,79,75,4,2031.0
2:09.0, ,79-75,D. DeRozan enters the game for A. Drummond,,3,79,75,4,2031.0
2:09.0, ,79-75,N. Vučević misses free throw 1 of 1,,3,79,75,4,2031.0
2:06.0,Defensive rebound by I. Stewart,79-75, ,,3,79,75,4,2034.0
2:00.0,Turnover by I. Stewart (bad pass; steal by A. Caruso),79-75, ,,3,79,75,4,2040.0
1:55.0, ,79-75,A. Caruso misses 3-pt jump shot from 25 ft,,3,79,75,4,2045.0
1:50.0,Defensive rebound by Q. Grimes,79-75, ,,3,79,75,4,2050.0
1:28.0,I. Stewart misses 2-pt layup from 8 ft,79-75, ,,3,79,75,4,2072.0
1:26.0, ,79-75,Defensive rebound by N. Vučević,,3,79,75,4,2074.0
1:17.0, ,79-75,D. DeRozan misses 2-pt jump shot from 13 ft,,3,79,75,4,2083.0
1:15.0,Defensive rebound by I. Stewart,79-75, ,,3,79,75,4,2085.0
1:06.0,Turnover by C. Cunningham (bad pass; steal by A. Caruso),79-75, ,,3,79,75,4,2094.0
1:06.0,M. Flynn enters the game for C. Cunningham,79-75, ,,3,79,75,4,2094.0
1:06.0,A. Thompson enters the game for I. Stewart,79-75, ,,3,79,75,4,2094.0
0:49.0, ,79-75,D. DeRozan misses 2-pt jump shot from 10 ft,,3,79,75,4,2111.0
0:47.0,Defensive rebound by A. Thompson,79-75, ,,3,79,75,4,2113.0
0:31.0,M. Flynn misses 3-pt jump shot from 26 ft,79-75, ,,3,79,75,4,2129.0
0:28.0, ,79-75,Defensive rebound by D. DeRozan,,3,79,75,4,2132.0
0:07.0, ,79-75,A. Dosunmu misses 2-pt layup from 1 ft,,3,79,75,4,2153.0
0:07.0, ,79-75,Offensive rebound by N. Vučević,,3,79,75,4,2153.0
0:07.0, ,79-75,N. Vučević misses 2-pt layup at rim,,3,79,75,4,2153.0
0:07.0, ,79-75,Offensive rebound by Team,,3,79,75,4,2153.0
0:07.0, ,79-75,C. White enters the game for D. Terry,,3,79,75,4,2153.0
0:00.0, ,79-75,Shooting foul by A. Thompson (drawn by D. DeRozan),,3,79,75,4,2160.0
0:00.0, ,79-75,Instant Replay (Request: Ruling Stands),,3,79,75,4,2160.0
0:00.0, ,79-76,D. DeRozan makes free throw 1 of 2,,3,79,76,3,2160.0
0:00.0, ,79-76,A. Drummond enters the game for A. Dosunmu,,3,79,76,3,2160.0
0:00.0, ,79-77,D. DeRozan makes free throw 2 of 2,,3,79,77,2,2160.0
0:00.0,End of 3rd quarter,79-77,,,3,79,77,2,2160.0
12:00.0,Start of 4th quarter,79-77,,,4,79,77,2,2160.0
11:43.0,S. Fontecchio misses 2-pt jump shot from 16 ft,79-77, ,,4,79,77,2,2177.0
11:43.0, ,79-77,Defensive rebound by Team,,4,79,77,2,2177.0
11:43.0,Loose ball foul by J. Wiseman (drawn by A. Drummond),79-77, ,,4,79,77,2,2177.0
11:27.0, ,79-80,D. Terry makes 3-pt jump shot from 23 ft (assist by C. White),Lead change,4,79,80,-1,2193.0
11:05.0,Q. Grimes misses 3-pt jump shot from 26 ft,79-80, ,,4,79,80,-1,2215.0
11:03.0, ,79-80,Defensive rebound by D. DeRozan,,4,79,80,-1,2217.0
10:57.0, ,79-80,C. White misses 2-pt layup from 2 ft,,4,79,80,-1,2223.0
10:55.0,Defensive rebound by Q. Grimes,79-80, ,,4,79,80,-1,2225.0
10:48.0,S. Fontecchio makes 3-pt jump shot from 23 ft (assist by Q. Grimes),82-80, ,Lead change,4,82,80,2,2232.0
10:48.0, ,82-80,Chicago full timeout,,4,82,80,2,2232.0
10:48.0, ,82-80,J. Carter enters the game for A. Caruso,,4,82,80,2,2232.0
10:33.0, ,82-80,D. DeRozan misses 2-pt jump shot from 16 ft,,4,82,80,2,2247.0
10:33.0, ,82-80,Offensive rebound by Team,,4,82,80,2,2247.0
10:33.0,Loose ball foul by J. Wiseman (drawn by A. Drummond),82-80, ,,4,82,80,2,2247.0
10:18.0, ,82-82,A. Drummond makes 2-pt jump shot from 6 ft,Tie,4,82,82,0,2262.0
10:00.0,Turnover by M. Flynn (bad pass; steal by J. Carter),82-82, ,,4,82,82,0,2280.0
9:58.0, ,82-82,J. Carter misses 2-pt layup from 1 ft,,4,82,82,0,2282.0
9:58.0,Defensive rebound by Team,82-82, ,,4,82,82,0,2282.0
9:48.0,M. Flynn misses 3-pt jump shot from 29 ft,82-82, ,,4,82,82,0,2292.0
9:47.0, ,82-82,Defensive rebound by Team,,4,82,82,0,2293.0
9:30.0, ,82-82,J. Carter misses 3-pt jump shot from 26 ft,,4,82,82,0,2310.0
9:28.0,Defensive rebound by Q. Grimes,82-82, ,,4,82,82,0,2312.0
9:16.0,M. Flynn misses 3-pt jump shot from 26 ft,82-82, ,,4,82,82,0,2324.0
9:14.0,Offensive rebound by S. Fontecchio,82-82, ,,4,82,82,0,2326.0
9:12.0,S. Fontecchio makes 3-pt jump shot from 24 ft,85-82, ,,4,85,82,3,2328.0
8:55.0, ,85-82,C. White misses 2-pt jump shot from 21 ft,,4,85,82,3,2345.0
8:54.0,Defensive rebound by M. Flynn,85-82, ,,4,85,82,3,2346.0
8:51.0,M. Flynn makes 2-pt layup from 2 ft,87-82, ,,4,87,82,5,2349.0
8:45.0, ,87-84,A. Drummond makes 2-pt layup from 1 ft (assist by D. DeRozan),,4,87,84,3,2355.0
8:26.0,M. Flynn misses 2-pt jump shot from 23 ft (block by J. Carter),87-84, ,,4,87,84,3,2374.0
8:21.0,Offensive rebound by S. Fontecchio,87-84, ,,4,87,84,3,2379.0
8:21.0,S. Fontecchio makes 2-pt layup at rim,89-84, ,,4,89,84,5,2379.0
8:10.0, ,89-84,J. Carter misses 2-pt jump shot from 16 ft,,4,89,84,5,2390.0
8:10.0, ,89-84,Offensive rebound by Team,,4,89,84,5,2390.0
8:10.0, ,89-84,A. Dosunmu enters the game for D. Terry,,4,89,84,5,2390.0
8:00.0, ,89-86,D. DeRozan makes 2-pt layup from 2 ft,,4,89,86,3,2400.0
7:52.0,Q. Grimes misses 3-pt jump shot from 25 ft,89-86, ,,4,89,86,3,2408.0
7:50.0,Offensive rebound by J. Wiseman,89-86, ,,4,89,86,3,2410.0
7:49.0,S. Fontecchio misses 3-pt jump shot from 23 ft,89-86, ,,4,89,86,3,2411.0
7:47.0,Offensive rebound by J. Wiseman,89-86, ,,4,89,86,3,2413.0
7:42.0,S. Fontecchio misses 3-pt jump shot from 23 ft,89-86, ,,4,89,86,3,2418.0
7:40.0, ,89-86,Defensive rebound by A. Drummond,,4,89,86,3,2420.0
7:29.0, ,89-86,Shooting foul by J. Wiseman (drawn by D. DeRozan),,4,89,86,3,2431.0
7:29.0, ,89-87,D. DeRozan makes free throw 1 of 2,,4,89,87,2,2431.0
7:29.0,C. Cunningham enters the game for M. Flynn,89-87, ,,4,89,87,2,2431.0
7:29.0,J. Duren enters the game for Q. Grimes,89-87, ,,4,89,87,2,2431.0
7:29.0,J. Ivey enters the game for J. Wiseman,89-87, ,,4,89,87,2,2431.0
7:29.0, ,89-87,N. Vučević enters the game for A. Drummond,,4,89,87,2,2431.0
7:29.0, ,89-88,D. DeRozan makes free throw 2 of 2,,4,89,88,1,2431.0
7:14.0,J. Duren misses 2-pt layup from 2 ft,89-88, ,,4,89,88,1,2446.0
7:14.0,Offensive rebound by Team,89-88, ,,4,89,88,1,2446.0
7:14.0,I. Stewart enters the game for A. Thompson,89-88, ,,4,89,88,1,2446.0
7:08.0,J. Ivey misses 3-pt jump shot from 23 ft,89-88, ,,4,89,88,1,2452.0
7:06.0, ,89-88,Defensive rebound by N. Vučević,,4,89,88,1,2454.0
6:54.0, ,89-88,J. Carter misses 3-pt jump shot from 25 ft,,4,89,88,1,2466.0
6:53.0,Defensive rebound by J. Duren,89-88, ,,4,89,88,1,2467.0
6:53.0, ,89-88,D. Terry enters the game for D. DeRozan,,4,89,88,1,2467.0
6:39.0,S. Fontecchio makes 3-pt jump shot from 23 ft (assist by J. Duren),92-88, ,,4,92,88,4,2481.0
6:13.0, ,92-88,N. Vučević misses 2-pt jump shot from 15 ft,,4,92,88,4,2507.0
6:08.0, ,92-88,Offensive rebound by D. Terry,,4,92,88,4,2512.0
6:07.0, ,92-88,D. Terry misses 2-pt jump shot from 7 ft,,4,92,88,4,2513.0
6:05.0,Defensive rebound by C. Cunningham,92-88, ,,4,92,88,4,2515.0
5:58.0,Personal foul by D. Terry (drawn by I. Stewart),92-88, ,,4,92,88,4,2522.0
5:45.0,J. Duren misses 2-pt jump shot from 12 ft,92-88, ,,4,92,88,4,2535.0
5:42.0,Offensive rebound by I. Stewart,92-88, ,,4,92,88,4,2538.0
5:38.0,Shooting foul by A. Dosunmu (drawn by C. Cunningham),92-88, ,,4,92,88,4,2542.0
5:38.0,C. Cunningham makes free throw 1 of 3,93-88, ,,4,93,88,5,2542.0
5:38.0,C. Cunningham makes free throw 2 of 3,94-88, ,,4,94,88,6,2542.0
5:38.0, ,94-88,Chicago full timeout,,4,94,88,6,2542.0
5:38.0, ,94-88,D. DeRozan enters the game for J. Carter,,4,94,88,6,2542.0
5:38.0, ,94-88,A. Drummond enters the game for D. Terry,,4,94,88,6,2542.0
5:38.0,C. Cunningham makes free throw 3 of 3,95-88, ,,4,95,88,7,2542.0
5:19.0, ,95-88,N. Vučević misses 3-pt jump shot from 25 ft,,4,95,88,7,2561.0
5:17.0,Defensive rebound by S. Fontecchio,95-88, ,,4,95,88,7,2563.0
5:03.0,S. Fontecchio misses 3-pt jump shot from 26 ft,95-88, ,,4,95,88,7,2577.0
5:00.0, ,95-88,Defensive rebound by C. White,,4,95,88,7,2580.0
4:58.0, ,95-88,Shooting foul by J. Duren (drawn by C. White),,4,95,88,7,2582.0
4:58.0, ,95-89,C. White makes free throw 1 of 2,,4,95,89,6,2582.0
4:58.0,A. Thompson enters the game for S. Fontecchio,95-89, ,,4,95,89,6,2582.0
4:58.0, ,95-89,A. Caruso enters the game for A. Drummond,,4,95,89,6,2582.0
4:58.0, ,95-90,C. White makes free throw 2 of 2,,4,95,90,5,2582.0
4:43.0,C. Cunningham makes 3-pt jump shot from 24 ft (assist by J. Duren),98-90, ,,4,98,90,8,2597.0
4:17.0, ,98-90,C. White misses 3-pt jump shot from 25 ft,,4,98,90,8,2623.0
4:15.0,Defensive rebound by C. Cunningham,98-90, ,,4,98,90,8,2625.0
4:11.0,Personal foul by A. Caruso (drawn by C. Cunningham),98-90, ,,4,98,90,8,2629.0
3:59.0,Shooting foul by N. Vučević (drawn by C. Cunningham),98-90, ,,4,98,90,8,2641.0
3:59.0,C. Cunningham makes free throw 1 of 2,99-90, ,,4,99,90,9,2641.0
3:59.0,C. Cunningham misses free throw 2 of 2,99-90, ,,4,99,90,9,2641.0
3:59.0, ,99-90,Defensive rebound by A. Dosunmu,,4,99,90,9,2641.0
3:33.0, ,99-90,C. White misses 2-pt jump shot from 17 ft,,4,99,90,9,2667.0
3:32.0,Defensive rebound by Team,99-90, ,,4,99,90,9,2668.0
3:32.0, ,99-90,Loose ball foul by N. Vučević (drawn by J. Duren),,4,99,90,9,2668.0
3:32.0,J. Duren makes free throw 1 of 2,100-90, ,,4,100,90,10,2668.0
3:32.0,J. Duren makes free throw 2 of 2,101-90, ,,4,101,90,11,2668.0
3:13.0, ,101-90,N. Vučević misses 2-pt jump shot from 13 ft,,4,101,90,11,2687.0
3:11.0,Defensive rebound by A. Thompson,101-90, ,,4,101,90,11,2689.0
2:59.0,Turnover by J. Duren (bad pass),101-90, ,,4,101,90,11,2701.0
2:48.0, ,101-90,D. DeRozan misses 2-pt layup from 2 ft,,4,101,90,11,2712.0
2:46.0,Defensive rebound by J. Duren,101-90, ,,4,101,90,11,2714.0
2:44.0,Turnover by J. Duren (bad pass; steal by A. Dosunmu),101-90, ,,4,101,90,11,2716.0
2:40.0, ,101-92,A. Dosunmu makes 2-pt layup from 1 ft,,4,101,92,9,2720.0
2:21.0,C. Cunningham misses 3-pt jump shot from 28 ft,101-92, ,,4,101,92,9,2739.0
2:19.0, ,101-92,Defensive rebound by C. White,,4,101,92,9,2741.0
2:18.0, ,101-92,Personal foul by J. Ivey (drawn by C. White),,4,101,92,9,2742.0
2:18.0, ,101-92,C. White misses free throw 1 of 2,,4,101,92,9,2742.0
2:18.0, ,101-92,Offensive rebound by Team,,4,101,92,9,2742.0
2:18.0, ,101-92,A. Drummond enters the game for A. Caruso,,4,101,92,9,2742.0
2:18.0, ,101-93,C. White makes free throw 2 of 2,,4,101,93,8,2742.0
1:58.0,A. Thompson makes 3-pt jump shot from 23 ft (assist by C. Cunningham),104-93, ,,4,104,93,11,2762.0
1:50.0, ,104-93,C. White misses 3-pt jump shot from 24 ft,,4,104,93,11,2770.0
1:47.0,Defensive rebound by A. Thompson,104-93, ,,4,104,93,11,2773.0
1:32.0,Turnover by J. Duren (out of bounds lost ball),104-93, ,,4,104,93,11,2788.0
1:17.0, ,104-95,A. Drummond makes 2-pt jump shot from 9 ft (assist by C. White),,4,104,95,9,2803.0
0:53.0,A. Thompson misses 3-pt jump shot from 23 ft,104-95, ,,4,104,95,9,2827.0
0:50.0, ,104-95,Defensive rebound by A. Drummond,,4,104,95,9,2830.0
0:46.0, ,104-95,A. Dosunmu misses 2-pt layup from 7 ft (block by A. Thompson),,4,104,95,9,2834.0
0:43.0, ,104-95,Offensive rebound by A. Dosunmu,,4,104,95,9,2837.0
0:41.0, ,104-95,N. Vučević misses 3-pt jump shot from 24 ft,,4,104,95,9,2839.0
0:37.0,Defensive rebound by C. Cunningham,104-95, ,,4,104,95,9,2843.0
0:26.0,Personal foul by A. Drummond (drawn by C. Cunningham),104-95, ,,4,104,95,9,2854.0
0:26.0,C. Cunningham makes free throw 1 of 2,105-95, ,,4,105,95,10,2854.0
0:26.0,C. Cunningham misses free throw 2 of 2,105-95, ,,4,105,95,10,2854.0
0:23.0,Offensive rebound by J. Duren,105-95, ,,4,105,95,10,2857.0
0:11.0,Turnover by Team (shot clock),105-95, ,,4,105,95,10,2869.0
0:00.0,End of 4th quarter,105-95,,,4,105,95,10,2880.0
