Time,Detroit,Score,Washington,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:05.0,A. Thompson enters the game for K. Knox,82-83, ,,3,82,83,-1,1915.0
4:05.0,J. Duren makes free throw 1 of 1,83-83, ,Tie,3,83,83,0,1915.0
3:56.0, ,83-85,T. Jones makes 2-pt jump shot from 14 ft (assist by D. Gafford),,3,83,85,-2,1924.0
3:42.0,Offensive foul by I. Stewart (drawn by D. Gafford),83-85, ,,3,83,85,-2,1938.0
3:42.0,Turnover by I. Stewart (offensive foul),83-85, ,,3,83,85,-2,1938.0
3:22.0, ,83-85,K. Kuzma misses 3-pt jump shot from 26 ft,,3,83,85,-2,1958.0
3:19.0,Defensive rebound by A. Thompson,83-85, ,,3,83,85,-2,1961.0
3:10.0,A. Burks makes 2-pt jump shot from 14 ft,85-85, ,Tie,3,85,85,0,1970.0
2:54.0, ,85-85,T. Jones misses 3-pt jump shot from 26 ft,,3,85,85,0,1986.0
2:51.0,Defensive rebound by J. Duren,85-85, ,,3,85,85,0,1989.0
2:42.0,I. Stewart misses 2-pt layup from 4 ft,85-85, ,,3,85,85,0,1998.0
2:40.0,Offensive rebound by I. Stewart,85-85, ,,3,85,85,0,2000.0
2:37.0,I. Stewart makes 2-pt layup from 1 ft,87-85, ,Lead change,3,87,85,2,2003.0
2:37.0, ,87-85,Washington full timeout,,3,87,85,2,2003.0
2:37.0,J. Wiseman enters the game for J. Duren,87-85, ,,3,87,85,2,2003.0
2:37.0, ,87-85,D. Avdija enters the game for D. Gafford,,3,87,85,2,2003.0
2:37.0, ,87-85,P. Baldwin enters the game for T. Jones,,3,87,85,2,2003.0
2:37.0, ,87-85,C. Kispert enters the game for K. Kuzma,,3,87,85,2,2003.0
2:37.0, ,87-85,D. Wright enters the game for J. Poole,,3,87,85,2,2003.0
2:18.0, ,87-85,C. Kispert misses 3-pt jump shot from 29 ft,,3,87,85,2,2022.0
2:13.0,Defensive rebound by A. Thompson,87-85, ,,3,87,85,2,2027.0
1:57.0,J. Ivey makes 2-pt layup from 3 ft,89-85, ,,3,89,85,4,2043.0
1:57.0,Shooting foul by B. Coulibaly (drawn by J. Ivey),89-85, ,,3,89,85,4,2043.0
1:57.0,J. Ivey makes free throw 1 of 1,90-85, ,,3,90,85,5,2043.0
1:37.0, ,90-85,D. Wright misses 2-pt jump shot from 18 ft,,3,90,85,5,2063.0
1:33.0,Defensive rebound by J. Ivey,90-85, ,,3,90,85,5,2067.0
1:16.0,A. Thompson makes 2-pt hook shot from 4 ft,92-85, ,,3,92,85,7,2084.0
0:59.0, ,92-85,B. Coulibaly misses 2-pt layup from 3 ft,,3,92,85,7,2101.0
0:57.0,Defensive rebound by A. Thompson,92-85, ,,3,92,85,7,2103.0
0:36.0,A. Thompson misses 2-pt jump shot from 7 ft,92-85, ,,3,92,85,7,2124.0
0:36.0,Offensive rebound by Team,92-85, ,,3,92,85,7,2124.0
0:36.0,Turnover by Team (shot clock),92-85, ,,3,92,85,7,2124.0
0:22.0, ,92-87,D. Wright makes 2-pt layup from 3 ft,,3,92,87,5,2138.0
0:02.0,A. Burks makes 2-pt layup from 4 ft (assist by J. Ivey),94-87, ,,3,94,87,7,2158.0
0:01.0, ,94-87,D. Wright misses 3-pt jump shot from 30 ft,,3,94,87,7,2159.0
0:01.0,Defensive rebound by J. Ivey,94-87, ,,3,94,87,7,2159.0
0:00.0,End of 3rd quarter,94-87,,,3,94,87,7,2160.0
12:00.0,Start of 4th quarter,94-87,,,4,94,87,7,2160.0
11:40.0, ,94-90,D. Wright makes 3-pt jump shot from 25 ft (assist by C. Kispert),,4,94,90,4,2180.0
11:32.0,Personal foul by L. Shamet (drawn by A. Burks),94-90, ,,4,94,90,4,2188.0
11:32.0,I. Stewart enters the game for J. Harris,94-90, ,,4,94,90,4,2188.0
11:32.0, ,94-90,K. Kuzma enters the game for D. Avdija,,4,94,90,4,2188.0
11:22.0,A. Burks makes 2-pt jump shot from 16 ft,96-90, ,,4,96,90,6,2198.0
11:07.0, ,96-93,L. Shamet makes 3-pt jump shot from 26 ft (assist by P. Baldwin),,4,96,93,3,2213.0
10:36.0,M. Sasser makes 2-pt jump shot from 17 ft,98-93, ,,4,98,93,5,2244.0
10:27.0, ,98-96,C. Kispert makes 3-pt jump shot from 26 ft (assist by D. Wright),,4,98,96,2,2253.0
10:16.0,M. Sasser misses 2-pt jump shot from 16 ft,98-96, ,,4,98,96,2,2264.0
10:13.0, ,98-96,Defensive rebound by K. Kuzma,,4,98,96,2,2267.0
10:06.0, ,98-96,L. Shamet misses 3-pt jump shot from 25 ft,,4,98,96,2,2274.0
10:05.0,Defensive rebound by Team,98-96, ,,4,98,96,2,2275.0
9:57.0,A. Burks makes 3-pt jump shot from 27 ft (assist by M. Sasser),101-96, ,,4,101,96,5,2283.0
9:40.0, ,101-96,K. Kuzma misses 3-pt jump shot from 26 ft,,4,101,96,5,2300.0
9:37.0,Defensive rebound by A. Thompson,101-96, ,,4,101,96,5,2303.0
9:31.0,M. Sasser misses 2-pt jump shot from 16 ft,101-96, ,,4,101,96,5,2309.0
9:29.0,Offensive rebound by J. Wiseman,101-96, ,,4,101,96,5,2311.0
9:29.0,J. Wiseman makes 2-pt layup at rim,103-96, ,,4,103,96,7,2311.0
9:29.0, ,103-96,Washington full timeout,,4,103,96,7,2311.0
9:29.0,K. Knox enters the game for J. Wiseman,103-96, ,,4,103,96,7,2311.0
9:29.0, ,103-96,B. Coulibaly enters the game for P. Baldwin,,4,103,96,7,2311.0
9:08.0, ,103-96,K. Kuzma misses 2-pt jump shot from 5 ft,,4,103,96,7,2332.0
9:06.0,Defensive rebound by A. Thompson,103-96, ,,4,103,96,7,2334.0
8:46.0,I. Stewart misses 2-pt hook shot from 6 ft,103-96, ,,4,103,96,7,2354.0
8:43.0,Offensive rebound by A. Thompson,103-96, ,,4,103,96,7,2357.0
8:41.0,M. Sasser misses 2-pt jump shot from 19 ft,103-96, ,,4,103,96,7,2359.0
8:41.0,Offensive rebound by I. Stewart,103-96, ,,4,103,96,7,2359.0
8:41.0,I. Stewart makes 2-pt layup from 4 ft,105-96, ,,4,105,96,9,2359.0
8:41.0,Shooting foul by D. Wright (drawn by I. Stewart),105-96, ,,4,105,96,9,2359.0
8:41.0,I. Stewart makes free throw 1 of 1,106-96, ,,4,106,96,10,2359.0
8:17.0, ,106-99,C. Kispert makes 3-pt jump shot from 24 ft (assist by K. Kuzma),,4,106,99,7,2383.0
7:54.0,I. Stewart makes 2-pt layup from 4 ft (assist by M. Sasser),108-99, ,,4,108,99,9,2406.0
7:54.0,Shooting foul by K. Kuzma (drawn by I. Stewart),108-99, ,,4,108,99,9,2406.0
7:54.0, ,108-99,T. Jones enters the game for D. Wright,,4,108,99,9,2406.0
7:54.0,I. Stewart misses free throw 1 of 1,108-99, ,,4,108,99,9,2406.0
7:50.0,Offensive rebound by K. Knox,108-99, ,,4,108,99,9,2410.0
7:44.0,M. Sasser makes 2-pt jump shot from 17 ft,110-99, ,,4,110,99,11,2416.0
7:43.0, ,110-99,Washington full timeout,,4,110,99,11,2417.0
7:30.0, ,110-101,K. Kuzma makes 2-pt layup from 4 ft,,4,110,101,9,2430.0
7:08.0,A. Thompson misses 3-pt jump shot from 23 ft,110-101, ,,4,110,101,9,2452.0
7:05.0, ,110-101,Defensive rebound by K. Kuzma,,4,110,101,9,2455.0
6:50.0, ,110-103,T. Jones makes 2-pt jump shot from 14 ft,,4,110,103,7,2470.0
6:32.0,A. Burks misses 3-pt jump shot from 27 ft,110-103, ,,4,110,103,7,2488.0
6:30.0,Offensive rebound by I. Stewart,110-103, ,,4,110,103,7,2490.0
6:26.0,M. Sasser misses 2-pt jump shot from 11 ft (block by K. Kuzma),110-103, ,,4,110,103,7,2494.0
6:24.0, ,110-103,Defensive rebound by C. Kispert,,4,110,103,7,2496.0
6:09.0, ,110-103,Turnover by C. Kispert (out of bounds lost ball),,4,110,103,7,2511.0
6:09.0,J. Ivey enters the game for M. Sasser,110-103, ,,4,110,103,7,2511.0
6:00.0,J. Ivey makes 2-pt jump shot from 17 ft,112-103, ,,4,112,103,9,2520.0
5:39.0, ,112-103,Shooting foul by I. Stewart (drawn by K. Kuzma),,4,112,103,9,2541.0
5:39.0, ,112-104,K. Kuzma makes free throw 1 of 2,,4,112,104,8,2541.0
5:39.0, ,112-104,D. Avdija enters the game for C. Kispert,,4,112,104,8,2541.0
5:39.0, ,112-104,J. Poole enters the game for L. Shamet,,4,112,104,8,2541.0
5:39.0, ,112-105,K. Kuzma makes free throw 2 of 2,,4,112,105,7,2541.0
5:30.0,A. Burks makes 3-pt jump shot from 26 ft (assist by J. Ivey),115-105, ,,4,115,105,10,2550.0
5:18.0, ,115-105,K. Kuzma misses 3-pt jump shot from 25 ft,,4,115,105,10,2562.0
5:13.0,Defensive rebound by J. Ivey,115-105, ,,4,115,105,10,2567.0
5:04.0,Shooting foul by D. Avdija (drawn by J. Ivey),115-105, ,,4,115,105,10,2576.0
5:04.0,J. Ivey misses free throw 1 of 2,115-105, ,,4,115,105,10,2576.0
5:04.0,Offensive rebound by Team,115-105, ,,4,115,105,10,2576.0
5:04.0,J. Ivey makes free throw 2 of 2,116-105, ,,4,116,105,11,2576.0
4:56.0, ,116-105,K. Kuzma misses 2-pt jump shot from 8 ft (block by I. Stewart),,4,116,105,11,2584.0
4:53.0,Defensive rebound by A. Thompson,116-105, ,,4,116,105,11,2587.0
4:39.0,J. Ivey misses 2-pt jump shot from 10 ft,116-105, ,,4,116,105,11,2601.0
4:37.0, ,116-105,Defensive rebound by K. Kuzma,,4,116,105,11,2603.0
4:27.0, ,116-105,Turnover by D. Avdija (lost ball; steal by A. Thompson),,4,116,105,11,2613.0
4:12.0,I. Stewart makes 2-pt layup from 3 ft (assist by A. Thompson),118-105, ,,4,118,105,13,2628.0
3:51.0, ,118-108,K. Kuzma makes 3-pt jump shot from 28 ft (assist by D. Avdija),,4,118,108,10,2649.0
3:26.0,Turnover by J. Ivey (bad pass; steal by K. Kuzma),118-108, ,,4,118,108,10,2674.0
3:23.0, ,118-110,K. Kuzma makes 2-pt layup from 1 ft,,4,118,110,8,2677.0
3:23.0,Detroit full timeout,118-110, ,,4,118,110,8,2677.0
3:08.0,J. Ivey makes 2-pt jump shot from 13 ft,120-110, ,,4,120,110,10,2692.0
2:52.0, ,120-110,J. Poole misses 3-pt jump shot from 28 ft,,4,120,110,10,2708.0
2:49.0,Defensive rebound by I. Stewart,120-110, ,,4,120,110,10,2711.0
2:37.0,Shooting foul by K. Kuzma (drawn by J. Ivey),120-110, ,,4,120,110,10,2723.0
2:37.0, ,120-110,Technical foul by K. Kuzma,,4,120,110,10,2723.0
2:37.0,A. Burks makes technical free throw,121-110, ,,4,121,110,11,2723.0
2:37.0, ,121-110,Technical foul by K. Kuzma,,4,121,110,11,2723.0
2:37.0, ,121-110,K. Kuzma ejected from game,,4,121,110,11,2723.0
2:37.0,J. Duren enters the game for A. Thompson,121-110, ,,4,121,110,11,2723.0
2:37.0, ,121-110,A. Gill enters the game for K. Kuzma,,4,121,110,11,2723.0
2:37.0,A. Burks makes technical free throw,122-110, ,,4,122,110,12,2723.0
2:37.0,J. Ivey makes free throw 1 of 2,123-110, ,,4,123,110,13,2723.0
2:37.0,J. Ivey misses free throw 2 of 2,123-110, ,,4,123,110,13,2723.0
2:33.0, ,123-110,Defensive rebound by B. Coulibaly,,4,123,110,13,2727.0
2:30.0, ,123-110,T. Jones misses 3-pt jump shot from 26 ft,,4,123,110,13,2730.0
2:22.0, ,123-110,Offensive rebound by A. Gill,,4,123,110,13,2738.0
2:22.0, ,123-110,Turnover by A. Gill (bad pass; steal by I. Stewart),,4,123,110,13,2738.0
2:07.0,J. Ivey misses 2-pt jump shot from 9 ft (block by D. Avdija),123-110, ,,4,123,110,13,2753.0
2:07.0,Offensive rebound by Team,123-110, ,,4,123,110,13,2753.0
2:03.0,J. Duren makes 2-pt layup from 2 ft (assist by A. Burks),125-110, ,,4,125,110,15,2757.0
1:53.0, ,125-112,T. Jones makes 2-pt jump shot from 16 ft,,4,125,112,13,2767.0
1:53.0,Violation by Team (def goaltending),125-112, ,,4,125,112,13,2767.0
1:52.0,Instant Replay (Request: Stands),125-112, ,,4,125,112,13,2768.0
1:47.0,Turnover by K. Knox (out of bounds lost ball),125-112, ,,4,125,112,13,2773.0
1:47.0,K. Hayes enters the game for K. Knox,125-112, ,,4,125,112,13,2773.0
1:47.0,A. Thompson enters the game for I. Stewart,125-112, ,,4,125,112,13,2773.0
1:40.0, ,125-112,Turnover by J. Poole (lost ball; steal by A. Thompson),,4,125,112,13,2780.0
1:38.0,A. Thompson makes 2-pt dunk from 1 ft,127-112, ,,4,127,112,15,2782.0
1:31.0, ,127-112,D. Avdija misses 3-pt jump shot from 26 ft,,4,127,112,15,2789.0
1:28.0, ,127-112,Offensive rebound by T. Jones,,4,127,112,15,2792.0
1:28.0, ,127-114,D. Avdija makes 2-pt layup from 1 ft (assist by T. Jones),,4,127,114,13,2792.0
1:05.0,A. Thompson makes 2-pt jump shot from 12 ft (assist by J. Ivey),129-114, ,,4,129,114,15,2815.0
1:05.0, ,129-114,Washington full timeout,,4,129,114,15,2815.0
1:05.0,I. Stewart enters the game for K. Hayes,129-114, ,,4,129,114,15,2815.0
1:05.0, ,129-114,P. Baldwin enters the game for D. Avdija,,4,129,114,15,2815.0
1:05.0, ,129-114,J. Davis enters the game for T. Jones,,4,129,114,15,2815.0
1:05.0, ,129-114,H. Diallo enters the game for J. Poole,,4,129,114,15,2815.0
0:50.0, ,129-114,B. Coulibaly misses 3-pt jump shot from 25 ft,,4,129,114,15,2830.0
0:44.0,Defensive rebound by J. Duren,129-114, ,,4,129,114,15,2836.0
0:31.0,J. Ivey misses 3-pt jump shot from 27 ft,129-114, ,,4,129,114,15,2849.0
0:27.0, ,129-114,Defensive rebound by B. Coulibaly,,4,129,114,15,2853.0
0:23.0, ,129-114,A. Gill misses 2-pt hook shot from 2 ft (block by J. Ivey),,4,129,114,15,2857.0
0:23.0, ,129-114,Offensive rebound by Team,,4,129,114,15,2857.0
0:23.0,K. Knox enters the game for J. Duren,129-114, ,,4,129,114,15,2857.0
0:17.0, ,129-117,A. Gill makes 3-pt jump shot from 26 ft (assist by B. Coulibaly),,4,129,117,12,2863.0
0:00.0,End of 4th quarter,129-117,,,4,129,117,12,2880.0
