Time,Oklahoma City,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:18.0, ,48-49,K. Knox misses 2-pt jump shot from 15 ft,,2,49,48,1,1122.0
5:17.0, ,48-49,Offensive rebound by K. Knox,,2,49,48,1,1123.0
5:14.0, ,48-49,K. Knox misses 2-pt layup from 4 ft,,2,49,48,1,1126.0
5:14.0,Defensive rebound by Team,48-49, ,,2,49,48,1,1126.0
5:14.0, ,48-49,Loose ball foul by K. Knox (drawn by J. Williams),,2,49,48,1,1126.0
5:14.0,S. Gilgeous-Alexander enters the game for J. Williams,48-49, ,,2,49,48,1,1126.0
5:14.0, ,48-49,J. Duren enters the game for K. Knox,,2,49,48,1,1126.0
5:05.0,S. Gilgeous-Alexander makes 2-pt jump shot from 9 ft,50-49, ,Lead change,2,49,50,-1,1135.0
4:47.0, ,50-49,B. Bogdanović misses 3-pt jump shot from 23 ft,,2,49,50,-1,1153.0
4:46.0, ,50-49,Offensive rebound by Team,,2,49,50,-1,1154.0
4:46.0,Loose ball foul by I. Joe (drawn by J. Ivey),50-49, ,,2,49,50,-1,1154.0
4:40.0, ,50-51,I. Stewart makes 2-pt layup from 4 ft (assist by M. Sasser),Lead change,2,51,50,1,1160.0
4:29.0,Shooting foul by M. Sasser (drawn by S. Gilgeous-Alexander),50-51, ,,2,51,50,1,1171.0
4:29.0,S. Gilgeous-Alexander misses free throw 1 of 2,50-51, ,,2,51,50,1,1171.0
4:29.0,Offensive rebound by Team,50-51, ,,2,51,50,1,1171.0
4:29.0,C. Holmgren enters the game for J. Williams,50-51, ,,2,51,50,1,1171.0
4:29.0,S. Gilgeous-Alexander makes free throw 2 of 2,51-51, ,Tie,2,51,51,0,1171.0
4:10.0, ,51-53,B. Bogdanović makes 2-pt layup from 5 ft (assist by J. Duren),,2,53,51,2,1190.0
4:07.0,Oklahoma City full timeout,51-53, ,,2,53,51,2,1193.0
4:07.0,J. Giddey enters the game for I. Joe,51-53, ,,2,53,51,2,1193.0
3:56.0,L. Dort misses 3-pt jump shot from 24 ft,51-53, ,,2,53,51,2,1204.0
3:52.0, ,51-53,Defensive rebound by B. Bogdanović,,2,53,51,2,1208.0
3:50.0, ,51-53,B. Bogdanović misses 2-pt jump shot from 12 ft,,2,53,51,2,1210.0
3:47.0,Defensive rebound by J. Giddey,51-53, ,,2,53,51,2,1213.0
3:42.0,L. Dort misses 3-pt jump shot from 25 ft,51-53, ,,2,53,51,2,1218.0
3:39.0, ,51-53,Defensive rebound by M. Sasser,,2,53,51,2,1221.0
3:36.0, ,51-53,Shooting foul by L. Dort (drawn by J. Ivey),,2,53,51,2,1224.0
3:36.0, ,51-53,J. Ivey misses free throw 1 of 2,,2,53,51,2,1224.0
3:36.0, ,51-53,Offensive rebound by Team,,2,53,51,2,1224.0
3:36.0,J. Williams enters the game for A. Wiggins,51-53, ,,2,53,51,2,1224.0
3:36.0, ,51-53,J. Ivey misses free throw 2 of 2,,2,53,51,2,1224.0
3:32.0,Defensive rebound by S. Gilgeous-Alexander,51-53, ,,2,53,51,2,1228.0
3:25.0,S. Gilgeous-Alexander makes 2-pt layup at rim,53-53, ,Tie,2,53,53,0,1235.0
3:06.0, ,53-53,J. Ivey misses 2-pt layup from 3 ft,,2,53,53,0,1254.0
3:06.0, ,53-53,Offensive rebound by J. Duren,,2,53,53,0,1254.0
3:06.0, ,53-53,Shooting foul by S. Gilgeous-Alexander (drawn by J. Duren),,2,53,53,0,1254.0
