Time,Detroit,Score,Charlotte,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:23.0,I. Stewart makes 2-pt dunk from 2 ft (assist by C. Cunningham),34-21, ,,2,34,21,13,757.0
11:01.0, ,34-21,Offensive foul by N. Richards (drawn by A. Burks),,2,34,21,13,779.0
11:01.0, ,34-21,Turnover by N. Richards (offensive foul),,2,34,21,13,779.0
10:40.0,J. Ivey makes 2-pt layup from 3 ft,36-21, ,,2,36,21,15,800.0
10:23.0, ,36-21,P. Washington misses 2-pt jump shot from 8 ft,,2,36,21,15,817.0
10:23.0,Defensive rebound by Team,36-21, ,,2,36,21,15,817.0
10:23.0, ,36-21,Loose ball foul by P. Washington (drawn by J. Ivey),,2,36,21,15,817.0
10:23.0,K. Hayes enters the game for A. Burks,36-21, ,,2,36,21,15,817.0
10:08.0,Turnover by K. Hayes (lost ball; steal by B. Miller),36-21, ,,2,36,21,15,832.0
10:00.0, ,36-23,B. Miller makes 2-pt layup from 3 ft (assist by L. Ball),,2,36,23,13,840.0
9:48.0,Turnover by C. Cunningham (lost ball; steal by T. Maledon),36-23, ,,2,36,23,13,852.0
9:46.0, ,36-25,T. Maledon makes 2-pt layup from 1 ft,,2,36,25,11,854.0
9:46.0, ,36-25,Shooting foul by C. Cunningham (drawn by T. Maledon),,2,36,25,11,854.0
9:46.0, ,36-25,T. Maledon misses free throw 1 of 1,,2,36,25,11,854.0
9:46.0,Defensive rebound by Team,36-25, ,,2,36,25,11,854.0
9:46.0, ,36-25,Loose ball foul by N. Richards (drawn by C. Cunningham),,2,36,25,11,854.0
9:46.0, ,36-25,M. Williams enters the game for N. Richards,,2,36,25,11,854.0
9:36.0, ,36-25,Violation by Team (kicked ball),,2,36,25,11,864.0
9:25.0,J. Ivey misses 3-pt jump shot from 27 ft,36-25, ,,2,36,25,11,875.0
9:23.0, ,36-25,Defensive rebound by B. Miller,,2,36,25,11,877.0
9:11.0, ,36-25,L. Ball misses 3-pt jump shot from 28 ft,,2,36,25,11,889.0
9:08.0,Defensive rebound by I. Stewart,36-25, ,,2,36,25,11,892.0
9:02.0,Personal foul by M. Williams (drawn by C. Cunningham),36-25, ,,2,36,25,11,898.0
9:02.0,A. Thompson enters the game for J. Ivey,36-25, ,,2,36,25,11,898.0
8:57.0,Turnover by C. Cunningham (bad pass),36-25, ,,2,36,25,11,903.0
8:46.0, ,36-27,L. Ball makes 2-pt layup from 2 ft,,2,36,27,9,914.0
8:34.0,C. Cunningham misses 3-pt jump shot from 27 ft,36-27, ,,2,36,27,9,926.0
8:31.0, ,36-27,Defensive rebound by L. Ball,,2,36,27,9,929.0
8:23.0, ,36-27,P. Washington misses 3-pt jump shot from 25 ft,,2,36,27,9,937.0
8:21.0,Defensive rebound by J. Duren,36-27, ,,2,36,27,9,939.0
8:10.0,Turnover by I. Stewart (traveling),36-27, ,,2,36,27,9,950.0
8:10.0, ,36-27,G. Hayward enters the game for L. Ball,,2,36,27,9,950.0
8:10.0, ,36-27,T. Rozier enters the game for T. Maledon,,2,36,27,9,950.0
8:10.0, ,36-27,J. Thor enters the game for P. Washington,,2,36,27,9,950.0
7:55.0, ,36-27,B. Miller misses 2-pt jump shot from 9 ft,,2,36,27,9,965.0
7:53.0,Defensive rebound by I. Stewart,36-27, ,,2,36,27,9,967.0
7:48.0,C. Cunningham misses 3-pt jump shot from 26 ft,36-27, ,,2,36,27,9,972.0
7:44.0, ,36-27,Defensive rebound by G. Hayward,,2,36,27,9,976.0
7:40.0, ,36-27,G. Hayward misses 3-pt jump shot from 26 ft,,2,36,27,9,980.0
7:35.0, ,36-27,Offensive rebound by B. Miller,,2,36,27,9,985.0
7:33.0, ,36-27,B. Miller misses 2-pt layup from 1 ft,,2,36,27,9,987.0
7:33.0, ,36-27,Offensive rebound by B. Miller,,2,36,27,9,987.0
7:32.0, ,36-27,B. Miller misses 2-pt layup at rim,,2,36,27,9,988.0
7:32.0, ,36-27,Offensive rebound by Team,,2,36,27,9,988.0
7:32.0,Loose ball foul by C. Cunningham (drawn by B. Miller),36-27, ,,2,36,27,9,988.0
7:32.0,J. Harris enters the game for I. Stewart,36-27, ,,2,36,27,9,988.0
7:17.0, ,36-27,T. Rozier misses 3-pt jump shot from 25 ft,,2,36,27,9,1003.0
7:14.0,Defensive rebound by K. Hayes,36-27, ,,2,36,27,9,1006.0
6:57.0,A. Thompson misses 2-pt layup from 2 ft,36-27, ,,2,36,27,9,1023.0
6:55.0, ,36-27,Defensive rebound by G. Hayward,,2,36,27,9,1025.0
6:51.0, ,36-29,G. Hayward makes 2-pt layup from 1 ft,,2,36,29,7,1029.0
6:33.0,K. Hayes misses 2-pt jump shot from 16 ft,36-29, ,,2,36,29,7,1047.0
6:30.0, ,36-29,Defensive rebound by G. Hayward,,2,36,29,7,1050.0
6:24.0, ,36-29,Shooting foul by J. Duren (drawn by G. Hayward),,2,36,29,7,1056.0
6:24.0, ,36-29,Charlotte full timeout,,2,36,29,7,1056.0
6:24.0,M. Bagley enters the game for C. Cunningham,36-29, ,,2,36,29,7,1056.0
6:24.0,A. Burks enters the game for J. Duren,36-29, ,,2,36,29,7,1056.0
6:24.0, ,36-30,G. Hayward makes free throw 1 of 2,,2,36,30,6,1056.0
6:24.0, ,36-31,G. Hayward makes free throw 2 of 2,,2,36,31,5,1056.0
6:07.0,J. Harris misses 2-pt layup from 2 ft,36-31, ,,2,36,31,5,1073.0
6:05.0, ,36-31,Defensive rebound by G. Hayward,,2,36,31,5,1075.0
5:52.0, ,36-33,T. Rozier makes 2-pt layup from 3 ft (assist by G. Hayward),,2,36,33,3,1088.0
5:39.0,Shooting foul by G. Hayward (drawn by A. Burks),36-33, ,,2,36,33,3,1101.0
5:39.0,A. Burks makes free throw 1 of 3,37-33, ,,2,37,33,4,1101.0
5:39.0,A. Burks makes free throw 2 of 3,38-33, ,,2,38,33,5,1101.0
5:39.0,A. Burks makes free throw 3 of 3,39-33, ,,2,39,33,6,1101.0
5:21.0, ,39-33,T. Rozier misses 3-pt jump shot from 25 ft,,2,39,33,6,1119.0
5:16.0,Defensive rebound by A. Thompson,39-33, ,,2,39,33,6,1124.0
5:11.0,K. Hayes misses 3-pt jump shot from 26 ft,39-33, ,,2,39,33,6,1129.0
5:08.0, ,39-33,Defensive rebound by T. Rozier,,2,39,33,6,1132.0
4:56.0, ,39-33,Turnover by M. Williams (bad pass; steal by J. Harris),,2,39,33,6,1144.0
4:46.0,A. Burks makes 3-pt jump shot from 25 ft (assist by A. Thompson),42-33, ,,2,42,33,9,1154.0
4:31.0, ,42-33,T. Rozier misses 2-pt jump shot from 13 ft,,2,42,33,9,1169.0
4:29.0,Defensive rebound by M. Bagley,42-33, ,,2,42,33,9,1171.0
4:21.0,M. Bagley makes 2-pt jump shot from 7 ft (assist by A. Thompson),44-33, ,,2,44,33,11,1179.0
4:21.0, ,44-33,Charlotte full timeout,,2,44,33,11,1179.0
4:21.0, ,44-33,L. Ball enters the game for B. Miller,,2,44,33,11,1179.0
4:12.0, ,44-33,Offensive foul by G. Hayward (drawn by A. Burks),,2,44,33,11,1188.0
4:12.0, ,44-33,Turnover by G. Hayward (offensive foul),,2,44,33,11,1188.0
3:56.0,M. Bagley misses 3-pt jump shot from 27 ft,44-33, ,,2,44,33,11,1204.0
3:54.0, ,44-33,Defensive rebound by L. Ball,,2,44,33,11,1206.0
3:38.0, ,44-35,M. Williams makes 2-pt dunk at rim (assist by L. Ball),,2,44,35,9,1222.0
3:30.0,M. Bagley makes 2-pt layup from 3 ft (assist by J. Harris),46-35, ,,2,46,35,11,1230.0
3:30.0,Shooting foul by M. Williams (drawn by M. Bagley),46-35, ,,2,46,35,11,1230.0
3:30.0,M. Bagley makes free throw 1 of 1,47-35, ,,2,47,35,12,1230.0
3:15.0, ,47-38,L. Ball makes 3-pt jump shot from 25 ft (assist by M. Williams),,2,47,38,9,1245.0
3:03.0,Shooting foul by M. Williams (drawn by M. Bagley),47-38, ,,2,47,38,9,1257.0
3:03.0,M. Bagley misses free throw 1 of 2,47-38, ,,2,47,38,9,1257.0
3:03.0,Offensive rebound by Team,47-38, ,,2,47,38,9,1257.0
3:03.0,I. Stewart enters the game for J. Harris,47-38, ,,2,47,38,9,1257.0
3:03.0, ,47-38,B. Miller enters the game for M. Williams,,2,47,38,9,1257.0
3:03.0,M. Bagley makes free throw 2 of 2,48-38, ,,2,48,38,10,1257.0
2:49.0, ,48-38,G. Hayward misses 2-pt layup from 1 ft,,2,48,38,10,1271.0
2:48.0, ,48-38,Offensive rebound by G. Hayward,,2,48,38,10,1272.0
2:44.0, ,48-38,J. Thor misses 3-pt jump shot from 23 ft,,2,48,38,10,1276.0
