Time,Detroit,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:29.0, ,61-69,Defensive rebound by E. Mobley,,3,61,69,-8,1831.0
5:22.0, ,61-71,D. Garland makes 2-pt jump shot from 11 ft (assist by E. Mobley),,3,61,71,-10,1838.0
5:09.0,K. Knox makes 3-pt jump shot from 26 ft (assist by I. Stewart),64-71, ,,3,64,71,-7,1851.0
4:49.0, ,64-73,C. LeVert makes 2-pt layup from 2 ft,,3,64,73,-9,1871.0
4:34.0,A. Burks makes 3-pt jump shot from 24 ft (assist by C. Cunningham),67-73, ,,3,67,73,-6,1886.0
4:26.0, ,67-73,Violation by Team (delay of game),,3,67,73,-6,1894.0
4:10.0, ,67-73,D. Garland misses 2-pt jump shot from 9 ft (block by I. Stewart),,3,67,73,-6,1910.0
4:09.0, ,67-73,Offensive rebound by D. Garland,,3,67,73,-6,1911.0
4:02.0, ,67-73,C. LeVert misses 3-pt jump shot from 27 ft,,3,67,73,-6,1918.0
3:59.0,Defensive rebound by K. Knox,67-73, ,,3,67,73,-6,1921.0
3:46.0,K. Knox makes 2-pt jump shot from 11 ft (assist by J. Ivey),69-73, ,,3,69,73,-4,1934.0
3:46.0, ,69-73,Cleveland full timeout,,3,69,73,-4,1934.0
3:46.0,M. Bagley enters the game for I. Stewart,69-73, ,,3,69,73,-4,1934.0
3:46.0, ,69-73,G. Niang enters the game for J. Allen,,3,69,73,-4,1934.0
3:29.0, ,69-75,D. Garland makes 2-pt layup from 1 ft,,3,69,75,-6,1951.0
3:13.0,J. Ivey makes 2-pt layup from 1 ft (assist by C. Cunningham),71-75, ,,3,71,75,-4,1967.0
2:58.0, ,71-75,E. Mobley misses 2-pt jump shot from 6 ft,,3,71,75,-4,1982.0
2:55.0,Defensive rebound by K. Knox,71-75, ,,3,71,75,-4,1985.0
2:48.0,K. Knox misses 3-pt jump shot from 27 ft,71-75, ,,3,71,75,-4,1992.0
2:43.0,Offensive rebound by A. Burks,71-75, ,,3,71,75,-4,1997.0
2:42.0,A. Burks misses 3-pt jump shot from 26 ft,71-75, ,,3,71,75,-4,1998.0
2:40.0, ,71-75,Defensive rebound by E. Mobley,,3,71,75,-4,2000.0
2:30.0, ,71-75,M. Strus misses 2-pt jump shot from 10 ft (block by K. Knox),,3,71,75,-4,2010.0
2:27.0,Defensive rebound by K. Knox,71-75, ,,3,71,75,-4,2013.0
2:25.0,C. Cunningham misses 3-pt jump shot from 26 ft,71-75, ,,3,71,75,-4,2015.0
2:20.0, ,71-75,Defensive rebound by G. Niang,,3,71,75,-4,2020.0
