Time,Detroit,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:08.0, ,41-50,C. LeVert makes 2-pt layup from 1 ft,,2,41,50,-9,1192.0
3:53.0,A. Burks misses 2-pt layup from 2 ft,41-50, ,,2,41,50,-9,1207.0
3:50.0, ,41-50,Defensive rebound by G. Niang,,2,41,50,-9,1210.0
3:43.0, ,41-50,M. Strus misses 3-pt jump shot from 25 ft,,2,41,50,-9,1217.0
3:42.0, ,41-50,Offensive rebound by E. Mobley,,2,41,50,-9,1218.0
3:37.0, ,41-52,M. Strus makes 2-pt dunk from 1 ft (assist by E. Mobley),,2,41,52,-11,1223.0
3:31.0,Turnover by J. Ivey (bad pass; steal by M. Strus),41-52, ,,2,41,52,-11,1229.0
3:26.0, ,41-55,D. Garland makes 3-pt jump shot from 26 ft,,2,41,55,-14,1234.0
3:26.0,Detroit full timeout,41-55, ,,2,41,55,-14,1234.0
3:26.0,C. Cunningham enters the game for K. Hayes,41-55, ,,2,41,55,-14,1234.0
3:26.0, ,41-55,J. Allen enters the game for G. Niang,,2,41,55,-14,1234.0
3:10.0,A. Burks misses 2-pt layup from 2 ft,41-55, ,,2,41,55,-14,1250.0
3:08.0, ,41-55,Defensive rebound by M. Strus,,2,41,55,-14,1252.0
2:59.0, ,41-55,Personal foul by A. Burks (drawn by D. Garland),,2,41,55,-14,1261.0
2:59.0,K. Knox enters the game for A. Burks,41-55, ,,2,41,55,-14,1261.0
2:51.0, ,41-55,D. Garland misses 3-pt jump shot from 33 ft,,2,41,55,-14,1269.0
2:48.0,Defensive rebound by C. Cunningham,41-55, ,,2,41,55,-14,1272.0
2:30.0,Turnover by I. Stewart (dbl dribble),41-55, ,,2,41,55,-14,1290.0
2:13.0, ,41-55,Turnover by D. Garland (bad pass),,2,41,55,-14,1307.0
2:13.0,J. Wiseman enters the game for J. Ivey,41-55, ,,2,41,55,-14,1307.0
1:57.0,C. Cunningham misses 2-pt jump shot from 14 ft,41-55, ,,2,41,55,-14,1323.0
1:55.0, ,41-55,Defensive rebound by E. Mobley,,2,41,55,-14,1325.0
1:49.0, ,41-55,C. LeVert misses 3-pt jump shot from 24 ft,,2,41,55,-14,1331.0
1:46.0,Defensive rebound by A. Thompson,41-55, ,,2,41,55,-14,1334.0
1:43.0,Turnover by A. Thompson (bad pass),41-55, ,,2,41,55,-14,1337.0
1:27.0, ,41-55,J. Allen misses 2-pt layup from 2 ft,,2,41,55,-14,1353.0
1:25.0,Defensive rebound by A. Thompson,41-55, ,,2,41,55,-14,1355.0
1:21.0,Turnover by A. Thompson (bad pass; steal by M. Strus),41-55, ,,2,41,55,-14,1359.0
1:17.0, ,41-57,J. Allen makes 2-pt dunk from 2 ft (assist by D. Garland),,2,41,57,-16,1363.0
1:00.0,C. Cunningham misses 2-pt layup from 3 ft (block by J. Allen),41-57, ,,2,41,57,-16,1380.0
0:54.0,Offensive rebound by C. Cunningham,41-57, ,,2,41,57,-16,1386.0
0:54.0,C. Cunningham makes 2-pt layup at rim,43-57, ,,2,43,57,-14,1386.0
0:43.0, ,43-57,D. Garland misses 2-pt layup from 3 ft (block by I. Stewart),,2,43,57,-14,1397.0
0:39.0,Defensive rebound by I. Stewart,43-57, ,,2,43,57,-14,1401.0
0:39.0,C. Cunningham makes 2-pt layup from 1 ft,45-57, ,,2,45,57,-12,1401.0
0:34.0, ,45-57,Personal foul by C. Cunningham (drawn by M. Strus),,2,45,57,-12,1406.0
0:34.0,K. Hayes enters the game for C. Cunningham,45-57, ,,2,45,57,-12,1406.0
0:30.0, ,45-59,D. Garland makes 2-pt jump shot from 17 ft,,2,45,59,-14,1410.0
0:10.0,A. Thompson misses 3-pt jump shot from 26 ft,45-59, ,,2,45,59,-14,1430.0
0:09.0, ,45-59,Defensive rebound by Team,,2,45,59,-14,1431.0
0:00.0, ,45-59,Turnover by D. Garland (traveling),,2,45,59,-14,1440.0
0:00.0,End of 2nd quarter,45-59,,,2,45,59,-14,1440.0
12:00.0,Start of 3rd quarter,45-59,,,3,45,59,-14,1440.0
11:35.0,I. Stewart misses 2-pt hook shot from 10 ft,45-59, ,,3,45,59,-14,1465.0
11:33.0, ,45-59,Defensive rebound by E. Mobley,,3,45,59,-14,1467.0
11:22.0, ,45-59,Turnover by J. Allen (bad pass; steal by K. Hayes),,3,45,59,-14,1478.0
11:08.0,I. Stewart misses 3-pt jump shot from 27 ft,45-59, ,,3,45,59,-14,1492.0
11:05.0, ,45-59,Defensive rebound by D. Garland,,3,45,59,-14,1495.0
11:01.0, ,45-59,Shooting foul by A. Thompson (drawn by D. Garland),,3,45,59,-14,1499.0
11:01.0, ,45-60,D. Garland makes free throw 1 of 2,,3,45,60,-15,1499.0
11:01.0, ,45-61,D. Garland makes free throw 2 of 2,,3,45,61,-16,1499.0
10:45.0,C. Cunningham makes 2-pt layup from 1 ft,47-61, ,,3,47,61,-14,1515.0
10:24.0, ,47-63,E. Mobley makes 2-pt layup from 3 ft (assist by M. Strus),,3,47,63,-16,1536.0
10:15.0,A. Thompson misses 2-pt layup from 2 ft,47-63, ,,3,47,63,-16,1545.0
10:15.0,Offensive rebound by A. Thompson,47-63, ,,3,47,63,-16,1545.0
10:15.0,A. Thompson misses 2-pt layup at rim,47-63, ,,3,47,63,-16,1545.0
10:15.0, ,47-63,Defensive rebound by J. Allen,,3,47,63,-16,1545.0
10:15.0, ,47-63,Personal foul by A. Thompson (drawn by J. Allen),,3,47,63,-16,1545.0
10:15.0,J. Ivey enters the game for A. Thompson,47-63, ,,3,47,63,-16,1545.0
