Time,Denver,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:56.0, ,47-45,I. Stewart makes 2-pt dunk from 3 ft (assist by C. Cunningham),,2,45,47,-2,1204.0
3:31.0,M. Porter misses 3-pt jump shot from 27 ft,47-45, ,,2,45,47,-2,1229.0
3:29.0, ,47-45,Defensive rebound by Team,,2,45,47,-2,1231.0
3:29.0,C. Braun enters the game for R. Jackson,47-45, ,,2,45,47,-2,1231.0
3:29.0, ,47-45,I. Livers enters the game for J. Ivey,,2,45,47,-2,1231.0
3:07.0, ,47-45,M. Sasser misses 3-pt jump shot from 27 ft,,2,45,47,-2,1253.0
3:04.0,Defensive rebound by A. Gordon,47-45, ,,2,45,47,-2,1256.0
3:00.0,K. Caldwell-Pope misses 2-pt layup from 2 ft (block by C. Cunningham),47-45, ,,2,45,47,-2,1260.0
2:58.0, ,47-45,Defensive rebound by I. Livers,,2,45,47,-2,1262.0
2:57.0, ,47-45,I. Livers misses 2-pt layup from 4 ft,,2,45,47,-2,1263.0
2:56.0, ,47-45,Offensive rebound by I. Livers,,2,45,47,-2,1264.0
2:56.0, ,47-45,I. Livers misses 2-pt layup from 3 ft,,2,45,47,-2,1264.0
2:53.0,Defensive rebound by N. Jokić,47-45, ,,2,45,47,-2,1267.0
2:45.0,A. Gordon makes 2-pt layup from 3 ft,49-45, ,,2,45,49,-4,1275.0
2:45.0, ,49-45,Violation by Team (def goaltending),,2,45,49,-4,1275.0
2:18.0, ,49-48,I. Stewart makes 3-pt jump shot from 24 ft (assist by I. Livers),,2,48,49,-1,1302.0
2:04.0,M. Porter makes 2-pt layup from 2 ft (assist by K. Caldwell-Pope),51-48, ,,2,48,51,-3,1316.0
2:04.0,Shooting foul by I. Livers (drawn by M. Porter),51-48, ,,2,48,51,-3,1316.0
2:04.0, ,51-48,Detroit full timeout,,2,48,51,-3,1316.0
2:04.0, ,51-48,J. Ivey enters the game for M. Sasser,,2,48,51,-3,1316.0
2:04.0,M. Porter misses free throw 1 of 1,51-48, ,,2,48,51,-3,1316.0
2:01.0, ,51-48,Defensive rebound by M. Bagley,,2,48,51,-3,1319.0
1:38.0, ,51-50,M. Bagley makes 2-pt hook shot from 6 ft,,2,50,51,-1,1342.0
1:22.0,Technical foul by N. Jokić,51-50, ,,2,50,51,-1,1358.0
1:22.0,N. Jokić ejected from game,51-50, ,,2,50,51,-1,1358.0
1:22.0, ,51-51,C. Cunningham makes technical free throw,Tie,2,51,51,0,1358.0
1:22.0,R. Jackson enters the game for N. Jokić,51-51, ,,2,51,51,0,1358.0
1:22.0,Technical foul by A. Gordon,51-51, ,,2,51,51,0,1358.0
1:22.0, ,51-51,Technical foul by M. Bagley,,2,51,51,0,1358.0
1:10.0,R. Jackson misses 3-pt jump shot from 27 ft,51-51, ,,2,51,51,0,1370.0
1:08.0, ,51-51,Defensive rebound by I. Stewart,,2,51,51,0,1372.0
1:03.0, ,51-53,J. Ivey makes 2-pt layup from 2 ft,Lead change,2,53,51,2,1377.0
0:46.0,Shooting foul by J. Ivey (drawn by C. Braun),51-53, ,,2,53,51,2,1394.0
0:46.0,C. Braun misses free throw 1 of 2,51-53, ,,2,53,51,2,1394.0
0:46.0,Offensive rebound by Team,51-53, ,,2,53,51,2,1394.0
