Time,Cleveland,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:19.0, ,37-34,C. Cunningham misses 2-pt jump shot from 18 ft,,2,34,37,-3,1001.0
7:15.0, ,37-34,Offensive rebound by A. Thompson,,2,34,37,-3,1005.0
7:07.0, ,37-34,C. Cunningham misses 2-pt layup from 5 ft,,2,34,37,-3,1013.0
7:02.0,Defensive rebound by I. Okoro,37-34, ,,2,34,37,-3,1018.0
6:58.0,Personal foul by A. Thompson (drawn by D. Garland),37-34, ,,2,34,37,-3,1022.0
6:58.0,D. Mitchell enters the game for D. Garland,37-34, ,,2,34,37,-3,1022.0
6:58.0, ,37-34,B. Bogdanović enters the game for A. Thompson,,2,34,37,-3,1022.0
6:47.0,M. Strus misses 2-pt layup from 6 ft,37-34, ,,2,34,37,-3,1033.0
6:44.0, ,37-34,Defensive rebound by J. Duren,,2,34,37,-3,1036.0
6:41.0, ,37-34,Turnover by C. Cunningham (bad pass),,2,34,37,-3,1039.0
6:25.0,M. Strus misses 3-pt jump shot from 24 ft,37-34, ,,2,34,37,-3,1055.0
6:22.0, ,37-34,Defensive rebound by B. Bogdanović,,2,34,37,-3,1058.0
6:06.0, ,37-36,J. Duren makes 2-pt layup from 4 ft (assist by J. Ivey),,2,36,37,-1,1074.0
5:51.0,I. Okoro misses 3-pt jump shot from 25 ft,37-36, ,,2,36,37,-1,1089.0
5:48.0, ,37-36,Defensive rebound by C. Cunningham,,2,36,37,-1,1092.0
5:34.0, ,37-36,B. Bogdanović misses 2-pt jump shot from 11 ft,,2,36,37,-1,1106.0
5:33.0, ,37-36,Offensive rebound by J. Duren,,2,36,37,-1,1107.0
5:33.0, ,37-36,Shooting foul by E. Mobley (drawn by J. Duren),,2,36,37,-1,1107.0
5:33.0, ,37-36,J. Duren misses free throw 1 of 2,,2,36,37,-1,1107.0
5:33.0, ,37-36,Offensive rebound by Team,,2,36,37,-1,1107.0
5:33.0,J. Allen enters the game for G. Niang,37-36, ,,2,36,37,-1,1107.0
5:33.0, ,37-36,I. Stewart enters the game for I. Livers,,2,36,37,-1,1107.0
5:33.0, ,37-36,J. Duren misses free throw 2 of 2,,2,36,37,-1,1107.0
5:30.0,Defensive rebound by J. Allen,37-36, ,,2,36,37,-1,1110.0
5:09.0,D. Mitchell makes 2-pt jump shot from 14 ft,39-36, ,,2,36,39,-3,1131.0
4:58.0, ,39-38,J. Duren makes 2-pt dunk from 5 ft (assist by C. Cunningham),,2,38,39,-1,1142.0
4:49.0,Personal foul by J. Ivey (drawn by J. Allen),39-38, ,,2,38,39,-1,1151.0
4:45.0,M. Strus makes 3-pt jump shot from 27 ft (assist by J. Allen),42-38, ,,2,38,42,-4,1155.0
4:26.0, ,42-38,I. Stewart misses 3-pt jump shot from 24 ft,,2,38,42,-4,1174.0
4:22.0,Defensive rebound by I. Okoro,42-38, ,,2,38,42,-4,1178.0
4:10.0,M. Strus makes 3-pt jump shot from 24 ft (assist by I. Okoro),45-38, ,,2,38,45,-7,1190.0
3:46.0, ,45-38,I. Stewart misses 3-pt jump shot from 24 ft,,2,38,45,-7,1214.0
3:43.0,Defensive rebound by I. Okoro,45-38, ,,2,38,45,-7,1217.0
3:38.0,M. Strus misses 3-pt jump shot from 24 ft,45-38, ,,2,38,45,-7,1222.0
3:34.0, ,45-38,Defensive rebound by I. Stewart,,2,38,45,-7,1226.0
3:28.0, ,45-38,C. Cunningham misses 3-pt jump shot from 26 ft,,2,38,45,-7,1232.0
3:25.0,Defensive rebound by E. Mobley,45-38, ,,2,38,45,-7,1235.0
3:11.0,E. Mobley makes 2-pt jump shot from 13 ft (assist by D. Mitchell),47-38, ,,2,38,47,-9,1249.0
3:09.0, ,47-38,Detroit full timeout,,2,38,47,-9,1251.0
3:09.0,D. Garland enters the game for E. Mobley,47-38, ,,2,38,47,-9,1251.0
3:09.0, ,47-38,K. Hayes enters the game for J. Ivey,,2,38,47,-9,1251.0
2:53.0, ,47-40,B. Bogdanović makes 2-pt layup from 6 ft (assist by C. Cunningham),,2,40,47,-7,1267.0
2:32.0,Offensive foul by J. Allen (drawn by B. Bogdanović),47-40, ,,2,40,47,-7,1288.0
2:32.0,Turnover by J. Allen (offensive foul),47-40, ,,2,40,47,-7,1288.0
2:32.0,E. Mobley enters the game for I. Okoro,47-40, ,,2,40,47,-7,1288.0
2:13.0, ,47-43,K. Hayes makes 3-pt jump shot from 23 ft,,2,43,47,-4,1307.0
1:56.0,J. Allen makes 2-pt dunk from 3 ft (assist by D. Mitchell),49-43, ,,2,43,49,-6,1324.0
1:44.0, ,49-46,I. Stewart makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),,2,46,49,-3,1336.0
1:30.0,D. Garland makes 3-pt jump shot from 24 ft,52-46, ,,2,46,52,-6,1350.0
1:23.0, ,52-46,C. Cunningham misses 2-pt layup from 3 ft,,2,46,52,-6,1357.0
1:19.0,Defensive rebound by E. Mobley,52-46, ,,2,46,52,-6,1361.0
1:07.0,Shooting foul by J. Duren (drawn by J. Allen),52-46, ,,2,46,52,-6,1373.0
1:07.0,J. Allen makes free throw 1 of 2,53-46, ,,2,46,53,-7,1373.0
1:07.0, ,53-46,A. Thompson enters the game for J. Duren,,2,46,53,-7,1373.0
1:07.0,J. Allen makes free throw 2 of 2,54-46, ,,2,46,54,-8,1373.0
0:55.0, ,54-46,C. Cunningham misses 2-pt jump shot from 15 ft,,2,46,54,-8,1385.0
0:52.0, ,54-46,Offensive rebound by B. Bogdanović,,2,46,54,-8,1388.0
0:50.0, ,54-46,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,46,54,-8,1390.0
0:49.0, ,54-46,Offensive rebound by A. Thompson,,2,46,54,-8,1391.0
0:49.0, ,54-48,A. Thompson makes 2-pt layup from 2 ft,,2,48,54,-6,1391.0
0:33.0,D. Mitchell misses 2-pt jump shot from 5 ft,54-48, ,,2,48,54,-6,1407.0
0:33.0, ,54-48,Defensive rebound by I. Stewart,,2,48,54,-6,1407.0
0:08.0, ,54-48,K. Hayes misses 2-pt jump shot from 13 ft,,2,48,54,-6,1432.0
0:04.0,Defensive rebound by D. Mitchell,54-48, ,,2,48,54,-6,1436.0
0:00.0,D. Garland misses 3-pt jump shot from 33 ft,54-48, ,,2,48,54,-6,1440.0
0:00.0,Offensive rebound by Team,54-48, ,,2,48,54,-6,1440.0
0:00.0,End of 2nd quarter,54-48,,,2,48,54,-6,1440.0
