Time,New Orleans,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:58.0,L. Nance enters the game for N. Marshall,39-21, ,,2,21,39,-18,1022.0
6:58.0,Z. Williamson enters the game for J. Valančiūnas,39-21, ,,2,21,39,-18,1022.0
6:35.0, ,39-24,M. Sasser makes 3-pt jump shot from 28 ft (assist by B. Boeheim),,2,24,39,-15,1045.0
6:23.0,Z. Williamson makes 2-pt layup from 2 ft (assist by H. Jones),41-24, ,,2,24,41,-17,1057.0
6:07.0, ,41-24,Shooting foul by J. Hawkins (drawn by B. Boeheim),,2,24,41,-17,1073.0
6:07.0, ,41-25,B. Boeheim makes free throw 1 of 2,,2,25,41,-16,1073.0
6:07.0, ,41-26,B. Boeheim makes free throw 2 of 2,,2,26,41,-15,1073.0
6:07.0,T. Murphy enters the game for C. McCollum,41-26, ,,2,26,41,-15,1073.0
6:07.0, ,41-26,C. Metu enters the game for J. Wiseman,,2,26,41,-15,1073.0
6:01.0,Shooting foul by T. Evbuomwan (drawn by Z. Williamson),41-26, ,,2,26,41,-15,1079.0
6:01.0,Z. Williamson makes free throw 1 of 2,42-26, ,,2,26,42,-16,1079.0
6:01.0,Z. Williamson misses free throw 2 of 2,42-26, ,,2,26,42,-16,1079.0
5:58.0, ,42-26,Defensive rebound by T. Evbuomwan,,2,26,42,-16,1082.0
5:42.0, ,42-26,J. Ivey misses 3-pt jump shot from 24 ft,,2,26,42,-16,1098.0
5:40.0,Defensive rebound by J. Hawkins,42-26, ,,2,26,42,-16,1100.0
5:37.0,L. Nance makes 2-pt layup from 2 ft (assist by J. Hawkins),44-26, ,,2,26,44,-18,1103.0
5:24.0, ,44-26,J. Ivey misses 3-pt jump shot from 26 ft,,2,26,44,-18,1116.0
5:21.0,Defensive rebound by T. Murphy,44-26, ,,2,26,44,-18,1119.0
5:05.0,H. Jones makes 3-pt jump shot from 27 ft (assist by Z. Williamson),47-26, ,,2,26,47,-21,1135.0
4:49.0, ,47-29,J. Ivey makes 3-pt jump shot from 26 ft (assist by M. Sasser),,2,29,47,-18,1151.0
4:36.0,J. Hawkins misses 3-pt jump shot from 28 ft,47-29, ,,2,29,47,-18,1164.0
4:31.0, ,47-29,Defensive rebound by T. Evbuomwan,,2,29,47,-18,1169.0
4:25.0, ,47-29,Turnover by J. Ivey (lost ball; steal by T. Murphy),,2,29,47,-18,1175.0
4:21.0,T. Murphy misses 2-pt layup from 2 ft (block by T. Evbuomwan),47-29, ,,2,29,47,-18,1179.0
4:17.0, ,47-29,Defensive rebound by B. Boeheim,,2,29,47,-18,1183.0
4:12.0, ,47-32,J. Ivey makes 3-pt jump shot from 26 ft (assist by M. Sasser),,2,32,47,-15,1188.0
4:12.0,New Orleans full timeout,47-32, ,,2,32,47,-15,1188.0
3:58.0,J. Hawkins misses 3-pt jump shot from 28 ft,47-32, ,,2,32,47,-15,1202.0
3:55.0, ,47-32,Defensive rebound by T. Evbuomwan,,2,32,47,-15,1205.0
3:41.0, ,47-35,B. Boeheim makes 3-pt jump shot from 28 ft (assist by J. Ivey),,2,35,47,-12,1219.0
3:30.0,T. Murphy misses 3-pt jump shot from 27 ft,47-35, ,,2,35,47,-12,1230.0
3:26.0, ,47-35,Defensive rebound by B. Boeheim,,2,35,47,-12,1234.0
3:08.0, ,47-35,T. Evbuomwan misses 3-pt jump shot from 26 ft,,2,35,47,-12,1252.0
3:05.0,Defensive rebound by H. Jones,47-35, ,,2,35,47,-12,1255.0
2:55.0,Personal foul by J. Ivey (drawn by T. Murphy),47-35, ,,2,35,47,-12,1265.0
2:55.0,T. Murphy makes free throw 1 of 2,48-35, ,,2,35,48,-13,1265.0
2:55.0,C. McCollum enters the game for J. Hawkins,48-35, ,,2,35,48,-13,1265.0
2:55.0,T. Murphy makes free throw 2 of 2,49-35, ,,2,35,49,-14,1265.0
2:39.0, ,49-35,Shooting foul by L. Nance (drawn by T. Evbuomwan),,2,35,49,-14,1281.0
2:39.0, ,49-35,T. Evbuomwan misses free throw 1 of 2,,2,35,49,-14,1281.0
2:39.0, ,49-35,Offensive rebound by Team,,2,35,49,-14,1281.0
2:39.0, ,49-36,T. Evbuomwan makes free throw 2 of 2,,2,36,49,-13,1281.0
2:27.0,C. McCollum misses 3-pt jump shot from 27 ft,49-36, ,,2,36,49,-13,1293.0
2:24.0, ,49-36,Defensive rebound by C. Metu,,2,36,49,-13,1296.0
2:16.0, ,49-38,T. Evbuomwan makes 2-pt jump shot from 5 ft (assist by J. Ivey),,2,38,49,-11,1304.0
1:58.0,Z. Williamson makes 2-pt layup from 3 ft (assist by C. McCollum),51-38, ,,2,38,51,-13,1322.0
1:39.0, ,51-38,M. Sasser misses 2-pt jump shot from 16 ft,,2,38,51,-13,1341.0
1:37.0,Defensive rebound by Z. Williamson,51-38, ,,2,38,51,-13,1343.0
