Time,Detroit,Score,Philadelphia,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:04.0, ,14-22,J. Embiid makes 2-pt layup from 3 ft,,1,14,22,-8,536.0
2:56.0,J. Ivey misses 2-pt layup from 2 ft (block by J. Embiid),14-22, ,,1,14,22,-8,544.0
2:51.0,Offensive rebound by J. Wiseman,14-22, ,,1,14,22,-8,549.0
2:51.0,J. Wiseman makes 2-pt dunk at rim,16-22, ,,1,16,22,-6,549.0
2:42.0, ,16-24,J. Embiid makes 2-pt jump shot from 14 ft,,1,16,24,-8,558.0
2:28.0,A. Burks misses 2-pt layup from 7 ft,16-24, ,,1,16,24,-8,572.0
2:28.0,Offensive rebound by J. Wiseman,16-24, ,,1,16,24,-8,572.0
2:28.0,J. Wiseman makes 2-pt layup at rim,18-24, ,,1,18,24,-6,572.0
2:28.0, ,18-24,Philadelphia full timeout,,1,18,24,-6,572.0
2:28.0, ,18-24,T. Maxey enters the game for T. Harris,,1,18,24,-6,572.0
2:28.0, ,18-24,M. Morris enters the game for D. Melton,,1,18,24,-6,572.0
2:09.0, ,18-26,J. Embiid makes 2-pt jump shot from 12 ft,,1,18,26,-8,591.0
1:51.0,Shooting foul by M. Morris (drawn by J. Wiseman),18-26, ,,1,18,26,-8,609.0
1:51.0,J. Wiseman makes free throw 1 of 2,19-26, ,,1,19,26,-7,609.0
1:51.0,J. Wiseman makes free throw 2 of 2,20-26, ,,1,20,26,-6,609.0
1:37.0, ,20-26,J. Embiid misses 3-pt jump shot from 26 ft,,1,20,26,-6,623.0
1:32.0,Defensive rebound by I. Livers,20-26, ,,1,20,26,-6,628.0
1:28.0,I. Livers misses 3-pt jump shot from 26 ft,20-26, ,,1,20,26,-6,632.0
1:24.0,Offensive rebound by K. Hayes,20-26, ,,1,20,26,-6,636.0
1:21.0,A. Burks misses 2-pt jump shot from 14 ft,20-26, ,,1,20,26,-6,639.0
1:18.0, ,20-26,Defensive rebound by J. Embiid,,1,20,26,-6,642.0
1:11.0, ,20-26,T. Maxey misses 2-pt layup from 2 ft (block by K. Hayes),,1,20,26,-6,649.0
1:11.0,Defensive rebound by Team,20-26, ,,1,20,26,-6,649.0
1:00.0,J. Ivey misses 2-pt jump shot from 13 ft,20-26, ,,1,20,26,-6,660.0
0:58.0, ,20-26,Defensive rebound by J. Embiid,,1,20,26,-6,662.0
0:46.0, ,20-26,K. Oubre misses 3-pt jump shot from 23 ft,,1,20,26,-6,674.0
0:44.0,Defensive rebound by J. Wiseman,20-26, ,,1,20,26,-6,676.0
0:41.0,Personal foul by K. Oubre (drawn by K. Hayes),20-26, ,,1,20,26,-6,679.0
0:41.0,K. Hayes makes free throw 1 of 2,21-26, ,,1,21,26,-5,679.0
0:41.0,K. Hayes makes free throw 2 of 2,22-26, ,,1,22,26,-4,679.0
0:19.0, ,22-26,J. Embiid misses 2-pt jump shot from 17 ft,,1,22,26,-4,701.0
0:16.0,Defensive rebound by K. Hayes,22-26, ,,1,22,26,-4,704.0
0:03.0,Turnover by K. Hayes (lost ball; steal by P. Beverley),22-26, ,,1,22,26,-4,717.0
