Time,Memphis,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:44.0,J. Nowell makes 2-pt jump shot from 17 ft (assist by S. Aldama),78-75, ,,3,75,78,-3,1996.0
2:25.0, ,78-75,Shooting foul by D. Bane (drawn by I. Stewart),,3,75,78,-3,2015.0
2:25.0, ,78-76,I. Stewart makes free throw 1 of 2,,3,76,78,-2,2015.0
2:25.0,J. Jackson enters the game for B. Biyombo,78-76, ,,3,76,78,-2,2015.0
2:25.0, ,78-76,A. Burks enters the game for B. Bogdanović,,3,76,78,-2,2015.0
2:25.0, ,78-76,K. Hayes enters the game for C. Cunningham,,3,76,78,-2,2015.0
2:25.0, ,78-77,I. Stewart makes free throw 2 of 2,,3,77,78,-1,2015.0
2:13.0,D. Bane makes 2-pt jump shot from 10 ft,80-77, ,,3,77,80,-3,2027.0
1:50.0, ,80-77,A. Burks misses 3-pt jump shot from 24 ft,,3,77,80,-3,2050.0
1:45.0, ,80-77,Offensive rebound by I. Stewart,,3,77,80,-3,2055.0
1:45.0, ,80-79,I. Stewart makes 2-pt layup at rim,,3,79,80,-1,2055.0
1:34.0,D. Bane misses 3-pt jump shot from 31 ft,80-79, ,,3,79,80,-1,2066.0
1:33.0,Offensive rebound by Team,80-79, ,,3,79,80,-1,2067.0
1:33.0, ,80-79,Loose ball foul by I. Stewart (drawn by J. Jackson),,3,79,80,-1,2067.0
1:33.0, ,80-79,J. Wiseman enters the game for I. Stewart,,3,79,80,-1,2067.0
1:25.0,J. Jackson misses 2-pt layup from 1 ft (block by J. Wiseman),80-79, ,,3,79,80,-1,2075.0
1:21.0, ,80-79,Defensive rebound by J. Ivey,,3,79,80,-1,2079.0
1:10.0, ,80-79,I. Livers misses 3-pt jump shot from 23 ft,,3,79,80,-1,2090.0
1:07.0,Defensive rebound by V. Williams,80-79, ,,3,79,80,-1,2093.0
0:53.0,Turnover by D. Bane (bad pass),80-79, ,,3,79,80,-1,2107.0
0:53.0, ,80-79,Detroit full timeout,,3,79,80,-1,2107.0
0:53.0, ,80-79,Instant Replay (Challenge: Ruling Stands),,3,79,80,-1,2107.0
0:53.0, ,80-79,A. Thompson enters the game for I. Livers,,3,79,80,-1,2107.0
0:37.0, ,80-81,K. Hayes makes 2-pt jump shot from 6 ft (assist by J. Wiseman),Lead change,3,81,80,1,2123.0
0:37.0, ,80-81,Shooting foul by J. Jackson (drawn by K. Hayes),,3,81,80,1,2123.0
0:37.0, ,80-82,K. Hayes makes free throw 1 of 1,,3,82,80,2,2123.0
0:21.0,J. Jackson makes 2-pt layup from 5 ft (assist by D. Bane),82-82, ,Tie,3,82,82,0,2139.0
0:03.0, ,82-82,K. Hayes misses 2-pt jump shot from 20 ft,,3,82,82,0,2157.0
0:01.0, ,82-82,Offensive rebound by J. Wiseman,,3,82,82,0,2159.0
0:01.0, ,82-84,J. Wiseman makes 2-pt layup from 1 ft,,3,84,82,2,2159.0
0:00.0,J. Nowell misses 3-pt jump shot from 60 ft,82-84, ,,3,84,82,2,2160.0
0:00.0,Offensive rebound by Team,82-84, ,,3,84,82,2,2160.0
0:00.0,End of 3rd quarter,82-84,,,3,84,82,2,2160.0
12:00.0,Start of 4th quarter,82-84,,,4,84,82,2,2160.0
11:38.0,J. Jackson misses 2-pt layup from 5 ft,82-84, ,,4,84,82,2,2182.0
11:36.0, ,82-84,Defensive rebound by A. Thompson,,4,84,82,2,2184.0
11:25.0, ,82-84,Offensive foul by J. Wiseman (drawn by J. Nowell),,4,84,82,2,2195.0
11:25.0, ,82-84,Turnover by J. Wiseman (offensive foul),,4,84,82,2,2195.0
11:08.0,V. Williams makes 3-pt jump shot from 23 ft (assist by J. Konchar),85-84, ,Lead change,4,84,85,-1,2212.0
10:50.0, ,85-84,K. Hayes misses 2-pt jump shot from 11 ft,,4,84,85,-1,2230.0
10:46.0,Defensive rebound by J. Konchar,85-84, ,,4,84,85,-1,2234.0
10:40.0,J. Jackson misses 2-pt layup from 2 ft (block by J. Wiseman),85-84, ,,4,84,85,-1,2240.0
10:34.0, ,85-84,Defensive rebound by K. Hayes,,4,84,85,-1,2246.0
10:31.0, ,85-84,J. Ivey misses 3-pt jump shot from 23 ft,,4,84,85,-1,2249.0
10:28.0,Defensive rebound by J. Nowell,85-84, ,,4,84,85,-1,2252.0
10:14.0,J. Konchar makes 3-pt jump shot from 25 ft (assist by J. Nowell),88-84, ,,4,84,88,-4,2266.0
9:51.0, ,88-84,J. Wiseman misses 2-pt hook shot from 3 ft,,4,84,88,-4,2289.0
9:47.0,Defensive rebound by J. Konchar,88-84, ,,4,84,88,-4,2293.0
9:34.0,J. Nowell makes 2-pt jump shot from 17 ft,90-84, ,,4,84,90,-6,2306.0
9:20.0, ,90-84,Detroit full timeout,,4,84,90,-6,2320.0
9:20.0, ,90-84,C. Cunningham enters the game for K. Hayes,,4,84,90,-6,2320.0
9:20.0, ,90-84,J. Duren enters the game for J. Wiseman,,4,84,90,-6,2320.0
9:07.0, ,90-84,A. Thompson misses 3-pt jump shot from 23 ft,,4,84,90,-6,2333.0
9:06.0,Defensive rebound by Team,90-84, ,,4,84,90,-6,2334.0
8:45.0,V. Williams misses 3-pt jump shot from 24 ft,90-84, ,,4,84,90,-6,2355.0
8:43.0, ,90-84,Defensive rebound by J. Duren,,4,84,90,-6,2357.0
8:33.0, ,90-84,Turnover by J. Duren (bad pass; steal by V. Williams),,4,84,90,-6,2367.0
8:19.0,S. Aldama misses 3-pt jump shot from 27 ft,90-84, ,,4,84,90,-6,2381.0
8:17.0, ,90-84,Defensive rebound by Team,,4,84,90,-6,2383.0
8:17.0, ,90-84,B. Bogdanović enters the game for A. Burks,,4,84,90,-6,2383.0
8:01.0, ,90-86,J. Duren makes 2-pt jump shot from 1 ft (assist by C. Cunningham),,4,86,90,-4,2399.0
7:50.0,J. Jackson makes 3-pt jump shot from 31 ft (assist by J. Nowell),93-86, ,,4,86,93,-7,2410.0
7:35.0, ,93-86,A. Thompson misses 3-pt jump shot from 23 ft,,4,86,93,-7,2425.0
7:32.0, ,93-86,Offensive rebound by J. Duren,,4,86,93,-7,2428.0
7:26.0, ,93-86,C. Cunningham misses 3-pt jump shot from 26 ft,,4,86,93,-7,2434.0
7:24.0,Defensive rebound by J. Nowell,93-86, ,,4,86,93,-7,2436.0
7:17.0,J. Jackson misses 2-pt layup from 3 ft (block by J. Ivey),93-86, ,,4,86,93,-7,2443.0
7:12.0, ,93-86,Defensive rebound by C. Cunningham,,4,86,93,-7,2448.0
7:07.0, ,93-86,C. Cunningham misses 3-pt jump shot from 24 ft,,4,86,93,-7,2453.0
7:05.0,Defensive rebound by J. Jackson,93-86, ,,4,86,93,-7,2455.0
6:49.0,S. Aldama makes 3-pt jump shot from 23 ft (assist by J. Konchar),96-86, ,,4,86,96,-10,2471.0
6:34.0, ,96-86,Shooting foul by J. Jackson (drawn by C. Cunningham),,4,86,96,-10,2486.0
6:34.0, ,96-87,C. Cunningham makes free throw 1 of 2,,4,87,96,-9,2486.0
6:34.0,D. Bane enters the game for J. Jackson,96-87, ,,4,87,96,-9,2486.0
6:34.0,B. Biyombo enters the game for J. Nowell,96-87, ,,4,87,96,-9,2486.0
6:34.0,D. Roddy enters the game for V. Williams,96-87, ,,4,87,96,-9,2486.0
6:34.0, ,96-87,I. Livers enters the game for A. Thompson,,4,87,96,-9,2486.0
6:34.0, ,96-88,C. Cunningham makes free throw 2 of 2,,4,88,96,-8,2486.0
6:23.0,D. Bane misses 3-pt jump shot from 25 ft,96-88, ,,4,88,96,-8,2497.0
6:20.0,Offensive rebound by B. Biyombo,96-88, ,,4,88,96,-8,2500.0
6:18.0,S. Aldama misses 3-pt jump shot from 24 ft,96-88, ,,4,88,96,-8,2502.0
6:16.0,Offensive rebound by B. Biyombo,96-88, ,,4,88,96,-8,2504.0
6:12.0,Turnover by D. Bane (bad pass; steal by J. Ivey),96-88, ,,4,88,96,-8,2508.0
5:59.0, ,96-88,J. Ivey misses 3-pt jump shot from 24 ft,,4,88,96,-8,2521.0
5:56.0,Defensive rebound by D. Bane,96-88, ,,4,88,96,-8,2524.0
5:43.0,D. Roddy makes 3-pt jump shot from 23 ft (assist by B. Biyombo),99-88, ,,4,88,99,-11,2537.0
5:32.0, ,99-88,J. Ivey misses 2-pt layup from 3 ft (block by S. Aldama),,4,88,99,-11,2548.0
5:32.0,Defensive rebound by J. Konchar,99-88, ,,4,88,99,-11,2548.0
5:15.0,Shooting foul by I. Livers (drawn by D. Bane),99-88, ,,4,88,99,-11,2565.0
5:15.0,D. Bane makes free throw 1 of 2,100-88, ,,4,88,100,-12,2565.0
5:15.0, ,100-88,I. Stewart enters the game for J. Ivey,,4,88,100,-12,2565.0
5:15.0,D. Bane makes free throw 2 of 2,101-88, ,,4,88,101,-13,2565.0
5:04.0, ,101-88,B. Bogdanović misses 3-pt jump shot from 24 ft,,4,88,101,-13,2576.0
5:01.0, ,101-88,Offensive rebound by I. Stewart,,4,88,101,-13,2579.0
4:53.0, ,101-90,I. Livers makes 2-pt layup from 2 ft,,4,90,101,-11,2587.0
4:33.0,S. Aldama makes 2-pt jump shot from 8 ft (assist by D. Bane),103-90, ,,4,90,103,-13,2607.0
4:20.0, ,103-93,I. Stewart makes 3-pt jump shot from 25 ft (assist by C. Cunningham),,4,93,103,-10,2620.0
3:57.0,D. Bane misses 2-pt jump shot from 5 ft,103-93, ,,4,93,103,-10,2643.0
3:54.0, ,103-93,Defensive rebound by J. Duren,,4,93,103,-10,2646.0
3:46.0, ,103-93,Turnover by C. Cunningham (lost ball; steal by J. Konchar),,4,93,103,-10,2654.0
3:40.0,B. Biyombo makes 2-pt dunk from 2 ft (assist by S. Aldama),105-93, ,,4,93,105,-12,2660.0
3:40.0, ,105-93,Detroit full timeout,,4,93,105,-12,2660.0
3:40.0, ,105-93,K. Hayes enters the game for I. Livers,,4,93,105,-12,2660.0
3:21.0, ,105-96,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by K. Hayes),,4,96,105,-9,2679.0
3:00.0,D. Bane makes 2-pt jump shot from 18 ft,107-96, ,,4,96,107,-11,2700.0
2:44.0, ,107-96,K. Hayes misses 2-pt jump shot from 12 ft,,4,96,107,-11,2716.0
2:40.0,Defensive rebound by J. Konchar,107-96, ,,4,96,107,-11,2720.0
2:29.0,Personal foul by K. Hayes (drawn by D. Bane),107-96, ,,4,96,107,-11,2731.0
2:29.0,J. Jackson enters the game for B. Biyombo,107-96, ,,4,96,107,-11,2731.0
2:15.0,D. Roddy misses 2-pt jump shot from 3 ft,107-96, ,,4,96,107,-11,2745.0
2:13.0, ,107-96,Defensive rebound by J. Duren,,4,96,107,-11,2747.0
2:06.0, ,107-96,B. Bogdanović misses 2-pt jump shot from 14 ft,,4,96,107,-11,2754.0
2:02.0,Defensive rebound by D. Bane,107-96, ,,4,96,107,-11,2758.0
1:58.0,Personal take foul by I. Stewart (drawn by D. Bane),107-96, ,,4,96,107,-11,2762.0
1:58.0, ,107-96,Detroit full timeout,,4,96,107,-11,2762.0
1:58.0, ,107-96,I. Livers enters the game for J. Duren,,4,96,107,-11,2762.0
1:48.0,D. Bane makes 2-pt jump shot from 14 ft,109-96, ,,4,96,109,-13,2772.0
1:41.0, ,109-99,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by C. Cunningham),,4,99,109,-10,2779.0
1:24.0,D. Bane makes 2-pt jump shot from 18 ft,111-99, ,,4,99,111,-12,2796.0
1:17.0, ,111-102,I. Livers makes 3-pt jump shot from 26 ft (assist by C. Cunningham),,4,102,111,-9,2803.0
0:57.0,D. Bane makes 3-pt jump shot from 26 ft,114-102, ,,4,102,114,-12,2823.0
0:41.0, ,114-102,I. Livers misses 3-pt jump shot from 24 ft,,4,102,114,-12,2839.0
0:39.0, ,114-102,Offensive rebound by K. Hayes,,4,102,114,-12,2841.0
0:36.0, ,114-102,K. Hayes misses 2-pt jump shot from 13 ft (block by D. Bane),,4,102,114,-12,2844.0
0:31.0,Defensive rebound by D. Roddy,114-102, ,,4,102,114,-12,2849.0
0:30.0,Turnover by D. Roddy (lost ball; steal by C. Cunningham),114-102, ,,4,102,114,-12,2850.0
0:26.0, ,114-102,Turnover by C. Cunningham (bad pass; steal by D. Roddy),,4,102,114,-12,2854.0
0:21.0,Memphis full timeout,114-102, ,,4,102,114,-12,2859.0
0:21.0,J. Nowell enters the game for D. Roddy,114-102, ,,4,102,114,-12,2859.0
0:20.0,Personal take foul by C. Cunningham (drawn by D. Bane),114-102, ,,4,102,114,-12,2860.0
0:20.0,D. Bane makes free throw 1 of 2,115-102, ,,4,102,115,-13,2860.0
0:20.0,J. Gilyard enters the game for S. Aldama,115-102, ,,4,102,115,-13,2860.0
0:20.0,K. Lofton enters the game for J. Jackson,115-102, ,,4,102,115,-13,2860.0
0:20.0,X. Tillman enters the game for J. Konchar,115-102, ,,4,102,115,-13,2860.0
0:20.0,Z. Williams enters the game for J. Nowell,115-102, ,,4,102,115,-13,2860.0
0:20.0,D. Bane makes free throw 2 of 2,116-102, ,,4,102,116,-14,2860.0
0:14.0, ,116-102,C. Cunningham misses 3-pt jump shot from 28 ft,,4,102,116,-14,2866.0
0:11.0,Defensive rebound by K. Lofton,116-102, ,,4,102,116,-14,2869.0
0:00.0,End of 4th quarter,116-102,,,4,102,116,-14,2880.0
