Time,Detroit,Score,Golden State,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:13.0,Defensive rebound by C. Cunningham,55-60, ,,3,55,60,-5,1667.0
8:09.0,B. Bogdanović misses 3-pt jump shot from 23 ft,55-60, ,,3,55,60,-5,1671.0
8:05.0, ,55-60,Defensive rebound by C. Paul,,3,55,60,-5,1675.0
7:57.0, ,55-60,S. Curry misses 3-pt jump shot from 28 ft,,3,55,60,-5,1683.0
7:53.0,Defensive rebound by J. Duren,55-60, ,,3,55,60,-5,1687.0
7:50.0,Shooting foul by K. Looney (drawn by J. Duren),55-60, ,,3,55,60,-5,1690.0
7:50.0,J. Duren makes free throw 1 of 2,56-60, ,,3,56,60,-4,1690.0
7:50.0, ,56-60,Golden State full timeout,,3,56,60,-4,1690.0
7:50.0,J. Duren misses free throw 2 of 2,56-60, ,,3,56,60,-4,1690.0
7:47.0, ,56-60,Defensive rebound by J. Kuminga,,3,56,60,-4,1693.0
7:23.0, ,56-60,Turnover by Team (shot clock),,3,56,60,-4,1717.0
7:06.0,B. Bogdanović misses 3-pt jump shot from 25 ft,56-60, ,,3,56,60,-4,1734.0
7:03.0, ,56-60,Defensive rebound by C. Paul,,3,56,60,-4,1737.0
6:56.0, ,56-63,C. Paul makes 3-pt jump shot from 27 ft (assist by K. Thompson),,3,56,63,-7,1744.0
6:33.0,Personal foul by K. Thompson (drawn by C. Cunningham),56-63, ,,3,56,63,-7,1767.0
6:33.0,Instant Replay,56-63, ,,3,56,63,-7,1767.0
6:27.0,B. Bogdanović misses 2-pt jump shot from 9 ft,56-63, ,,3,56,63,-7,1773.0
6:25.0, ,56-63,Defensive rebound by C. Paul,,3,56,63,-7,1775.0
6:08.0, ,56-63,C. Paul misses 3-pt jump shot from 27 ft,,3,56,63,-7,1792.0
6:05.0,Defensive rebound by J. Ivey,56-63, ,,3,56,63,-7,1795.0
6:00.0,J. Ivey makes 2-pt layup from 5 ft,58-63, ,,3,58,63,-5,1800.0
5:46.0, ,58-63,S. Curry misses 2-pt jump shot from 18 ft,,3,58,63,-5,1814.0
5:43.0,Defensive rebound by C. Cunningham,58-63, ,,3,58,63,-5,1817.0
5:41.0,B. Bogdanović misses 3-pt jump shot from 28 ft,58-63, ,,3,58,63,-5,1819.0
5:39.0,Offensive rebound by Team,58-63, ,,3,58,63,-5,1821.0
5:39.0, ,58-63,Loose ball foul by K. Looney (drawn by J. Duren),,3,58,63,-5,1821.0
5:39.0, ,58-63,T. Jackson-Davis enters the game for K. Looney,,3,58,63,-5,1821.0
5:39.0, ,58-63,B. Podziemski enters the game for C. Paul,,3,58,63,-5,1821.0
5:39.0, ,58-63,A. Wiggins enters the game for K. Thompson,,3,58,63,-5,1821.0
5:32.0,B. Bogdanović misses 3-pt jump shot from 24 ft,58-63, ,,3,58,63,-5,1828.0
