Time,Chicago,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:19.0, ,66-55,Turnover by T. Brown (bad pass; steal by A. Caruso),,3,55,66,-11,1481.0
11:13.0,J. Green makes 2-pt layup from 2 ft (assist by A. Caruso),68-55, ,,3,55,68,-13,1487.0
10:58.0, ,68-57,J. Duren makes 2-pt layup from 3 ft,,3,57,68,-11,1502.0
10:58.0, ,68-57,Shooting foul by N. Vučević (drawn by J. Duren),,3,57,68,-11,1502.0
10:58.0, ,68-58,J. Duren makes free throw 1 of 1,,3,58,68,-10,1502.0
10:37.0,A. Caruso misses 3-pt jump shot from 23 ft,68-58, ,,3,58,68,-10,1523.0
10:34.0, ,68-58,Defensive rebound by C. Metu,,3,58,68,-10,1526.0
10:19.0, ,68-58,C. Metu misses 3-pt jump shot from 23 ft,,3,58,68,-10,1541.0
10:16.0,Defensive rebound by N. Vučević,68-58, ,,3,58,68,-10,1544.0
10:04.0,C. White makes 3-pt jump shot from 26 ft,71-58, ,,3,58,71,-13,1556.0
9:38.0, ,71-61,M. Sasser makes 3-pt jump shot from 28 ft (assist by J. Ivey),,3,61,71,-10,1582.0
9:12.0,N. Vučević misses 2-pt jump shot from 17 ft,71-61, ,,3,61,71,-10,1608.0
9:08.0, ,71-61,Defensive rebound by J. Ivey,,3,61,71,-10,1612.0
9:02.0, ,71-61,J. Ivey misses 2-pt jump shot from 16 ft,,3,61,71,-10,1618.0
8:59.0,Defensive rebound by D. DeRozan,71-61, ,,3,61,71,-10,1621.0
8:50.0,D. DeRozan makes 2-pt jump shot from 12 ft,73-61, ,,3,61,73,-12,1630.0
8:38.0, ,73-63,J. Duren makes 2-pt dunk from 3 ft (assist by M. Sasser),,3,63,73,-10,1642.0
8:25.0,D. DeRozan misses 2-pt jump shot from 10 ft,73-63, ,,3,63,73,-10,1655.0
8:25.0,Offensive rebound by Team,73-63, ,,3,63,73,-10,1655.0
8:15.0,N. Vučević misses 3-pt jump shot from 27 ft,73-63, ,,3,63,73,-10,1665.0
8:13.0, ,73-63,Defensive rebound by C. Metu,,3,63,73,-10,1667.0
8:04.0, ,73-63,Turnover by J. Duren (lost ball; steal by N. Vučević),,3,63,73,-10,1676.0
7:57.0,C. White makes 3-pt jump shot from 27 ft,76-63, ,,3,63,76,-13,1683.0
7:43.0, ,76-63,M. Sasser misses 3-pt jump shot from 26 ft,,3,63,76,-13,1697.0
7:40.0,Defensive rebound by A. Caruso,76-63, ,,3,63,76,-13,1700.0
7:35.0,C. White misses 3-pt jump shot from 27 ft,76-63, ,,3,63,76,-13,1705.0
7:32.0, ,76-63,Defensive rebound by C. Metu,,3,63,76,-13,1708.0
7:11.0, ,76-66,J. Ivey makes 3-pt jump shot from 24 ft (assist by M. Sasser),,3,66,76,-10,1729.0
6:59.0,N. Vučević makes 2-pt layup from 3 ft (assist by A. Caruso),78-66, ,,3,66,78,-12,1741.0
6:59.0,Violation by Team (delay of game),78-66, ,,3,66,78,-12,1741.0
6:45.0, ,78-66,T. Brown misses 3-pt jump shot from 28 ft,,3,66,78,-12,1755.0
6:42.0,Defensive rebound by N. Vučević,78-66, ,,3,66,78,-12,1758.0
6:41.0,Chicago full timeout,78-66, ,,3,66,78,-12,1759.0
6:41.0,J. Carter enters the game for C. White,78-66, ,,3,66,78,-12,1759.0
6:26.0,J. Carter misses 3-pt jump shot from 22 ft,78-66, ,,3,66,78,-12,1774.0
6:23.0, ,78-66,Defensive rebound by J. Duren,,3,66,78,-12,1777.0
6:21.0, ,78-68,J. Ivey makes 2-pt layup from 3 ft (assist by J. Duren),,3,68,78,-10,1779.0
5:57.0,N. Vučević makes 2-pt hook shot from 3 ft,80-68, ,,3,68,80,-12,1803.0
