Time,Detroit,Score,Oklahoma City,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:01.0, ,36-44,C. Holmgren misses 3-pt jump shot from 25 ft,,2,36,44,-8,1019.0
6:57.0,Defensive rebound by I. Stewart,36-44, ,,2,36,44,-8,1023.0
6:47.0,A. Thompson misses 3-pt jump shot from 22 ft,36-44, ,,2,36,44,-8,1033.0
6:43.0, ,36-44,Defensive rebound by C. Wallace,,2,36,44,-8,1037.0
6:21.0, ,36-46,J. Williams makes 2-pt layup from 1 ft (assist by J. Giddey),,2,36,46,-10,1059.0
6:01.0,K. Hayes misses 2-pt jump shot from 5 ft,36-46, ,,2,36,46,-10,1079.0
5:57.0,Offensive rebound by A. Thompson,36-46, ,,2,36,46,-10,1083.0
5:57.0,A. Thompson misses 2-pt layup at rim,36-46, ,,2,36,46,-10,1083.0
5:56.0, ,36-46,Defensive rebound by J. Williams,,2,36,46,-10,1084.0
5:54.0, ,36-46,Turnover by J. Williams (bad pass; steal by J. Duren),,2,36,46,-10,1086.0
5:54.0, ,36-46,Oklahoma City full timeout,,2,36,46,-10,1086.0
5:54.0,M. Bagley enters the game for J. Duren,36-46, ,,2,36,46,-10,1086.0
5:54.0, ,36-46,D. Bertāns enters the game for O. Dieng,,2,36,46,-10,1086.0
5:54.0, ,36-46,L. Dort enters the game for J. Giddey,,2,36,46,-10,1086.0
5:54.0, ,36-46,S. Gilgeous-Alexander enters the game for C. Holmgren,,2,36,46,-10,1086.0
5:54.0, ,36-46,I. Joe enters the game for C. Wallace,,2,36,46,-10,1086.0
5:54.0, ,36-46,O. Sarr enters the game for J. Williams,,2,36,46,-10,1086.0
5:42.0,Offensive foul by K. Hayes (drawn by I. Joe),36-46, ,,2,36,46,-10,1098.0
5:42.0,Turnover by K. Hayes (offensive foul),36-46, ,,2,36,46,-10,1098.0
5:32.0, ,36-49,D. Bertāns makes 3-pt jump shot from 29 ft (assist by S. Gilgeous-Alexander),,2,36,49,-13,1108.0
5:13.0,I. Stewart misses 3-pt jump shot from 26 ft,36-49, ,,2,36,49,-13,1127.0
5:09.0, ,36-49,Defensive rebound by O. Sarr,,2,36,49,-13,1131.0
5:05.0, ,36-49,L. Dort misses 3-pt jump shot from 27 ft,,2,36,49,-13,1135.0
5:02.0,Defensive rebound by M. Bagley,36-49, ,,2,36,49,-13,1138.0
4:56.0,C. Cunningham misses 3-pt jump shot from 25 ft,36-49, ,,2,36,49,-13,1144.0
4:53.0, ,36-49,Defensive rebound by S. Gilgeous-Alexander,,2,36,49,-13,1147.0
4:41.0, ,36-51,S. Gilgeous-Alexander makes 2-pt jump shot from 10 ft,,2,36,51,-15,1159.0
4:25.0,M. Bagley makes 2-pt jump shot from 5 ft (assist by K. Hayes),38-51, ,,2,38,51,-13,1175.0
4:10.0, ,38-51,S. Gilgeous-Alexander misses 2-pt layup from 5 ft (block by A. Thompson),,2,38,51,-13,1190.0
4:08.0,Defensive rebound by C. Cunningham,38-51, ,,2,38,51,-13,1192.0
4:05.0,C. Cunningham misses 2-pt layup from 2 ft (block by O. Sarr),38-51, ,,2,38,51,-13,1195.0
4:03.0, ,38-51,Defensive rebound by O. Sarr,,2,38,51,-13,1197.0
3:59.0, ,38-51,I. Joe misses 3-pt jump shot from 25 ft,,2,38,51,-13,1201.0
3:56.0,Defensive rebound by K. Hayes,38-51, ,,2,38,51,-13,1204.0
3:42.0,I. Stewart makes 3-pt jump shot from 24 ft (assist by K. Hayes),41-51, ,,2,41,51,-10,1218.0
3:20.0, ,41-51,I. Joe misses 2-pt jump shot from 20 ft,,2,41,51,-10,1240.0
3:18.0,Defensive rebound by I. Stewart,41-51, ,,2,41,51,-10,1242.0
3:06.0, ,41-51,Violation by Team (kicked ball),,2,41,51,-10,1254.0
3:06.0,J. Ivey enters the game for C. Cunningham,41-51, ,,2,41,51,-10,1254.0
3:06.0, ,41-51,C. Holmgren enters the game for O. Sarr,,2,41,51,-10,1254.0
2:57.0,Turnover by A. Thompson (lost ball; steal by C. Holmgren),41-51, ,,2,41,51,-10,1263.0
2:52.0, ,41-51,D. Bertāns misses 3-pt jump shot from 27 ft,,2,41,51,-10,1268.0
2:49.0,Defensive rebound by M. Bagley,41-51, ,,2,41,51,-10,1271.0
2:38.0,K. Hayes misses 2-pt jump shot from 16 ft,41-51, ,,2,41,51,-10,1282.0
2:35.0, ,41-51,Defensive rebound by S. Gilgeous-Alexander,,2,41,51,-10,1285.0
2:30.0, ,41-54,S. Gilgeous-Alexander makes 3-pt jump shot from 27 ft,,2,41,54,-13,1290.0
2:17.0,Shooting foul by D. Bertāns (drawn by M. Bagley),41-54, ,,2,41,54,-13,1303.0
2:17.0,M. Bagley makes free throw 1 of 2,42-54, ,,2,42,54,-12,1303.0
2:17.0,M. Bagley makes free throw 2 of 2,43-54, ,,2,43,54,-11,1303.0
2:05.0, ,43-54,Offensive foul by S. Gilgeous-Alexander (drawn by A. Thompson),,2,43,54,-11,1315.0
2:05.0, ,43-54,Turnover by S. Gilgeous-Alexander (offensive foul),,2,43,54,-11,1315.0
2:05.0, ,43-54,J. Williams enters the game for D. Bertāns,,2,43,54,-11,1315.0
1:54.0,A. Thompson misses 2-pt layup from 3 ft (block by C. Holmgren),43-54, ,,2,43,54,-11,1326.0
1:53.0,Offensive rebound by Team,43-54, ,,2,43,54,-11,1327.0
1:50.0,I. Stewart makes 2-pt layup from 3 ft (assist by K. Hayes),45-54, ,,2,45,54,-9,1330.0
1:37.0, ,45-54,Shooting foul by J. Ivey (drawn by S. Gilgeous-Alexander),,2,45,54,-9,1343.0
1:37.0, ,45-55,S. Gilgeous-Alexander makes free throw 1 of 2,,2,45,55,-10,1343.0
1:37.0,C. Cunningham enters the game for J. Ivey,45-55, ,,2,45,55,-10,1343.0
1:37.0, ,45-56,S. Gilgeous-Alexander makes free throw 2 of 2,,2,45,56,-11,1343.0
1:22.0,A. Thompson misses 2-pt jump shot from 21 ft,45-56, ,,2,45,56,-11,1358.0
1:20.0, ,45-56,Defensive rebound by J. Williams,,2,45,56,-11,1360.0
1:04.0, ,45-56,Turnover by S. Gilgeous-Alexander (traveling),,2,45,56,-11,1376.0
0:42.0,A. Thompson misses 2-pt layup from 8 ft,45-56, ,,2,45,56,-11,1398.0
0:41.0,Offensive rebound by A. Thompson,45-56, ,,2,45,56,-11,1399.0
0:40.0,Shooting foul by I. Joe (drawn by A. Thompson),45-56, ,,2,45,56,-11,1400.0
0:40.0,Instant Replay,45-56, ,,2,45,56,-11,1400.0
0:40.0,A. Burks enters the game for K. Hayes,45-56, ,,2,45,56,-11,1400.0
0:40.0,A. Thompson makes free throw 1 of 2,46-56, ,,2,46,56,-10,1400.0
0:40.0,A. Thompson makes free throw 2 of 2,47-56, ,,2,47,56,-9,1400.0
0:31.0, ,47-56,S. Gilgeous-Alexander misses 2-pt jump shot from 14 ft,,2,47,56,-9,1409.0
0:28.0,Defensive rebound by I. Stewart,47-56, ,,2,47,56,-9,1412.0
0:07.0,Offensive foul by I. Stewart (drawn by L. Dort),47-56, ,,2,47,56,-9,1433.0
0:07.0,Turnover by I. Stewart (offensive foul),47-56, ,,2,47,56,-9,1433.0
0:07.0,Technical foul by I. Stewart,47-56, ,,2,47,56,-9,1433.0
0:07.0, ,47-57,S. Gilgeous-Alexander makes technical free throw,,2,47,57,-10,1433.0
0:07.0,K. Hayes enters the game for M. Bagley,47-57, ,,2,47,57,-10,1433.0
0:07.0, ,47-57,D. Bertāns enters the game for L. Dort,,2,47,57,-10,1433.0
0:02.0, ,47-59,J. Williams makes 2-pt jump shot from 16 ft,,2,47,59,-12,1438.0
0:00.0,End of 2nd quarter,47-59,,,2,47,59,-12,1440.0
12:00.0,Start of 3rd quarter,47-59,,,3,47,59,-12,1440.0
11:47.0, ,47-59,Personal foul by C. Cunningham (drawn by L. Dort),,3,47,59,-12,1453.0
11:35.0, ,47-61,J. Giddey makes 2-pt layup from 2 ft (assist by C. Holmgren),,3,47,61,-14,1465.0
11:18.0,J. Duren misses 2-pt hook shot from 5 ft,47-61, ,,3,47,61,-14,1482.0
11:17.0,Offensive rebound by J. Duren,47-61, ,,3,47,61,-14,1483.0
11:15.0,J. Duren makes 2-pt layup from 2 ft,49-61, ,,3,49,61,-12,1485.0
11:07.0, ,49-63,J. Giddey makes 2-pt jump shot from 2 ft,,3,49,63,-14,1493.0
