Time,Detroit,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:06.0, ,66-88,J. Brown makes free throw 1 of 1,,3,66,88,-22,2034.0
1:48.0,M. Flynn misses 3-pt jump shot from 27 ft (block by X. Tillman),66-88, ,,3,66,88,-22,2052.0
1:46.0, ,66-88,Defensive rebound by J. Brown,,3,66,88,-22,2054.0
1:46.0,T. Brown enters the game for S. Umude,66-88, ,,3,66,88,-22,2054.0
1:33.0, ,66-88,X. Tillman misses 3-pt jump shot from 24 ft,,3,66,88,-22,2067.0
1:31.0,Defensive rebound by T. Brown,66-88, ,,3,66,88,-22,2069.0
1:14.0,J. Wiseman misses 2-pt jump shot from 6 ft,66-88, ,,3,66,88,-22,2086.0
1:11.0, ,66-88,Defensive rebound by X. Tillman,,3,66,88,-22,2089.0
1:03.0, ,66-90,J. Brown makes 2-pt layup from 8 ft (assist by S. Mykhailiuk),,3,66,90,-24,2097.0
1:03.0, ,66-90,Shooting foul by J. Wiseman (drawn by J. Brown),,3,66,90,-24,2097.0
1:03.0, ,66-90,J. Brown misses free throw 1 of 1,,3,66,90,-24,2097.0
1:03.0,Defensive rebound by T. Evbuomwan,66-90, ,,3,66,90,-24,2097.0
0:47.0,E. Fournier misses 3-pt jump shot from 25 ft,66-90, ,,3,66,90,-24,2113.0
0:44.0, ,66-90,Defensive rebound by J. Brown,,3,66,90,-24,2116.0
0:33.0, ,66-92,J. Brown makes 2-pt dunk from 1 ft,,3,66,92,-26,2127.0
0:15.0,Offensive foul by J. Wiseman (drawn by J. Brown),66-92, ,,3,66,92,-26,2145.0
0:15.0,Turnover by J. Wiseman (offensive foul),66-92, ,,3,66,92,-26,2145.0
0:00.0, ,66-92,K. Porziņģis misses 3-pt jump shot from 27 ft,,3,66,92,-26,2160.0
0:00.0, ,66-92,Offensive rebound by Team,,3,66,92,-26,2160.0
0:00.0,End of 3rd quarter,66-92,,,3,66,92,-26,2160.0
12:00.0,Start of 4th quarter,66-92,,,4,66,92,-26,2160.0
11:38.0, ,66-92,D. White misses 2-pt jump shot from 18 ft,,4,66,92,-26,2182.0
11:36.0,Defensive rebound by T. Brown,66-92, ,,4,66,92,-26,2184.0
11:24.0,T. Evbuomwan misses 2-pt layup from 5 ft,66-92, ,,4,66,92,-26,2196.0
11:23.0,Offensive rebound by J. Wiseman,66-92, ,,4,66,92,-26,2197.0
11:22.0,J. Wiseman misses 2-pt dunk from 3 ft (block by J. Springer),66-92, ,,4,66,92,-26,2198.0
11:20.0, ,66-92,Defensive rebound by D. White,,4,66,92,-26,2200.0
11:15.0, ,66-92,J. Springer misses 3-pt jump shot from 27 ft,,4,66,92,-26,2205.0
11:12.0,Defensive rebound by E. Fournier,66-92, ,,4,66,92,-26,2208.0
11:03.0,T. Evbuomwan makes 3-pt jump shot from 24 ft (assist by M. Flynn),69-92, ,,4,69,92,-23,2217.0
10:45.0, ,69-92,Personal foul by E. Fournier (drawn by S. Mykhailiuk),,4,69,92,-23,2235.0
10:45.0,M. Sasser enters the game for T. Brown,69-92, ,,4,69,92,-23,2235.0
10:32.0, ,69-92,K. Porziņģis misses 2-pt jump shot from 14 ft,,4,69,92,-23,2248.0
10:31.0, ,69-92,Offensive rebound by Team,,4,69,92,-23,2249.0
10:31.0, ,69-92,Turnover by Team (shot clock),,4,69,92,-23,2249.0
10:12.0,J. Wiseman makes 2-pt dunk from 3 ft (assist by E. Fournier),71-92, ,,4,71,92,-21,2268.0
10:12.0,Shooting foul by K. Porziņģis (drawn by J. Wiseman),71-92, ,,4,71,92,-21,2268.0
10:12.0,J. Wiseman makes free throw 1 of 1,72-92, ,,4,72,92,-20,2268.0
9:52.0, ,72-95,D. White makes 3-pt jump shot from 27 ft (assist by J. Springer),,4,72,95,-23,2288.0
9:33.0,J. Wiseman misses 2-pt jump shot from 12 ft,72-95, ,,4,72,95,-23,2307.0
9:30.0, ,72-95,Defensive rebound by D. White,,4,72,95,-23,2310.0
9:25.0, ,72-98,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by D. White),,4,72,98,-26,2315.0
9:06.0,M. Sasser misses 3-pt jump shot from 27 ft,72-98, ,,4,72,98,-26,2334.0
9:05.0, ,72-98,Defensive rebound by S. Mykhailiuk,,4,72,98,-26,2335.0
8:52.0, ,72-98,O. Brissett misses 3-pt jump shot from 26 ft,,4,72,98,-26,2348.0
8:49.0,Defensive rebound by M. Flynn,72-98, ,,4,72,98,-26,2351.0
8:43.0,Personal foul by J. Springer (drawn by M. Flynn),72-98, ,,4,72,98,-26,2357.0
8:43.0, ,72-98,L. Kornet enters the game for K. Porziņģis,,4,72,98,-26,2357.0
8:35.0,M. Flynn makes 3-pt jump shot from 27 ft,75-98, ,,4,75,98,-23,2365.0
8:16.0, ,75-98,Turnover by D. White (bad pass; steal by T. Evbuomwan),,4,75,98,-23,2384.0
8:12.0,M. Flynn misses 2-pt layup from 4 ft (block by D. White),75-98, ,,4,75,98,-23,2388.0
8:09.0, ,75-98,Defensive rebound by S. Mykhailiuk,,4,75,98,-23,2391.0
7:53.0, ,75-98,Turnover by D. White (bad pass; steal by M. Sasser),,4,75,98,-23,2407.0
7:46.0,Turnover by M. Sasser (bad pass; steal by L. Kornet),75-98, ,,4,75,98,-23,2414.0
7:37.0, ,75-98,J. Springer misses 3-pt jump shot from 26 ft,,4,75,98,-23,2423.0
7:35.0, ,75-98,Offensive rebound by L. Kornet,,4,75,98,-23,2425.0
7:34.0, ,75-98,L. Kornet misses 2-pt layup from 2 ft,,4,75,98,-23,2426.0
7:32.0,Defensive rebound by T. Evbuomwan,75-98, ,,4,75,98,-23,2428.0
7:18.0,Turnover by T. Evbuomwan (bad pass; steal by D. White),75-98, ,,4,75,98,-23,2442.0
6:57.0, ,75-98,O. Brissett misses 2-pt layup from 2 ft,,4,75,98,-23,2463.0
6:55.0, ,75-98,Offensive rebound by J. Springer,,4,75,98,-23,2465.0
6:53.0, ,75-101,S. Mykhailiuk makes 3-pt jump shot from 26 ft (assist by J. Springer),,4,75,101,-26,2467.0
6:39.0,M. Flynn misses 3-pt jump shot from 27 ft,75-101, ,,4,75,101,-26,2481.0
6:38.0, ,75-101,Defensive rebound by Team,,4,75,101,-26,2482.0
6:38.0, ,75-101,Boston full timeout,,4,75,101,-26,2482.0
6:38.0,J. Ivey enters the game for M. Flynn,75-101, ,,4,75,101,-26,2482.0
6:38.0, ,75-101,P. Pritchard enters the game for J. Springer,,4,75,101,-26,2482.0
6:25.0, ,75-104,P. Pritchard makes 3-pt jump shot from 27 ft (assist by D. White),,4,75,104,-29,2495.0
6:00.0,T. Evbuomwan makes 2-pt layup from 6 ft (assist by J. Ivey),77-104, ,,4,77,104,-27,2520.0
5:36.0, ,77-104,P. Pritchard misses 2-pt jump shot from 13 ft,,4,77,104,-27,2544.0
5:34.0, ,77-104,Offensive rebound by P. Pritchard,,4,77,104,-27,2546.0
5:33.0, ,77-104,S. Mykhailiuk misses 3-pt jump shot from 28 ft,,4,77,104,-27,2547.0
5:31.0,Defensive rebound by J. Wiseman,77-104, ,,4,77,104,-27,2549.0
5:16.0,M. Sasser makes 2-pt jump shot from 10 ft (assist by J. Ivey),79-104, ,,4,79,104,-25,2564.0
4:49.0, ,79-104,Turnover by D. White (bad pass; steal by J. Wiseman),,4,79,104,-25,2591.0
4:43.0,M. Sasser makes 2-pt layup from 4 ft,81-104, ,,4,81,104,-23,2597.0
4:29.0, ,81-104,Shooting foul by T. Evbuomwan (drawn by P. Pritchard),,4,81,104,-23,2611.0
4:29.0, ,81-105,P. Pritchard makes free throw 1 of 2,,4,81,105,-24,2611.0
4:29.0,S. Umude enters the game for E. Fournier,81-105, ,,4,81,105,-24,2611.0
4:29.0, ,81-105,J. Springer enters the game for D. White,,4,81,105,-24,2611.0
4:29.0, ,81-106,P. Pritchard makes free throw 2 of 2,,4,81,106,-25,2611.0
4:12.0,J. Ivey misses 2-pt jump shot from 16 ft,81-106, ,,4,81,106,-25,2628.0
4:10.0,Offensive rebound by J. Wiseman,81-106, ,,4,81,106,-25,2630.0
4:09.0,J. Wiseman makes 2-pt dunk from 2 ft,83-106, ,,4,83,106,-23,2631.0
4:09.0,Shooting foul by L. Kornet (drawn by J. Wiseman),83-106, ,,4,83,106,-23,2631.0
4:09.0, ,83-106,J. Walsh enters the game for L. Kornet,,4,83,106,-23,2631.0
4:09.0,J. Wiseman makes free throw 1 of 1,84-106, ,,4,84,106,-22,2631.0
3:58.0, ,84-106,O. Brissett misses 2-pt layup from 6 ft,,4,84,106,-22,2642.0
3:57.0,Defensive rebound by S. Umude,84-106, ,,4,84,106,-22,2643.0
3:52.0,Shooting foul by J. Springer (drawn by T. Evbuomwan),84-106, ,,4,84,106,-22,2648.0
3:52.0,T. Evbuomwan makes free throw 1 of 2,85-106, ,,4,85,106,-21,2648.0
3:52.0,T. Evbuomwan misses free throw 2 of 2,85-106, ,,4,85,106,-21,2648.0
3:52.0, ,85-106,Defensive rebound by J. Walsh,,4,85,106,-21,2648.0
3:34.0, ,85-109,O. Brissett makes 3-pt jump shot from 26 ft (assist by P. Pritchard),,4,85,109,-24,2666.0
3:18.0,J. Wiseman misses 2-pt dunk from 5 ft,85-109, ,,4,85,109,-24,2682.0
3:16.0,Offensive rebound by S. Umude,85-109, ,,4,85,109,-24,2684.0
3:15.0,S. Umude makes 2-pt dunk from 2 ft,87-109, ,,4,87,109,-22,2685.0
2:59.0, ,87-109,P. Pritchard misses 2-pt jump shot from 7 ft (block by J. Ivey),,4,87,109,-22,2701.0
2:57.0,Defensive rebound by M. Sasser,87-109, ,,4,87,109,-22,2703.0
2:50.0,S. Umude misses 2-pt jump shot from 9 ft,87-109, ,,4,87,109,-22,2710.0
2:48.0,Offensive rebound by J. Wiseman,87-109, ,,4,87,109,-22,2712.0
2:44.0,J. Wiseman makes 2-pt hook shot from 8 ft,89-109, ,,4,89,109,-20,2716.0
2:28.0, ,89-112,P. Pritchard makes 3-pt jump shot from 28 ft (assist by J. Walsh),,4,89,112,-23,2732.0
2:00.0,J. Ivey misses 2-pt jump shot from 13 ft,89-112, ,,4,89,112,-23,2760.0
1:56.0, ,89-112,Defensive rebound by O. Brissett,,4,89,112,-23,2764.0
1:42.0, ,89-115,P. Pritchard makes 3-pt jump shot from 23 ft (assist by J. Springer),,4,89,115,-26,2778.0
1:42.0,Detroit full timeout,89-115, ,,4,89,115,-26,2778.0
1:32.0,Turnover by M. Sasser (bad pass; steal by S. Mykhailiuk),89-115, ,,4,89,115,-26,2788.0
1:27.0, ,89-117,J. Walsh makes 2-pt dunk from 2 ft (assist by J. Springer),,4,89,117,-28,2793.0
1:10.0,T. Evbuomwan makes 3-pt jump shot from 24 ft (assist by J. Ivey),92-117, ,,4,92,117,-25,2810.0
1:00.0, ,92-117,S. Mykhailiuk misses 3-pt jump shot from 30 ft,,4,92,117,-25,2820.0
0:57.0, ,92-117,Offensive rebound by J. Walsh,,4,92,117,-25,2823.0
0:54.0, ,92-119,J. Springer makes 2-pt jump shot from 9 ft (assist by J. Walsh),,4,92,119,-27,2826.0
0:42.0,Shooting foul by O. Brissett (drawn by J. Wiseman),92-119, ,,4,92,119,-27,2838.0
0:42.0,J. Wiseman makes free throw 1 of 2,93-119, ,,4,93,119,-26,2838.0
0:42.0,M. Flynn enters the game for J. Ivey,93-119, ,,4,93,119,-26,2838.0
0:42.0,J. Wiseman makes free throw 2 of 2,94-119, ,,4,94,119,-25,2838.0
0:18.0, ,94-119,Turnover by Team (shot clock),,4,94,119,-25,2862.0
0:00.0,End of 4th quarter,94-119,,,4,94,119,-25,2880.0
