Time,Milwaukee,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:04.0,G. Antetokounmpo makes 2-pt jump shot from 19 ft,71-66, ,,3,66,71,-5,1676.0
7:42.0, ,71-69,B. Bogdanović makes 3-pt jump shot from 27 ft,,3,69,71,-2,1698.0
7:23.0,K. Middleton makes 2-pt jump shot from 8 ft (assist by G. Antetokounmpo),73-69, ,,3,69,73,-4,1717.0
7:04.0, ,73-71,B. Bogdanović makes 2-pt jump shot from 10 ft (assist by J. Ivey),,3,71,73,-2,1736.0
6:50.0,G. Antetokounmpo misses 3-pt jump shot from 24 ft,73-71, ,,3,71,73,-2,1750.0
6:49.0, ,73-71,Defensive rebound by J. Ivey,,3,71,73,-2,1751.0
6:45.0, ,73-71,J. Ivey misses 3-pt jump shot from 25 ft,,3,71,73,-2,1755.0
6:41.0,Defensive rebound by G. Antetokounmpo,73-71, ,,3,71,73,-2,1759.0
6:35.0,M. Beasley makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),76-71, ,,3,71,76,-5,1765.0
6:35.0, ,76-71,Detroit full timeout,,3,71,76,-5,1765.0
6:35.0, ,76-71,A. Burks enters the game for K. Hayes,,3,71,76,-5,1765.0
6:35.0, ,76-71,I. Stewart enters the game for K. Knox,,3,71,76,-5,1765.0
6:18.0, ,76-71,A. Burks misses 2-pt jump shot from 17 ft,,3,71,76,-5,1782.0
6:16.0,Defensive rebound by G. Antetokounmpo,76-71, ,,3,71,76,-5,1784.0
6:08.0,M. Beasley misses 3-pt jump shot from 25 ft,76-71, ,,3,71,76,-5,1792.0
6:07.0,Offensive rebound by Team,76-71, ,,3,71,76,-5,1793.0
6:07.0, ,76-71,Loose ball foul by A. Burks (drawn by K. Middleton),,3,71,76,-5,1793.0
6:07.0,K. Middleton makes free throw 1 of 2,77-71, ,,3,71,77,-6,1793.0
6:07.0,B. Portis enters the game for B. Lopez,77-71, ,,3,71,77,-6,1793.0
6:07.0,K. Middleton makes free throw 2 of 2,78-71, ,,3,71,78,-7,1793.0
5:58.0, ,78-71,Personal foul by M. Beasley (drawn by J. Ivey),,3,71,78,-7,1802.0
5:58.0,J. Crowder enters the game for K. Middleton,78-71, ,,3,71,78,-7,1802.0
5:49.0, ,78-71,Shooting foul by G. Antetokounmpo (drawn by I. Stewart),,3,71,78,-7,1811.0
5:49.0, ,78-72,I. Stewart makes free throw 1 of 2,,3,72,78,-6,1811.0
5:49.0, ,78-73,I. Stewart makes free throw 2 of 2,,3,73,78,-5,1811.0
5:43.0,Offensive foul by J. Crowder (drawn by I. Stewart),78-73, ,,3,73,78,-5,1817.0
5:43.0,Turnover by J. Crowder (offensive foul),78-73, ,,3,73,78,-5,1817.0
5:31.0, ,78-73,B. Bogdanović misses 2-pt layup from 1 ft,,3,73,78,-5,1829.0
5:30.0,Defensive rebound by G. Antetokounmpo,78-73, ,,3,73,78,-5,1830.0
5:21.0,M. Beasley makes 2-pt layup from 1 ft (assist by J. Crowder),80-73, ,,3,73,80,-7,1839.0
5:12.0, ,80-73,J. Ivey misses 2-pt layup from 3 ft (block by B. Portis),,3,73,80,-7,1848.0
5:10.0,Defensive rebound by M. Beasley,80-73, ,,3,73,80,-7,1850.0
5:05.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by M. Beasley),82-73, ,,3,73,82,-9,1855.0
4:50.0, ,82-73,J. Duren misses 2-pt layup from 5 ft (block by G. Antetokounmpo),,3,73,82,-9,1870.0
4:47.0, ,82-73,Offensive rebound by J. Duren,,3,73,82,-9,1873.0
4:46.0, ,82-75,J. Duren makes 2-pt hook shot from 1 ft,,3,75,82,-7,1874.0
4:38.0,Personal foul by A. Burks (drawn by D. Lillard),82-75, ,,3,75,82,-7,1882.0
4:38.0,D. Lillard makes free throw 1 of 2,83-75, ,,3,75,83,-8,1882.0
4:38.0, ,83-75,D. Gallinari enters the game for B. Bogdanović,,3,75,83,-8,1882.0
4:38.0, ,83-75,M. Sasser enters the game for J. Duren,,3,75,83,-8,1882.0
4:38.0, ,83-75,A. Thompson enters the game for J. Ivey,,3,75,83,-8,1882.0
4:38.0,D. Lillard makes free throw 2 of 2,84-75, ,,3,75,84,-9,1882.0
4:23.0, ,84-75,Shooting foul by B. Portis (drawn by I. Stewart),,3,75,84,-9,1897.0
4:23.0, ,84-75,I. Stewart misses free throw 1 of 2,,3,75,84,-9,1897.0
4:23.0, ,84-75,Offensive rebound by Team,,3,75,84,-9,1897.0
4:23.0, ,84-76,I. Stewart makes free throw 2 of 2,,3,76,84,-8,1897.0
4:09.0,G. Antetokounmpo misses 2-pt hook shot from 4 ft,84-76, ,,3,76,84,-8,1911.0
4:08.0, ,84-76,Defensive rebound by D. Gallinari,,3,76,84,-8,1912.0
3:55.0, ,84-76,D. Gallinari misses 2-pt jump shot from 12 ft,,3,76,84,-8,1925.0
3:53.0,Defensive rebound by J. Crowder,84-76, ,,3,76,84,-8,1927.0
3:40.0,J. Crowder misses 3-pt jump shot from 24 ft,84-76, ,,3,76,84,-8,1940.0
3:34.0, ,84-76,Defensive rebound by Team,,3,76,84,-8,1946.0
3:34.0,Violation by Team (kicked ball),84-76, ,,3,76,84,-8,1946.0
3:23.0, ,84-76,M. Sasser misses 3-pt jump shot from 26 ft,,3,76,84,-8,1957.0
3:19.0,Defensive rebound by Team,84-76, ,,3,76,84,-8,1961.0
3:19.0,A. Jackson enters the game for G. Antetokounmpo,84-76, ,,3,76,84,-8,1961.0
3:19.0,B. Lopez enters the game for M. Beasley,84-76, ,,3,76,84,-8,1961.0
3:03.0,J. Crowder misses 2-pt layup from 2 ft (block by I. Stewart),84-76, ,,3,76,84,-8,1977.0
3:01.0,Offensive rebound by B. Portis,84-76, ,,3,76,84,-8,1979.0
2:59.0,J. Crowder misses 3-pt jump shot from 25 ft,84-76, ,,3,76,84,-8,1981.0
2:56.0, ,84-76,Defensive rebound by A. Burks,,3,76,84,-8,1984.0
2:44.0, ,84-79,I. Stewart makes 3-pt jump shot from 23 ft (assist by D. Gallinari),,3,79,84,-5,1996.0
2:42.0,Milwaukee full timeout,84-79, ,,3,79,84,-5,1998.0
2:29.0,Turnover by D. Lillard (bad pass; steal by I. Stewart),84-79, ,,3,79,84,-5,2011.0
2:14.0, ,84-79,I. Stewart misses 3-pt jump shot from 25 ft,,3,79,84,-5,2026.0
2:12.0,Defensive rebound by Team,84-79, ,,3,79,84,-5,2028.0
1:48.0,D. Lillard misses 3-pt jump shot from 24 ft,84-79, ,,3,79,84,-5,2052.0
1:45.0, ,84-79,Defensive rebound by I. Stewart,,3,79,84,-5,2055.0
1:42.0, ,84-79,Personal foul by A. Jackson (drawn by M. Sasser),,3,79,84,-5,2058.0
1:32.0, ,84-79,A. Burks misses 3-pt jump shot from 26 ft,,3,79,84,-5,2068.0
1:25.0,Defensive rebound by B. Portis,84-79, ,,3,79,84,-5,2075.0
1:07.0,J. Crowder makes 3-pt jump shot from 24 ft (assist by B. Lopez),87-79, ,,3,79,87,-8,2093.0
0:48.0, ,87-81,M. Sasser makes 2-pt layup from 4 ft (assist by I. Stewart),,3,81,87,-6,2112.0
0:48.0, ,87-81,Shooting foul by B. Lopez (drawn by M. Sasser),,3,81,87,-6,2112.0
0:48.0, ,87-82,M. Sasser makes free throw 1 of 1,,3,82,87,-5,2112.0
0:30.0,A. Jackson makes 2-pt jump shot from 5 ft (assist by D. Lillard),89-82, ,,3,82,89,-7,2130.0
0:09.0, ,89-82,Shooting foul by A. Jackson (drawn by M. Sasser),,3,82,89,-7,2151.0
0:09.0,Technical foul by B. Portis,89-82, ,,3,82,89,-7,2151.0
0:09.0, ,89-83,D. Gallinari makes technical free throw,,3,83,89,-6,2151.0
0:09.0, ,89-84,M. Sasser makes free throw 1 of 2,,3,84,89,-5,2151.0
0:09.0,K. Middleton enters the game for A. Jackson,89-84, ,,3,84,89,-5,2151.0
0:09.0, ,89-84,J. Duren enters the game for D. Gallinari,,3,84,89,-5,2151.0
0:09.0, ,89-85,M. Sasser makes free throw 2 of 2,,3,85,89,-4,2151.0
0:00.0,B. Portis misses 3-pt jump shot from 23 ft,89-85, ,,3,85,89,-4,2160.0
0:00.0,Offensive rebound by Team,89-85, ,,3,85,89,-4,2160.0
0:00.0,End of 3rd quarter,89-85,,,3,85,89,-4,2160.0
12:00.0,Start of 4th quarter,89-85,,,4,85,89,-4,2160.0
11:51.0,Violation by Team (kicked ball),89-85, ,,4,85,89,-4,2169.0
11:46.0, ,89-85,Shooting foul by A. Jackson (drawn by I. Stewart),,4,85,89,-4,2174.0
11:46.0, ,89-86,I. Stewart makes free throw 1 of 2,,4,86,89,-3,2174.0
11:46.0, ,89-87,I. Stewart makes free throw 2 of 2,,4,87,89,-2,2174.0
11:36.0,Shooting foul by A. Thompson (drawn by K. Middleton),89-87, ,,4,87,89,-2,2184.0
11:36.0,K. Middleton makes free throw 1 of 2,90-87, ,,4,87,90,-3,2184.0
11:36.0,K. Middleton makes free throw 2 of 2,91-87, ,,4,87,91,-4,2184.0
11:24.0, ,91-89,I. Stewart makes 2-pt hook shot from 3 ft (assist by M. Sasser),,4,89,91,-2,2196.0
11:10.0,P. Connaughton makes 2-pt layup from 3 ft (assist by B. Lopez),93-89, ,,4,89,93,-4,2210.0
11:00.0, ,93-89,Personal foul by A. Jackson (drawn by A. Burks),,4,89,93,-4,2220.0
10:46.0, ,93-92,A. Burks makes 3-pt jump shot from 25 ft,,4,92,93,-1,2234.0
10:28.0,Personal foul by M. Muscala (drawn by B. Portis),93-92, ,,4,92,93,-1,2252.0
10:28.0,M. Beasley enters the game for A. Jackson,93-92, ,,4,92,93,-1,2252.0
10:19.0,K. Middleton makes 2-pt jump shot from 16 ft,95-92, ,,4,92,95,-3,2261.0
10:08.0, ,95-94,I. Stewart makes 2-pt layup from 3 ft (assist by A. Burks),,4,94,95,-1,2272.0
9:54.0,B. Portis misses 3-pt jump shot from 25 ft,95-94, ,,4,94,95,-1,2286.0
9:51.0, ,95-94,Defensive rebound by I. Stewart,,4,94,95,-1,2289.0
9:45.0, ,95-94,M. Sasser misses 2-pt layup from 6 ft (block by B. Lopez),,4,94,95,-1,2295.0
9:45.0,Defensive rebound by B. Portis,95-94, ,,4,94,95,-1,2295.0
9:39.0,M. Beasley misses 2-pt jump shot from 3 ft,95-94, ,,4,94,95,-1,2301.0
9:36.0,Offensive rebound by Team,95-94, ,,4,94,95,-1,2304.0
9:36.0,G. Antetokounmpo enters the game for B. Lopez,95-94, ,,4,94,95,-1,2304.0
9:30.0,G. Antetokounmpo misses 2-pt hook shot from 3 ft (block by I. Stewart),95-94, ,,4,94,95,-1,2310.0
9:27.0, ,95-94,Defensive rebound by A. Thompson,,4,94,95,-1,2313.0
9:24.0, ,95-96,M. Sasser makes 2-pt layup from 2 ft (assist by A. Thompson),Lead change,4,96,95,1,2316.0
9:22.0,Milwaukee full timeout,95-96, ,,4,96,95,1,2318.0
9:08.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),97-96, ,Lead change,4,96,97,-1,2332.0
8:53.0, ,97-96,Personal foul by P. Connaughton (drawn by I. Stewart),,4,96,97,-1,2347.0
8:53.0,A. Jackson enters the game for P. Connaughton,97-96, ,,4,96,97,-1,2347.0
8:46.0, ,97-96,Shooting foul by K. Middleton (drawn by I. Stewart),,4,96,97,-1,2354.0
8:46.0, ,97-97,I. Stewart makes free throw 1 of 2,Tie,4,97,97,0,2354.0
8:46.0,B. Lopez enters the game for B. Portis,97-97, ,,4,97,97,0,2354.0
8:46.0, ,97-98,I. Stewart makes free throw 2 of 2,Lead change,4,98,97,1,2354.0
8:35.0,K. Middleton makes 2-pt jump shot from 7 ft (assist by M. Beasley),99-98, ,Lead change,4,98,99,-1,2365.0
8:21.0, ,99-98,M. Sasser misses 2-pt jump shot from 8 ft,,4,98,99,-1,2379.0
8:20.0, ,99-98,Offensive rebound by I. Stewart,,4,98,99,-1,2380.0
8:17.0, ,99-98,A. Thompson misses 2-pt layup from 2 ft,,4,98,99,-1,2383.0
8:17.0,Defensive rebound by A. Jackson,99-98, ,,4,98,99,-1,2383.0
8:13.0,Shooting foul by M. Sasser (drawn by G. Antetokounmpo),99-98, ,,4,98,99,-1,2387.0
8:13.0,G. Antetokounmpo misses free throw 1 of 2,99-98, ,,4,98,99,-1,2387.0
8:13.0,Offensive rebound by Team,99-98, ,,4,98,99,-1,2387.0
8:13.0, ,99-98,J. Duren enters the game for I. Stewart,,4,98,99,-1,2387.0
8:13.0, ,99-98,J. Ivey enters the game for A. Thompson,,4,98,99,-1,2387.0
8:13.0,G. Antetokounmpo makes free throw 2 of 2,100-98, ,,4,98,100,-2,2387.0
8:01.0, ,100-100,M. Sasser makes 2-pt jump shot from 8 ft,Tie,4,100,100,0,2399.0
7:48.0,G. Antetokounmpo makes 2-pt dunk from 1 ft,102-100, ,,4,100,102,-2,2412.0
7:34.0, ,102-100,M. Sasser misses 3-pt jump shot from 26 ft,,4,100,102,-2,2426.0
7:32.0, ,102-100,Offensive rebound by M. Muscala,,4,100,102,-2,2428.0
7:30.0, ,102-103,A. Burks makes 3-pt jump shot from 25 ft (assist by M. Muscala),Lead change,4,103,102,1,2430.0
7:18.0,G. Antetokounmpo misses 2-pt layup from 1 ft,102-103, ,,4,103,102,1,2442.0
7:15.0,Offensive rebound by B. Lopez,102-103, ,,4,103,102,1,2445.0
7:14.0,B. Lopez makes 2-pt dunk at rim,104-103, ,Lead change,4,103,104,-1,2446.0
6:58.0, ,104-103,Shooting foul by B. Lopez (drawn by J. Duren),,4,103,104,-1,2462.0
6:58.0, ,104-104,J. Duren makes free throw 1 of 2,Tie,4,104,104,0,2462.0
6:58.0,D. Lillard enters the game for A. Jackson,104-104, ,,4,104,104,0,2462.0
6:58.0, ,104-105,J. Duren makes free throw 2 of 2,Lead change,4,105,104,1,2462.0
6:46.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),107-105, ,Lead change,4,105,107,-2,2474.0
6:24.0, ,107-107,J. Ivey makes 2-pt layup from 2 ft (assist by J. Duren),Tie,4,107,107,0,2496.0
6:11.0,M. Beasley misses 2-pt layup from 2 ft,107-107, ,,4,107,107,0,2509.0
6:09.0,Offensive rebound by B. Lopez,107-107, ,,4,107,107,0,2511.0
6:07.0,D. Lillard misses 3-pt jump shot from 28 ft,107-107, ,,4,107,107,0,2513.0
6:04.0, ,107-107,Defensive rebound by J. Duren,,4,107,107,0,2516.0
5:52.0, ,107-109,M. Sasser makes 2-pt jump shot from 9 ft,Lead change,4,109,107,2,2528.0
5:30.0,G. Antetokounmpo misses 2-pt jump shot from 16 ft,107-109, ,,4,109,107,2,2550.0
5:26.0, ,107-109,Defensive rebound by M. Muscala,,4,109,107,2,2554.0
5:10.0, ,107-109,M. Sasser misses 2-pt jump shot from 13 ft,,4,109,107,2,2570.0
5:07.0,Defensive rebound by G. Antetokounmpo,107-109, ,,4,109,107,2,2573.0
4:59.0,B. Lopez makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),110-109, ,Lead change,4,109,110,-1,2581.0
4:41.0, ,110-109,A. Burks misses 3-pt jump shot from 26 ft,,4,109,110,-1,2599.0
4:38.0,Defensive rebound by G. Antetokounmpo,110-109, ,,4,109,110,-1,2602.0
4:35.0,G. Antetokounmpo makes 2-pt layup from 2 ft,112-109, ,,4,109,112,-3,2605.0
4:35.0,Shooting foul by J. Duren (drawn by G. Antetokounmpo),112-109, ,,4,109,112,-3,2605.0
4:35.0, ,112-109,I. Stewart enters the game for M. Muscala,,4,109,112,-3,2605.0
4:35.0,G. Antetokounmpo misses free throw 1 of 1,112-109, ,,4,109,112,-3,2605.0
4:35.0,Offensive rebound by B. Lopez,112-109, ,,4,109,112,-3,2605.0
4:27.0,D. Lillard misses 3-pt jump shot from 26 ft,112-109, ,,4,109,112,-3,2613.0
4:24.0,Offensive rebound by M. Beasley,112-109, ,,4,109,112,-3,2616.0
4:24.0,M. Beasley misses 2-pt layup at rim,112-109, ,,4,109,112,-3,2616.0
4:23.0, ,112-109,Defensive rebound by M. Sasser,,4,109,112,-3,2617.0
4:15.0, ,112-111,J. Ivey makes 2-pt jump shot from 8 ft,,4,111,112,-1,2625.0
4:03.0,Shooting foul by J. Duren (drawn by G. Antetokounmpo),112-111, ,,4,111,112,-1,2637.0
4:03.0,G. Antetokounmpo makes free throw 1 of 2,113-111, ,,4,111,113,-2,2637.0
4:03.0, ,113-111,Detroit full timeout,,4,111,113,-2,2637.0
4:03.0,G. Antetokounmpo makes free throw 2 of 2,114-111, ,,4,111,114,-3,2637.0
3:49.0, ,114-111,J. Ivey misses 3-pt jump shot from 28 ft,,4,111,114,-3,2651.0
3:45.0,Defensive rebound by K. Middleton,114-111, ,,4,111,114,-3,2655.0
3:30.0,M. Beasley makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),117-111, ,,4,111,117,-6,2670.0
3:12.0, ,117-111,I. Stewart misses 3-pt jump shot from 24 ft,,4,111,117,-6,2688.0
3:10.0,Defensive rebound by G. Antetokounmpo,117-111, ,,4,111,117,-6,2690.0
2:52.0,G. Antetokounmpo misses 2-pt hook shot from 4 ft (block by I. Stewart),117-111, ,,4,111,117,-6,2708.0
2:49.0,Offensive rebound by G. Antetokounmpo,117-111, ,,4,111,117,-6,2711.0
2:48.0,Turnover by B. Lopez (bad pass; steal by M. Sasser),117-111, ,,4,111,117,-6,2712.0
2:44.0, ,117-111,Turnover by M. Sasser (lost ball; steal by G. Antetokounmpo),,4,111,117,-6,2716.0
2:41.0,B. Lopez makes 2-pt dunk from 1 ft,119-111, ,,4,111,119,-8,2719.0
2:33.0, ,119-111,M. Sasser misses 3-pt jump shot from 23 ft,,4,111,119,-8,2727.0
2:31.0,Defensive rebound by D. Lillard,119-111, ,,4,111,119,-8,2729.0
2:13.0,D. Lillard misses 3-pt jump shot from 28 ft,119-111, ,,4,111,119,-8,2747.0
2:10.0,Offensive rebound by G. Antetokounmpo,119-111, ,,4,111,119,-8,2750.0
2:05.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),122-111, ,,4,111,122,-11,2755.0
2:04.0, ,122-111,Detroit full timeout,,4,111,122,-11,2756.0
1:48.0, ,122-111,J. Duren misses 2-pt hook shot from 3 ft (block by B. Lopez),,4,111,122,-11,2772.0
1:48.0,Defensive rebound by B. Lopez,122-111, ,,4,111,122,-11,2772.0
1:27.0,D. Lillard misses 2-pt jump shot from 20 ft,122-111, ,,4,111,122,-11,2793.0
1:24.0,Offensive rebound by G. Antetokounmpo,122-111, ,,4,111,122,-11,2796.0
1:19.0,Turnover by B. Lopez (bad pass; steal by I. Stewart),122-111, ,,4,111,122,-11,2801.0
1:16.0, ,122-113,M. Sasser makes 2-pt layup from 5 ft,,4,113,122,-9,2804.0
0:57.0,Turnover by B. Lopez (traveling),122-113, ,,4,113,122,-9,2823.0
0:43.0, ,122-113,A. Burks misses 3-pt jump shot from 25 ft,,4,113,122,-9,2837.0
0:41.0,Defensive rebound by M. Beasley,122-113, ,,4,113,122,-9,2839.0
0:23.0,G. Antetokounmpo misses 3-pt jump shot from 27 ft,122-113, ,,4,113,122,-9,2857.0
0:19.0, ,122-113,Defensive rebound by I. Stewart,,4,113,122,-9,2861.0
0:10.0, ,122-113,M. Sasser misses 2-pt layup from 2 ft (block by G. Antetokounmpo),,4,113,122,-9,2870.0
0:07.0,Defensive rebound by M. Beasley,122-113, ,,4,113,122,-9,2873.0
0:00.0,End of 4th quarter,122-113,,,4,113,122,-9,2880.0
