Time,Golden State,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:12.0,K. Looney makes 2-pt layup from 4 ft,56-46, ,,2,46,56,-10,1368.0
0:57.0, ,56-46,M. Sasser misses 2-pt layup from 5 ft (block by K. Looney),,2,46,56,-10,1383.0
0:56.0, ,56-46,Offensive rebound by Team,,2,46,56,-10,1384.0
0:54.0, ,56-46,M. Sasser misses 2-pt jump shot from 15 ft,,2,46,56,-10,1386.0
0:50.0,Defensive rebound by K. Looney,56-46, ,,2,46,56,-10,1390.0
0:44.0,S. Curry misses 3-pt jump shot from 25 ft,56-46, ,,2,46,56,-10,1396.0
0:40.0, ,56-46,Defensive rebound by K. Hayes,,2,46,56,-10,1400.0
0:33.0, ,56-46,C. Cunningham misses 2-pt jump shot from 16 ft,,2,46,56,-10,1407.0
0:29.0,Defensive rebound by D. Green,56-46, ,,2,46,56,-10,1411.0
0:10.0,Turnover by K. Thompson (bad pass; steal by A. Thompson),56-46, ,,2,46,56,-10,1430.0
0:00.0, ,56-46,Shooting foul by K. Looney (drawn by A. Thompson),,2,46,56,-10,1440.0
0:00.0, ,56-47,A. Thompson makes free throw 1 of 2,,2,47,56,-9,1440.0
0:00.0, ,56-48,A. Thompson makes free throw 2 of 2,,2,48,56,-8,1440.0
0:00.0,S. Curry misses 3-pt jump shot from 81 ft,56-48, ,,2,48,56,-8,1440.0
0:00.0,Offensive rebound by Team,56-48, ,,2,48,56,-8,1440.0
0:00.0,End of 2nd quarter,56-48,,,2,48,56,-8,1440.0
12:00.0,Start of 3rd quarter,56-48,,,3,48,56,-8,1440.0
11:52.0,Personal foul by K. Hayes (drawn by A. Wiggins),56-48, ,,3,48,56,-8,1448.0
11:44.0,K. Thompson misses 2-pt jump shot from 16 ft,56-48, ,,3,48,56,-8,1456.0
11:41.0, ,56-48,Defensive rebound by I. Stewart,,3,48,56,-8,1459.0
11:22.0, ,56-51,C. Cunningham makes 3-pt jump shot from 26 ft,,3,51,56,-5,1478.0
11:08.0,S. Curry misses 3-pt jump shot from 25 ft,56-51, ,,3,51,56,-5,1492.0
11:05.0, ,56-51,Defensive rebound by I. Stewart,,3,51,56,-5,1495.0
11:03.0, ,56-51,Offensive foul by A. Thompson (drawn by D. Green),,3,51,56,-5,1497.0
11:03.0, ,56-51,Turnover by A. Thompson (offensive foul),,3,51,56,-5,1497.0
10:53.0,Turnover by D. Green (lost ball; steal by K. Hayes),56-51, ,,3,51,56,-5,1507.0
10:50.0, ,56-53,K. Hayes makes 2-pt dunk from 3 ft,,3,53,56,-3,1510.0
