Time,Portland,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:30.0,D. Ayton misses 2-pt jump shot from 5 ft,34-40, ,,2,40,34,6,990.0
7:28.0, ,34-40,Defensive rebound by M. Bagley,,2,40,34,6,992.0
7:27.0, ,34-40,Detroit full timeout,,2,40,34,6,993.0
7:27.0,J. Grant enters the game for M. Brogdon,34-40, ,,2,40,34,6,993.0
7:27.0,S. Henderson enters the game for J. Walker,34-40, ,,2,40,34,6,993.0
7:27.0, ,34-40,C. Cunningham enters the game for J. Harris,,2,40,34,6,993.0
7:27.0, ,34-40,A. Thompson enters the game for K. Hayes,,2,40,34,6,993.0
7:07.0, ,34-40,C. Cunningham misses 2-pt jump shot from 9 ft,,2,40,34,6,1013.0
7:06.0, ,34-40,Offensive rebound by A. Thompson,,2,40,34,6,1014.0
7:06.0, ,34-42,A. Thompson makes 2-pt layup at rim,,2,42,34,8,1014.0
6:51.0,S. Sharpe misses 2-pt jump shot from 4 ft,34-42, ,,2,42,34,8,1029.0
6:49.0, ,34-42,Defensive rebound by C. Cunningham,,2,42,34,8,1031.0
6:39.0, ,34-44,I. Stewart makes 2-pt jump shot from 7 ft,,2,44,34,10,1041.0
6:28.0,Personal foul by M. Sasser (drawn by S. Henderson),34-44, ,,2,44,34,10,1052.0
6:28.0, ,34-44,S. Umude enters the game for M. Bagley,,2,44,34,10,1052.0
6:19.0,Turnover by D. Ayton (lost ball; steal by M. Sasser),34-44, ,,2,44,34,10,1061.0
6:12.0, ,34-46,A. Thompson makes 2-pt dunk from 4 ft (assist by C. Cunningham),,2,46,34,12,1068.0
5:55.0,Turnover by S. Henderson (lost ball; steal by M. Sasser),34-46, ,,2,46,34,12,1085.0
5:51.0, ,34-48,A. Thompson makes 2-pt dunk at rim (assist by M. Sasser),,2,48,34,14,1089.0
5:51.0,Portland full timeout,34-48, ,,2,48,34,14,1089.0
5:51.0,M. Thybulle enters the game for T. Camara,34-48, ,,2,48,34,14,1089.0
5:26.0,S. Sharpe makes 2-pt layup from 4 ft (assist by S. Henderson),36-48, ,,2,48,36,12,1114.0
5:16.0, ,36-48,Offensive foul by I. Stewart (drawn by S. Henderson),,2,48,36,12,1124.0
5:16.0, ,36-48,Turnover by I. Stewart (offensive foul),,2,48,36,12,1124.0
5:06.0,S. Henderson makes 2-pt jump shot from 5 ft,38-48, ,,2,48,38,10,1134.0
4:40.0, ,38-50,A. Thompson makes 2-pt layup from 3 ft (assist by C. Cunningham),,2,50,38,12,1160.0
4:21.0,J. Grant misses 3-pt jump shot from 25 ft,38-50, ,,2,50,38,12,1179.0
4:18.0,Offensive rebound by D. Ayton,38-50, ,,2,50,38,12,1182.0
4:12.0,S. Henderson misses 2-pt jump shot from 11 ft,38-50, ,,2,50,38,12,1188.0
4:09.0, ,38-50,Defensive rebound by S. Umude,,2,50,38,12,1191.0
4:06.0, ,38-52,C. Cunningham makes 2-pt dunk from 4 ft (assist by A. Thompson),,2,52,38,14,1194.0
3:55.0,Personal foul by S. Umude (drawn by J. Grant),38-52, ,,2,52,38,14,1205.0
3:55.0, ,38-52,M. Bagley enters the game for I. Stewart,,2,52,38,14,1205.0
3:41.0,D. Ayton misses 2-pt hook shot from 3 ft,38-52, ,,2,52,38,14,1219.0
3:38.0, ,38-52,Defensive rebound by M. Sasser,,2,52,38,14,1222.0
3:27.0, ,38-54,M. Sasser makes 2-pt layup from 3 ft,,2,54,38,16,1233.0
3:14.0,J. Grant makes 2-pt layup from 2 ft,40-54, ,,2,54,40,14,1246.0
3:01.0, ,40-57,C. Cunningham makes 3-pt jump shot from 28 ft,,2,57,40,17,1259.0
2:45.0,Def 3 sec tech foul by Team,40-57, ,,2,57,40,17,1275.0
2:45.0,J. Grant makes technical free throw,41-57, ,,2,57,41,16,1275.0
2:45.0,M. Brogdon enters the game for S. Henderson,41-57, ,,2,57,41,16,1275.0
2:45.0,S. Mays enters the game for S. Sharpe,41-57, ,,2,57,41,16,1275.0
2:45.0, ,41-57,J. Ivey enters the game for M. Sasser,,2,57,41,16,1275.0
2:37.0,J. Grant misses 2-pt layup from 2 ft,41-57, ,,2,57,41,16,1283.0
2:35.0, ,41-57,Defensive rebound by J. Ivey,,2,57,41,16,1285.0
2:24.0, ,41-57,Turnover by A. Thompson (lost ball; steal by D. Ayton),,2,57,41,16,1296.0
2:19.0,Turnover by S. Mays (lost ball; steal by J. Ivey),41-57, ,,2,57,41,16,1301.0
2:17.0, ,41-59,M. Bagley makes 2-pt dunk from 2 ft (assist by J. Ivey),,2,59,41,18,1303.0
2:02.0,Personal foul by J. Ivey (drawn by J. Grant),41-59, ,,2,59,41,18,1318.0
2:02.0,J. Grant makes free throw 1 of 2,42-59, ,,2,59,42,17,1318.0
2:02.0,J. Grant makes free throw 2 of 2,43-59, ,,2,59,43,16,1318.0
1:48.0, ,43-59,C. Cunningham misses 2-pt layup from 4 ft,,2,59,43,16,1332.0
1:45.0,Defensive rebound by D. Ayton,43-59, ,,2,59,43,16,1335.0
1:40.0,M. Brogdon makes 2-pt jump shot from 15 ft,45-59, ,,2,59,45,14,1340.0
1:23.0, ,45-59,M. Bagley misses 3-pt jump shot from 26 ft,,2,59,45,14,1357.0
1:20.0,Defensive rebound by M. Brogdon,45-59, ,,2,59,45,14,1360.0
1:09.0,Turnover by D. Ayton (3 sec),45-59, ,,2,59,45,14,1371.0
0:53.0, ,45-59,C. Cunningham misses 2-pt jump shot from 14 ft,,2,59,45,14,1387.0
0:51.0,Defensive rebound by D. Ayton,45-59, ,,2,59,45,14,1389.0
0:37.0,M. Thybulle misses 3-pt jump shot from 26 ft,45-59, ,,2,59,45,14,1403.0
0:34.0, ,45-59,Defensive rebound by M. Bagley,,2,59,45,14,1406.0
0:14.0, ,45-59,C. Cunningham misses 3-pt jump shot from 27 ft,,2,59,45,14,1426.0
0:10.0,Defensive rebound by M. Brogdon,45-59, ,,2,59,45,14,1430.0
0:01.0,M. Brogdon misses 2-pt jump shot from 17 ft,45-59, ,,2,59,45,14,1439.0
0:01.0,Offensive rebound by M. Brogdon,45-59, ,,2,59,45,14,1439.0
0:00.0,M. Brogdon makes 2-pt layup from 3 ft,47-59, ,,2,59,47,12,1440.0
0:00.0,Instant Replay (Request: Stands),47-59, ,,2,59,47,12,1440.0
0:00.0,End of 2nd quarter,47-59,,,2,59,47,12,1440.0
12:00.0,Start of 3rd quarter,47-59,,,3,59,47,12,1440.0
11:37.0, ,47-62,I. Stewart makes 3-pt jump shot from 26 ft (assist by K. Hayes),,3,62,47,15,1463.0
11:23.0,D. Ayton makes 2-pt dunk from 4 ft (assist by S. Henderson),49-62, ,,3,62,49,13,1477.0
11:12.0, ,49-62,I. Stewart misses 3-pt jump shot from 23 ft,,3,62,49,13,1488.0
11:09.0,Defensive rebound by D. Ayton,49-62, ,,3,62,49,13,1491.0
10:53.0,S. Henderson makes 2-pt layup from 2 ft (assist by M. Thybulle),51-62, ,,3,62,51,11,1507.0
10:30.0, ,51-64,A. Thompson makes 2-pt jump shot from 4 ft,,3,64,51,13,1530.0
10:11.0,S. Henderson makes 3-pt jump shot from 28 ft,54-64, ,,3,64,54,10,1549.0
10:02.0, ,54-64,Turnover by C. Cunningham (lost ball; steal by D. Ayton),,3,64,54,10,1558.0
9:55.0,M. Thybulle misses 3-pt jump shot from 28 ft,54-64, ,,3,64,54,10,1565.0
9:51.0, ,54-64,Defensive rebound by M. Bagley,,3,64,54,10,1569.0
9:46.0, ,54-64,Personal foul by S. Henderson (drawn by M. Bagley),,3,64,54,10,1574.0
9:34.0, ,54-64,K. Hayes misses 2-pt jump shot from 14 ft,,3,64,54,10,1586.0
9:32.0, ,54-64,Offensive rebound by A. Thompson,,3,64,54,10,1588.0
9:31.0, ,54-64,A. Thompson misses 2-pt dunk from 2 ft,,3,64,54,10,1589.0
9:31.0,Defensive rebound by M. Thybulle,54-64, ,,3,64,54,10,1589.0
9:25.0,D. Ayton makes 2-pt dunk from 4 ft (assist by S. Henderson),56-64, ,,3,64,56,8,1595.0
9:03.0, ,56-64,Turnover by C. Cunningham (bad pass; steal by M. Thybulle),,3,64,56,8,1617.0
8:59.0,Offensive foul by J. Grant (drawn by M. Bagley),56-64, ,,3,64,56,8,1621.0
8:59.0,Turnover by J. Grant (offensive foul),56-64, ,,3,64,56,8,1621.0
8:49.0, ,56-64,Offensive foul by M. Bagley (drawn by S. Henderson),,3,64,56,8,1631.0
8:49.0, ,56-64,Turnover by M. Bagley (offensive foul),,3,64,56,8,1631.0
8:36.0,D. Ayton makes 2-pt jump shot from 5 ft (assist by S. Henderson),58-64, ,,3,64,58,6,1644.0
8:26.0, ,58-64,C. Cunningham misses 2-pt layup from 3 ft (block by D. Ayton),,3,64,58,6,1654.0
8:26.0,Defensive rebound by Team,58-64, ,,3,64,58,6,1654.0
8:16.0,S. Henderson misses 3-pt jump shot from 28 ft,58-64, ,,3,64,58,6,1664.0
8:14.0, ,58-64,Defensive rebound by Team,,3,64,58,6,1666.0
8:08.0, ,58-64,K. Hayes misses 3-pt jump shot from 24 ft,,3,64,58,6,1672.0
8:05.0, ,58-64,Offensive rebound by A. Thompson,,3,64,58,6,1675.0
8:04.0, ,58-66,A. Thompson makes 2-pt dunk from 1 ft,,3,66,58,8,1676.0
8:04.0,Portland full timeout,58-66, ,,3,66,58,8,1676.0
7:43.0,S. Henderson misses 3-pt jump shot from 24 ft,58-66, ,,3,66,58,8,1697.0
7:41.0, ,58-66,Defensive rebound by I. Stewart,,3,66,58,8,1699.0
7:31.0, ,58-68,C. Cunningham makes 2-pt jump shot from 17 ft,,3,68,58,10,1709.0
7:14.0,J. Grant misses 2-pt layup from 4 ft,58-68, ,,3,68,58,10,1726.0
7:11.0, ,58-68,Defensive rebound by I. Stewart,,3,68,58,10,1729.0
7:09.0, ,58-70,C. Cunningham makes 2-pt layup from 2 ft,,3,70,58,12,1731.0
6:55.0,S. Sharpe makes 2-pt layup from 4 ft (assist by S. Henderson),60-70, ,,3,70,60,10,1745.0
6:36.0, ,60-70,C. Cunningham misses 2-pt layup from 3 ft,,3,70,60,10,1764.0
6:35.0, ,60-70,Offensive rebound by I. Stewart,,3,70,60,10,1765.0
6:35.0, ,60-72,I. Stewart makes 2-pt layup at rim,,3,72,60,12,1765.0
6:24.0,Turnover by S. Henderson (lost ball; steal by C. Cunningham),60-72, ,,3,72,60,12,1776.0
6:17.0, ,60-75,C. Cunningham makes 3-pt jump shot from 25 ft (assist by M. Bagley),,3,75,60,15,1783.0
5:54.0,J. Grant makes 2-pt layup from 4 ft,62-75, ,,3,75,62,13,1806.0
5:35.0, ,62-75,Offensive foul by M. Bagley (drawn by J. Grant),,3,75,62,13,1825.0
5:35.0, ,62-75,Turnover by M. Bagley (offensive foul),,3,75,62,13,1825.0
5:35.0,M. Brogdon enters the game for D. Ayton,62-75, ,,3,75,62,13,1825.0
5:35.0,T. Camara enters the game for S. Henderson,62-75, ,,3,75,62,13,1825.0
5:35.0,R. Williams enters the game for M. Thybulle,62-75, ,,3,75,62,13,1825.0
5:27.0,M. Brogdon makes 2-pt jump shot from 20 ft,64-75, ,,3,75,64,11,1833.0
5:05.0, ,64-75,M. Bagley misses 3-pt jump shot from 26 ft,,3,75,64,11,1855.0
5:03.0,Defensive rebound by S. Sharpe,64-75, ,,3,75,64,11,1857.0
4:47.0,Turnover by R. Williams (bad pass; steal by K. Hayes),64-75, ,,3,75,64,11,1873.0
4:32.0, ,64-75,I. Stewart misses 3-pt jump shot from 26 ft,,3,75,64,11,1888.0
4:30.0,Defensive rebound by S. Sharpe,64-75, ,,3,75,64,11,1890.0
4:27.0,Personal foul by A. Thompson (drawn by S. Sharpe),64-75, ,,3,75,64,11,1893.0
4:27.0, ,64-75,J. Ivey enters the game for M. Bagley,,3,75,64,11,1893.0
4:27.0, ,64-75,J. Wiseman enters the game for K. Hayes,,3,75,64,11,1893.0
4:21.0,S. Sharpe makes 2-pt layup from 3 ft (assist by M. Brogdon),66-75, ,,3,75,66,9,1899.0
4:04.0, ,66-77,J. Ivey makes 2-pt jump shot from 12 ft,,3,77,66,11,1916.0
4:04.0, ,66-77,Shooting foul by R. Williams (drawn by J. Ivey),,3,77,66,11,1916.0
4:04.0, ,66-78,J. Ivey makes free throw 1 of 1,,3,78,66,12,1916.0
