Time,Detroit,Score,New Orleans,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:10.0, ,25-32,L. Nance makes 2-pt layup from 8 ft (assist by D. Daniels),,1,25,32,-7,650.0
1:10.0,Violation by Team (def goaltending),25-32, ,,1,25,32,-7,650.0
0:56.0,Turnover by A. Thompson (lost ball; steal by D. Daniels),25-32, ,,1,25,32,-7,664.0
0:45.0, ,25-32,Personal foul by J. Harris (drawn by J. Hawkins),,1,25,32,-7,675.0
0:45.0, ,25-33,J. Hawkins makes free throw 1 of 2,,1,25,33,-8,675.0
0:45.0, ,25-34,J. Hawkins makes free throw 2 of 2,,1,25,34,-9,675.0
0:32.0,A. Thompson misses 2-pt layup from 4 ft,25-34, ,,1,25,34,-9,688.0
0:27.0,Offensive rebound by M. Bagley,25-34, ,,1,25,34,-9,693.0
0:27.0,M. Bagley misses 2-pt layup at rim,25-34, ,,1,25,34,-9,693.0
0:25.0,Offensive rebound by M. Bagley,25-34, ,,1,25,34,-9,695.0
0:25.0,M. Bagley makes 2-pt layup at rim,27-34, ,,1,27,34,-7,695.0
0:19.0, ,27-34,Shooting foul by A. Thompson (drawn by C. McCollum),,1,27,34,-7,701.0
0:19.0, ,27-35,C. McCollum makes free throw 1 of 2,,1,27,35,-8,701.0
0:19.0,C. Cunningham enters the game for A. Thompson,27-35, ,,1,27,35,-8,701.0
0:19.0, ,27-35,H. Jones enters the game for K. Lewis,,1,27,35,-8,701.0
0:19.0, ,27-35,C. McCollum misses free throw 2 of 2,,1,27,35,-8,701.0
0:17.0,Defensive rebound by J. Ivey,27-35, ,,1,27,35,-8,703.0
0:01.0,C. Cunningham makes 2-pt jump shot from 7 ft,29-35, ,,1,29,35,-6,719.0
0:00.0, ,29-35,C. McCollum misses 3-pt jump shot from 43 ft,,1,29,35,-6,720.0
0:00.0, ,29-35,Offensive rebound by Team,,1,29,35,-6,720.0
0:00.0,End of 1st quarter,29-35,,,1,29,35,-6,720.0
12:00.0,Start of 2nd quarter,29-35,,,2,29,35,-6,720.0
11:44.0,C. Cunningham makes 2-pt jump shot from 16 ft,31-35, ,,2,31,35,-4,736.0
11:24.0, ,31-37,C. McCollum makes 2-pt layup from 3 ft (assist by J. Valančiūnas),,2,31,37,-6,756.0
11:07.0,Turnover by J. Harris (bad pass; steal by H. Jones),31-37, ,,2,31,37,-6,773.0
11:00.0, ,31-37,Personal foul by K. Hayes (drawn by M. Ryan),,2,31,37,-6,780.0
10:53.0, ,31-39,C. McCollum makes 2-pt jump shot from 11 ft (assist by D. Seabron),,2,31,39,-8,787.0
10:35.0,C. Cunningham misses 2-pt jump shot from 15 ft,31-39, ,,2,31,39,-8,805.0
10:33.0, ,31-39,Defensive rebound by J. Valančiūnas,,2,31,39,-8,807.0
10:25.0, ,31-39,Turnover by M. Ryan (traveling),,2,31,39,-8,815.0
10:17.0,Offensive foul by C. Cunningham (drawn by H. Jones),31-39, ,,2,31,39,-8,823.0
10:17.0,Turnover by C. Cunningham (offensive foul),31-39, ,,2,31,39,-8,823.0
10:14.0, ,31-39,Personal foul by J. Duren (drawn by J. Valančiūnas),,2,31,39,-8,826.0
10:14.0,M. Sasser enters the game for C. Cunningham,31-39, ,,2,31,39,-8,826.0
10:09.0, ,31-39,Shooting foul by J. Ivey (drawn by C. McCollum),,2,31,39,-8,831.0
