Time,Philadelphia,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:54.0,J. Embiid makes 2-pt layup from 4 ft (assist by K. Oubre),64-65, ,,3,65,64,1,1806.0
5:42.0, ,64-65,Shooting foul by T. Maxey (drawn by K. Hayes),,3,65,64,1,1818.0
5:42.0, ,64-66,K. Hayes makes free throw 1 of 2,,3,66,64,2,1818.0
5:42.0,N. Batum enters the game for D. Melton,64-66, ,,3,66,64,2,1818.0
5:42.0, ,64-66,M. Bagley enters the game for J. Duren,,3,66,64,2,1818.0
5:42.0, ,64-66,K. Hayes misses free throw 2 of 2,,3,66,64,2,1818.0
5:38.0,Defensive rebound by N. Batum,64-66, ,,3,66,64,2,1822.0
5:32.0,Offensive foul by J. Embiid (drawn by M. Bagley),64-66, ,,3,66,64,2,1828.0
5:32.0,Turnover by J. Embiid (offensive foul),64-66, ,,3,66,64,2,1828.0
5:32.0, ,64-66,S. Umude enters the game for K. Hayes,,3,66,64,2,1828.0
5:19.0, ,64-66,M. Sasser misses 2-pt jump shot from 16 ft,,3,66,64,2,1841.0
5:15.0,Defensive rebound by K. Oubre,64-66, ,,3,66,64,2,1845.0
5:03.0,T. Harris makes 2-pt layup from 1 ft (assist by N. Batum),66-66, ,Tie,3,66,66,0,1857.0
4:38.0, ,66-69,S. Umude makes 3-pt jump shot from 31 ft (assist by C. Cunningham),,3,69,66,3,1882.0
4:22.0,Shooting foul by M. Bagley (drawn by J. Embiid),66-69, ,,3,69,66,3,1898.0
4:22.0,J. Embiid makes free throw 1 of 2,67-69, ,,3,69,67,2,1898.0
4:22.0,R. Covington enters the game for K. Oubre,67-69, ,,3,69,67,2,1898.0
4:22.0,J. Embiid makes free throw 2 of 2,68-69, ,,3,69,68,1,1898.0
4:04.0, ,68-71,M. Bagley makes 2-pt jump shot from 12 ft (assist by M. Sasser),,3,71,68,3,1916.0
3:44.0,Shooting foul by C. Cunningham (drawn by J. Embiid),68-71, ,,3,71,68,3,1936.0
3:44.0,Instant Replay (Request: Stands),68-71, ,,3,71,68,3,1936.0
3:44.0,D. Melton enters the game for T. Maxey,68-71, ,,3,71,68,3,1936.0
3:44.0,J. Embiid makes free throw 1 of 2,69-71, ,,3,71,69,2,1936.0
3:44.0,J. Embiid makes free throw 2 of 2,70-71, ,,3,71,70,1,1936.0
3:30.0, ,70-71,Turnover by I. Stewart (bad pass; steal by R. Covington),,3,71,70,1,1950.0
3:22.0,Shooting foul by I. Stewart (drawn by J. Embiid),70-71, ,,3,71,70,1,1958.0
3:22.0,J. Embiid makes free throw 1 of 2,71-71, ,Tie,3,71,71,0,1958.0
3:22.0,J. Springer enters the game for T. Harris,71-71, ,,3,71,71,0,1958.0
3:22.0, ,71-71,K. Hayes enters the game for C. Cunningham,,3,71,71,0,1958.0
3:22.0, ,71-71,J. Rhoden enters the game for I. Stewart,,3,71,71,0,1958.0
3:22.0,J. Embiid makes free throw 2 of 2,72-71, ,Lead change,3,71,72,-1,1958.0
3:11.0, ,72-71,Personal foul by D. Melton (drawn by S. Umude),,3,71,72,-1,1969.0
2:56.0, ,72-71,Shooting foul by N. Batum (drawn by S. Umude),,3,71,72,-1,1984.0
2:56.0, ,72-71,Detroit full timeout,,3,71,72,-1,1984.0
2:56.0, ,72-72,S. Umude makes free throw 1 of 3,Tie,3,72,72,0,1984.0
2:56.0, ,72-73,S. Umude makes free throw 2 of 3,Lead change,3,73,72,1,1984.0
2:56.0, ,72-73,S. Umude misses free throw 3 of 3,,3,73,72,1,1984.0
2:53.0,Defensive rebound by N. Batum,72-73, ,,3,73,72,1,1987.0
2:42.0,Turnover by J. Embiid (lost ball; steal by K. Hayes),72-73, ,,3,73,72,1,1998.0
2:27.0,Jump ball: M. Bagley vs. R. Covington (K. Hayes gains possession),72-73,,,3,73,72,1,2013.0
2:21.0, ,72-73,K. Hayes misses 3-pt jump shot from 25 ft,,3,73,72,1,2019.0
2:17.0,Defensive rebound by D. Melton,72-73, ,,3,73,72,1,2023.0
2:00.0,J. Springer makes 2-pt layup from 3 ft,74-73, ,Lead change,3,73,74,-1,2040.0
1:34.0, ,74-73,J. Rhoden misses 3-pt jump shot from 25 ft,,3,73,74,-1,2066.0
1:29.0,Defensive rebound by D. Melton,74-73, ,,3,73,74,-1,2071.0
1:25.0,D. Melton makes 3-pt jump shot from 25 ft,77-73, ,,3,73,77,-4,2075.0
1:07.0, ,77-73,Turnover by J. Rhoden (bad pass; steal by D. Melton),,3,73,77,-4,2093.0
1:04.0,Shooting foul by M. Sasser (drawn by D. Melton),77-73, ,,3,73,77,-4,2096.0
1:04.0,D. Melton makes free throw 1 of 2,78-73, ,,3,73,78,-5,2096.0
1:04.0,D. Melton misses free throw 2 of 2,78-73, ,,3,73,78,-5,2096.0
1:00.0,Offensive rebound by N. Batum,78-73, ,,3,73,78,-5,2100.0
0:53.0,N. Batum makes 3-pt jump shot from 27 ft (assist by J. Embiid),81-73, ,,3,73,81,-8,2107.0
0:35.0, ,81-75,K. Hayes makes 2-pt jump shot from 17 ft,,3,75,81,-6,2125.0
0:30.0,J. Embiid misses 3-pt jump shot from 25 ft,81-75, ,,3,75,81,-6,2130.0
0:26.0, ,81-75,Defensive rebound by M. Sasser,,3,75,81,-6,2134.0
0:20.0, ,81-75,Personal foul by J. Springer (drawn by K. Hayes),,3,75,81,-6,2140.0
0:20.0, ,81-76,K. Hayes makes free throw 1 of 2,,3,76,81,-5,2140.0
0:20.0,T. Maxey enters the game for J. Springer,81-76, ,,3,76,81,-5,2140.0
0:20.0, ,81-77,K. Hayes makes free throw 2 of 2,,3,77,81,-4,2140.0
0:04.0,J. Embiid makes 2-pt layup from 4 ft (assist by T. Maxey),83-77, ,,3,77,83,-6,2156.0
0:00.0, ,83-77,M. Sasser misses 3-pt jump shot from 27 ft,,3,77,83,-6,2160.0
0:00.0, ,83-77,Offensive rebound by Team,,3,77,83,-6,2160.0
0:00.0,End of 3rd quarter,83-77,,,3,77,83,-6,2160.0
12:00.0,Start of 4th quarter,83-77,,,4,77,83,-6,2160.0
11:37.0, ,83-77,C. Cunningham misses 3-pt jump shot from 25 ft,,4,77,83,-6,2183.0
11:33.0,Defensive rebound by T. Maxey,83-77, ,,4,77,83,-6,2187.0
11:26.0,D. Melton makes 3-pt jump shot from 28 ft (assist by T. Maxey),86-77, ,,4,77,86,-9,2194.0
11:14.0, ,86-77,C. Cunningham misses 2-pt jump shot from 16 ft,,4,77,86,-9,2206.0
11:11.0,Defensive rebound by P. Reed,86-77, ,,4,77,86,-9,2209.0
10:58.0,T. Maxey makes 2-pt layup from 8 ft,88-77, ,,4,77,88,-11,2222.0
10:36.0, ,88-79,K. Hayes makes 2-pt jump shot from 12 ft (assist by I. Stewart),,4,79,88,-9,2244.0
10:19.0,P. Reed makes 2-pt layup from 4 ft (assist by T. Maxey),90-79, ,,4,79,90,-11,2261.0
10:04.0, ,90-79,Personal foul by P. Reed (drawn by I. Stewart),,4,79,90,-11,2276.0
9:58.0, ,90-79,Turnover by A. Thompson (lost ball; steal by D. Melton),,4,79,90,-11,2282.0
9:54.0,D. Melton misses 3-pt jump shot from 23 ft,90-79, ,,4,79,90,-11,2286.0
9:52.0, ,90-79,Defensive rebound by A. Thompson,,4,79,90,-11,2288.0
9:50.0, ,90-79,Personal foul by P. Reed (drawn by A. Thompson),,4,79,90,-11,2290.0
9:38.0, ,90-79,A. Thompson misses 2-pt jump shot from 14 ft,,4,79,90,-11,2302.0
9:38.0,Defensive rebound by D. Melton,90-79, ,,4,79,90,-11,2302.0
9:35.0,T. Maxey makes 2-pt layup from 3 ft (assist by D. Melton),92-79, ,,4,79,92,-13,2305.0
9:35.0, ,92-79,Detroit full timeout,,4,79,92,-13,2305.0
9:18.0, ,92-79,I. Stewart misses 2-pt hook shot from 5 ft,,4,79,92,-13,2322.0
9:12.0, ,92-79,Offensive rebound by J. Wiseman,,4,79,92,-13,2328.0
9:11.0, ,92-79,Turnover by I. Stewart (bad pass; steal by T. Maxey),,4,79,92,-13,2329.0
9:05.0,T. Harris makes 2-pt layup from 4 ft (assist by T. Maxey),94-79, ,,4,79,94,-15,2335.0
8:54.0, ,94-79,Turnover by K. Hayes (bad pass),,4,79,94,-15,2346.0
8:44.0,N. Batum misses 3-pt jump shot from 28 ft,94-79, ,,4,79,94,-15,2356.0
8:41.0,Offensive rebound by T. Harris,94-79, ,,4,79,94,-15,2359.0
8:39.0,T. Harris misses 2-pt layup from 2 ft (block by A. Thompson),94-79, ,,4,79,94,-15,2361.0
8:35.0, ,94-79,Defensive rebound by A. Thompson,,4,79,94,-15,2365.0
8:32.0, ,94-79,K. Hayes misses 2-pt jump shot from 7 ft,,4,79,94,-15,2368.0
8:29.0, ,94-79,Offensive rebound by J. Wiseman,,4,79,94,-15,2371.0
8:28.0, ,94-81,J. Wiseman makes 2-pt dunk from 1 ft,,4,81,94,-13,2372.0
8:13.0,T. Maxey misses 3-pt jump shot from 27 ft,94-81, ,,4,81,94,-13,2387.0
8:10.0, ,94-81,Defensive rebound by C. Cunningham,,4,81,94,-13,2390.0
8:02.0, ,94-83,C. Cunningham makes 2-pt layup from 3 ft,,4,83,94,-11,2398.0
8:01.0,Philadelphia full timeout,94-83, ,,4,83,94,-11,2399.0
7:51.0,T. Maxey makes 2-pt layup from 4 ft (assist by N. Batum),96-83, ,,4,83,96,-13,2409.0
7:51.0, ,96-83,Violation by Team (def goaltending),,4,83,96,-13,2409.0
7:41.0, ,96-85,A. Thompson makes 2-pt layup from 2 ft (assist by C. Cunningham),,4,85,96,-11,2419.0
7:41.0, ,96-85,Shooting foul by N. Batum (drawn by A. Thompson),,4,85,96,-11,2419.0
7:41.0, ,96-85,A. Thompson misses free throw 1 of 1,,4,85,96,-11,2419.0
7:37.0,Defensive rebound by P. Reed,96-85, ,,4,85,96,-11,2423.0
7:22.0,Shooting foul by J. Wiseman (drawn by T. Maxey),96-85, ,,4,85,96,-11,2438.0
7:22.0,T. Maxey makes free throw 1 of 2,97-85, ,,4,85,97,-12,2438.0
7:22.0,K. Oubre enters the game for D. Melton,97-85, ,,4,85,97,-12,2438.0
7:22.0, ,97-85,M. Sasser enters the game for J. Wiseman,,4,85,97,-12,2438.0
7:22.0,T. Maxey makes free throw 2 of 2,98-85, ,,4,85,98,-13,2438.0
6:58.0, ,98-88,C. Cunningham makes 3-pt jump shot from 26 ft (assist by A. Thompson),,4,88,98,-10,2462.0
6:32.0,T. Harris makes 2-pt layup from 5 ft,100-88, ,,4,88,100,-12,2488.0
6:23.0, ,100-88,Turnover by C. Cunningham (bad pass),,4,88,100,-12,2497.0
6:23.0,J. Embiid enters the game for P. Reed,100-88, ,,4,88,100,-12,2497.0
6:11.0,T. Maxey makes 2-pt jump shot from 7 ft,102-88, ,,4,88,102,-14,2509.0
6:11.0,Shooting foul by C. Cunningham (drawn by T. Maxey),102-88, ,,4,88,102,-14,2509.0
6:11.0,T. Maxey makes free throw 1 of 1,103-88, ,,4,88,103,-15,2509.0
5:52.0, ,103-90,C. Cunningham makes 2-pt layup at rim,,4,90,103,-13,2528.0
5:31.0,Turnover by T. Harris (out of bounds lost ball),103-90, ,,4,90,103,-13,2549.0
5:22.0, ,103-90,A. Thompson misses 2-pt layup from 6 ft,,4,90,103,-13,2558.0
5:19.0,Defensive rebound by T. Maxey,103-90, ,,4,90,103,-13,2561.0
5:06.0,K. Oubre misses 3-pt jump shot from 24 ft,103-90, ,,4,90,103,-13,2574.0
5:02.0, ,103-90,Defensive rebound by A. Thompson,,4,90,103,-13,2578.0
4:55.0,Loose ball foul by K. Oubre (drawn by K. Hayes),103-90, ,,4,90,103,-13,2585.0
4:48.0, ,103-90,K. Hayes misses 3-pt jump shot from 25 ft,,4,90,103,-13,2592.0
4:45.0,Defensive rebound by T. Harris,103-90, ,,4,90,103,-13,2595.0
4:31.0,T. Harris makes 2-pt layup from 3 ft (assist by T. Maxey),105-90, ,,4,90,105,-15,2609.0
4:19.0, ,105-90,M. Sasser misses 3-pt jump shot from 26 ft,,4,90,105,-15,2621.0
4:13.0, ,105-90,Offensive rebound by I. Stewart,,4,90,105,-15,2627.0
4:13.0, ,105-90,I. Stewart misses 2-pt layup at rim,,4,90,105,-15,2627.0
4:12.0,Defensive rebound by J. Embiid,105-90, ,,4,90,105,-15,2628.0
4:05.0,Shooting foul by M. Sasser (drawn by T. Harris),105-90, ,,4,90,105,-15,2635.0
4:05.0,T. Harris makes free throw 1 of 2,106-90, ,,4,90,106,-16,2635.0
4:05.0,T. Harris makes free throw 2 of 2,107-90, ,,4,90,107,-17,2635.0
3:52.0, ,107-92,I. Stewart makes 2-pt dunk from 4 ft (assist by A. Thompson),,4,92,107,-15,2648.0
3:29.0,J. Embiid misses 2-pt layup from 6 ft (block by I. Stewart),107-92, ,,4,92,107,-15,2671.0
3:28.0, ,107-92,Defensive rebound by A. Thompson,,4,92,107,-15,2672.0
3:28.0, ,107-92,Personal foul by K. Oubre (drawn by K. Hayes),,4,92,107,-15,2672.0
3:28.0, ,107-92,K. Hayes misses free throw 1 of 1,,4,92,107,-15,2672.0
3:28.0, ,107-92,Offensive rebound by Team,,4,92,107,-15,2672.0
3:22.0, ,107-92,I. Stewart misses 2-pt layup from 3 ft (block by T. Harris),,4,92,107,-15,2678.0
3:22.0, ,107-92,Offensive rebound by A. Thompson,,4,92,107,-15,2678.0
3:18.0, ,107-94,M. Sasser makes 2-pt jump shot from 8 ft (assist by A. Thompson),,4,94,107,-13,2682.0
3:18.0, ,107-94,Shooting foul by T. Maxey (drawn by M. Sasser),,4,94,107,-13,2682.0
3:18.0,Philadelphia full timeout,107-94, ,,4,94,107,-13,2682.0
3:18.0, ,107-95,M. Sasser makes free throw 1 of 1,,4,95,107,-12,2682.0
3:03.0,T. Harris makes 3-pt jump shot from 26 ft (assist by J. Embiid),110-95, ,,4,95,110,-15,2697.0
2:48.0, ,110-95,M. Sasser misses 3-pt jump shot from 26 ft,,4,95,110,-15,2712.0
2:44.0,Defensive rebound by T. Maxey,110-95, ,,4,95,110,-15,2716.0
2:26.0,J. Embiid misses 2-pt layup from 6 ft,110-95, ,,4,95,110,-15,2734.0
2:22.0,Offensive rebound by J. Embiid,110-95, ,,4,95,110,-15,2738.0
2:21.0,J. Embiid misses 2-pt hook shot from 4 ft,110-95, ,,4,95,110,-15,2739.0
2:20.0,Offensive rebound by K. Oubre,110-95, ,,4,95,110,-15,2740.0
2:20.0,K. Oubre misses 2-pt layup from 4 ft,110-95, ,,4,95,110,-15,2740.0
2:19.0,Offensive rebound by J. Embiid,110-95, ,,4,95,110,-15,2741.0
2:18.0,J. Embiid makes 2-pt layup from 3 ft,112-95, ,,4,95,112,-17,2742.0
2:04.0, ,112-95,Personal foul by N. Batum (drawn by C. Cunningham),,4,95,112,-17,2756.0
2:04.0, ,112-96,C. Cunningham makes free throw 1 of 2,,4,96,112,-16,2756.0
2:04.0,D. Melton enters the game for K. Oubre,112-96, ,,4,96,112,-16,2756.0
2:04.0, ,112-96,S. Umude enters the game for K. Hayes,,4,96,112,-16,2756.0
2:04.0, ,112-97,C. Cunningham makes free throw 2 of 2,,4,97,112,-15,2756.0
1:56.0,Personal foul by I. Stewart (drawn by J. Embiid),112-97, ,,4,97,112,-15,2764.0
1:56.0, ,112-97,J. Wiseman enters the game for I. Stewart,,4,97,112,-15,2764.0
1:47.0,Personal foul by S. Umude (drawn by J. Embiid),112-97, ,,4,97,112,-15,2773.0
1:47.0,J. Embiid makes free throw 1 of 2,113-97, ,,4,97,113,-16,2773.0
1:47.0,F. Korkmaz enters the game for N. Batum,113-97, ,,4,97,113,-16,2773.0
1:47.0,J. Springer enters the game for T. Maxey,113-97, ,,4,97,113,-16,2773.0
1:47.0,J. Embiid makes free throw 2 of 2,114-97, ,,4,97,114,-17,2773.0
1:31.0, ,114-100,M. Sasser makes 3-pt jump shot from 24 ft (assist by C. Cunningham),,4,100,114,-14,2789.0
1:15.0,F. Korkmaz misses 2-pt jump shot from 14 ft,114-100, ,,4,100,114,-14,2805.0
1:12.0, ,114-100,Defensive rebound by J. Wiseman,,4,100,114,-14,2808.0
1:08.0, ,114-100,M. Sasser misses 2-pt jump shot from 5 ft,,4,100,114,-14,2812.0
1:06.0, ,114-100,Offensive rebound by J. Wiseman,,4,100,114,-14,2814.0
1:06.0, ,114-102,J. Wiseman makes 2-pt layup at rim,,4,102,114,-12,2814.0
0:49.0,T. Harris misses 3-pt jump shot from 25 ft,114-102, ,,4,102,114,-12,2831.0
0:44.0, ,114-102,Defensive rebound by A. Thompson,,4,102,114,-12,2836.0
0:37.0, ,114-104,A. Thompson makes 2-pt jump shot from 5 ft (assist by C. Cunningham),,4,104,114,-10,2843.0
0:18.0,T. Harris misses 2-pt layup from 4 ft,114-104, ,,4,104,114,-10,2862.0
0:14.0, ,114-104,Defensive rebound by S. Umude,,4,104,114,-10,2866.0
0:07.0, ,114-106,J. Wiseman makes 2-pt layup from 1 ft (assist by S. Umude),,4,106,114,-8,2873.0
0:00.0,End of 4th quarter,114-106,,,4,106,114,-8,2880.0
