Time,Detroit,Score,Denver,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:33.0,C. Cunningham misses 2-pt jump shot from 14 ft (block by C. Braun),41-41, ,,2,41,41,0,1047.0
6:29.0,Offensive rebound by K. Knox,41-41, ,,2,41,41,0,1051.0
6:29.0,K. Knox misses 2-pt jump shot from 17 ft,41-41, ,,2,41,41,0,1051.0
6:27.0, ,41-41,Defensive rebound by R. Jackson,,2,41,41,0,1053.0
6:21.0, ,41-43,D. Jordan makes 2-pt dunk from 1 ft (assist by R. Jackson),Lead change,2,41,43,-2,1059.0
6:21.0,Detroit full timeout,41-43, ,,2,41,43,-2,1059.0
6:21.0,A. Burks enters the game for B. Bogdanović,41-43, ,,2,41,43,-2,1059.0
6:21.0,K. Hayes enters the game for C. Cunningham,41-43, ,,2,41,43,-2,1059.0
6:21.0,I. Livers enters the game for K. Knox,41-43, ,,2,41,43,-2,1059.0
6:21.0, ,41-43,A. Gordon enters the game for C. Braun,,2,41,43,-2,1059.0
6:21.0, ,41-43,N. Jokić enters the game for D. Jordan,,2,41,43,-2,1059.0
6:09.0,I. Livers makes 2-pt layup from 1 ft (assist by J. Duren),43-43, ,Tie,2,43,43,0,1071.0
5:55.0, ,43-45,R. Jackson makes 2-pt layup from 2 ft (assist by N. Jokić),,2,43,45,-2,1085.0
5:38.0,J. Duren makes 2-pt jump shot from 4 ft (assist by A. Burks),45-45, ,Tie,2,45,45,0,1102.0
5:38.0,Shooting foul by N. Jokić (drawn by J. Duren),45-45, ,,2,45,45,0,1102.0
5:38.0,J. Duren misses free throw 1 of 1,45-45, ,,2,45,45,0,1102.0
5:37.0, ,45-45,Defensive rebound by M. Porter,,2,45,45,0,1103.0
5:16.0, ,45-45,N. Jokić misses 2-pt hook shot from 5 ft,,2,45,45,0,1124.0
5:14.0,Defensive rebound by J. Duren,45-45, ,,2,45,45,0,1126.0
5:04.0,A. Burks makes 2-pt jump shot from 18 ft (assist by J. Duren),47-45, ,Lead change,2,47,45,2,1136.0
4:51.0, ,47-47,M. Porter makes 2-pt jump shot from 19 ft (assist by N. Jokić),Tie,2,47,47,0,1149.0
4:50.0,Detroit full timeout,47-47, ,,2,47,47,0,1150.0
4:50.0, ,47-47,J. Murray enters the game for R. Jackson,,2,47,47,0,1150.0
4:41.0,Turnover by J. Ivey (step out of bounds),47-47, ,,2,47,47,0,1159.0
4:32.0, ,47-49,J. Murray makes 2-pt layup from 2 ft,Lead change,2,47,49,-2,1168.0
4:19.0,A. Burks makes 3-pt jump shot from 26 ft (assist by K. Hayes),50-49, ,Lead change,2,50,49,1,1181.0
3:58.0, ,50-51,N. Jokić makes 2-pt layup at rim,Lead change,2,50,51,-1,1202.0
3:42.0,J. Ivey misses 3-pt jump shot from 23 ft,50-51, ,,2,50,51,-1,1218.0
3:39.0, ,50-51,Defensive rebound by J. Murray,,2,50,51,-1,1221.0
3:29.0, ,50-53,J. Murray makes 2-pt jump shot from 14 ft,,2,50,53,-3,1231.0
3:11.0,Shooting foul by K. Caldwell-Pope (drawn by J. Ivey),50-53, ,,2,50,53,-3,1249.0
3:11.0,J. Ivey makes free throw 1 of 2,51-53, ,,2,51,53,-2,1249.0
3:11.0,J. Ivey misses free throw 2 of 2,51-53, ,,2,51,53,-2,1249.0
3:09.0,Offensive rebound by I. Livers,51-53, ,,2,51,53,-2,1251.0
3:00.0,A. Burks makes 3-pt jump shot from 28 ft,54-53, ,Lead change,2,54,53,1,1260.0
2:47.0, ,54-55,J. Murray makes 2-pt jump shot from 19 ft,Lead change,2,54,55,-1,1273.0
2:30.0,J. Duren misses 2-pt layup from 2 ft,54-55, ,,2,54,55,-1,1290.0
2:28.0, ,54-55,Defensive rebound by N. Jokić,,2,54,55,-1,1292.0
2:16.0, ,54-57,K. Caldwell-Pope makes 2-pt jump shot from 20 ft (assist by N. Jokić),,2,54,57,-3,1304.0
1:59.0,J. Duren misses 2-pt layup from 3 ft (block by N. Jokić),54-57, ,,2,54,57,-3,1321.0
1:59.0,Offensive rebound by Team,54-57, ,,2,54,57,-3,1321.0
1:59.0,B. Bogdanović enters the game for J. Ivey,54-57, ,,2,54,57,-3,1321.0
1:59.0,K. Knox enters the game for I. Livers,54-57, ,,2,54,57,-3,1321.0
1:57.0,Turnover by K. Hayes (lost ball; steal by K. Caldwell-Pope),54-57, ,,2,54,57,-3,1323.0
1:57.0,Clear path foul by K. Caldwell-Pope,54-57, ,,2,54,57,-3,1323.0
1:57.0,Instant Replay (Request: Ruling Stands),54-57, ,,2,54,57,-3,1323.0
1:57.0, ,54-58,K. Caldwell-Pope makes clear path free throw 1 of 2,,2,54,58,-4,1323.0
1:57.0, ,54-59,K. Caldwell-Pope makes clear path free throw 2 of 2,,2,54,59,-5,1323.0
1:34.0, ,54-61,J. Murray makes 2-pt jump shot from 21 ft,,2,54,61,-7,1346.0
1:20.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by K. Hayes),57-61, ,,2,57,61,-4,1360.0
1:06.0, ,57-63,J. Murray makes 2-pt layup from 2 ft (assist by N. Jokić),,2,57,63,-6,1374.0
0:53.0,K. Hayes misses 2-pt jump shot from 14 ft,57-63, ,,2,57,63,-6,1387.0
0:51.0, ,57-63,Defensive rebound by N. Jokić,,2,57,63,-6,1389.0
0:31.0, ,57-65,N. Jokić makes 2-pt jump shot from 6 ft (assist by A. Gordon),,2,57,65,-8,1409.0
0:13.0,K. Knox misses 3-pt jump shot from 22 ft,57-65, ,,2,57,65,-8,1427.0
0:10.0, ,57-65,Defensive rebound by K. Caldwell-Pope,,2,57,65,-8,1430.0
0:03.0, ,57-65,Turnover by K. Caldwell-Pope (bad pass; steal by B. Bogdanović),,2,57,65,-8,1437.0
0:00.0,B. Bogdanović misses 3-pt jump shot from 26 ft,57-65, ,,2,57,65,-8,1440.0
0:00.0,Offensive rebound by Team,57-65, ,,2,57,65,-8,1440.0
0:00.0,End of 2nd quarter,57-65,,,2,57,65,-8,1440.0
12:00.0,Start of 3rd quarter,57-65,,,3,57,65,-8,1440.0
11:52.0, ,57-65,Def 3 sec tech foul by Team,,3,57,65,-8,1448.0
11:52.0, ,57-66,J. Murray makes technical free throw,,3,57,66,-9,1448.0
11:46.0, ,57-66,Shooting foul by K. Hayes (drawn by J. Murray),,3,57,66,-9,1454.0
11:46.0, ,57-66,J. Murray misses free throw 1 of 2,,3,57,66,-9,1454.0
11:46.0, ,57-66,Offensive rebound by Team,,3,57,66,-9,1454.0
11:46.0, ,57-67,J. Murray makes free throw 2 of 2,,3,57,67,-10,1454.0
11:35.0,I. Livers misses 2-pt jump shot from 16 ft,57-67, ,,3,57,67,-10,1465.0
11:31.0,Offensive rebound by J. Duren,57-67, ,,3,57,67,-10,1469.0
11:28.0,Shooting foul by J. Murray (drawn by J. Ivey),57-67, ,,3,57,67,-10,1472.0
11:28.0,J. Ivey misses free throw 1 of 2,57-67, ,,3,57,67,-10,1472.0
11:28.0,Offensive rebound by Team,57-67, ,,3,57,67,-10,1472.0
11:28.0,J. Ivey makes free throw 2 of 2,58-67, ,,3,58,67,-9,1472.0
11:10.0, ,58-67,Shooting foul by K. Hayes (drawn by J. Murray),,3,58,67,-9,1490.0
11:10.0, ,58-68,J. Murray makes free throw 1 of 2,,3,58,68,-10,1490.0
11:10.0, ,58-69,J. Murray makes free throw 2 of 2,,3,58,69,-11,1490.0
10:57.0,K. Hayes misses 2-pt jump shot from 12 ft,58-69, ,,3,58,69,-11,1503.0
10:55.0, ,58-69,Defensive rebound by N. Jokić,,3,58,69,-11,1505.0
