Time,Cleveland,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:15.0,D. Wade enters the game for I. Okoro,82-60, ,,3,60,82,-22,1845.0
5:15.0,M. Strus makes free throw 2 of 2,83-60, ,,3,60,83,-23,1845.0
5:02.0, ,83-62,C. Cunningham makes 2-pt jump shot from 4 ft,,3,62,83,-21,1858.0
5:02.0,Violation by Team (def goaltending),83-62, ,,3,62,83,-21,1858.0
4:49.0,Personal foul by S. Fontecchio (drawn by J. Allen),83-62, ,,3,62,83,-21,1871.0
4:49.0,J. Allen makes free throw 1 of 2,84-62, ,,3,62,84,-22,1871.0
4:49.0,J. Allen makes free throw 2 of 2,85-62, ,,3,62,85,-23,1871.0
4:32.0, ,85-64,J. Duren makes 2-pt dunk from 4 ft (assist by I. Stewart),,3,64,85,-21,1888.0
4:03.0,J. Allen misses 2-pt dunk from 4 ft,85-64, ,,3,64,85,-21,1917.0
4:01.0,Offensive rebound by S. Merrill,85-64, ,,3,64,85,-21,1919.0
3:59.0,S. Merrill misses 3-pt jump shot from 26 ft,85-64, ,,3,64,85,-21,1921.0
3:56.0, ,85-64,Defensive rebound by J. Duren,,3,64,85,-21,1924.0
3:50.0, ,85-66,J. Duren makes 2-pt layup from 4 ft,,3,66,85,-19,1930.0
3:24.0,D. Garland misses 3-pt jump shot from 26 ft,85-66, ,,3,66,85,-19,1956.0
3:19.0, ,85-66,Defensive rebound by J. Duren,,3,66,85,-19,1961.0
3:14.0, ,85-66,C. Cunningham misses 2-pt layup from 6 ft,,3,66,85,-19,1966.0
3:13.0, ,85-66,Offensive rebound by I. Stewart,,3,66,85,-19,1967.0
3:12.0, ,85-66,Offensive foul by J. Duren (drawn by S. Merrill),,3,66,85,-19,1968.0
3:12.0, ,85-66,Turnover by J. Duren (offensive foul),,3,66,85,-19,1968.0
3:12.0,E. Mobley enters the game for J. Allen,85-66, ,,3,66,85,-19,1968.0
3:12.0,G. Niang enters the game for M. Strus,85-66, ,,3,66,85,-19,1968.0
2:51.0,G. Niang misses 2-pt jump shot from 10 ft,85-66, ,,3,66,85,-19,1989.0
2:48.0, ,85-66,Defensive rebound by J. Duren,,3,66,85,-19,1992.0
2:42.0, ,85-66,Shooting foul by E. Mobley (drawn by J. Duren),,3,66,85,-19,1998.0
2:42.0,Cleveland full timeout,85-66, ,,3,66,85,-19,1998.0
2:42.0, ,85-66,J. Ivey enters the game for C. Cunningham,,3,66,85,-19,1998.0
2:42.0, ,85-66,A. Thompson enters the game for I. Stewart,,3,66,85,-19,1998.0
2:42.0, ,85-67,J. Duren makes free throw 1 of 2,,3,67,85,-18,1998.0
2:42.0, ,85-67,J. Duren misses free throw 2 of 2,,3,67,85,-18,1998.0
2:40.0,Defensive rebound by E. Mobley,85-67, ,,3,67,85,-18,2000.0
2:25.0,Personal foul by J. Duren (drawn by E. Mobley),85-67, ,,3,67,85,-18,2015.0
2:25.0,E. Mobley makes free throw 1 of 2,86-67, ,,3,67,86,-19,2015.0
2:25.0, ,86-67,J. Wiseman enters the game for J. Duren,,3,67,86,-19,2015.0
2:25.0,E. Mobley makes free throw 2 of 2,87-67, ,,3,67,87,-20,2015.0
2:14.0, ,87-67,Personal foul by D. Garland (drawn by J. Ivey),,3,67,87,-20,2026.0
2:08.0, ,87-67,S. Fontecchio misses 3-pt jump shot from 25 ft,,3,67,87,-20,2032.0
2:04.0,Defensive rebound by D. Wade,87-67, ,,3,67,87,-20,2036.0
1:50.0,D. Garland misses 2-pt jump shot from 12 ft,87-67, ,,3,67,87,-20,2050.0
1:46.0, ,87-67,Defensive rebound by A. Thompson,,3,67,87,-20,2054.0
1:38.0, ,87-67,J. Ivey misses 3-pt jump shot from 24 ft,,3,67,87,-20,2062.0
1:35.0, ,87-67,Offensive rebound by J. Wiseman,,3,67,87,-20,2065.0
1:31.0, ,87-67,J. Ivey misses 3-pt jump shot from 24 ft,,3,67,87,-20,2069.0
1:27.0,Defensive rebound by G. Niang,87-67, ,,3,67,87,-20,2073.0
1:16.0,Personal foul by J. Wiseman (drawn by E. Mobley),87-67, ,,3,67,87,-20,2084.0
1:16.0,E. Mobley misses free throw 1 of 2,87-67, ,,3,67,87,-20,2084.0
1:16.0,Offensive rebound by Team,87-67, ,,3,67,87,-20,2084.0
1:16.0,E. Mobley makes free throw 2 of 2,88-67, ,,3,67,88,-21,2084.0
1:01.0, ,88-70,A. Thompson makes 3-pt jump shot from 25 ft (assist by J. Ivey),,3,70,88,-18,2099.0
0:47.0,Personal foul by J. Ivey (drawn by D. Garland),88-70, ,,3,70,88,-18,2113.0
0:47.0,D. Garland makes free throw 1 of 2,89-70, ,,3,70,89,-19,2113.0
0:47.0,D. Garland makes free throw 2 of 2,90-70, ,,3,70,90,-20,2113.0
0:37.0, ,90-70,J. Wiseman misses 2-pt jump shot from 8 ft,,3,70,90,-20,2123.0
0:35.0,Defensive rebound by E. Mobley,90-70, ,,3,70,90,-20,2125.0
0:26.0,Shooting foul by J. Wiseman (drawn by E. Mobley),90-70, ,,3,70,90,-20,2134.0
0:26.0,E. Mobley makes free throw 1 of 2,91-70, ,,3,70,91,-21,2134.0
0:26.0,J. Allen enters the game for D. Garland,91-70, ,,3,70,91,-21,2134.0
0:26.0,M. Strus enters the game for S. Merrill,91-70, ,,3,70,91,-21,2134.0
0:26.0,E. Mobley misses free throw 2 of 2,91-70, ,,3,70,91,-21,2134.0
0:23.0, ,91-70,Defensive rebound by A. Thompson,,3,70,91,-21,2137.0
0:04.0, ,91-70,Q. Grimes misses 3-pt jump shot from 25 ft,,3,70,91,-21,2156.0
0:02.0, ,91-70,Offensive rebound by A. Thompson,,3,70,91,-21,2158.0
0:00.0, ,91-70,J. Ivey misses 3-pt jump shot from 27 ft,,3,70,91,-21,2160.0
0:00.0, ,91-70,Offensive rebound by Team,,3,70,91,-21,2160.0
0:00.0,End of 3rd quarter,91-70,,,3,70,91,-21,2160.0
12:00.0,Start of 4th quarter,91-70,,,4,70,91,-21,2160.0
11:42.0,E. Mobley makes 2-pt dunk from 4 ft (assist by M. Strus),93-70, ,,4,70,93,-23,2178.0
11:31.0, ,93-70,Personal foul by C. Porter (drawn by A. Thompson),,4,70,93,-23,2189.0
11:22.0, ,93-70,Q. Grimes misses 3-pt jump shot from 25 ft,,4,70,93,-23,2198.0
11:19.0,Defensive rebound by E. Mobley,93-70, ,,4,70,93,-23,2201.0
11:11.0,S. Merrill makes 3-pt jump shot from 25 ft (assist by M. Strus),96-70, ,,4,70,96,-26,2209.0
10:57.0, ,96-72,J. Ivey makes 2-pt jump shot from 16 ft,,4,72,96,-24,2223.0
10:57.0, ,96-72,Shooting foul by E. Mobley (drawn by J. Ivey),,4,72,96,-24,2223.0
10:57.0, ,96-72,E. Fournier enters the game for Q. Grimes,,4,72,96,-24,2223.0
10:57.0, ,96-73,J. Ivey makes free throw 1 of 1,,4,73,96,-23,2223.0
10:37.0,Turnover by M. Strus (bad pass; steal by E. Fournier),96-73, ,,4,73,96,-23,2243.0
10:27.0, ,96-73,J. Ivey misses 3-pt jump shot from 22 ft,,4,73,96,-23,2253.0
10:23.0,Defensive rebound by C. Porter,96-73, ,,4,73,96,-23,2257.0
10:10.0,G. Niang misses 3-pt jump shot from 23 ft,96-73, ,,4,73,96,-23,2270.0
10:07.0, ,96-73,Defensive rebound by E. Fournier,,4,73,96,-23,2273.0
9:56.0, ,96-73,J. Ivey misses 2-pt layup from 8 ft,,4,73,96,-23,2284.0
9:54.0,Defensive rebound by C. Porter,96-73, ,,4,73,96,-23,2286.0
9:42.0,S. Merrill misses 3-pt jump shot from 24 ft,96-73, ,,4,73,96,-23,2298.0
9:40.0, ,96-73,Defensive rebound by E. Fournier,,4,73,96,-23,2300.0
9:34.0, ,96-76,S. Fontecchio makes 3-pt jump shot from 23 ft (assist by J. Ivey),,4,76,96,-20,2306.0
9:19.0,G. Niang makes 2-pt layup from 3 ft (assist by E. Mobley),98-76, ,,4,76,98,-22,2321.0
9:07.0, ,98-76,J. Wiseman misses 2-pt jump shot from 12 ft,,4,76,98,-22,2333.0
9:03.0,Defensive rebound by G. Niang,98-76, ,,4,76,98,-22,2337.0
8:56.0,M. Strus misses 3-pt jump shot from 25 ft (block by A. Thompson),98-76, ,,4,76,98,-22,2344.0
8:52.0, ,98-76,Defensive rebound by S. Fontecchio,,4,76,98,-22,2348.0
8:51.0, ,98-76,Shooting foul by C. Porter (drawn by S. Fontecchio),,4,76,98,-22,2349.0
8:51.0,Cleveland full timeout,98-76, ,,4,76,98,-22,2349.0
8:51.0,Instant Replay (Challenge: Stands),98-76, ,,4,76,98,-22,2349.0
8:51.0,J. Allen enters the game for E. Mobley,98-76, ,,4,76,98,-22,2349.0
8:51.0, ,98-76,C. Cunningham enters the game for J. Ivey,,4,76,98,-22,2349.0
8:51.0, ,98-76,I. Stewart enters the game for J. Wiseman,,4,76,98,-22,2349.0
8:51.0, ,98-77,S. Fontecchio makes free throw 1 of 2,,4,77,98,-21,2349.0
8:51.0, ,98-77,S. Fontecchio misses free throw 2 of 2,,4,77,98,-21,2349.0
8:40.0,Defensive rebound by J. Allen,98-77, ,,4,77,98,-21,2360.0
8:36.0,Shooting foul by E. Fournier (drawn by J. Allen),98-77, ,,4,77,98,-21,2364.0
8:36.0,J. Allen makes free throw 1 of 2,99-77, ,,4,77,99,-22,2364.0
8:36.0,J. Allen makes free throw 2 of 2,100-77, ,,4,77,100,-23,2364.0
8:18.0, ,100-79,S. Fontecchio makes 2-pt jump shot from 5 ft (assist by C. Cunningham),,4,79,100,-21,2382.0
8:18.0, ,100-79,Shooting foul by C. Porter (drawn by S. Fontecchio),,4,79,100,-21,2382.0
8:18.0, ,100-80,S. Fontecchio makes free throw 1 of 1,,4,80,100,-20,2382.0
7:57.0,Turnover by C. Porter (bad pass; steal by A. Thompson),100-80, ,,4,80,100,-20,2403.0
7:52.0, ,100-82,A. Thompson makes 2-pt dunk from 3 ft (assist by I. Stewart),,4,82,100,-18,2408.0
7:36.0,G. Niang misses 2-pt jump shot from 6 ft,100-82, ,,4,82,100,-18,2424.0
7:35.0,Offensive rebound by J. Allen,100-82, ,,4,82,100,-18,2425.0
7:35.0,J. Allen misses 2-pt layup from 1 ft,100-82, ,,4,82,100,-18,2425.0
7:34.0,Offensive rebound by J. Allen,100-82, ,,4,82,100,-18,2426.0
7:33.0,J. Allen misses 2-pt hook shot from 8 ft,100-82, ,,4,82,100,-18,2427.0
7:30.0, ,100-82,Defensive rebound by I. Stewart,,4,82,100,-18,2430.0
7:19.0, ,100-84,I. Stewart makes 2-pt layup from 4 ft (assist by E. Fournier),,4,84,100,-16,2441.0
7:02.0,Turnover by S. Merrill (bad pass),100-84, ,,4,84,100,-16,2458.0
7:02.0,D. Garland enters the game for C. Porter,100-84, ,,4,84,100,-16,2458.0
6:51.0, ,100-84,C. Cunningham misses 3-pt jump shot from 27 ft,,4,84,100,-16,2469.0
6:48.0,Defensive rebound by G. Niang,100-84, ,,4,84,100,-16,2472.0
6:38.0,G. Niang misses 2-pt layup from 9 ft (block by I. Stewart),100-84, ,,4,84,100,-16,2482.0
6:37.0, ,100-84,Defensive rebound by Team,,4,84,100,-16,2483.0
6:37.0,D. Wade enters the game for G. Niang,100-84, ,,4,84,100,-16,2483.0
6:29.0, ,100-84,C. Cunningham misses 2-pt hook shot from 4 ft,,4,84,100,-16,2491.0
6:25.0,Defensive rebound by J. Allen,100-84, ,,4,84,100,-16,2495.0
6:21.0,S. Merrill misses 3-pt jump shot from 23 ft,100-84, ,,4,84,100,-16,2499.0
6:16.0, ,100-84,Defensive rebound by A. Thompson,,4,84,100,-16,2504.0
6:09.0, ,100-87,A. Thompson makes 3-pt jump shot from 24 ft (assist by C. Cunningham),,4,87,100,-13,2511.0
5:47.0,Turnover by D. Garland (bad pass; steal by S. Fontecchio),100-87, ,,4,87,100,-13,2533.0
5:44.0, ,100-87,Turnover by S. Fontecchio (lost ball; steal by D. Wade),,4,87,100,-13,2536.0
5:38.0,S. Merrill makes 3-pt jump shot from 24 ft (assist by J. Allen),103-87, ,,4,87,103,-16,2542.0
5:24.0, ,103-87,Shooting foul by D. Garland (drawn by E. Fournier),,4,87,103,-16,2556.0
5:24.0, ,103-88,E. Fournier makes free throw 1 of 3,,4,88,103,-15,2556.0
5:24.0, ,103-89,E. Fournier makes free throw 2 of 3,,4,89,103,-14,2556.0
5:24.0, ,103-90,E. Fournier makes free throw 3 of 3,,4,90,103,-13,2556.0
5:09.0,J. Allen misses 2-pt jump shot from 8 ft,103-90, ,,4,90,103,-13,2571.0
5:05.0, ,103-90,Defensive rebound by I. Stewart,,4,90,103,-13,2575.0
4:53.0, ,103-90,Shooting foul by M. Strus (drawn by C. Cunningham),,4,90,103,-13,2587.0
4:53.0,Technical foul by M. Strus,103-90, ,,4,90,103,-13,2587.0
4:53.0, ,103-91,C. Cunningham makes technical free throw,,4,91,103,-12,2587.0
4:53.0, ,103-92,C. Cunningham makes free throw 1 of 2,,4,92,103,-11,2587.0
4:53.0,E. Mobley enters the game for S. Merrill,103-92, ,,4,92,103,-11,2587.0
4:53.0, ,103-93,C. Cunningham makes free throw 2 of 2,,4,93,103,-10,2587.0
4:39.0,M. Strus makes 2-pt layup from 3 ft,105-93, ,,4,93,105,-12,2601.0
4:33.0, ,105-93,Shooting foul by D. Wade (drawn by C. Cunningham),,4,93,105,-12,2607.0
4:33.0, ,105-94,C. Cunningham makes free throw 1 of 2,,4,94,105,-11,2607.0
4:33.0, ,105-95,C. Cunningham makes free throw 2 of 2,,4,95,105,-10,2607.0
4:23.0,Personal foul by S. Fontecchio (drawn by E. Mobley),105-95, ,,4,95,105,-10,2617.0
4:10.0,D. Garland misses 2-pt layup from 3 ft,105-95, ,,4,95,105,-10,2630.0
4:07.0, ,105-95,Defensive rebound by A. Thompson,,4,95,105,-10,2633.0
4:03.0, ,105-95,Turnover by S. Fontecchio (bad pass; steal by D. Garland),,4,95,105,-10,2637.0
3:54.0,Turnover by D. Garland (bad pass; steal by A. Thompson),105-95, ,,4,95,105,-10,2646.0
3:54.0, ,105-95,J. Duren enters the game for S. Fontecchio,,4,95,105,-10,2646.0
3:54.0, ,105-95,J. Ivey enters the game for E. Fournier,,4,95,105,-10,2646.0
3:42.0, ,105-95,I. Stewart misses 3-pt jump shot from 26 ft,,4,95,105,-10,2658.0
3:38.0,Defensive rebound by D. Wade,105-95, ,,4,95,105,-10,2662.0
3:26.0,D. Garland misses 3-pt jump shot from 25 ft,105-95, ,,4,95,105,-10,2674.0
3:24.0, ,105-95,Defensive rebound by J. Duren,,4,95,105,-10,2676.0
3:24.0, ,105-95,Detroit full timeout,,4,95,105,-10,2676.0
3:11.0, ,105-95,C. Cunningham misses 3-pt jump shot from 23 ft,,4,95,105,-10,2689.0
3:09.0,Defensive rebound by Team,105-95, ,,4,95,105,-10,2691.0
3:09.0, ,105-95,Loose ball foul by J. Ivey (drawn by E. Mobley),,4,95,105,-10,2691.0
2:55.0,D. Wade misses 3-pt jump shot from 23 ft,105-95, ,,4,95,105,-10,2705.0
2:50.0, ,105-95,Defensive rebound by J. Ivey,,4,95,105,-10,2710.0
2:47.0, ,105-95,C. Cunningham misses 2-pt layup from 5 ft (block by D. Wade),,4,95,105,-10,2713.0
2:47.0, ,105-95,Offensive rebound by Team,,4,95,105,-10,2713.0
2:30.0, ,105-95,A. Thompson misses 2-pt jump shot from 21 ft,,4,95,105,-10,2730.0
2:30.0, ,105-95,Offensive rebound by J. Duren,,4,95,105,-10,2730.0
2:30.0, ,105-95,Personal foul by D. Wade (drawn by J. Duren),,4,95,105,-10,2730.0
2:30.0, ,105-96,J. Duren makes free throw 1 of 2,,4,96,105,-9,2730.0
2:30.0,S. Merrill enters the game for D. Wade,105-96, ,,4,96,105,-9,2730.0
2:30.0, ,105-97,J. Duren makes free throw 2 of 2,,4,97,105,-8,2730.0
2:07.0,D. Garland makes 2-pt jump shot from 21 ft,107-97, ,,4,97,107,-10,2753.0
1:48.0, ,107-97,I. Stewart misses 2-pt layup from 4 ft,,4,97,107,-10,2772.0
1:48.0,Defensive rebound by Team,107-97, ,,4,97,107,-10,2772.0
1:48.0, ,107-97,Loose ball foul by I. Stewart (drawn by E. Mobley),,4,97,107,-10,2772.0
1:33.0,Turnover by M. Strus (traveling),107-97, ,,4,97,107,-10,2787.0
1:22.0, ,107-100,J. Ivey makes 3-pt jump shot from 27 ft (assist by C. Cunningham),,4,100,107,-7,2798.0
1:13.0,Personal foul by J. Ivey (drawn by M. Strus),107-100, ,,4,100,107,-7,2807.0
1:13.0, ,107-100,S. Fontecchio enters the game for J. Ivey,,4,100,107,-7,2807.0
1:13.0,M. Strus makes free throw 1 of 2,108-100, ,,4,100,108,-8,2807.0
1:13.0,D. Wade enters the game for S. Merrill,108-100, ,,4,100,108,-8,2807.0
1:13.0,M. Strus makes free throw 2 of 2,109-100, ,,4,100,109,-9,2807.0
1:13.0, ,109-100,Detroit full timeout,,4,100,109,-9,2807.0
0:51.0, ,109-100,C. Cunningham misses 3-pt jump shot from 25 ft,,4,100,109,-9,2829.0
0:47.0,Defensive rebound by D. Garland,109-100, ,,4,100,109,-9,2833.0
0:33.0,Personal foul by C. Cunningham (drawn by E. Mobley),109-100, ,,4,100,109,-9,2847.0
0:33.0,E. Mobley makes free throw 1 of 2,110-100, ,,4,100,110,-10,2847.0
0:33.0,E. Mobley misses free throw 2 of 2,110-100, ,,4,100,110,-10,2847.0
0:32.0,Offensive rebound by E. Mobley,110-100, ,,4,100,110,-10,2848.0
0:18.0,D. Garland misses 3-pt jump shot from 32 ft,110-100, ,,4,100,110,-10,2862.0
0:14.0, ,110-100,Defensive rebound by A. Thompson,,4,100,110,-10,2866.0
0:08.0, ,110-100,A. Thompson misses 3-pt jump shot from 26 ft,,4,100,110,-10,2872.0
0:07.0,Defensive rebound by Team,110-100, ,,4,100,110,-10,2873.0
0:00.0,End of 4th quarter,110-100,,,4,100,110,-10,2880.0
