event,TeamScore,opponentScore,pointDifference,elapsedTime,opponent,id
,14,6,8,155.0,IND,202311010BOS
,16,6,10,190.0,IND,202311010BOS
,18,6,12,226.0,IND,202311010BOS
,18,8,10,239.0,IND,202311010BOS
,20,8,12,274.0,IND,202311010BOS
,20,10,10,289.0,IND,202311010BOS
,23,10,13,299.0,IND,202311010BOS
,23,12,11,312.0,IND,202311010BOS
,23,14,9,342.0,IND,202311010BOS
,23,16,7,373.0,IND,202311010BOS
,26,16,10,389.0,IND,202311010BOS
,26,18,8,405.0,IND,202311010BOS
,26,20,6,430.0,IND,202311010BOS
,28,20,8,450.0,IND,202311010BOS
,28,21,7,492.0,IND,202311010BOS
,30,21,9,519.0,IND,202311010BOS
,31,21,10,519.0,IND,202311010BOS
,33,21,12,559.0,IND,202311010BOS
,33,23,10,581.0,IND,202311010BOS
,36,23,13,593.0,IND,202311010BOS
,36,25,11,606.0,IND,202311010BOS
,39,25,14,637.0,IND,202311010BOS
,40,25,15,670.0,IND,202311010BOS
,41,25,16,670.0,IND,202311010BOS
,41,27,14,686.0,IND,202311010BOS
,44,27,17,719.0,IND,202311010BOS
,44,30,14,732.0,IND,202311010BOS
,45,30,15,783.0,IND,202311010BOS
,46,30,16,783.0,IND,202311010BOS
,48,30,18,820.0,IND,202311010BOS
,48,32,16,833.0,IND,202311010BOS
,49,32,17,847.0,IND,202311010BOS
,50,32,18,847.0,IND,202311010BOS
,50,34,16,865.0,IND,202311010BOS
,52,34,18,883.0,IND,202311010BOS
,52,36,16,898.0,IND,202311010BOS
,54,36,18,910.0,IND,202311010BOS
,56,36,20,956.0,IND,202311010BOS
,56,38,18,978.0,IND,202311010BOS
,58,38,20,1009.0,IND,202311010BOS
,58,40,18,1056.0,IND,202311010BOS
,60,40,20,1065.0,IND,202311010BOS
,62,40,22,1112.0,IND,202311010BOS
,62,42,20,1130.0,IND,202311010BOS
,64,42,22,1177.0,IND,202311010BOS
,64,45,19,1212.0,IND,202311010BOS
,65,45,20,1230.0,IND,202311010BOS
,66,45,21,1230.0,IND,202311010BOS
,66,48,18,1242.0,IND,202311010BOS
,67,48,19,1297.0,IND,202311010BOS
,68,48,20,1297.0,IND,202311010BOS
,69,48,21,1297.0,IND,202311010BOS
,69,50,19,1309.0,IND,202311010BOS
,72,50,22,1352.0,IND,202311010BOS
,72,52,20,1394.0,IND,202311010BOS
,75,52,23,1405.0,IND,202311010BOS
,75,54,21,1416.0,IND,202311010BOS
