Time,Score,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: D. Dedmon vs. M. Turner (C. LeVert gains possession),Indiana,202112030IND
12:00.0,32-25,,2,32,25,7,720.0,Start of 2nd quarter,Indiana,202112030IND
12:00.0,62-55,,3,62,55,7,1440.0,Start of 3rd quarter,Indiana,202112030IND
12:00.0,92-81,,4,92,81,11,2160.0,Start of 4th quarter,Indiana,202112030IND
0:00.0,113-104,,4,113,104,9,2880.0,End of 4th quarter,Indiana,202112030IND
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: D. Dedmon vs. B. Portis (P. Connaughton gains possession),Milwaukee,202112040MIL
12:00.0,23-34,,2,23,34,-11,720.0,Start of 2nd quarter,Milwaukee,202112040MIL
12:00.0,52-69,,3,52,69,-17,1440.0,Start of 3rd quarter,Milwaukee,202112040MIL
12:00.0,76-105,,4,76,105,-29,2160.0,Start of 4th quarter,Milwaukee,202112040MIL
0:00.0,102-124,,4,102,124,-22,2880.0,End of 4th quarter,Milwaukee,202112040MIL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: S. Adams vs. D. Dedmon (J. Jackson gains possession),Memphis,202112060MIA
12:00.0,34-25,,2,25,34,-9,720.0,Start of 2nd quarter,Memphis,202112060MIA
12:00.0,60-49,,3,49,60,-11,1440.0,Start of 3rd quarter,Memphis,202112060MIA
12:00.0,82-67,,4,67,82,-15,2160.0,Start of 4th quarter,Memphis,202112060MIA
0:00.0,105-90,,4,90,105,-15,2880.0,End of 4th quarter,Memphis,202112060MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Portis vs. D. Dedmon (J. Holiday gains possession),Milwaukee,202112080MIA
12:00.0,26-24,,2,24,26,-2,720.0,Start of 2nd quarter,Milwaukee,202112080MIA
12:00.0,51-44,,3,44,51,-7,1440.0,Start of 3rd quarter,Milwaukee,202112080MIA
12:00.0,77-83,,4,83,77,6,2160.0,Start of 4th quarter,Milwaukee,202112080MIA
0:00.0,104-113,,4,113,104,9,2880.0,End of 4th quarter,Milwaukee,202112080MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: N. Vučević vs. D. Dedmon (L. Ball gains possession),Chicago,202112110MIA
12:00.0,25-39,,2,39,25,14,720.0,Start of 2nd quarter,Chicago,202112110MIA
12:00.0,52-65,,3,65,52,13,1440.0,Start of 3rd quarter,Chicago,202112110MIA
12:00.0,70-86,,4,86,70,16,2160.0,Start of 4th quarter,Chicago,202112110MIA
0:00.0,92-118,,4,118,92,26,2880.0,End of 4th quarter,Chicago,202112110MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: D. Dedmon vs. J. Allen (L. Markkanen gains possession),Cleveland,202112130CLE
12:00.0,25-23,,2,25,23,2,720.0,Start of 2nd quarter,Cleveland,202112130CLE
12:00.0,44-55,,3,44,55,-11,1440.0,Start of 3rd quarter,Cleveland,202112130CLE
12:00.0,73-78,,4,73,78,-5,2160.0,Start of 4th quarter,Cleveland,202112130CLE
0:00.0,94-105,,4,94,105,-11,2880.0,End of 4th quarter,Cleveland,202112130CLE
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: D. Dedmon vs. J. Embiid (K. Lowry gains possession),Philadelphia,202112150PHI
12:00.0,29-18,,2,29,18,11,720.0,Start of 2nd quarter,Philadelphia,202112150PHI
12:00.0,58-49,,3,58,49,9,1440.0,Start of 3rd quarter,Philadelphia,202112150PHI
12:00.0,81-70,,4,81,70,11,2160.0,Start of 4th quarter,Philadelphia,202112150PHI
0:00.0,101-96,,4,101,96,5,2880.0,End of 4th quarter,Philadelphia,202112150PHI
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: D. Dedmon vs. R. Lopez (W. Carter gains possession),Orlando,202112170ORL
12:00.0,31-22,,2,31,22,9,720.0,Start of 2nd quarter,Orlando,202112170ORL
12:00.0,66-57,,3,66,57,9,1440.0,Start of 3rd quarter,Orlando,202112170ORL
12:00.0,93-83,,4,93,83,10,2160.0,Start of 4th quarter,Orlando,202112170ORL
0:00.0,115-105,,4,115,105,10,2880.0,End of 4th quarter,Orlando,202112170ORL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: D. Dedmon vs. I. Stewart (K. Hayes gains possession),Detroit,202112190DET
12:00.0,23-20,,2,23,20,3,720.0,Start of 2nd quarter,Detroit,202112190DET
12:00.0,48-46,,3,48,46,2,1440.0,Start of 3rd quarter,Detroit,202112190DET
12:00.0,67-79,,4,67,79,-12,2160.0,Start of 4th quarter,Detroit,202112190DET
0:00.0,90-100,,4,90,100,-10,2880.0,End of 4th quarter,Detroit,202112190DET
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: M. Turner vs. D. Dedmon (D. Sabonis gains possession),Indiana,202112210MIA
12:00.0,21-33,,2,33,21,12,720.0,Start of 2nd quarter,Indiana,202112210MIA
12:00.0,45-68,,3,68,45,23,1440.0,Start of 3rd quarter,Indiana,202112210MIA
12:00.0,69-98,,4,98,69,29,2160.0,Start of 4th quarter,Indiana,202112210MIA
0:00.0,96-125,,4,125,96,29,2880.0,End of 4th quarter,Indiana,202112210MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: T. Lyles vs. D. Dedmon (H. Diallo gains possession),Detroit,202112230MIA
12:00.0,29-29,,2,29,29,0,720.0,Start of 2nd quarter,Detroit,202112230MIA
12:00.0,61-55,,3,55,61,-6,1440.0,Start of 3rd quarter,Detroit,202112230MIA
12:00.0,87-88,,4,88,87,1,2160.0,Start of 4th quarter,Detroit,202112230MIA
0:00.0,112-115,,4,115,112,3,2880.0,End of 4th quarter,Detroit,202112230MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: W. Carter vs. O. Yurtseven (H. Gravett gains possession),Orlando,202112260MIA
12:00.0,24-22,,2,22,24,-2,720.0,Start of 2nd quarter,Orlando,202112260MIA
12:00.0,39-42,,3,42,39,3,1440.0,Start of 3rd quarter,Orlando,202112260MIA
12:00.0,60-72,,4,72,60,12,2160.0,Start of 4th quarter,Orlando,202112260MIA
0:00.0,83-93,,4,93,83,10,2880.0,End of 4th quarter,Orlando,202112260MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: D. Gafford vs. O. Yurtseven (D. Robinson gains possession),Washington,202112280MIA
12:00.0,24-38,,2,38,24,14,720.0,Start of 2nd quarter,Washington,202112280MIA
12:00.0,51-65,,3,65,51,14,1440.0,Start of 3rd quarter,Washington,202112280MIA
12:00.0,73-91,,4,91,73,18,2160.0,Start of 4th quarter,Washington,202112280MIA
0:00.0,112-119,,4,119,112,7,2880.0,End of 4th quarter,Washington,202112280MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: O. Yurtseven vs. C. Wood (K. Porter gains possession),Houston,202112310HOU
12:00.0,41-30,,2,41,30,11,720.0,Start of 2nd quarter,Houston,202112310HOU
12:00.0,74-60,,3,74,60,14,1440.0,Start of 3rd quarter,Houston,202112310HOU
12:00.0,100-87,,4,100,87,13,2160.0,Start of 4th quarter,Houston,202112310HOU
0:00.0,120-110,,4,120,110,10,2880.0,End of 4th quarter,Houston,202112310HOU
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: O. Yurtseven vs. D. Jones (K. Lowry gains possession),Sacramento,202201020SAC
12:00.0,18-26,,2,18,26,-8,720.0,Start of 2nd quarter,Sacramento,202201020SAC
12:00.0,57-61,,3,57,61,-4,1440.0,Start of 3rd quarter,Sacramento,202201020SAC
12:00.0,90-90,,4,90,90,0,2160.0,Start of 4th quarter,Sacramento,202201020SAC
0:00.0,113-115,,4,113,115,-2,2880.0,End of 4th quarter,Sacramento,202201020SAC
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: O. Yurtseven vs. K. Looney (K. Looney gains possession),Golden State,202201030GSW
12:00.0,25-33,,2,25,33,-8,720.0,Start of 2nd quarter,Golden State,202201030GSW
12:00.0,54-59,,3,54,59,-5,1440.0,Start of 3rd quarter,Golden State,202201030GSW
12:00.0,82-89,,4,82,89,-7,2160.0,Start of 4th quarter,Golden State,202201030GSW
0:00.0,108-115,,4,108,115,-7,2880.0,End of 4th quarter,Golden State,202201030GSW
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: O. Yurtseven vs. J. Nurkić (M. Strus gains possession),Portland,202201050POR
12:00.0,30-23,,2,30,23,7,720.0,Start of 2nd quarter,Portland,202201050POR
12:00.0,58-47,,3,58,47,11,1440.0,Start of 3rd quarter,Portland,202201050POR
12:00.0,83-80,,4,83,80,3,2160.0,Start of 4th quarter,Portland,202201050POR
0:00.0,115-109,,4,115,109,6,2880.0,End of 4th quarter,Portland,202201050POR
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: O. Yurtseven vs. D. Ayton (C. Paul gains possession),Phoenix,202201080PHO
12:00.0,33-29,,2,33,29,4,720.0,Start of 2nd quarter,Phoenix,202201080PHO
12:00.0,71-50,,3,71,50,21,1440.0,Start of 3rd quarter,Phoenix,202201080PHO
12:00.0,98-79,,4,98,79,19,2160.0,Start of 4th quarter,Phoenix,202201080PHO
0:00.0,123-100,,4,123,100,23,2880.0,End of 4th quarter,Phoenix,202201080PHO
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: O. Yurtseven vs. O. Okongwu (C. Martin gains possession),Atlanta,202201120ATL
12:00.0,21-27,,2,21,27,-6,720.0,Start of 2nd quarter,Atlanta,202201120ATL
12:00.0,56-51,,3,56,51,5,1440.0,Start of 3rd quarter,Atlanta,202201120ATL
12:00.0,86-67,,4,86,67,19,2160.0,Start of 4th quarter,Atlanta,202201120ATL
0:00.0,115-91,,4,115,91,24,2880.0,End of 4th quarter,Atlanta,202201120ATL
