Time,Score,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
12:00.0,97-95,,4,95,97,-2,2160.0,Start of 4th quarter,Philadelphia,202312010BOS
0:00.0,119-125,,4,125,119,6,2880.0,End of 4th quarter,Philadelphia,202312010BOS
6:09.0,12-17,,1,12,17,-5,351.0, ,Indiana,202312040IND
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: A. Horford vs. M. Turner (O. Toppin gains possession),Indiana,202312040IND
6:11.0,36-37,Lead change,2,36,37,-1,1069.0, ,Indiana,202312040IND
12:00.0,24-22,,2,24,22,2,720.0,Start of 2nd quarter,Indiana,202312040IND
6:07.0,69-65,,3,69,65,4,1793.0, ,Indiana,202312040IND
12:00.0,55-48,,3,55,48,7,1440.0,Start of 3rd quarter,Indiana,202312040IND
6:07.0,94-94,Tie,4,94,94,0,2513.0,J. Brown makes 3-pt jump shot from 26 ft (assist by A. Horford),Indiana,202312040IND
12:00.0,78-85,,4,78,85,-7,2160.0,Start of 4th quarter,Indiana,202312040IND
0:00.0,112-122,,4,112,122,-10,2880.0, ,Indiana,202312040IND
6:13.0,17-21,,1,21,17,4,347.0, ,New York,202312080BOS
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: M. Robinson vs. K. Porziņģis (D. White gains possession),New York,202312080BOS
6:00.0,51-47,,2,47,51,-4,1080.0, ,New York,202312080BOS
12:00.0,32-33,,2,33,32,1,720.0,Start of 2nd quarter,New York,202312080BOS
6:02.0,79-94,,3,94,79,15,1798.0, ,New York,202312080BOS
12:00.0,65-74,,3,74,65,9,1440.0,Start of 3rd quarter,New York,202312080BOS
6:20.0,109-119,,4,119,109,10,2500.0, ,New York,202312080BOS
12:00.0,95-109,,4,109,95,14,2160.0,Start of 4th quarter,New York,202312080BOS
0:00.0,123-133,,4,133,123,10,2880.0,End of 4th quarter,New York,202312080BOS
6:10.0,22-8,,1,8,22,-14,350.0, ,Cleveland,202312120BOS
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Allen vs. K. Porziņģis (D. Garland gains possession),Cleveland,202312120BOS
6:11.0,46-41,,2,41,46,-5,1069.0,D. White makes 3-pt jump shot from 26 ft (assist by J. Tatum),Cleveland,202312120BOS
12:00.0,31-21,,2,21,31,-10,720.0,Start of 2nd quarter,Cleveland,202312120BOS
6:04.0,79-74,,3,74,79,-5,1796.0, ,Cleveland,202312120BOS
12:00.0,60-59,,3,59,60,-1,1440.0,Start of 3rd quarter,Cleveland,202312120BOS
6:05.0,106-106,Tie,4,106,106,0,2515.0, ,Cleveland,202312120BOS
12:00.0,92-94,,4,94,92,2,2160.0,Start of 4th quarter,Cleveland,202312120BOS
0:00.0,113-120,,4,120,113,7,2880.0,End of 4th quarter,Cleveland,202312120BOS
6:00.0,13-20,,1,20,13,7,360.0, ,Cleveland,202312140BOS
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Allen vs. K. Porziņģis (J. Brown gains possession),Cleveland,202312140BOS
6:18.0,37-47,,2,47,37,10,1062.0,J. Brown makes 2-pt jump shot from 13 ft,Cleveland,202312140BOS
12:00.0,24-33,,2,33,24,9,720.0,Start of 2nd quarter,Cleveland,202312140BOS
6:04.0,70-80,,3,80,70,10,1796.0, ,Cleveland,202312140BOS
12:00.0,54-65,,3,65,54,11,1440.0,Start of 3rd quarter,Cleveland,202312140BOS
6:08.0,95-101,,4,101,95,6,2512.0, ,Cleveland,202312140BOS
12:00.0,87-90,,4,90,87,3,2160.0,Start of 4th quarter,Cleveland,202312140BOS
0:00.0,107-116,,4,116,107,9,2880.0,End of 4th quarter,Cleveland,202312140BOS
6:09.0,15-9,,1,9,15,-6,351.0,Instant Replay (Challenge: Ruling Stands),Orlando,202312150BOS
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: G. Bitadze vs. L. Stevens (J. Suggs gains possession),Orlando,202312150BOS
6:04.0,40-46,,2,46,40,6,1076.0,Defensive rebound by J. Tatum,Orlando,202312150BOS
12:00.0,24-30,,2,30,24,6,720.0,Start of 2nd quarter,Orlando,202312150BOS
6:01.0,61-79,,3,79,61,18,1799.0, ,Orlando,202312150BOS
12:00.0,51-64,,3,64,51,13,1440.0,Start of 3rd quarter,Orlando,202312150BOS
6:00.0,96-118,,4,118,96,22,2520.0,D. White makes 2-pt jump shot from 17 ft,Orlando,202312150BOS
12:00.0,78-101,,4,101,78,23,2160.0,Start of 4th quarter,Orlando,202312150BOS
0:00.0,111-128,,4,128,111,17,2880.0,End of 4th quarter,Orlando,202312150BOS
6:03.0,13-6,,1,6,13,-7,357.0, ,Orlando,202312170BOS
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: G. Bitadze vs. K. Porziņģis (J. Suggs gains possession),Orlando,202312170BOS
6:01.0,39-41,,2,41,39,2,1079.0,J. Holiday makes 2-pt jump shot from 21 ft,Orlando,202312170BOS
12:00.0,31-27,,2,27,31,-4,720.0,Start of 2nd quarter,Orlando,202312170BOS
