Time,Score,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: N. Richards vs. O. Robinson (T. Rozier gains possession),Charlotte,202312130MIA
6:06.0,37-37,,2,37,37,0,1074.0,K. Lowry enters the game for J. Cain,Charlotte,202312130MIA
12:00.0,23-22,,2,22,23,-1,720.0,Start of 2nd quarter,Charlotte,202312130MIA
6:01.0,57-72,,3,72,57,15,1799.0, ,Charlotte,202312130MIA
12:00.0,45-56,,3,56,45,11,1440.0,Start of 3rd quarter,Charlotte,202312130MIA
6:02.0,85-101,,4,101,85,16,2518.0, ,Charlotte,202312130MIA
12:00.0,70-91,,4,91,70,21,2160.0,Start of 4th quarter,Charlotte,202312130MIA
0:00.0,104-115,,4,115,104,11,2880.0,End of 4th quarter,Charlotte,202312130MIA
6:16.0,21-5,,1,5,21,-16,344.0,J. Jaquez enters the game for D. Robinson,Chicago,202312140MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: N. Vučević vs. O. Robinson (C. White gains possession),Chicago,202312140MIA
6:11.0,53-38,,2,38,53,-15,1069.0,D. Robinson makes 3-pt jump shot from 24 ft (assist by K. Lowry),Chicago,202312140MIA
12:00.0,36-22,,2,22,36,-14,720.0,Start of 2nd quarter,Chicago,202312140MIA
6:05.0,73-67,,3,67,73,-6,1795.0,Defensive rebound by K. Love,Chicago,202312140MIA
12:00.0,60-56,,3,56,60,-4,1440.0,Start of 3rd quarter,Chicago,202312140MIA
6:02.0,110-101,,4,101,110,-9,2518.0, ,Chicago,202312140MIA
12:00.0,93-88,,4,88,93,-5,2160.0,Start of 4th quarter,Chicago,202312140MIA
0:00.0,124-116,,4,116,124,-8,2880.0,J. Jaquez misses 2-pt layup from 3 ft,Chicago,202312140MIA
6:06.0,10-13,,1,13,10,3,354.0,K. Love enters the game for O. Robinson,Chicago,202312160MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: N. Vučević vs. O. Robinson (C. White gains possession),Chicago,202312160MIA
6:10.0,38-44,,2,44,38,6,1070.0,J. Richardson makes 2-pt jump shot from 7 ft (assist by K. Lowry),Chicago,202312160MIA
12:00.0,24-36,,2,36,24,12,720.0,Start of 2nd quarter,Chicago,202312160MIA
6:07.0,72-67,,3,67,72,-5,1793.0, ,Chicago,202312160MIA
12:00.0,57-58,,3,58,57,1,1440.0,Start of 3rd quarter,Chicago,202312160MIA
6:19.0,104-104,Tie,4,104,104,0,2501.0, ,Chicago,202312160MIA
12:00.0,80-91,,4,91,80,11,2160.0,Start of 4th quarter,Chicago,202312160MIA
0:00.0,116-118,Lead change,4,118,116,2,2880.0,J. Butler makes 2-pt jump shot from 20 ft,Chicago,202312160MIA
6:00.0,10-15,,1,15,10,5,360.0,B. Adebayo makes free throw 1 of 1,Minnesota,202312180MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: R. Gobert vs. B. Adebayo (J. Butler gains possession),Minnesota,202312180MIA
6:15.0,38-51,,2,51,38,13,1065.0,D. Robinson makes 2-pt layup from 1 ft (assist by B. Adebayo),Minnesota,202312180MIA
12:00.0,22-33,,2,33,22,11,720.0,Start of 2nd quarter,Minnesota,202312180MIA
6:09.0,64-73,,3,73,64,9,1791.0, ,Minnesota,202312180MIA
12:00.0,54-66,,3,66,54,12,1440.0,Start of 3rd quarter,Minnesota,202312180MIA
6:03.0,93-91,,4,91,93,-2,2517.0,Defensive rebound by B. Adebayo,Minnesota,202312180MIA
12:00.0,77-83,,4,83,77,6,2160.0,Start of 4th quarter,Minnesota,202312180MIA
0:00.0,112-108,,4,108,112,-4,2880.0, ,Minnesota,202312180MIA
6:07.0,13-12,,1,13,12,1,353.0, ,Orlando,202312200ORL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. W. Carter (K. Lowry gains possession),Orlando,202312200ORL
6:00.0,41-38,,2,41,38,3,1080.0,D. Robinson makes free throw 3 of 3,Orlando,202312200ORL
12:00.0,25-24,,2,25,24,1,720.0,Start of 2nd quarter,Orlando,202312200ORL
6:01.0,79-59,,3,79,59,20,1799.0, ,Orlando,202312200ORL
12:00.0,68-50,,3,68,50,18,1440.0,Start of 3rd quarter,Orlando,202312200ORL
6:09.0,103-80,,4,103,80,23,2511.0,T. Herro makes 3-pt jump shot from 26 ft,Orlando,202312200ORL
12:00.0,89-72,,4,89,72,17,2160.0,Start of 4th quarter,Orlando,202312200ORL
0:00.0,115-106,,4,115,106,9,2880.0, ,Orlando,202312200ORL
6:00.0,11-20,,1,20,11,9,360.0,T. Herro makes 3-pt jump shot from 25 ft (assist by C. Martin),Atlanta,202312220MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: C. Capela vs. B. Adebayo (K. Lowry gains possession),Atlanta,202312220MIA
6:09.0,46-49,,2,49,46,3,1071.0, ,Atlanta,202312220MIA
12:00.0,26-33,,2,33,26,7,720.0,Start of 2nd quarter,Atlanta,202312220MIA
6:13.0,73-70,,3,70,73,-3,1787.0,K. Love makes free throw 2 of 2,Atlanta,202312220MIA
12:00.0,60-62,,3,62,60,2,1440.0,Start of 3rd quarter,Atlanta,202312220MIA
6:02.0,98-104,,4,104,98,6,2518.0, ,Atlanta,202312220MIA
12:00.0,86-88,,4,88,86,2,2160.0,Start of 4th quarter,Atlanta,202312220MIA
0:00.0,113-122,,4,122,113,9,2880.0,Turnover by B. Adebayo (lost ball; steal by O. Okongwu),Atlanta,202312220MIA
6:01.0,18-10,,1,10,18,-8,359.0,Defensive rebound by C. Martin,Philadelphia,202312250MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: P. Reed vs. B. Adebayo (K. Oubre gains possession),Philadelphia,202312250MIA
6:16.0,33-45,,2,45,33,12,1064.0,T. Herro makes 3-pt jump shot from 24 ft (assist by K. Love),Philadelphia,202312250MIA
12:00.0,22-26,,2,26,22,4,720.0,Start of 2nd quarter,Philadelphia,202312250MIA
6:12.0,64-74,,3,74,64,10,1788.0, ,Philadelphia,202312250MIA
12:00.0,49-63,,3,63,49,14,1440.0,Start of 3rd quarter,Philadelphia,202312250MIA
6:13.0,99-99,Tie,4,99,99,0,2507.0, ,Philadelphia,202312250MIA
12:00.0,86-86,,4,86,86,0,2160.0,Start of 4th quarter,Philadelphia,202312250MIA
