Time,Score,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: C. Capela vs. V. Wembanyama (J. Sochan gains possession),San Antonio,202311300SAS
6:10.0,45-48,,2,45,48,-3,1070.0, ,San Antonio,202311300SAS
12:00.0,26-35,,2,26,35,-9,720.0,Start of 2nd quarter,San Antonio,202311300SAS
6:04.0,81-81,,3,81,81,0,1796.0, ,San Antonio,202311300SAS
12:00.0,62-66,,3,62,66,-4,1440.0,Start of 3rd quarter,San Antonio,202311300SAS
6:10.0,119-117,Lead change,4,119,117,2,2510.0,D. Murray makes 2-pt jump shot from 11 ft,San Antonio,202311300SAS
12:00.0,101-105,,4,101,105,-4,2160.0,Start of 4th quarter,San Antonio,202311300SAS
0:00.0,137-135,,4,137,135,2,2880.0,End of 4th quarter,San Antonio,202311300SAS
6:14.0,20-19,,1,20,19,1,346.0, ,Milwaukee,202312020MIL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: C. Capela vs. B. Lopez (G. Antetokounmpo gains possession),Milwaukee,202312020MIL
6:16.0,48-53,,2,48,53,-5,1064.0, ,Milwaukee,202312020MIL
12:00.0,37-42,,2,37,42,-5,720.0,Start of 2nd quarter,Milwaukee,202312020MIL
6:01.0,83-84,,3,83,84,-1,1799.0,Defensive rebound by S. Bey,Milwaukee,202312020MIL
12:00.0,63-67,,3,63,67,-4,1440.0,Start of 3rd quarter,Milwaukee,202312020MIL
6:02.0,110-112,,4,110,112,-2,2518.0, ,Milwaukee,202312020MIL
12:00.0,98-99,,4,98,99,-1,2160.0,Start of 4th quarter,Milwaukee,202312020MIL
0:00.0,121-132,,4,121,132,-11,2880.0,End of 4th quarter,Milwaukee,202312020MIL
6:03.0,15-19,,1,19,15,4,357.0, ,Brooklyn,202312060ATL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: N. Claxton vs. C. Capela (S. Bey gains possession),Brooklyn,202312060ATL
6:01.0,41-41,,2,41,41,0,1079.0, ,Brooklyn,202312060ATL
12:00.0,31-33,,2,33,31,2,720.0,Start of 2nd quarter,Brooklyn,202312060ATL
6:11.0,66-72,,3,72,66,6,1789.0,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by D. Murray),Brooklyn,202312060ATL
12:00.0,53-56,,3,56,53,3,1440.0,Start of 3rd quarter,Brooklyn,202312060ATL
6:01.0,98-99,Lead change,4,99,98,1,2519.0,B. Bogdanović makes 3-pt jump shot from 25 ft,Brooklyn,202312060ATL
12:00.0,81-82,,4,82,81,1,2160.0,Start of 4th quarter,Brooklyn,202312060ATL
0:00.0,114-113,,4,113,114,-1,2880.0,T. Young misses 2-pt jump shot from 17 ft,Brooklyn,202312060ATL
6:10.0,11-17,,1,11,17,-6,350.0, ,Philadelphia,202312080PHI
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: C. Capela vs. J. Embiid (T. Maxey gains possession),Philadelphia,202312080PHI
6:06.0,43-49,,2,43,49,-6,1074.0,D. Hunter makes 2-pt layup from 2 ft (assist by O. Okongwu),Philadelphia,202312080PHI
12:00.0,23-35,,2,23,35,-12,720.0,Start of 2nd quarter,Philadelphia,202312080PHI
6:00.0,81-80,,3,81,80,1,1800.0, ,Philadelphia,202312080PHI
12:00.0,68-62,,3,68,62,6,1440.0,Start of 3rd quarter,Philadelphia,202312080PHI
6:09.0,104-104,,4,104,104,0,2511.0,Turnover by C. Capela (traveling),Philadelphia,202312080PHI
12:00.0,92-93,,4,92,93,-1,2160.0,Start of 4th quarter,Philadelphia,202312080PHI
0:00.0,114-125,,4,114,125,-11,2880.0,End of 4th quarter,Philadelphia,202312080PHI
6:03.0,14-15,,1,15,14,1,357.0, ,Denver,202312110ATL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: N. Jokić vs. C. Capela (A. Gordon gains possession),Denver,202312110ATL
6:02.0,45-50,,2,50,45,5,1078.0, ,Denver,202312110ATL
