Time,Miami,Score,Chicago,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
5:50.0,Shooting foul by Z. LaVine (drawn by K. Lowry),62-60, ,,3,62,60,2,1810.0
5:50.0,K. Lowry makes free throw 1 of 2,63-60, ,,3,63,60,3,1810.0
5:50.0,K. Lowry makes free throw 2 of 2,64-60, ,,3,64,60,4,1810.0
5:37.0, ,64-62,D. DeRozan makes 2-pt jump shot from 11 ft,,3,64,62,2,1823.0
5:37.0, ,64-62,Shooting foul by D. Robinson (drawn by D. DeRozan),,3,64,62,2,1823.0
5:37.0,M. Strus enters the game for D. Robinson,64-62, ,,3,64,62,2,1823.0
5:37.0, ,64-63,D. DeRozan makes free throw 1 of 1,,3,64,63,1,1823.0
5:16.0,P. Tucker makes 2-pt jump shot from 14 ft (assist by K. Lowry),66-63, ,,3,66,63,3,1844.0
4:57.0, ,66-63,Turnover by N. Vučević (bad pass; steal by J. Butler),,3,66,63,3,1863.0
4:51.0,P. Tucker misses 2-pt layup from 2 ft,66-63, ,,3,66,63,3,1869.0
4:51.0,Offensive rebound by J. Butler,66-63, ,,3,66,63,3,1869.0
4:51.0,J. Butler misses 2-pt layup at rim,66-63, ,,3,66,63,3,1869.0
4:51.0,Offensive rebound by Team,66-63, ,,3,66,63,3,1869.0
4:51.0,G. Vincent enters the game for K. Lowry,66-63, ,,3,66,63,3,1869.0
4:43.0,M. Strus misses 3-pt jump shot from 26 ft,66-63, ,,3,66,63,3,1877.0
4:38.0, ,66-63,Defensive rebound by L. Ball,,3,66,63,3,1882.0
4:33.0, ,66-63,N. Vučević misses 3-pt jump shot from 29 ft,,3,66,63,3,1887.0
4:29.0, ,66-63,Offensive rebound by L. Ball,,3,66,63,3,1891.0
4:29.0, ,66-63,Offensive foul by L. Ball (drawn by J. Butler),,3,66,63,3,1891.0
4:29.0, ,66-63,Turnover by L. Ball (offensive foul),,3,66,63,3,1891.0
4:18.0,B. Adebayo misses 2-pt layup from 4 ft (block by N. Vučević),66-63, ,,3,66,63,3,1902.0
4:14.0, ,66-63,Defensive rebound by Z. LaVine,,3,66,63,3,1906.0
4:08.0, ,66-63,Z. LaVine misses 3-pt jump shot from 22 ft,,3,66,63,3,1912.0
4:07.0, ,66-63,Offensive rebound by N. Vučević,,3,66,63,3,1913.0
4:06.0, ,66-63,N. Vučević misses 2-pt layup at rim,,3,66,63,3,1914.0
4:05.0,Defensive rebound by Team,66-63, ,,3,66,63,3,1915.0
4:05.0, ,66-63,Technical foul by N. Vučević,,3,66,63,3,1915.0
4:05.0,J. Butler makes technical free throw,67-63, ,,3,67,63,4,1915.0
4:05.0, ,67-63,C. White enters the game for D. DeRozan,,3,67,63,4,1915.0
3:54.0,Turnover by B. Adebayo (bad pass; steal by N. Vučević),67-63, ,,3,67,63,4,1926.0
3:46.0, ,67-63,C. White misses 3-pt jump shot from 24 ft,,3,67,63,4,1934.0
3:43.0, ,67-63,Offensive rebound by A. Caruso,,3,67,63,4,1937.0
3:43.0, ,67-66,A. Caruso makes 3-pt jump shot from 24 ft (assist by Z. LaVine),,3,67,66,1,1937.0
3:43.0,Miami full timeout,67-66, ,,3,67,66,1,1937.0
3:43.0,D. Dedmon enters the game for B. Adebayo,67-66, ,,3,67,66,1,1937.0
3:43.0, ,67-66,D. Jones enters the game for N. Vučević,,3,67,66,1,1937.0
3:29.0,P. Tucker misses 3-pt jump shot from 24 ft,67-66, ,,3,67,66,1,1951.0
3:25.0,Offensive rebound by P. Tucker,67-66, ,,3,67,66,1,1955.0
3:21.0,J. Butler misses 2-pt layup from 1 ft,67-66, ,,3,67,66,1,1959.0
3:18.0, ,67-66,Defensive rebound by C. White,,3,67,66,1,1962.0
3:11.0, ,67-66,Personal foul by D. Dedmon (drawn by Z. LaVine),,3,67,66,1,1969.0
3:11.0, ,67-66,D. DeRozan enters the game for L. Ball,,3,67,66,1,1969.0
3:08.0, ,67-66,Personal foul by M. Strus (drawn by A. Caruso),,3,67,66,1,1972.0
3:08.0, ,67-67,A. Caruso makes free throw 1 of 2,Tie,3,67,67,0,1972.0
3:08.0, ,67-68,A. Caruso makes free throw 2 of 2,Lead change,3,67,68,-1,1972.0
3:08.0,K. Lowry enters the game for P. Tucker,67-68, ,,3,67,68,-1,1972.0
2:42.0,J. Butler misses 3-pt jump shot from 24 ft,67-68, ,,3,67,68,-1,1998.0
2:40.0, ,67-68,Defensive rebound by D. Jones,,3,67,68,-1,2000.0
2:26.0, ,67-68,D. DeRozan misses 3-pt jump shot from 23 ft,,3,67,68,-1,2014.0
2:23.0,Defensive rebound by J. Butler,67-68, ,,3,67,68,-1,2017.0
2:15.0,J. Butler makes 2-pt jump shot from 7 ft,69-68, ,Lead change,3,69,68,1,2025.0
1:47.0, ,69-68,Z. LaVine misses 2-pt jump shot from 16 ft,,3,69,68,1,2053.0
1:45.0,Defensive rebound by D. Dedmon,69-68, ,,3,69,68,1,2055.0
1:28.0,J. Butler misses 2-pt layup from 4 ft (block by C. White),69-68, ,,3,69,68,1,2072.0
1:25.0, ,69-68,Defensive rebound by D. DeRozan,,3,69,68,1,2075.0
1:22.0, ,69-70,D. DeRozan makes 2-pt layup from 2 ft,Lead change,3,69,70,-1,2078.0
1:07.0,Shooting foul by D. Jones (drawn by J. Butler),69-70, ,,3,69,70,-1,2093.0
1:07.0,J. Butler makes free throw 1 of 2,70-70, ,Tie,3,70,70,0,2093.0
1:07.0, ,70-70,L. Ball enters the game for Z. LaVine,,3,70,70,0,2093.0
