Time,Miami,Score,Dallas,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
4:53.0,B. Adebayo makes 2-pt jump shot from 10 ft,89-77, ,,3,89,77,12,1867.0
4:35.0, ,89-77,L. Dončić misses 3-pt jump shot from 26 ft,,3,89,77,12,1885.0
4:31.0,Defensive rebound by J. Butler,89-77, ,,3,89,77,12,1889.0
4:19.0,B. Adebayo makes 2-pt layup from 1 ft,91-77, ,,3,91,77,14,1901.0
4:12.0, ,91-77,Offensive foul by D. Finney-Smith (drawn by P. Tucker),,3,91,77,14,1908.0
4:12.0, ,91-77,Turnover by D. Finney-Smith (offensive foul),,3,91,77,14,1908.0
3:49.0,B. Adebayo misses 2-pt hook shot from 6 ft,91-77, ,,3,91,77,14,1931.0
3:46.0,Offensive rebound by B. Adebayo,91-77, ,,3,91,77,14,1934.0
3:46.0,B. Adebayo misses 2-pt layup at rim,91-77, ,,3,91,77,14,1934.0
3:45.0, ,91-77,Defensive rebound by W. Cauley-Stein,,3,91,77,14,1935.0
3:41.0, ,91-77,R. Bullock misses 3-pt jump shot from 22 ft,,3,91,77,14,1939.0
3:39.0, ,91-77,Offensive rebound by L. Dončić,,3,91,77,14,1941.0
3:38.0, ,91-79,L. Dončić makes 2-pt layup from 1 ft,,3,91,79,12,1942.0
3:17.0,T. Herro makes 2-pt jump shot from 9 ft (assist by B. Adebayo),93-79, ,,3,93,79,14,1963.0
2:57.0, ,93-81,L. Dončić makes 2-pt jump shot from 5 ft,,3,93,81,12,1983.0
2:57.0,Miami full timeout,93-81, ,,3,93,81,12,1983.0
2:57.0,D. Dedmon enters the game for B. Adebayo,93-81, ,,3,93,81,12,1983.0
2:57.0, ,93-81,S. Brown enters the game for L. Dončić,,3,93,81,12,1983.0
2:57.0, ,93-81,J. Brunson enters the game for D. Finney-Smith,,3,93,81,12,1983.0
2:36.0,Shooting foul by F. Ntilikina (drawn by J. Butler),93-81, ,,3,93,81,12,2004.0
2:36.0,J. Butler makes free throw 1 of 2,94-81, ,,3,94,81,13,2004.0
2:36.0,M. Morris enters the game for P. Tucker,94-81, ,,3,94,81,13,2004.0
2:36.0,J. Butler makes free throw 2 of 2,95-81, ,,3,95,81,14,2004.0
2:23.0, ,95-81,R. Bullock misses 3-pt jump shot from 25 ft,,3,95,81,14,2017.0
2:18.0,Defensive rebound by D. Dedmon,95-81, ,,3,95,81,14,2022.0
2:12.0,T. Herro makes 2-pt jump shot from 14 ft,97-81, ,,3,97,81,16,2028.0
1:51.0, ,97-83,J. Brunson makes 2-pt layup from 2 ft,,3,97,83,14,2049.0
1:24.0,J. Butler misses 2-pt jump shot from 13 ft,97-83, ,,3,97,83,14,2076.0
1:21.0, ,97-83,Defensive rebound by Team,,3,97,83,14,2079.0
1:21.0,K. Lowry enters the game for J. Butler,97-83, ,,3,97,83,14,2079.0
1:00.0, ,97-83,F. Ntilikina misses 3-pt jump shot from 25 ft,,3,97,83,14,2100.0
0:58.0, ,97-83,Offensive rebound by S. Brown,,3,97,83,14,2102.0
0:58.0, ,97-83,Shooting foul by M. Morris (drawn by S. Brown),,3,97,83,14,2102.0
0:58.0, ,97-84,S. Brown makes free throw 1 of 2,,3,97,84,13,2102.0
0:58.0, ,97-85,S. Brown makes free throw 2 of 2,,3,97,85,12,2102.0
0:42.0,M. Morris misses 2-pt jump shot from 7 ft,97-85, ,,3,97,85,12,2118.0
0:41.0, ,97-85,Defensive rebound by S. Brown,,3,97,85,12,2119.0
0:36.0, ,97-85,R. Bullock misses 3-pt jump shot from 22 ft,,3,97,85,12,2124.0
0:35.0,Defensive rebound by Team,97-85, ,,3,97,85,12,2125.0
0:31.0,K. Lowry misses 3-pt jump shot from 31 ft,97-85, ,,3,97,85,12,2129.0
0:27.0, ,97-85,Defensive rebound by S. Brown,,3,97,85,12,2133.0
0:09.0, ,97-85,Turnover by J. Brunson (bad pass; steal by D. Dedmon),,3,97,85,12,2151.0
0:03.0,D. Dedmon misses 2-pt layup from 2 ft,97-85, ,,3,97,85,12,2157.0
0:02.0,Offensive rebound by M. Morris,97-85, ,,3,97,85,12,2158.0
0:02.0,M. Morris makes 2-pt layup at rim,99-85, ,,3,99,85,14,2158.0
0:00.0, ,99-88,J. Brunson makes 3-pt jump shot from 27 ft,,3,99,88,11,2160.0
0:00.0, ,99-88,Instant Replay (Request: Ruling Stands),,3,99,88,11,2160.0
0:00.0,End of 3rd quarter,99-88,,,3,99,88,11,2160.0
12:00.0,Start of 4th quarter,99-88,,,4,99,88,11,2160.0
11:51.0,Personal foul by S. Brown (drawn by M. Morris),99-88, ,,4,99,88,11,2169.0
11:38.0,T. Herro misses 2-pt jump shot from 13 ft,99-88, ,,4,99,88,11,2182.0
11:32.0, ,99-88,Defensive rebound by J. Brunson,,4,99,88,11,2188.0
11:19.0, ,99-88,S. Brown misses 3-pt jump shot from 23 ft,,4,99,88,11,2201.0
11:17.0, ,99-88,Offensive rebound by F. Ntilikina,,4,99,88,11,2203.0
11:14.0, ,99-91,R. Bullock makes 3-pt jump shot from 26 ft (assist by J. Brunson),,4,99,91,8,2206.0
10:48.0,M. Morris makes 2-pt jump shot from 12 ft,101-91, ,,4,101,91,10,2232.0
10:30.0, ,101-93,F. Ntilikina makes 2-pt jump shot from 12 ft,,4,101,93,8,2250.0
10:13.0,M. Morris misses 3-pt jump shot from 23 ft,101-93, ,,4,101,93,8,2267.0
10:11.0, ,101-93,Defensive rebound by J. Brunson,,4,101,93,8,2269.0
9:56.0, ,101-95,J. Brunson makes 2-pt layup from 1 ft,,4,101,95,6,2284.0
9:56.0, ,101-95,Shooting foul by C. Martin (drawn by J. Brunson),,4,101,95,6,2284.0
9:56.0,B. Adebayo enters the game for D. Dedmon,101-95, ,,4,101,95,6,2284.0
9:56.0,D. Robinson enters the game for C. Martin,101-95, ,,4,101,95,6,2284.0
9:56.0, ,101-95,J. Brunson misses free throw 1 of 1,,4,101,95,6,2284.0
9:54.0,Defensive rebound by T. Herro,101-95, ,,4,101,95,6,2286.0
9:42.0,T. Herro misses 3-pt jump shot from 26 ft,101-95, ,,4,101,95,6,2298.0
9:39.0, ,101-95,Defensive rebound by S. Brown,,4,101,95,6,2301.0
9:30.0, ,101-95,J. Brunson misses 2-pt layup from 6 ft,,4,101,95,6,2310.0
9:28.0,Defensive rebound by D. Robinson,101-95, ,,4,101,95,6,2312.0
9:13.0,K. Lowry makes 2-pt jump shot from 9 ft,103-95, ,,4,103,95,8,2327.0
8:56.0, ,103-95,Turnover by J. Brunson (bad pass; steal by D. Robinson),,4,103,95,8,2344.0
8:45.0,Personal foul by R. Bullock (drawn by B. Adebayo),103-95, ,,4,103,95,8,2355.0
8:45.0,J. Butler enters the game for M. Morris,103-95, ,,4,103,95,8,2355.0
8:45.0, ,103-95,L. Dončić enters the game for S. Brown,,4,103,95,8,2355.0
8:45.0, ,103-95,D. Finney-Smith enters the game for J. Brunson,,4,103,95,8,2355.0
8:30.0,T. Herro misses 2-pt jump shot from 16 ft,103-95, ,,4,103,95,8,2370.0
8:27.0, ,103-95,Defensive rebound by L. Dončić,,4,103,95,8,2373.0
8:06.0, ,103-95,W. Cauley-Stein misses 2-pt layup from 5 ft (block by B. Adebayo),,4,103,95,8,2394.0
8:04.0, ,103-95,Offensive rebound by W. Cauley-Stein,,4,103,95,8,2396.0
8:03.0, ,103-95,D. Finney-Smith misses 3-pt jump shot from 22 ft,,4,103,95,8,2397.0
8:00.0,Defensive rebound by J. Butler,103-95, ,,4,103,95,8,2400.0
7:55.0,Shooting foul by R. Bullock (drawn by J. Butler),103-95, ,,4,103,95,8,2405.0
7:55.0, ,103-95,Dallas full timeout,,4,103,95,8,2405.0
7:55.0, ,103-95,Instant Replay (Challenge: Ruling Stands),,4,103,95,8,2405.0
7:55.0, ,103-95,D. Powell enters the game for W. Cauley-Stein,,4,103,95,8,2405.0
7:55.0,J. Butler makes free throw 1 of 2,104-95, ,,4,104,95,9,2405.0
7:55.0,J. Butler makes free throw 2 of 2,105-95, ,,4,105,95,10,2405.0
7:44.0, ,105-95,L. Dončić misses 2-pt jump shot from 7 ft (block by J. Butler),,4,105,95,10,2416.0
7:41.0,Defensive rebound by K. Lowry,105-95, ,,4,105,95,10,2419.0
7:38.0,K. Lowry misses 3-pt jump shot from 26 ft,105-95, ,,4,105,95,10,2422.0
7:34.0, ,105-95,Defensive rebound by D. Powell,,4,105,95,10,2426.0
7:20.0, ,105-95,F. Ntilikina misses 3-pt jump shot from 23 ft,,4,105,95,10,2440.0
7:17.0,Defensive rebound by B. Adebayo,105-95, ,,4,105,95,10,2443.0
7:01.0,T. Herro misses 2-pt jump shot from 13 ft,105-95, ,,4,105,95,10,2459.0
7:00.0, ,105-95,Defensive rebound by Team,,4,105,95,10,2460.0
7:00.0,P. Tucker enters the game for K. Lowry,105-95, ,,4,105,95,10,2460.0
7:00.0, ,105-95,T. Hardaway enters the game for F. Ntilikina,,4,105,95,10,2460.0
6:47.0, ,105-95,Shooting foul by D. Robinson (drawn by D. Powell),,4,105,95,10,2473.0
6:47.0, ,105-95,D. Powell misses free throw 1 of 2,,4,105,95,10,2473.0
6:47.0, ,105-95,Offensive rebound by Team,,4,105,95,10,2473.0
6:47.0, ,105-95,D. Powell misses free throw 2 of 2,,4,105,95,10,2473.0
6:44.0,Defensive rebound by B. Adebayo,105-95, ,,4,105,95,10,2476.0
6:37.0,P. Tucker misses 3-pt jump shot from 23 ft,105-95, ,,4,105,95,10,2483.0
6:33.0, ,105-95,Defensive rebound by R. Bullock,,4,105,95,10,2487.0
6:28.0, ,105-95,Personal foul by D. Robinson (drawn by L. Dončić),,4,105,95,10,2492.0
6:28.0,K. Lowry enters the game for D. Robinson,105-95, ,,4,105,95,10,2492.0
6:19.0, ,105-95,L. Dončić misses 2-pt jump shot from 20 ft,,4,105,95,10,2501.0
6:15.0,Defensive rebound by J. Butler,105-95, ,,4,105,95,10,2505.0
6:11.0,Shooting foul by L. Dončić (drawn by B. Adebayo),105-95, ,,4,105,95,10,2509.0
6:11.0,B. Adebayo makes free throw 1 of 2,106-95, ,,4,106,95,11,2509.0
6:11.0,B. Adebayo makes free throw 2 of 2,107-95, ,,4,107,95,12,2509.0
6:03.0, ,107-95,T. Hardaway misses 3-pt jump shot from 26 ft,,4,107,95,12,2517.0
6:00.0, ,107-95,Offensive rebound by D. Finney-Smith,,4,107,95,12,2520.0
5:51.0, ,107-95,T. Hardaway misses 3-pt jump shot from 25 ft,,4,107,95,12,2529.0
5:48.0,Defensive rebound by B. Adebayo,107-95, ,,4,107,95,12,2532.0
5:30.0,K. Lowry makes 3-pt jump shot from 26 ft,110-95, ,,4,110,95,15,2550.0
5:11.0, ,110-97,L. Dončić makes 2-pt jump shot from 11 ft,,4,110,97,13,2569.0
4:51.0,Miami full timeout,110-97, ,,4,110,97,13,2589.0
4:51.0, ,110-97,J. Brunson enters the game for R. Bullock,,4,110,97,13,2589.0
4:46.0,J. Butler misses 2-pt jump shot from 5 ft,110-97, ,,4,110,97,13,2594.0
4:45.0,Offensive rebound by Team,110-97, ,,4,110,97,13,2595.0
4:45.0,Turnover by Team (shot clock),110-97, ,,4,110,97,13,2595.0
4:32.0, ,110-97,Shooting foul by J. Butler (drawn by L. Dončić),,4,110,97,13,2608.0
4:32.0, ,110-98,L. Dončić makes free throw 1 of 2,,4,110,98,12,2608.0
4:32.0, ,110-98,L. Dončić misses free throw 2 of 2,,4,110,98,12,2608.0
4:29.0,Defensive rebound by B. Adebayo,110-98, ,,4,110,98,12,2611.0
4:14.0,Personal foul by L. Dončić (drawn by P. Tucker),110-98, ,,4,110,98,12,2626.0
4:14.0,P. Tucker makes free throw 1 of 2,111-98, ,,4,111,98,13,2626.0
4:14.0,P. Tucker misses free throw 2 of 2,111-98, ,,4,111,98,13,2626.0
4:11.0, ,111-98,Defensive rebound by D. Powell,,4,111,98,13,2629.0
3:57.0, ,111-98,Personal foul by T. Herro (drawn by T. Hardaway),,4,111,98,13,2643.0
3:57.0, ,111-99,T. Hardaway makes free throw 1 of 2,,4,111,99,12,2643.0
3:57.0, ,111-100,T. Hardaway makes free throw 2 of 2,,4,111,100,11,2643.0
3:37.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by J. Butler),114-100, ,,4,114,100,14,2663.0
3:24.0, ,114-100,L. Dončić misses 3-pt jump shot from 26 ft,,4,114,100,14,2676.0
3:22.0,Defensive rebound by B. Adebayo,114-100, ,,4,114,100,14,2678.0
3:14.0,T. Herro makes 2-pt jump shot from 14 ft (assist by J. Butler),116-100, ,,4,116,100,16,2686.0
3:13.0, ,116-100,Dallas full timeout,,4,116,100,16,2687.0
3:00.0, ,116-100,L. Dončić misses 2-pt jump shot from 14 ft,,4,116,100,16,2700.0
3:00.0,Defensive rebound by Team,116-100, ,,4,116,100,16,2700.0
3:00.0, ,116-100,Loose ball foul by D. Powell (drawn by B. Adebayo),,4,116,100,16,2700.0
3:00.0,B. Adebayo makes free throw 1 of 2,117-100, ,,4,117,100,17,2700.0
3:00.0,B. Adebayo makes free throw 2 of 2,118-100, ,,4,118,100,18,2700.0
2:46.0, ,118-102,J. Brunson makes 2-pt layup from 3 ft (assist by T. Hardaway),,4,118,102,16,2714.0
2:35.0,B. Adebayo misses 2-pt layup from 5 ft (block by D. Powell),118-102, ,,4,118,102,16,2725.0
2:31.0,Offensive rebound by B. Adebayo,118-102, ,,4,118,102,16,2729.0
2:30.0,B. Adebayo makes 2-pt dunk from 2 ft,120-102, ,,4,120,102,18,2730.0
2:21.0, ,120-105,L. Dončić makes 3-pt jump shot from 30 ft,,4,120,105,15,2739.0
2:05.0,T. Herro makes 2-pt jump shot from 16 ft,122-105, ,,4,122,105,17,2755.0
1:54.0, ,122-107,J. Brunson makes 2-pt jump shot from 10 ft,,4,122,107,15,2766.0
1:44.0,Personal take foul by D. Powell (drawn by J. Butler),122-107, ,,4,122,107,15,2776.0
1:44.0,J. Butler makes free throw 1 of 2,123-107, ,,4,123,107,16,2776.0
1:44.0,C. Martin enters the game for B. Adebayo,123-107, ,,4,123,107,16,2776.0
1:44.0,G. Vincent enters the game for K. Lowry,123-107, ,,4,123,107,16,2776.0
1:44.0,O. Yurtseven enters the game for P. Tucker,123-107, ,,4,123,107,16,2776.0
1:44.0, ,123-107,M. Brown enters the game for J. Brunson,,4,123,107,16,2776.0
1:44.0, ,123-107,J. Green enters the game for L. Dončić,,4,123,107,16,2776.0
1:44.0, ,123-107,J. McLaughlin enters the game for D. Finney-Smith,,4,123,107,16,2776.0
1:44.0, ,123-107,F. Ntilikina enters the game for T. Hardaway,,4,123,107,16,2776.0
1:44.0, ,123-107,E. Omoruyi enters the game for D. Powell,,4,123,107,16,2776.0
1:44.0,J. Butler misses free throw 2 of 2,123-107, ,,4,123,107,16,2776.0
1:41.0, ,123-107,Defensive rebound by E. Omoruyi,,4,123,107,16,2779.0
1:41.0, ,123-107,Personal take foul by J. Butler (drawn by E. Omoruyi),,4,123,107,16,2779.0
1:41.0, ,123-108,E. Omoruyi makes free throw 1 of 2,,4,123,108,15,2779.0
1:41.0,U. Haslem enters the game for J. Butler,123-108, ,,4,123,108,15,2779.0
1:41.0, ,123-108,E. Omoruyi misses free throw 2 of 2,,4,123,108,15,2779.0
1:37.0,Defensive rebound by O. Yurtseven,123-108, ,,4,123,108,15,2783.0
1:22.0,U. Haslem misses 3-pt jump shot from 23 ft,123-108, ,,4,123,108,15,2798.0
1:19.0,Offensive rebound by O. Yurtseven,123-108, ,,4,123,108,15,2801.0
1:08.0,C. Martin misses 2-pt jump shot from 14 ft,123-108, ,,4,123,108,15,2812.0
1:06.0, ,123-108,Defensive rebound by E. Omoruyi,,4,123,108,15,2814.0
0:54.0, ,123-110,M. Brown makes 2-pt dunk at rim (assist by J. McLaughlin),,4,123,110,13,2826.0
0:32.0,O. Yurtseven makes 2-pt jump shot from 9 ft (assist by C. Martin),125-110, ,,4,125,110,15,2848.0
0:19.0, ,125-110,F. Ntilikina misses 3-pt jump shot from 24 ft,,4,125,110,15,2861.0
0:15.0,Defensive rebound by U. Haslem,125-110, ,,4,125,110,15,2865.0
0:00.0,End of 4th quarter,125-110,,,4,125,110,15,2880.0
