Time,Brooklyn,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
8:19.0,P. Mills misses 3-pt jump shot from 29 ft,61-77, ,,3,77,61,16,1661.0
8:16.0, ,61-77,Defensive rebound by J. Butler,,3,77,61,16,1664.0
8:12.0, ,61-77,Turnover by J. Butler (bad pass; steal by B. Griffin),,3,77,61,16,1668.0
7:52.0,Turnover by P. Mills (bad pass; steal by D. Robinson),61-77, ,,3,77,61,16,1688.0
7:52.0, ,61-77,Personal take foul by P. Mills (drawn by D. Robinson),,3,77,61,16,1688.0
7:40.0, ,61-77,Shooting foul by P. Mills (drawn by B. Adebayo),,3,77,61,16,1700.0
7:40.0, ,61-78,B. Adebayo makes free throw 1 of 2,,3,78,61,17,1700.0
7:40.0, ,61-78,B. Adebayo misses free throw 2 of 2,,3,78,61,17,1700.0
7:37.0,Defensive rebound by B. Griffin,61-78, ,,3,78,61,17,1703.0
7:21.0,Turnover by B. Griffin (bad pass; steal by D. Robinson),61-78, ,,3,78,61,17,1719.0
7:14.0, ,61-80,B. Adebayo makes 2-pt dunk from 2 ft (assist by D. Robinson),,3,80,61,19,1726.0
7:14.0,Brooklyn full timeout,61-80, ,,3,80,61,19,1726.0
7:14.0,J. Johnson enters the game for B. Griffin,61-80, ,,3,80,61,19,1726.0
7:14.0,D. Sharpe enters the game for P. Mills,61-80, ,,3,80,61,19,1726.0
7:02.0,Personal foul by B. Adebayo (drawn by K. Irving),61-80, ,,3,80,61,19,1738.0
6:55.0,K. Irving makes 3-pt jump shot from 25 ft (assist by D. Sharpe),64-80, ,,3,80,64,16,1745.0
6:40.0, ,64-82,P. Tucker makes 2-pt hook shot from 7 ft (assist by K. Lowry),,3,82,64,18,1760.0
6:24.0,J. Johnson makes 2-pt layup from 1 ft (assist by K. Irving),66-82, ,,3,82,66,16,1776.0
6:01.0, ,66-82,K. Lowry misses 3-pt jump shot from 30 ft,,3,82,66,16,1799.0
5:57.0,Defensive rebound by J. Johnson,66-82, ,,3,82,66,16,1803.0
5:46.0,J. Johnson misses 3-pt jump shot from 26 ft,66-82, ,,3,82,66,16,1814.0
5:40.0,Offensive rebound by D. Sharpe,66-82, ,,3,82,66,16,1820.0
5:40.0,D. Sharpe misses 2-pt layup from 1 ft,66-82, ,,3,82,66,16,1820.0
5:39.0, ,66-82,Defensive rebound by K. Lowry,,3,82,66,16,1821.0
5:34.0, ,66-84,K. Lowry makes 2-pt layup from 3 ft,,3,84,66,18,1826.0
5:27.0,C. Thomas misses 3-pt jump shot from 26 ft,66-84, ,,3,84,66,18,1833.0
5:27.0, ,66-84,Defensive rebound by Team,,3,84,66,18,1833.0
5:27.0, ,66-84,T. Herro enters the game for K. Lowry,,3,84,66,18,1833.0
5:14.0, ,66-86,T. Herro makes 2-pt layup from 2 ft (assist by B. Adebayo),,3,86,66,20,1846.0
4:58.0,K. Irving makes 2-pt jump shot from 17 ft,68-86, ,,3,86,68,18,1862.0
4:32.0, ,68-86,B. Adebayo misses 2-pt layup from 2 ft,,3,86,68,18,1888.0
4:32.0,Defensive rebound by B. Brown,68-86, ,,3,86,68,18,1888.0
4:32.0,Personal take foul by P. Tucker (drawn by B. Brown),68-86, ,,3,86,68,18,1888.0
4:32.0,P. Mills enters the game for B. Brown,68-86, ,,3,86,68,18,1888.0
4:12.0,J. Johnson misses 2-pt jump shot from 8 ft,68-86, ,,3,86,68,18,1908.0
4:09.0, ,68-86,Defensive rebound by D. Robinson,,3,86,68,18,1911.0
3:58.0, ,68-88,J. Butler makes 2-pt layup from 2 ft,,3,88,68,20,1922.0
3:42.0,P. Mills misses 2-pt jump shot from 20 ft,68-88, ,,3,88,68,20,1938.0
3:40.0, ,68-88,Defensive rebound by B. Adebayo,,3,88,68,20,1940.0
3:24.0, ,68-88,T. Herro misses 2-pt jump shot from 12 ft,,3,88,68,20,1956.0
3:21.0,Defensive rebound by D. Sharpe,68-88, ,,3,88,68,20,1959.0
3:12.0,Turnover by J. Johnson (lost ball; steal by B. Adebayo),68-88, ,,3,88,68,20,1968.0
3:07.0, ,68-88,Turnover by J. Butler (lost ball; steal by K. Irving),,3,88,68,20,1973.0
3:01.0,Personal foul by B. Adebayo (drawn by J. Johnson),68-88, ,,3,88,68,20,1979.0
3:01.0,K. Edwards enters the game for J. Johnson,68-88, ,,3,88,68,20,1979.0
3:01.0, ,68-88,D. Dedmon enters the game for B. Adebayo,,3,88,68,20,1979.0
3:01.0, ,68-88,M. Strus enters the game for D. Robinson,,3,88,68,20,1979.0
2:49.0,C. Thomas misses 2-pt jump shot from 16 ft,68-88, ,,3,88,68,20,1991.0
2:44.0, ,68-88,Defensive rebound by D. Dedmon,,3,88,68,20,1996.0
2:30.0, ,68-88,T. Herro misses 2-pt jump shot from 13 ft,,3,88,68,20,2010.0
2:27.0, ,68-88,Offensive rebound by D. Dedmon,,3,88,68,20,2013.0
2:26.0, ,68-88,D. Dedmon misses 2-pt jump shot from 10 ft,,3,88,68,20,2014.0
2:23.0,Defensive rebound by K. Edwards,68-88, ,,3,88,68,20,2017.0
2:11.0,K. Edwards misses 3-pt jump shot from 28 ft,68-88, ,,3,88,68,20,2029.0
2:09.0, ,68-88,Defensive rebound by D. Dedmon,,3,88,68,20,2031.0
2:09.0, ,68-88,Personal foul by D. Sharpe (drawn by D. Dedmon),,3,88,68,20,2031.0
2:09.0, ,68-88,G. Vincent enters the game for P. Tucker,,3,88,68,20,2031.0
2:09.0, ,68-89,D. Dedmon makes free throw 1 of 2,,3,89,68,21,2031.0
2:09.0, ,68-89,D. Dedmon misses free throw 2 of 2,,3,89,68,21,2031.0
2:00.0,Defensive rebound by K. Edwards,68-89, ,,3,89,68,21,2040.0
1:53.0,Shooting foul by D. Dedmon (drawn by C. Thomas),68-89, ,,3,89,68,21,2047.0
1:53.0,C. Thomas makes free throw 1 of 2,69-89, ,,3,89,69,20,2047.0
1:53.0,J. Carter enters the game for K. Irving,69-89, ,,3,89,69,20,2047.0
1:53.0,C. Thomas makes free throw 2 of 2,70-89, ,,3,89,70,19,2047.0
1:37.0, ,70-89,T. Herro misses 2-pt jump shot from 6 ft,,3,89,70,19,2063.0
1:34.0,Defensive rebound by D. Sharpe,70-89, ,,3,89,70,19,2066.0
1:27.0,K. Edwards makes 2-pt layup from 2 ft (assist by C. Thomas),72-89, ,,3,89,72,17,2073.0
1:27.0, ,72-89,K. Lowry enters the game for J. Butler,,3,89,72,17,2073.0
1:03.0, ,72-89,M. Strus misses 3-pt jump shot from 24 ft,,3,89,72,17,2097.0
0:59.0,Defensive rebound by D. Sharpe,72-89, ,,3,89,72,17,2101.0
0:52.0,C. Thomas misses 2-pt layup from 2 ft,72-89, ,,3,89,72,17,2108.0
0:51.0,Offensive rebound by D. Sharpe,72-89, ,,3,89,72,17,2109.0
0:50.0,D. Sharpe makes 2-pt hook shot from 4 ft,74-89, ,,3,89,74,15,2110.0
0:32.0, ,74-91,D. Dedmon makes 2-pt hook shot from 3 ft (assist by G. Vincent),,3,91,74,17,2128.0
0:17.0,K. Edwards makes 2-pt layup from 3 ft (assist by J. Carter),76-91, ,,3,91,76,15,2143.0
0:01.0, ,76-91,G. Vincent misses 3-pt jump shot from 24 ft,,3,91,76,15,2159.0
0:00.0, ,76-91,Offensive rebound by Team,,3,91,76,15,2160.0
0:00.0,End of 3rd quarter,76-91,,,3,91,76,15,2160.0
12:00.0,Start of 4th quarter,76-91,,,4,91,76,15,2160.0
11:48.0, ,76-91,Def 3 sec tech foul by Team,,4,91,76,15,2172.0
11:48.0, ,76-92,T. Herro makes technical free throw,,4,92,76,16,2172.0
11:45.0, ,76-92,D. Dedmon misses 3-pt jump shot from 26 ft,,4,92,76,16,2175.0
11:41.0,Defensive rebound by D. Sharpe,76-92, ,,4,92,76,16,2179.0
11:34.0,Turnover by K. Irving (bad pass; steal by D. Dedmon),76-92, ,,4,92,76,16,2186.0
11:28.0, ,76-92,T. Herro misses 3-pt jump shot from 24 ft,,4,92,76,16,2192.0
11:26.0,Defensive rebound by K. Irving,76-92, ,,4,92,76,16,2194.0
11:20.0,P. Mills makes 3-pt jump shot from 25 ft (assist by C. Thomas),79-92, ,,4,92,79,13,2200.0
11:20.0,Away from play foul by D. Dedmon (drawn by D. Sharpe),79-92, ,,4,92,79,13,2200.0
