Time,Philadelphia,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
3:15.0, ,57-68,Defensive rebound by T. Herro,,3,68,57,11,1965.0
3:06.0, ,57-68,Offensive foul by J. Butler (drawn by D. Green),,3,68,57,11,1974.0
3:06.0, ,57-68,Turnover by J. Butler (offensive foul),,3,68,57,11,1974.0
2:46.0,G. Niang makes 2-pt hook shot from 4 ft,59-68, ,,3,68,59,9,1994.0
2:25.0, ,59-68,Turnover by J. Butler (bad pass; steal by J. Embiid),,3,68,59,9,2015.0
2:15.0,G. Niang misses 3-pt jump shot from 27 ft,59-68, ,,3,68,59,9,2025.0
2:13.0, ,59-68,Defensive rebound by T. Herro,,3,68,59,9,2027.0
2:01.0, ,59-68,Turnover by J. Butler (lost ball; steal by D. Green),,3,68,59,9,2039.0
1:54.0,J. Embiid makes 2-pt layup from 2 ft (assist by D. Green),61-68, ,,3,68,61,7,2046.0
1:50.0, ,61-68,Personal take foul by G. Niang (drawn by T. Herro),,3,68,61,7,2050.0
1:50.0, ,61-68,D. Dedmon enters the game for B. Adebayo,,3,68,61,7,2050.0
1:50.0, ,61-68,C. Martin enters the game for P. Tucker,,3,68,61,7,2050.0
1:39.0, ,61-68,Turnover by T. Herro (bad pass; steal by D. Green),,3,68,61,7,2061.0
