Time,Philadelphia,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
9:42.0,T. Harris misses 2-pt jump shot from 7 ft,14-32, ,,2,32,14,18,858.0
9:39.0,Offensive rebound by P. Millsap,14-32, ,,2,32,14,18,861.0
9:36.0,P. Millsap makes 2-pt hook shot from 6 ft,16-32, ,,2,32,16,16,864.0
9:19.0, ,16-32,D. Dedmon misses 2-pt hook shot from 7 ft,,2,32,16,16,881.0
9:15.0,Defensive rebound by P. Millsap,16-32, ,,2,32,16,16,885.0
9:14.0,Shooting foul by M. Strus (drawn by T. Maxey),16-32, ,,2,32,16,16,886.0
9:14.0,T. Maxey misses free throw 1 of 2,16-32, ,,2,32,16,16,886.0
9:14.0,Offensive rebound by Team,16-32, ,,2,32,16,16,886.0
9:14.0,T. Maxey misses free throw 2 of 2,16-32, ,,2,32,16,16,886.0
9:09.0, ,16-32,Defensive rebound by D. Dedmon,,2,32,16,16,891.0
9:03.0, ,16-34,T. Herro makes 2-pt layup from 8 ft,,2,34,16,18,897.0
8:51.0,Shooting foul by D. Dedmon (drawn by T. Harris),16-34, ,,2,34,16,18,909.0
8:51.0,T. Harris makes free throw 1 of 2,17-34, ,,2,34,17,17,909.0
8:51.0,T. Harris makes free throw 2 of 2,18-34, ,,2,34,18,16,909.0
8:42.0, ,18-37,G. Vincent makes 3-pt jump shot from 27 ft (assist by M. Strus),,2,37,18,19,918.0
8:20.0,S. Milton makes 2-pt jump shot from 12 ft (assist by G. Niang),20-37, ,,2,37,20,17,940.0
8:03.0, ,20-40,C. Martin makes 3-pt jump shot from 24 ft (assist by G. Vincent),,2,40,20,20,957.0
7:48.0,T. Harris makes 3-pt jump shot from 26 ft (assist by P. Millsap),23-40, ,,2,40,23,17,972.0
7:32.0, ,23-40,Turnover by G. Vincent (bad pass; steal by P. Millsap),,2,40,23,17,988.0
7:27.0,T. Maxey makes 3-pt jump shot from 25 ft (assist by S. Milton),26-40, ,,2,40,26,14,993.0
7:26.0, ,26-40,Miami full timeout,,2,40,26,14,994.0
7:26.0, ,26-40,B. Adebayo enters the game for D. Dedmon,,2,40,26,14,994.0
7:08.0, ,26-40,B. Adebayo misses 2-pt jump shot from 18 ft,,2,40,26,14,1012.0
7:05.0,Defensive rebound by T. Maxey,26-40, ,,2,40,26,14,1015.0
6:48.0,T. Harris makes 2-pt jump shot from 16 ft,28-40, ,,2,40,28,12,1032.0
6:28.0, ,28-40,C. Martin misses 3-pt jump shot from 24 ft,,2,40,28,12,1052.0
6:26.0,Defensive rebound by P. Millsap,28-40, ,,2,40,28,12,1054.0
6:18.0,G. Niang misses 3-pt jump shot from 27 ft,28-40, ,,2,40,28,12,1062.0
6:13.0, ,28-40,Defensive rebound by B. Adebayo,,2,40,28,12,1067.0
6:03.0, ,28-42,T. Herro makes 2-pt jump shot from 7 ft,,2,42,28,14,1077.0
5:44.0,P. Millsap makes 2-pt jump shot from 6 ft (assist by S. Milton),30-42, ,,2,42,30,12,1096.0
5:20.0, ,30-42,M. Strus misses 3-pt jump shot from 24 ft,,2,42,30,12,1120.0
5:16.0,Defensive rebound by P. Millsap,30-42, ,,2,42,30,12,1124.0
5:15.0,S. Milton makes 2-pt layup from 2 ft,32-42, ,,2,42,32,10,1125.0
5:15.0,Shooting foul by C. Martin (drawn by S. Milton),32-42, ,,2,42,32,10,1125.0
5:15.0,J. Embiid enters the game for P. Millsap,32-42, ,,2,42,32,10,1125.0
5:15.0, ,32-42,J. Butler enters the game for C. Martin,,2,42,32,10,1125.0
5:15.0, ,32-42,P. Tucker enters the game for G. Vincent,,2,42,32,10,1125.0
5:15.0,S. Milton misses free throw 1 of 1,32-42, ,,2,42,32,10,1125.0
5:14.0, ,32-42,Defensive rebound by Team,,2,42,32,10,1126.0
5:14.0,M. Thybulle enters the game for S. Milton,32-42, ,,2,42,32,10,1126.0
4:51.0, ,32-42,M. Strus misses 3-pt jump shot from 25 ft (block by M. Thybulle),,2,42,32,10,1149.0
4:50.0, ,32-42,Offensive rebound by Team,,2,42,32,10,1150.0
4:50.0, ,32-42,Turnover by Team (shot clock),,2,42,32,10,1150.0
4:38.0,T. Harris misses 3-pt jump shot from 26 ft,32-42, ,,2,42,32,10,1162.0
4:35.0, ,32-42,Defensive rebound by T. Herro,,2,42,32,10,1165.0
4:30.0, ,32-42,Shooting foul by G. Niang (drawn by J. Butler),,2,42,32,10,1170.0
4:30.0, ,32-43,J. Butler makes free throw 1 of 2,,2,43,32,11,1170.0
4:30.0,F. Korkmaz enters the game for G. Niang,32-43, ,,2,43,32,11,1170.0
4:30.0, ,32-43,D. Robinson enters the game for M. Strus,,2,43,32,11,1170.0
4:30.0, ,32-44,J. Butler makes free throw 2 of 2,,2,44,32,12,1170.0
4:08.0,T. Maxey makes 2-pt jump shot from 23 ft,34-44, ,,2,44,34,10,1192.0
3:46.0, ,34-44,T. Herro misses 2-pt jump shot from 17 ft,,2,44,34,10,1214.0
3:44.0,Defensive rebound by F. Korkmaz,34-44, ,,2,44,34,10,1216.0
3:36.0,T. Maxey misses 3-pt jump shot from 26 ft,34-44, ,,2,44,34,10,1224.0
3:33.0, ,34-44,Defensive rebound by T. Herro,,2,44,34,10,1227.0
3:12.0, ,34-46,J. Butler makes 2-pt jump shot from 9 ft,,2,46,34,12,1248.0
2:51.0,T. Maxey makes 2-pt layup from 2 ft,36-46, ,,2,46,36,10,1269.0
2:34.0, ,36-48,T. Herro makes 2-pt layup from 1 ft,,2,48,36,12,1286.0
2:20.0,T. Harris makes 2-pt layup from 1 ft,38-48, ,,2,48,38,10,1300.0
1:58.0, ,38-50,P. Tucker makes 2-pt hook shot from 6 ft (assist by B. Adebayo),,2,50,38,12,1322.0
1:45.0,M. Thybulle misses 2-pt hook shot from 3 ft,38-50, ,,2,50,38,12,1335.0
1:45.0,Offensive rebound by F. Korkmaz,38-50, ,,2,50,38,12,1335.0
1:39.0,F. Korkmaz makes 2-pt dunk at rim,40-50, ,,2,50,40,10,1341.0
1:20.0, ,40-50,J. Butler misses 2-pt layup from 8 ft,,2,50,40,10,1360.0
1:20.0,Defensive rebound by Team,40-50, ,,2,50,40,10,1360.0
1:20.0, ,40-50,Loose ball foul by B. Adebayo (drawn by J. Embiid),,2,50,40,10,1360.0
1:20.0, ,40-50,D. Dedmon enters the game for B. Adebayo,,2,50,40,10,1360.0
