Time,Houston,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
7:48.0,J. Tate makes 2-pt layup from 2 ft,42-32, ,,2,32,42,-10,972.0
7:31.0, ,42-35,V. Oladipo makes 3-pt jump shot from 24 ft (assist by K. Lowry),,2,35,42,-7,989.0
7:30.0,Houston full timeout,42-35, ,,2,35,42,-7,990.0
7:30.0,J. Green enters the game for G. Mathews,42-35, ,,2,35,42,-7,990.0
7:30.0,A. Sengun enters the game for J. Tate,42-35, ,,2,35,42,-7,990.0
7:30.0, ,42-35,D. Robinson enters the game for V. Oladipo,,2,35,42,-7,990.0
7:05.0,D. Nix makes 3-pt jump shot from 26 ft (assist by D. Nwaba),45-35, ,,2,35,45,-10,1015.0
6:49.0, ,45-37,T. Herro makes 2-pt layup from 3 ft,,2,37,45,-8,1031.0
6:49.0,K. Porter enters the game for D. Nwaba,45-37, ,,2,37,45,-8,1031.0
6:49.0, ,45-37,J. Butler enters the game for K. Lowry,,2,37,45,-8,1031.0
6:21.0,K. Porter makes 3-pt jump shot from 23 ft (assist by D. Nix),48-37, ,,2,37,48,-11,1059.0
6:08.0, ,48-39,T. Herro makes 2-pt jump shot from 11 ft,,2,39,48,-9,1072.0
5:54.0,Shooting foul by C. Martin (drawn by K. Martin),48-39, ,,2,39,48,-9,1086.0
5:54.0,K. Martin misses free throw 1 of 2,48-39, ,,2,39,48,-9,1086.0
5:54.0,Offensive rebound by Team,48-39, ,,2,39,48,-9,1086.0
5:54.0, ,48-39,P. Tucker enters the game for C. Martin,,2,39,48,-9,1086.0
5:54.0,K. Martin makes free throw 2 of 2,49-39, ,,2,39,49,-10,1086.0
5:29.0, ,49-39,J. Butler misses 2-pt jump shot from 9 ft,,2,39,49,-10,1111.0
5:26.0,Defensive rebound by A. Sengun,49-39, ,,2,39,49,-10,1114.0
5:16.0,A. Sengun misses 2-pt hook shot from 4 ft,49-39, ,,2,39,49,-10,1124.0
5:11.0,Offensive rebound by A. Sengun,49-39, ,,2,39,49,-10,1129.0
5:11.0,A. Sengun makes 2-pt layup at rim,51-39, ,,2,39,51,-12,1129.0
5:01.0, ,51-39,B. Adebayo misses 2-pt jump shot from 20 ft,,2,39,51,-12,1139.0
4:59.0,Defensive rebound by K. Porter,51-39, ,,2,39,51,-12,1141.0
4:54.0,Personal foul by B. Adebayo (drawn by A. Sengun),51-39, ,,2,39,51,-12,1146.0
4:54.0,A. Sengun misses free throw 1 of 2,51-39, ,,2,39,51,-12,1146.0
4:54.0,Offensive rebound by Team,51-39, ,,2,39,51,-12,1146.0
4:54.0,A. Sengun makes free throw 2 of 2,52-39, ,,2,39,52,-13,1146.0
4:35.0, ,52-42,T. Herro makes 3-pt jump shot from 26 ft,,2,42,52,-10,1165.0
4:16.0,J. Green misses 2-pt layup from 1 ft (block by B. Adebayo),52-42, ,,2,42,52,-10,1184.0
4:12.0, ,52-42,Defensive rebound by P. Tucker,,2,42,52,-10,1188.0
4:11.0, ,52-44,J. Butler makes 2-pt jump shot from 8 ft,,2,44,52,-8,1189.0
4:11.0, ,52-44,Shooting foul by D. Nix (drawn by J. Butler),,2,44,52,-8,1189.0
4:11.0,G. Mathews enters the game for K. Martin,52-44, ,,2,44,52,-8,1189.0
4:11.0,J. Tate enters the game for D. Nix,52-44, ,,2,44,52,-8,1189.0
4:11.0, ,52-45,J. Butler makes free throw 1 of 1,,2,45,52,-7,1189.0
3:55.0,K. Porter makes 3-pt jump shot from 24 ft (assist by A. Sengun),55-45, ,,2,45,55,-10,1205.0
3:35.0, ,55-45,Personal foul by J. Tate (drawn by P. Tucker),,2,45,55,-10,1225.0
3:26.0, ,55-45,Turnover by J. Butler (bad pass; steal by G. Mathews),,2,45,55,-10,1234.0
3:12.0,K. Porter misses 3-pt jump shot from 26 ft,55-45, ,,2,45,55,-10,1248.0
3:09.0, ,55-45,Defensive rebound by T. Herro,,2,45,55,-10,1251.0
3:05.0, ,55-48,T. Herro makes 3-pt jump shot from 28 ft,,2,48,55,-7,1255.0
2:50.0,K. Porter makes 2-pt layup from 2 ft,57-48, ,,2,48,57,-9,1270.0
2:50.0,Shooting foul by P. Tucker (drawn by K. Porter),57-48, ,,2,48,57,-9,1270.0
2:50.0, ,57-48,Miami full timeout,,2,48,57,-9,1270.0
2:50.0, ,57-48,K. Lowry enters the game for D. Robinson,,2,48,57,-9,1270.0
2:50.0,K. Porter misses free throw 1 of 1,57-48, ,,2,48,57,-9,1270.0
2:47.0, ,57-48,Defensive rebound by K. Lowry,,2,48,57,-9,1273.0
2:27.0, ,57-50,J. Butler makes 2-pt jump shot from 12 ft,,2,50,57,-7,1293.0
2:27.0, ,57-50,Shooting foul by A. Sengun (drawn by J. Butler),,2,50,57,-7,1293.0
2:27.0,K. Martin enters the game for J. Tate,57-50, ,,2,50,57,-7,1293.0
2:27.0, ,57-51,J. Butler makes free throw 1 of 1,,2,51,57,-6,1293.0
2:16.0,Turnover by A. Sengun (bad pass),57-51, ,,2,51,57,-6,1304.0
2:03.0, ,57-54,T. Herro makes 3-pt jump shot from 26 ft (assist by K. Lowry),,2,54,57,-3,1317.0
1:44.0,A. Sengun misses 2-pt jump shot from 9 ft,57-54, ,,2,54,57,-3,1336.0
1:42.0, ,57-54,Defensive rebound by B. Adebayo,,2,54,57,-3,1338.0
1:28.0, ,57-54,B. Adebayo misses 2-pt layup from 2 ft,,2,54,57,-3,1352.0
1:25.0,Defensive rebound by A. Sengun,57-54, ,,2,54,57,-3,1355.0
1:21.0,Shooting foul by P. Tucker (drawn by A. Sengun),57-54, ,,2,54,57,-3,1359.0
1:21.0,A. Sengun makes free throw 1 of 2,58-54, ,,2,54,58,-4,1359.0
1:21.0, ,58-54,C. Martin enters the game for B. Adebayo,,2,54,58,-4,1359.0
1:21.0,A. Sengun misses free throw 2 of 2,58-54, ,,2,54,58,-4,1359.0
1:18.0, ,58-54,Defensive rebound by P. Tucker,,2,54,58,-4,1362.0
1:02.0, ,58-54,J. Butler misses 2-pt layup from 2 ft,,2,54,58,-4,1378.0
1:01.0, ,58-54,Offensive rebound by P. Tucker,,2,54,58,-4,1379.0
1:00.0, ,58-54,P. Tucker misses 2-pt layup from 4 ft,,2,54,58,-4,1380.0
1:00.0, ,58-54,Offensive rebound by P. Tucker,,2,54,58,-4,1380.0
0:56.0, ,58-54,P. Tucker misses 2-pt layup at rim,,2,54,58,-4,1384.0
0:55.0, ,58-54,Offensive rebound by J. Butler,,2,54,58,-4,1385.0
0:53.0, ,58-56,J. Butler makes 2-pt layup from 3 ft,,2,56,58,-2,1387.0
0:35.0,Turnover by K. Martin (bad pass; steal by T. Herro),58-56, ,,2,56,58,-2,1405.0
0:28.0, ,58-59,T. Herro makes 3-pt jump shot from 24 ft (assist by C. Martin),Lead change,2,59,58,1,1412.0
0:05.0,K. Porter misses 3-pt jump shot from 23 ft,58-59, ,,2,59,58,1,1435.0
0:02.0, ,58-59,Defensive rebound by P. Tucker,,2,59,58,1,1438.0
0:00.0, ,58-62,T. Herro makes 3-pt jump shot from 36 ft (assist by P. Tucker),,2,62,58,4,1440.0
0:00.0, ,58-62,Instant Replay (Request: Ruling Stands),,2,62,58,4,1440.0
0:00.0,End of 2nd quarter,58-62,,,2,62,58,4,1440.0
12:00.0,Start of 3rd quarter,58-62,,,3,62,58,4,1440.0
11:48.0,J. Green misses 2-pt layup from 4 ft (block by J. Butler),58-62, ,,3,62,58,4,1452.0
11:45.0,Offensive rebound by A. Sengun,58-62, ,,3,62,58,4,1455.0
11:42.0,J. Tate misses 3-pt jump shot from 26 ft,58-62, ,,3,62,58,4,1458.0
11:40.0, ,58-62,Defensive rebound by B. Adebayo,,3,62,58,4,1460.0
11:24.0, ,58-65,D. Robinson makes 3-pt jump shot from 26 ft (assist by J. Butler),,3,65,58,7,1476.0
11:06.0,J. Tate misses 2-pt layup from 2 ft,58-65, ,,3,65,58,7,1494.0
11:04.0, ,58-65,Defensive rebound by J. Butler,,3,65,58,7,1496.0
10:56.0, ,58-65,B. Adebayo misses 2-pt jump shot from 4 ft (block by A. Sengun),,3,65,58,7,1504.0
10:55.0, ,58-65,Offensive rebound by B. Adebayo,,3,65,58,7,1505.0
10:52.0,Jump ball: B. Adebayo vs. J. Tate (D. Robinson gains possession),58-65,,,3,65,58,7,1508.0
10:49.0, ,58-65,Turnover by D. Robinson (bad pass; steal by G. Mathews),,3,65,58,7,1511.0
10:43.0,G. Mathews misses 3-pt jump shot from 26 ft,58-65, ,,3,65,58,7,1517.0
10:40.0, ,58-65,Defensive rebound by K. Lowry,,3,65,58,7,1520.0
10:26.0, ,58-67,B. Adebayo makes 2-pt layup from 2 ft,,3,67,58,9,1534.0
10:02.0,J. Green makes 2-pt jump shot from 13 ft (assist by A. Sengun),60-67, ,,3,67,60,7,1558.0
9:33.0, ,60-67,K. Lowry misses 3-pt jump shot from 26 ft,,3,67,60,7,1587.0
9:31.0, ,60-67,Offensive rebound by B. Adebayo,,3,67,60,7,1589.0
9:21.0, ,60-70,P. Tucker makes 3-pt jump shot from 23 ft (assist by J. Butler),,3,70,60,10,1599.0
9:09.0,Shooting foul by B. Adebayo (drawn by K. Porter),60-70, ,,3,70,60,10,1611.0
9:09.0,K. Porter makes free throw 1 of 3,61-70, ,,3,70,61,9,1611.0
9:09.0,K. Porter makes free throw 2 of 3,62-70, ,,3,70,62,8,1611.0
9:09.0,K. Porter makes free throw 3 of 3,63-70, ,,3,70,63,7,1611.0
8:56.0, ,63-70,D. Robinson misses 3-pt jump shot from 25 ft,,3,70,63,7,1624.0
8:54.0,Defensive rebound by J. Tate,63-70, ,,3,70,63,7,1626.0
8:46.0,J. Green misses 3-pt jump shot from 28 ft,63-70, ,,3,70,63,7,1634.0
8:40.0, ,63-70,Defensive rebound by J. Butler,,3,70,63,7,1640.0
8:40.0, ,63-70,Personal foul by J. Green (drawn by B. Adebayo),,3,70,63,7,1640.0
8:33.0, ,63-72,B. Adebayo makes 2-pt layup from 3 ft (assist by K. Lowry),,3,72,63,9,1647.0
8:33.0, ,63-72,Shooting foul by J. Tate (drawn by B. Adebayo),,3,72,63,9,1647.0
8:33.0, ,63-73,B. Adebayo makes free throw 1 of 1,,3,73,63,10,1647.0
8:07.0,J. Green misses 3-pt jump shot from 23 ft,63-73, ,,3,73,63,10,1673.0
8:04.0, ,63-73,Defensive rebound by K. Lowry,,3,73,63,10,1676.0
8:02.0, ,63-73,Offensive foul by B. Adebayo (drawn by G. Mathews),,3,73,63,10,1678.0
8:02.0, ,63-73,Turnover by B. Adebayo (offensive foul),,3,73,63,10,1678.0
8:02.0, ,63-73,Miami full timeout,,3,73,63,10,1678.0
8:02.0, ,63-73,Instant Replay (Challenge: Stands),,3,73,63,10,1678.0
8:02.0, ,63-73,D. Dedmon enters the game for B. Adebayo,,3,73,63,10,1678.0
7:44.0,Shooting foul by D. Dedmon (drawn by A. Sengun),63-73, ,,3,73,63,10,1696.0
7:44.0,A. Sengun misses free throw 1 of 2,63-73, ,,3,73,63,10,1696.0
7:44.0,Offensive rebound by Team,63-73, ,,3,73,63,10,1696.0
