Time,LA Clippers,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
7:26.0,J. Winslow makes free throw 2 of 2,28-33, ,,2,33,28,5,994.0
7:15.0, ,28-35,B. Adebayo makes 2-pt jump shot from 8 ft (assist by T. Herro),,2,35,28,7,1005.0
7:03.0,Turnover by I. Zubac (bad pass; steal by J. Butler),28-35, ,,2,35,28,7,1017.0
6:56.0, ,28-35,C. Martin misses 2-pt layup from 4 ft,,2,35,28,7,1024.0
6:55.0,Defensive rebound by J. Winslow,28-35, ,,2,35,28,7,1025.0
6:55.0,Personal foul by J. Butler (drawn by J. Winslow),28-35, ,,2,35,28,7,1025.0
6:55.0, ,28-35,Miami full timeout,,2,35,28,7,1025.0
6:55.0,N. Batum enters the game for J. Winslow,28-35, ,,2,35,28,7,1025.0
6:55.0, ,28-35,P. Tucker enters the game for C. Martin,,2,35,28,7,1025.0
6:47.0,T. Mann misses 2-pt layup from 3 ft,28-35, ,,2,35,28,7,1033.0
6:44.0, ,28-35,Defensive rebound by B. Adebayo,,2,35,28,7,1036.0
6:40.0, ,28-37,B. Adebayo makes 2-pt jump shot from 8 ft,,2,37,28,9,1040.0
6:18.0,R. Jackson misses 2-pt jump shot from 12 ft,28-37, ,,2,37,28,9,1062.0
6:14.0,Offensive rebound by T. Mann,28-37, ,,2,37,28,9,1066.0
6:13.0,Shooting foul by B. Adebayo (drawn by I. Zubac),28-37, ,,2,37,28,9,1067.0
6:13.0,I. Zubac makes free throw 1 of 2,29-37, ,,2,37,29,8,1067.0
6:13.0,A. Coffey enters the game for L. Kennard,29-37, ,,2,37,29,8,1067.0
6:13.0,I. Zubac misses free throw 2 of 2,29-37, ,,2,37,29,8,1067.0
6:10.0, ,29-37,Defensive rebound by B. Adebayo,,2,37,29,8,1070.0
5:54.0, ,29-37,T. Herro misses 2-pt jump shot from 18 ft,,2,37,29,8,1086.0
5:50.0,Defensive rebound by T. Mann,29-37, ,,2,37,29,8,1090.0
5:44.0,Personal foul by D. Robinson (drawn by T. Mann),29-37, ,,2,37,29,8,1096.0
5:44.0,T. Mann makes free throw 1 of 2,30-37, ,,2,37,30,7,1096.0
5:44.0,T. Mann makes free throw 2 of 2,31-37, ,,2,37,31,6,1096.0
5:30.0, ,31-37,Shooting foul by R. Jackson (drawn by P. Tucker),,2,37,31,6,1110.0
5:30.0, ,31-38,P. Tucker makes free throw 1 of 2,,2,38,31,7,1110.0
5:30.0, ,31-39,P. Tucker makes free throw 2 of 2,,2,39,31,8,1110.0
5:18.0,R. Jackson makes 2-pt jump shot from 18 ft,33-39, ,,2,39,33,6,1122.0
4:56.0, ,33-39,P. Tucker misses 3-pt jump shot from 26 ft,,2,39,33,6,1144.0
4:52.0,Defensive rebound by A. Coffey,33-39, ,,2,39,33,6,1148.0
4:47.0,N. Batum misses 3-pt jump shot from 23 ft,33-39, ,,2,39,33,6,1153.0
4:45.0, ,33-39,Defensive rebound by D. Robinson,,2,39,33,6,1155.0
4:33.0, ,33-41,D. Robinson makes 2-pt layup from 2 ft (assist by J. Butler),,2,41,33,8,1167.0
4:25.0,Personal foul by D. Robinson (drawn by R. Jackson),33-41, ,,2,41,33,8,1175.0
4:25.0,R. Jackson makes free throw 1 of 2,34-41, ,,2,41,34,7,1175.0
4:25.0,R. Jackson makes free throw 2 of 2,35-41, ,,2,41,35,6,1175.0
4:11.0, ,35-41,Personal foul by R. Jackson (drawn by J. Butler),,2,41,35,6,1189.0
4:03.0, ,35-43,P. Tucker makes 2-pt layup from 2 ft (assist by J. Butler),,2,43,35,8,1197.0
3:46.0,T. Mann misses 3-pt jump shot from 25 ft,35-43, ,,2,43,35,8,1214.0
3:43.0, ,35-43,Defensive rebound by B. Adebayo,,2,43,35,8,1217.0
3:39.0, ,35-46,D. Robinson makes 3-pt jump shot from 27 ft (assist by B. Adebayo),,2,46,35,11,1221.0
3:22.0,R. Jackson misses 3-pt jump shot from 24 ft,35-46, ,,2,46,35,11,1238.0
3:22.0, ,35-46,Defensive rebound by T. Herro,,2,46,35,11,1238.0
3:12.0, ,35-48,D. Robinson makes 2-pt layup from 2 ft (assist by T. Herro),,2,48,35,13,1248.0
3:11.0,LA Clippers full timeout,35-48, ,,2,48,35,13,1249.0
3:11.0,E. Bledsoe enters the game for R. Jackson,35-48, ,,2,48,35,13,1249.0
2:55.0,N. Batum misses 3-pt jump shot from 25 ft,35-48, ,,2,48,35,13,1265.0
2:54.0,Offensive rebound by Team,35-48, ,,2,48,35,13,1266.0
2:54.0, ,35-48,Loose ball foul by J. Butler (drawn by I. Zubac),,2,48,35,13,1266.0
2:54.0,I. Zubac makes free throw 1 of 2,36-48, ,,2,48,36,12,1266.0
2:54.0,I. Zubac misses free throw 2 of 2,36-48, ,,2,48,36,12,1266.0
2:51.0, ,36-48,Defensive rebound by B. Adebayo,,2,48,36,12,1269.0
2:42.0, ,36-48,Offensive foul by P. Tucker (drawn by E. Bledsoe),,2,48,36,12,1278.0
2:42.0, ,36-48,Turnover by P. Tucker (offensive foul),,2,48,36,12,1278.0
2:42.0, ,36-48,Violation by Team (delay of game),,2,48,36,12,1278.0
2:31.0,E. Bledsoe makes 2-pt jump shot from 8 ft,38-48, ,,2,48,38,10,1289.0
2:31.0,Shooting foul by T. Herro (drawn by E. Bledsoe),38-48, ,,2,48,38,10,1289.0
2:31.0,E. Bledsoe makes free throw 1 of 1,39-48, ,,2,48,39,9,1289.0
2:13.0, ,39-48,Shooting foul by T. Mann (drawn by J. Butler),,2,48,39,9,1307.0
2:13.0, ,39-49,J. Butler makes free throw 1 of 2,,2,49,39,10,1307.0
2:13.0,L. Kennard enters the game for T. Mann,39-49, ,,2,49,39,10,1307.0
2:13.0, ,39-49,G. Vincent enters the game for D. Robinson,,2,49,39,10,1307.0
2:13.0, ,39-50,J. Butler makes free throw 2 of 2,,2,50,39,11,1307.0
2:00.0,E. Bledsoe makes 2-pt layup from 2 ft,41-50, ,,2,50,41,9,1320.0
1:53.0, ,41-50,Shooting foul by A. Coffey (drawn by J. Butler),,2,50,41,9,1327.0
1:53.0, ,41-51,J. Butler makes free throw 1 of 2,,2,51,41,10,1327.0
1:53.0, ,41-52,J. Butler makes free throw 2 of 2,,2,52,41,11,1327.0
1:36.0,E. Bledsoe misses 3-pt jump shot from 26 ft,41-52, ,,2,52,41,11,1344.0
1:33.0, ,41-52,Defensive rebound by P. Tucker,,2,52,41,11,1347.0
1:27.0, ,41-52,B. Adebayo misses 2-pt jump shot from 6 ft,,2,52,41,11,1353.0
1:25.0, ,41-52,Offensive rebound by B. Adebayo,,2,52,41,11,1355.0
1:20.0, ,41-55,P. Tucker makes 3-pt jump shot from 23 ft (assist by B. Adebayo),,2,55,41,14,1360.0
1:04.0,N. Batum makes 2-pt jump shot from 11 ft,43-55, ,,2,55,43,12,1376.0
0:41.0, ,43-55,Personal foul by A. Coffey (drawn by J. Butler),,2,55,43,12,1399.0
0:41.0, ,43-56,J. Butler makes free throw 1 of 2,,2,56,43,13,1399.0
0:41.0,J. Winslow enters the game for A. Coffey,43-56, ,,2,56,43,13,1399.0
0:41.0, ,43-56,C. Martin enters the game for P. Tucker,,2,56,43,13,1399.0
0:41.0, ,43-57,J. Butler makes free throw 2 of 2,,2,57,43,14,1399.0
0:31.0,N. Batum misses 3-pt jump shot from 26 ft,43-57, ,,2,57,43,14,1409.0
0:28.0, ,43-57,Defensive rebound by J. Butler,,2,57,43,14,1412.0
0:06.0, ,43-57,B. Adebayo misses 2-pt hook shot from 8 ft,,2,57,43,14,1434.0
0:04.0,Defensive rebound by J. Winslow,43-57, ,,2,57,43,14,1436.0
0:01.0,E. Bledsoe makes 2-pt layup from 2 ft,45-57, ,,2,57,45,12,1439.0
0:00.0, ,45-57,C. Martin misses 3-pt jump shot from 28 ft,,2,57,45,12,1440.0
0:00.0, ,45-57,Offensive rebound by Team,,2,57,45,12,1440.0
0:00.0,End of 2nd quarter,45-57,,,2,57,45,12,1440.0
12:00.0,Start of 3rd quarter,45-57,,,3,57,45,12,1440.0
11:44.0,A. Coffey makes 3-pt jump shot from 25 ft (assist by N. Batum),48-57, ,,3,57,48,9,1456.0
11:24.0, ,48-60,G. Vincent makes 3-pt jump shot from 26 ft (assist by J. Butler),,3,60,48,12,1476.0
11:11.0,A. Coffey misses 2-pt jump shot from 15 ft,48-60, ,,3,60,48,12,1489.0
11:08.0, ,48-60,Defensive rebound by B. Adebayo,,3,60,48,12,1492.0
10:59.0, ,48-63,G. Vincent makes 3-pt jump shot from 29 ft,,3,63,48,15,1501.0
10:33.0,T. Mann misses 2-pt jump shot from 7 ft,48-63, ,,3,63,48,15,1527.0
10:31.0, ,48-63,Defensive rebound by B. Adebayo,,3,63,48,15,1529.0
