Time,Miami,Score,San Antonio,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
4:04.0,G. Vincent enters the game for J. Butler,9-15, ,,1,9,15,-6,476.0
3:50.0, ,9-15,K. Johnson misses 3-pt jump shot from 25 ft,,1,9,15,-6,490.0
3:47.0,Defensive rebound by P. Tucker,9-15, ,,1,9,15,-6,493.0
3:40.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by P. Tucker),12-15, ,,1,12,15,-3,500.0
3:28.0, ,12-15,J. Primo misses 2-pt layup from 1 ft,,1,12,15,-3,512.0
3:28.0, ,12-15,Offensive rebound by J. Primo,,1,12,15,-3,512.0
3:24.0, ,12-17,J. Primo makes 2-pt layup at rim,,1,12,17,-5,516.0
3:15.0,Shooting foul by D. Eubanks (drawn by D. Dedmon),12-17, ,,1,12,17,-5,525.0
3:15.0,D. Dedmon makes free throw 1 of 2,13-17, ,,1,13,17,-4,525.0
3:15.0, ,13-17,J. Hernangómez enters the game for K. Johnson,,1,13,17,-4,525.0
3:15.0,D. Dedmon makes free throw 2 of 2,14-17, ,,1,14,17,-3,525.0
3:03.0, ,14-17,L. Walker misses 2-pt layup from 2 ft (block by D. Dedmon),,1,14,17,-3,537.0
3:03.0, ,14-17,Offensive rebound by Team,,1,14,17,-3,537.0
2:56.0, ,14-17,L. Walker misses 2-pt jump shot from 19 ft,,1,14,17,-3,544.0
2:53.0,Defensive rebound by T. Herro,14-17, ,,1,14,17,-3,547.0
2:40.0,T. Herro makes 2-pt layup from 1 ft (assist by D. Dedmon),16-17, ,,1,16,17,-1,560.0
2:30.0, ,16-17,D. Eubanks misses 2-pt hook shot from 9 ft,,1,16,17,-1,570.0
2:28.0,Defensive rebound by D. Dedmon,16-17, ,,1,16,17,-1,572.0
2:16.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by D. Dedmon),19-17, ,Lead change,1,19,17,2,584.0
2:01.0, ,19-17,Personal foul by D. Robinson (drawn by T. Jones),,1,19,17,2,599.0
2:01.0,Miami full timeout,19-17, ,,1,19,17,2,599.0
2:01.0,B. Adebayo enters the game for D. Robinson,19-17, ,,1,19,17,2,599.0
2:01.0,M. Strus enters the game for P. Tucker,19-17, ,,1,19,17,2,599.0
2:01.0, ,19-17,T. Young enters the game for D. Eubanks,,1,19,17,2,599.0
2:01.0, ,19-18,T. Jones makes free throw 1 of 2,,1,19,18,1,599.0
2:01.0, ,19-19,T. Jones makes free throw 2 of 2,Tie,1,19,19,0,599.0
1:47.0,T. Herro misses 3-pt jump shot from 25 ft,19-19, ,,1,19,19,0,613.0
1:44.0, ,19-19,Defensive rebound by T. Jones,,1,19,19,0,616.0
1:37.0, ,19-19,J. Primo misses 3-pt jump shot from 23 ft,,1,19,19,0,623.0
1:34.0,Defensive rebound by B. Adebayo,19-19, ,,1,19,19,0,626.0
1:18.0,T. Herro makes 2-pt layup from 4 ft (assist by M. Strus),21-19, ,,1,21,19,2,642.0
0:58.0, ,21-19,L. Walker misses 2-pt jump shot from 9 ft,,1,21,19,2,662.0
0:56.0, ,21-19,Offensive rebound by T. Young,,1,21,19,2,664.0
0:48.0, ,21-19,T. Jones misses 2-pt jump shot from 15 ft,,1,21,19,2,672.0
0:46.0,Defensive rebound by D. Dedmon,21-19, ,,1,21,19,2,674.0
0:30.0,G. Vincent misses 3-pt jump shot from 26 ft,21-19, ,,1,21,19,2,690.0
0:27.0, ,21-19,Defensive rebound by J. Hernangómez,,1,21,19,2,693.0
0:04.0, ,21-19,J. Primo misses 3-pt jump shot from 23 ft,,1,21,19,2,716.0
0:01.0,Defensive rebound by B. Adebayo,21-19, ,,1,21,19,2,719.0
0:00.0,T. Herro misses 3-pt jump shot from 25 ft,21-19, ,,1,21,19,2,720.0
0:00.0,Offensive rebound by Team,21-19, ,,1,21,19,2,720.0
0:00.0,End of 1st quarter,21-19,,,1,21,19,2,720.0
12:00.0,Start of 2nd quarter,21-19,,,2,21,19,2,720.0
11:38.0, ,21-19,D. Vassell misses 2-pt dunk from 3 ft (block by D. Dedmon),,2,21,19,2,742.0
11:34.0, ,21-19,Offensive rebound by T. Young,,2,21,19,2,746.0
11:33.0, ,21-21,T. Young makes 2-pt hook shot from 2 ft,Tie,2,21,21,0,747.0
11:15.0,T. Herro makes 2-pt jump shot from 18 ft,23-21, ,,2,23,21,2,765.0
10:57.0, ,23-21,D. Vassell misses 3-pt jump shot from 24 ft,,2,23,21,2,783.0
10:53.0,Defensive rebound by T. Herro,23-21, ,,2,23,21,2,787.0
10:46.0,D. Dedmon makes 3-pt jump shot from 25 ft (assist by M. Strus),26-21, ,,2,26,21,5,794.0
10:35.0, ,26-21,J. Primo misses 2-pt jump shot from 8 ft,,2,26,21,5,805.0
10:34.0, ,26-21,Offensive rebound by J. Primo,,2,26,21,5,806.0
10:32.0, ,26-21,K. Johnson misses 3-pt jump shot from 25 ft,,2,26,21,5,808.0
10:31.0, ,26-21,Offensive rebound by Team,,2,26,21,5,809.0
10:31.0, ,26-21,Personal foul by T. Herro (drawn by T. Young),,2,26,21,5,809.0
10:27.0, ,26-21,D. Vassell misses 3-pt jump shot from 23 ft,,2,26,21,5,813.0
10:23.0,Defensive rebound by G. Vincent,26-21, ,,2,26,21,5,817.0
10:17.0,T. Herro makes 2-pt jump shot from 1 ft,28-21, ,,2,28,21,7,823.0
10:15.0, ,28-21,San Antonio full timeout,,2,28,21,7,825.0
10:15.0,K. Lowry enters the game for D. Dedmon,28-21, ,,2,28,21,7,825.0
9:56.0, ,28-21,J. Primo misses 2-pt jump shot from 8 ft,,2,28,21,7,844.0
9:53.0, ,28-21,T. Young misses 2-pt layup from 3 ft,,2,28,21,7,847.0
9:53.0, ,28-21,Offensive rebound by T. Young,,2,28,21,7,847.0
9:51.0, ,28-21,Turnover by T. Young (lost ball; steal by G. Vincent),,2,28,21,7,849.0
9:30.0,M. Strus makes 3-pt jump shot from 23 ft (assist by T. Herro),31-21, ,,2,31,21,10,870.0
9:17.0, ,31-23,K. Johnson makes 2-pt jump shot from 8 ft (assist by J. Primo),,2,31,23,8,883.0
9:04.0,Turnover by G. Vincent (bad pass),31-23, ,,2,31,23,8,896.0
9:04.0, ,31-23,D. Eubanks enters the game for J. Primo,,2,31,23,8,896.0
9:04.0, ,31-23,L. Walker enters the game for T. Young,,2,31,23,8,896.0
8:46.0, ,31-23,Turnover by K. Johnson (lost ball; steal by T. Herro),,2,31,23,8,914.0
8:42.0,T. Herro makes 2-pt layup from 1 ft,33-23, ,,2,33,23,10,918.0
8:25.0, ,33-26,L. Walker makes 3-pt jump shot from 25 ft (assist by T. Jones),,2,33,26,7,935.0
8:02.0,M. Strus makes 3-pt jump shot from 25 ft (assist by G. Vincent),36-26, ,,2,36,26,10,958.0
7:32.0, ,36-29,K. Johnson makes 3-pt jump shot from 24 ft (assist by D. Vassell),,2,36,29,7,988.0
7:16.0,G. Vincent makes 3-pt jump shot from 26 ft (assist by T. Herro),39-29, ,,2,39,29,10,1004.0
6:58.0, ,39-29,Offensive foul by D. Eubanks (drawn by G. Vincent),,2,39,29,10,1022.0
6:58.0, ,39-29,Turnover by D. Eubanks (offensive foul),,2,39,29,10,1022.0
6:58.0,J. Butler enters the game for T. Herro,39-29, ,,2,39,29,10,1022.0
6:58.0, ,39-29,D. White enters the game for T. Jones,,2,39,29,10,1022.0
6:40.0,G. Vincent makes 3-pt jump shot from 23 ft (assist by K. Lowry),42-29, ,,2,42,29,13,1040.0
6:25.0, ,42-32,D. Vassell makes 3-pt jump shot from 28 ft (assist by L. Walker),,2,42,32,10,1055.0
6:14.0,Turnover by K. Lowry (bad pass; steal by D. Vassell),42-32, ,,2,42,32,10,1066.0
6:11.0, ,42-32,Shooting foul by G. Vincent (drawn by D. White),,2,42,32,10,1069.0
6:11.0, ,42-33,D. White makes free throw 1 of 2,,2,42,33,9,1069.0
6:11.0,D. Dedmon enters the game for B. Adebayo,42-33, ,,2,42,33,9,1069.0
6:11.0, ,42-34,D. White makes free throw 2 of 2,,2,42,34,8,1069.0
5:52.0,D. Dedmon misses 2-pt jump shot from 12 ft,42-34, ,,2,42,34,8,1088.0
5:49.0, ,42-34,Defensive rebound by L. Walker,,2,42,34,8,1091.0
5:42.0, ,42-36,D. White makes 2-pt layup from 1 ft,,2,42,36,6,1098.0
5:42.0,Miami full timeout,42-36, ,,2,42,36,6,1098.0
5:42.0, ,42-36,J. Hernangómez enters the game for K. Johnson,,2,42,36,6,1098.0
5:20.0,K. Lowry misses 2-pt jump shot from 13 ft,42-36, ,,2,42,36,6,1120.0
5:17.0, ,42-36,Defensive rebound by D. White,,2,42,36,6,1123.0
5:09.0, ,42-36,D. White misses 2-pt jump shot from 15 ft,,2,42,36,6,1131.0
5:09.0, ,42-36,Offensive rebound by Team,,2,42,36,6,1131.0
5:09.0,T. Herro enters the game for M. Strus,42-36, ,,2,42,36,6,1131.0
5:09.0,P. Tucker enters the game for G. Vincent,42-36, ,,2,42,36,6,1131.0
4:53.0, ,42-36,D. Vassell misses 3-pt jump shot from 25 ft,,2,42,36,6,1147.0
4:50.0,Defensive rebound by K. Lowry,42-36, ,,2,42,36,6,1150.0
4:40.0,D. Dedmon makes 2-pt layup at rim (assist by J. Butler),44-36, ,,2,44,36,8,1160.0
4:26.0, ,44-36,J. Hernangómez misses 3-pt jump shot from 22 ft,,2,44,36,8,1174.0
4:24.0, ,44-36,Offensive rebound by D. Eubanks,,2,44,36,8,1176.0
4:21.0, ,44-36,Shooting foul by D. Dedmon (drawn by J. Hernangómez),,2,44,36,8,1179.0
4:21.0, ,44-37,J. Hernangómez makes free throw 1 of 2,,2,44,37,7,1179.0
4:21.0, ,44-37,J. Hernangómez misses free throw 2 of 2,,2,44,37,7,1179.0
4:18.0,Defensive rebound by P. Tucker,44-37, ,,2,44,37,7,1182.0
3:59.0,J. Butler misses 2-pt layup from 6 ft,44-37, ,,2,44,37,7,1201.0
3:53.0,Offensive rebound by D. Dedmon,44-37, ,,2,44,37,7,1207.0
3:53.0,D. Dedmon makes 2-pt dunk at rim,46-37, ,,2,46,37,9,1207.0
3:52.0, ,46-37,Turnover by D. White (bad pass; steal by P. Tucker),,2,46,37,9,1208.0
3:49.0,Turnover by T. Herro (bad pass; steal by L. Walker),46-37, ,,2,46,37,9,1211.0
3:46.0, ,46-37,Personal take foul by D. Dedmon (drawn by D. Vassell),,2,46,37,9,1214.0
3:46.0, ,46-37,J. Primo enters the game for D. Vassell,,2,46,37,9,1214.0
3:40.0, ,46-39,L. Walker makes 2-pt layup from 1 ft (assist by D. Eubanks),,2,46,39,7,1220.0
3:22.0,J. Butler makes 2-pt jump shot from 14 ft,48-39, ,,2,48,39,9,1238.0
3:12.0, ,48-39,Turnover by J. Primo (lost ball; steal by K. Lowry),,2,48,39,9,1248.0
3:00.0,T. Herro misses 2-pt jump shot from 10 ft,48-39, ,,2,48,39,9,1260.0
3:00.0, ,48-39,Defensive rebound by D. White,,2,48,39,9,1260.0
3:00.0, ,48-39,Personal foul by D. Dedmon (drawn by D. White),,2,48,39,9,1260.0
3:00.0, ,48-40,D. White makes free throw 1 of 2,,2,48,40,8,1260.0
3:00.0,B. Adebayo enters the game for D. Dedmon,48-40, ,,2,48,40,8,1260.0
3:00.0, ,48-40,K. Johnson enters the game for D. Eubanks,,2,48,40,8,1260.0
3:00.0, ,48-40,T. Young enters the game for J. Hernangómez,,2,48,40,8,1260.0
3:00.0, ,48-41,D. White makes free throw 2 of 2,,2,48,41,7,1260.0
2:45.0,J. Butler misses 2-pt jump shot from 9 ft,48-41, ,,2,48,41,7,1275.0
2:39.0,Offensive rebound by B. Adebayo,48-41, ,,2,48,41,7,1281.0
2:39.0,B. Adebayo makes 2-pt layup at rim,50-41, ,,2,50,41,9,1281.0
2:27.0, ,50-41,L. Walker misses 2-pt jump shot from 18 ft,,2,50,41,9,1293.0
2:25.0,Defensive rebound by J. Butler,50-41, ,,2,50,41,9,1295.0
2:10.0,Personal foul by D. White (drawn by P. Tucker),50-41, ,,2,50,41,9,1310.0
2:10.0, ,50-41,J. Hernangómez enters the game for K. Johnson,,2,50,41,9,1310.0
2:07.0,Turnover by B. Adebayo (bad pass; steal by L. Walker),50-41, ,,2,50,41,9,1313.0
1:57.0, ,50-41,Turnover by L. Walker (bad pass; steal by B. Adebayo),,2,50,41,9,1323.0
1:52.0,J. Butler makes 2-pt dunk from 1 ft (assist by T. Herro),52-41, ,,2,52,41,11,1328.0
1:40.0, ,52-41,L. Walker misses 3-pt jump shot from 26 ft,,2,52,41,11,1340.0
1:37.0,Defensive rebound by B. Adebayo,52-41, ,,2,52,41,11,1343.0
1:19.0,Turnover by K. Lowry (bad pass; steal by T. Young),52-41, ,,2,52,41,11,1361.0
1:19.0, ,52-41,Personal foul by K. Lowry (drawn by T. Young),,2,52,41,11,1361.0
1:19.0, ,52-41,T. Young misses free throw 1 of 2,,2,52,41,11,1361.0
