Time,Cleveland,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
6:49.0,D. Garland enters the game for R. Rondo,30-41, ,,2,41,30,11,1031.0
6:49.0, ,30-42,T. Herro makes free throw 1 of 1,,2,42,30,12,1031.0
6:31.0,Turnover by D. Garland (bad pass),30-42, ,,2,42,30,12,1049.0
6:31.0, ,30-42,J. Butler enters the game for K. Lowry,,2,42,30,12,1049.0
6:31.0, ,30-42,D. Robinson enters the game for V. Oladipo,,2,42,30,12,1049.0
6:23.0, ,30-42,Shooting foul by D. Garland (drawn by T. Herro),,2,42,30,12,1057.0
6:23.0, ,30-43,T. Herro makes free throw 1 of 2,,2,43,30,13,1057.0
6:23.0,E. Davis enters the game for E. Mobley,30-43, ,,2,43,30,13,1057.0
6:23.0, ,30-44,T. Herro makes free throw 2 of 2,,2,44,30,14,1057.0
6:05.0,Turnover by D. Garland (bad pass; steal by B. Adebayo),30-44, ,,2,44,30,14,1075.0
6:00.0, ,30-44,M. Strus misses 3-pt jump shot from 26 ft,,2,44,30,14,1080.0
5:55.0,Defensive rebound by E. Davis,30-44, ,,2,44,30,14,1085.0
5:46.0,Shooting foul by M. Strus (drawn by D. Garland),30-44, ,,2,44,30,14,1094.0
5:46.0,D. Garland makes free throw 1 of 2,31-44, ,,2,44,31,13,1094.0
5:46.0,D. Garland makes free throw 2 of 2,32-44, ,,2,44,32,12,1094.0
5:33.0, ,32-46,B. Adebayo makes 2-pt dunk from 1 ft (assist by T. Herro),,2,46,32,14,1107.0
5:29.0, ,32-46,Technical foul by T. Herro,,2,46,32,14,1111.0
5:29.0,D. Garland makes technical free throw,33-46, ,,2,46,33,13,1111.0
5:16.0,D. Garland makes 2-pt layup from 2 ft,35-46, ,,2,46,35,11,1124.0
5:16.0,Shooting foul by D. Robinson (drawn by D. Garland),35-46, ,,2,46,35,11,1124.0
5:16.0,D. Garland makes free throw 1 of 1,36-46, ,,2,46,36,10,1124.0
5:07.0, ,36-46,Offensive foul by B. Adebayo (drawn by I. Okoro),,2,46,36,10,1133.0
5:07.0, ,36-46,Turnover by B. Adebayo (offensive foul),,2,46,36,10,1133.0
5:07.0, ,36-46,P. Tucker enters the game for M. Strus,,2,46,36,10,1133.0
4:54.0,Shooting foul by D. Robinson (drawn by D. Garland),36-46, ,,2,46,36,10,1146.0
4:54.0,D. Garland makes free throw 1 of 2,37-46, ,,2,46,37,9,1146.0
4:54.0,D. Garland makes free throw 2 of 2,38-46, ,,2,46,38,8,1146.0
4:38.0, ,38-49,D. Robinson makes 3-pt jump shot from 25 ft (assist by J. Butler),,2,49,38,11,1162.0
4:26.0,D. Garland misses 3-pt jump shot from 28 ft,38-49, ,,2,49,38,11,1174.0
4:23.0, ,38-49,Defensive rebound by B. Adebayo,,2,49,38,11,1177.0
4:09.0, ,38-49,P. Tucker misses 3-pt jump shot from 24 ft,,2,49,38,11,1191.0
4:05.0,Defensive rebound by L. Markkanen,38-49, ,,2,49,38,11,1195.0
4:01.0,D. Garland makes 2-pt layup from 3 ft (assist by L. Markkanen),40-49, ,,2,49,40,9,1199.0
3:50.0, ,40-49,T. Herro misses 3-pt jump shot from 26 ft,,2,49,40,9,1210.0
3:48.0,Defensive rebound by L. Markkanen,40-49, ,,2,49,40,9,1212.0
3:41.0,L. Markkanen makes 2-pt hook shot from 9 ft,42-49, ,,2,49,42,7,1219.0
3:23.0, ,42-51,T. Herro makes 2-pt jump shot from 12 ft,,2,51,42,9,1237.0
3:14.0,L. Markkanen makes 2-pt layup from 2 ft (assist by D. Garland),44-51, ,,2,51,44,7,1246.0
3:14.0,Shooting foul by D. Robinson (drawn by L. Markkanen),44-51, ,,2,51,44,7,1246.0
3:14.0,E. Mobley enters the game for E. Davis,44-51, ,,2,51,44,7,1246.0
3:14.0, ,44-51,K. Lowry enters the game for D. Robinson,,2,51,44,7,1246.0
3:14.0,L. Markkanen makes free throw 1 of 1,45-51, ,,2,51,45,6,1246.0
3:03.0, ,45-51,T. Herro misses 2-pt layup from 3 ft,,2,51,45,6,1257.0
3:01.0,Defensive rebound by D. Wade,45-51, ,,2,51,45,6,1259.0
2:43.0,I. Okoro makes 3-pt jump shot from 23 ft (assist by D. Garland),48-51, ,,2,51,48,3,1277.0
2:42.0, ,48-51,Miami full timeout,,2,51,48,3,1278.0
2:18.0, ,48-51,B. Adebayo misses 2-pt jump shot from 13 ft,,2,51,48,3,1302.0
2:14.0,Defensive rebound by D. Garland,48-51, ,,2,51,48,3,1306.0
2:05.0,E. Mobley makes 2-pt layup from 2 ft (assist by D. Garland),50-51, ,,2,51,50,1,1315.0
1:49.0, ,50-51,T. Herro misses 3-pt jump shot from 23 ft,,2,51,50,1,1331.0
1:46.0,Defensive rebound by E. Mobley,50-51, ,,2,51,50,1,1334.0
1:41.0,D. Garland misses 2-pt jump shot from 20 ft,50-51, ,,2,51,50,1,1339.0
1:36.0, ,50-51,Defensive rebound by K. Lowry,,2,51,50,1,1344.0
1:22.0, ,50-51,Shooting foul by L. Markkanen (drawn by B. Adebayo),,2,51,50,1,1358.0
1:22.0, ,50-52,B. Adebayo makes free throw 1 of 2,,2,52,50,2,1358.0
1:22.0, ,50-53,B. Adebayo makes free throw 2 of 2,,2,53,50,3,1358.0
1:11.0,Personal foul by K. Lowry (drawn by D. Garland),50-53, ,,2,53,50,3,1369.0
1:11.0,D. Garland makes free throw 1 of 2,51-53, ,,2,53,51,2,1369.0
1:11.0, ,51-53,D. Dedmon enters the game for B. Adebayo,,2,53,51,2,1369.0
1:11.0,D. Garland makes free throw 2 of 2,52-53, ,,2,53,52,1,1369.0
1:04.0, ,52-53,D. Dedmon misses 3-pt jump shot from 27 ft,,2,53,52,1,1376.0
1:00.0,Defensive rebound by E. Mobley,52-53, ,,2,53,52,1,1380.0
0:55.0,L. Markkanen makes 2-pt jump shot from 19 ft (assist by D. Garland),54-53, ,Lead change,2,53,54,-1,1385.0
0:55.0,Away from play foul by K. Lowry (drawn by E. Mobley),54-53, ,,2,53,54,-1,1385.0
0:55.0, ,54-53,M. Strus enters the game for K. Lowry,,2,53,54,-1,1385.0
0:55.0,E. Mobley makes free throw 1 of 1,55-53, ,,2,53,55,-2,1385.0
0:35.0, ,55-55,T. Herro makes 2-pt layup from 3 ft (assist by P. Tucker),Tie,2,55,55,0,1405.0
0:19.0,I. Okoro misses 2-pt layup from 2 ft,55-55, ,,2,55,55,0,1421.0
0:19.0,Offensive rebound by I. Okoro,55-55, ,,2,55,55,0,1421.0
0:19.0,I. Okoro makes 2-pt layup at rim,57-55, ,,2,55,57,-2,1421.0
0:01.0, ,57-58,M. Strus makes 3-pt jump shot from 27 ft (assist by T. Herro),Lead change,2,58,57,1,1439.0
0:00.0,End of 2nd quarter,57-58,,,2,58,57,1,1440.0
12:00.0,Start of 3rd quarter,57-58,,,3,58,57,1,1440.0
11:42.0,D. Wade makes 2-pt dunk from 2 ft,59-58, ,Lead change,3,58,59,-1,1458.0
11:16.0, ,59-58,J. Butler misses 3-pt jump shot from 24 ft,,3,58,59,-1,1484.0
11:12.0,Defensive rebound by E. Mobley,59-58, ,,3,58,59,-1,1488.0
11:07.0,D. Garland makes 3-pt jump shot from 25 ft,62-58, ,,3,58,62,-4,1493.0
10:44.0, ,62-58,Personal foul by D. Garland (drawn by B. Adebayo),,3,58,62,-4,1516.0
10:41.0, ,62-58,Personal foul by I. Okoro (drawn by D. Robinson),,3,58,62,-4,1519.0
10:41.0, ,62-58,Technical foul by K. Lowry,,3,58,62,-4,1519.0
10:41.0,D. Garland makes technical free throw,63-58, ,,3,58,63,-5,1519.0
10:37.0, ,63-58,D. Robinson misses 3-pt jump shot from 28 ft,,3,58,63,-5,1523.0
10:32.0, ,63-58,Offensive rebound by P. Tucker,,3,58,63,-5,1528.0
10:23.0, ,63-58,P. Tucker misses 2-pt layup from 5 ft,,3,58,63,-5,1537.0
