Time,LA Lakers,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
6:23.0, ,36-56,C. Martin makes 3-pt jump shot from 23 ft (assist by J. Butler),,2,56,36,20,1057.0
6:11.0,C. Anthony makes 3-pt jump shot from 27 ft (assist by R. Westbrook),39-56, ,,2,56,39,17,1069.0
6:01.0,Violation by Team (kicked ball),39-56, ,,2,56,39,17,1079.0
6:01.0,L. James enters the game for T. Ariza,39-56, ,,2,56,39,17,1079.0
6:01.0, ,39-56,B. Adebayo enters the game for D. Dedmon,,2,56,39,17,1079.0
5:51.0, ,39-56,B. Adebayo misses 2-pt jump shot from 7 ft,,2,56,39,17,1089.0
5:45.0, ,39-56,Offensive rebound by C. Martin,,2,56,39,17,1095.0
5:45.0, ,39-56,C. Martin misses 2-pt layup at rim,,2,56,39,17,1095.0
5:44.0,Defensive rebound by C. Anthony,39-56, ,,2,56,39,17,1096.0
5:39.0,C. Anthony misses 3-pt jump shot from 28 ft,39-56, ,,2,56,39,17,1101.0
5:38.0, ,39-56,Defensive rebound by B. Adebayo,,2,56,39,17,1102.0
5:13.0, ,39-59,D. Robinson makes 3-pt jump shot from 23 ft (assist by J. Butler),,2,59,39,20,1127.0
4:53.0,Turnover by L. James (bad pass; steal by D. Robinson),39-59, ,,2,59,39,20,1147.0
4:48.0, ,39-61,M. Strus makes 2-pt layup from 2 ft (assist by J. Butler),,2,61,39,22,1152.0
4:46.0,LA Lakers full timeout,39-61, ,,2,61,39,22,1154.0
4:46.0,M. Monk enters the game for C. Anthony,39-61, ,,2,61,39,22,1154.0
4:46.0, ,39-61,P. Tucker enters the game for C. Martin,,2,61,39,22,1154.0
4:31.0,Personal foul by P. Tucker (drawn by L. James),39-61, ,,2,61,39,22,1169.0
4:31.0,L. James makes free throw 1 of 2,40-61, ,,2,61,40,21,1169.0
4:31.0,L. James misses free throw 2 of 2,40-61, ,,2,61,40,21,1169.0
4:28.0, ,40-61,Defensive rebound by B. Adebayo,,2,61,40,21,1172.0
4:08.0, ,40-64,M. Strus makes 3-pt jump shot from 27 ft,,2,64,40,24,1192.0
3:53.0,L. James misses 3-pt jump shot from 27 ft,40-64, ,,2,64,40,24,1207.0
3:49.0, ,40-64,Defensive rebound by J. Butler,,2,64,40,24,1211.0
3:34.0, ,40-64,Turnover by D. Robinson (bad pass),,2,64,40,24,1226.0
3:30.0,Offensive foul by L. James (drawn by M. Strus),40-64, ,,2,64,40,24,1230.0
3:30.0,Turnover by L. James (offensive foul),40-64, ,,2,64,40,24,1230.0
3:30.0,A. Bradley enters the game for W. Ellington,40-64, ,,2,64,40,24,1230.0
3:11.0, ,40-64,P. Tucker misses 2-pt layup from 1 ft,,2,64,40,24,1249.0
3:07.0, ,40-64,Offensive rebound by P. Tucker,,2,64,40,24,1253.0
3:07.0, ,40-64,P. Tucker misses 2-pt layup at rim,,2,64,40,24,1253.0
3:06.0,Defensive rebound by R. Westbrook,40-64, ,,2,64,40,24,1254.0
3:06.0,Shooting foul by M. Strus (drawn by R. Westbrook),40-64, ,,2,64,40,24,1254.0
3:06.0,R. Westbrook misses free throw 1 of 2,40-64, ,,2,64,40,24,1254.0
3:06.0,Offensive rebound by Team,40-64, ,,2,64,40,24,1254.0
3:06.0, ,40-64,G. Vincent enters the game for M. Strus,,2,64,40,24,1254.0
3:06.0,R. Westbrook misses free throw 2 of 2,40-64, ,,2,64,40,24,1254.0
3:04.0, ,40-64,Defensive rebound by D. Robinson,,2,64,40,24,1256.0
2:55.0, ,40-64,Personal foul by A. Bradley (drawn by D. Robinson),,2,64,40,24,1265.0
2:55.0, ,40-65,D. Robinson makes free throw 1 of 2,,2,65,40,25,1265.0
2:55.0, ,40-66,D. Robinson makes free throw 2 of 2,,2,66,40,26,1265.0
2:46.0,R. Westbrook makes 2-pt layup from 2 ft,42-66, ,,2,66,42,24,1274.0
2:34.0, ,42-66,J. Butler misses 2-pt jump shot from 17 ft,,2,66,42,24,1286.0
2:32.0,Defensive rebound by L. James,42-66, ,,2,66,42,24,1288.0
2:24.0,M. Monk makes 2-pt jump shot from 12 ft (assist by L. James),44-66, ,,2,66,44,22,1296.0
2:07.0, ,44-68,J. Butler makes 2-pt layup from 3 ft,,2,68,44,24,1313.0
1:43.0,R. Westbrook misses 3-pt jump shot from 23 ft,44-68, ,,2,68,44,24,1337.0
1:41.0, ,44-68,Defensive rebound by J. Butler,,2,68,44,24,1339.0
1:35.0, ,44-68,G. Vincent misses 2-pt layup from 3 ft,,2,68,44,24,1345.0
1:35.0,Defensive rebound by R. Westbrook,44-68, ,,2,68,44,24,1345.0
1:29.0,L. James makes 2-pt dunk from 1 ft (assist by R. Westbrook),46-68, ,,2,68,46,22,1351.0
1:08.0, ,46-68,Turnover by B. Adebayo (bad pass; steal by L. James),,2,68,46,22,1372.0
1:05.0,L. James makes 2-pt layup from 2 ft,48-68, ,,2,68,48,20,1375.0
1:05.0,Shooting foul by D. Robinson (drawn by L. James),48-68, ,,2,68,48,20,1375.0
1:05.0, ,48-68,D. Dedmon enters the game for B. Adebayo,,2,68,48,20,1375.0
1:05.0, ,48-68,C. Martin enters the game for P. Tucker,,2,68,48,20,1375.0
1:05.0,L. James makes free throw 1 of 1,49-68, ,,2,68,49,19,1375.0
0:50.0, ,49-68,Shooting foul by M. Monk (drawn by C. Martin),,2,68,49,19,1390.0
0:50.0, ,49-69,C. Martin makes free throw 1 of 2,,2,69,49,20,1390.0
0:50.0,C. Anthony enters the game for S. Johnson,49-69, ,,2,69,49,20,1390.0
0:50.0, ,49-69,K. Guy enters the game for D. Dedmon,,2,69,49,20,1390.0
0:50.0, ,49-69,C. Martin misses free throw 2 of 2,,2,69,49,20,1390.0
0:50.0,Defensive rebound by R. Westbrook,49-69, ,,2,69,49,20,1390.0
0:45.0,R. Westbrook misses 2-pt layup from 4 ft,49-69, ,,2,69,49,20,1395.0
0:44.0,Offensive rebound by Team,49-69, ,,2,69,49,20,1396.0
0:41.0,L. James misses 2-pt layup from 3 ft,49-69, ,,2,69,49,20,1399.0
0:40.0,Offensive rebound by L. James,49-69, ,,2,69,49,20,1400.0
0:40.0,Shooting foul by C. Martin (drawn by L. James),49-69, ,,2,69,49,20,1400.0
0:40.0, ,49-69,Technical foul by G. Vincent,,2,69,49,20,1400.0
0:40.0,Technical foul by C. Anthony,49-69, ,,2,69,49,20,1400.0
0:40.0,L. James misses free throw 1 of 2,49-69, ,,2,69,49,20,1400.0
0:40.0,Offensive rebound by Team,49-69, ,,2,69,49,20,1400.0
0:40.0,T. Horton-Tucker enters the game for C. Anthony,49-69, ,,2,69,49,20,1400.0
0:40.0,S. Johnson enters the game for M. Monk,49-69, ,,2,69,49,20,1400.0
0:40.0, ,49-69,D. Dedmon enters the game for K. Guy,,2,69,49,20,1400.0
0:40.0,L. James makes free throw 2 of 2,50-69, ,,2,69,50,19,1400.0
0:21.0, ,50-69,J. Butler misses 2-pt jump shot from 21 ft,,2,69,50,19,1419.0
0:17.0,Defensive rebound by A. Bradley,50-69, ,,2,69,50,19,1423.0
0:14.0,L. James makes 2-pt layup from 1 ft (assist by R. Westbrook),52-69, ,,2,69,52,17,1426.0
0:00.0, ,52-69,J. Butler misses 2-pt layup from 7 ft,,2,69,52,17,1440.0
0:00.0, ,52-69,Offensive rebound by Team,,2,69,52,17,1440.0
0:00.0,End of 2nd quarter,52-69,,,2,69,52,17,1440.0
12:00.0,Start of 3rd quarter,52-69,,,3,69,52,17,1440.0
11:51.0, ,52-69,Turnover by G. Vincent (lost ball; steal by A. Bradley),,3,69,52,17,1449.0
11:51.0,Personal take foul by G. Vincent (drawn by A. Bradley),52-69, ,,3,69,52,17,1449.0
11:40.0,T. Ariza misses 3-pt jump shot from 23 ft,52-69, ,,3,69,52,17,1460.0
11:36.0, ,52-69,Defensive rebound by D. Robinson,,3,69,52,17,1464.0
11:24.0, ,52-69,G. Vincent misses 3-pt jump shot from 28 ft,,3,69,52,17,1476.0
11:18.0,Defensive rebound by R. Westbrook,52-69, ,,3,69,52,17,1482.0
11:14.0,R. Westbrook misses 2-pt layup from 2 ft,52-69, ,,3,69,52,17,1486.0
11:11.0, ,52-69,Defensive rebound by J. Butler,,3,69,52,17,1489.0
11:00.0, ,52-69,Offensive foul by B. Adebayo (drawn by R. Westbrook),,3,69,52,17,1500.0
11:00.0, ,52-69,Turnover by B. Adebayo (offensive foul),,3,69,52,17,1500.0
10:52.0,L. James misses 3-pt jump shot from 26 ft,52-69, ,,3,69,52,17,1508.0
10:49.0, ,52-69,Defensive rebound by G. Vincent,,3,69,52,17,1511.0
10:36.0, ,52-69,D. Robinson misses 3-pt jump shot from 27 ft,,3,69,52,17,1524.0
10:31.0,Defensive rebound by T. Ariza,52-69, ,,3,69,52,17,1529.0
10:23.0,Turnover by T. Ariza (traveling),52-69, ,,3,69,52,17,1537.0
10:04.0, ,52-69,D. Robinson misses 3-pt jump shot from 30 ft (block by D. Howard),,3,69,52,17,1556.0
10:00.0,Defensive rebound by T. Ariza,52-69, ,,3,69,52,17,1560.0
9:48.0,Personal foul by G. Vincent (drawn by T. Ariza),52-69, ,,3,69,52,17,1572.0
9:42.0,Personal foul by J. Butler (drawn by D. Howard),52-69, ,,3,69,52,17,1578.0
9:36.0,L. James makes 2-pt dunk from 2 ft (assist by R. Westbrook),54-69, ,,3,69,54,15,1584.0
9:15.0, ,54-71,B. Adebayo makes 2-pt jump shot from 17 ft (assist by J. Butler),,3,71,54,17,1605.0
9:03.0,R. Westbrook makes 2-pt jump shot from 20 ft,56-71, ,,3,71,56,15,1617.0
8:45.0, ,56-71,J. Butler misses 2-pt jump shot from 11 ft,,3,71,56,15,1635.0
8:43.0,Defensive rebound by D. Howard,56-71, ,,3,71,56,15,1637.0
