Time,Denver,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
3:50.0,Z. Nnaji makes 3-pt jump shot from 23 ft (assist by F. Campazzo),84-65, ,,3,65,84,-19,1930.0
3:31.0, ,84-67,B. Adebayo makes 2-pt jump shot from 10 ft,,3,67,84,-17,1949.0
3:11.0,A. Rivers makes 2-pt layup from 3 ft (assist by F. Campazzo),86-67, ,,3,67,86,-19,1969.0
2:52.0, ,86-69,B. Adebayo makes 2-pt jump shot from 16 ft (assist by K. Lowry),,3,69,86,-17,1988.0
2:28.0,N. Jokić misses 3-pt jump shot from 28 ft,86-69, ,,3,69,86,-17,2012.0
2:22.0,Offensive rebound by A. Rivers,86-69, ,,3,69,86,-17,2018.0
2:21.0,F. Campazzo makes 3-pt jump shot from 26 ft (assist by A. Rivers),89-69, ,,3,69,89,-20,2019.0
1:56.0, ,89-69,Personal foul by Z. Nnaji (drawn by K. Lowry),,3,69,89,-20,2044.0
1:56.0, ,89-70,K. Lowry makes free throw 1 of 2,,3,70,89,-19,2044.0
1:56.0,W. Barton enters the game for A. Gordon,89-70, ,,3,70,89,-19,2044.0
1:56.0,B. Hyland enters the game for N. Jokić,89-70, ,,3,70,89,-19,2044.0
1:56.0, ,89-70,D. Dedmon enters the game for B. Adebayo,,3,70,89,-19,2044.0
1:56.0, ,89-70,M. Strus enters the game for C. Martin,,3,70,89,-19,2044.0
1:56.0, ,89-70,G. Vincent enters the game for D. Robinson,,3,70,89,-19,2044.0
1:56.0, ,89-71,K. Lowry makes free throw 2 of 2,,3,71,89,-18,2044.0
1:45.0,Offensive foul by F. Campazzo (drawn by K. Lowry),89-71, ,,3,71,89,-18,2055.0
1:45.0,Turnover by F. Campazzo (offensive foul),89-71, ,,3,71,89,-18,2055.0
1:35.0, ,89-73,K. Lowry makes 2-pt jump shot from 21 ft,,3,73,89,-16,2065.0
1:20.0,B. Hyland misses 3-pt jump shot from 25 ft,89-73, ,,3,73,89,-16,2080.0
1:17.0, ,89-73,Defensive rebound by D. Dedmon,,3,73,89,-16,2083.0
1:11.0, ,89-73,D. Dedmon misses 3-pt jump shot from 26 ft,,3,73,89,-16,2089.0
1:06.0,Defensive rebound by A. Rivers,89-73, ,,3,73,89,-16,2094.0
1:02.0,W. Barton makes 3-pt jump shot from 25 ft (assist by B. Hyland),92-73, ,,3,73,92,-19,2098.0
0:50.0, ,92-73,Personal foul by A. Rivers (drawn by K. Lowry),,3,73,92,-19,2110.0
0:50.0, ,92-74,K. Lowry makes free throw 1 of 2,,3,74,92,-18,2110.0
0:50.0, ,92-75,K. Lowry makes free throw 2 of 2,,3,75,92,-17,2110.0
0:26.0,F. Campazzo misses 2-pt jump shot from 13 ft,92-75, ,,3,75,92,-17,2134.0
0:21.0, ,92-75,Defensive rebound by M. Strus,,3,75,92,-17,2139.0
0:05.0, ,92-78,G. Vincent makes 3-pt jump shot from 26 ft (assist by K. Lowry),,3,78,92,-14,2155.0
0:01.0,F. Campazzo makes 3-pt jump shot from 28 ft (assist by B. Hyland),95-78, ,,3,78,95,-17,2159.0
0:00.0, ,95-78,G. Vincent misses 3-pt jump shot from 66 ft,,3,78,95,-17,2160.0
0:00.0, ,95-78,Offensive rebound by Team,,3,78,95,-17,2160.0
0:00.0,End of 3rd quarter,95-78,,,3,78,95,-17,2160.0
12:00.0,Start of 4th quarter,95-78,,,4,78,95,-17,2160.0
11:39.0,A. Gordon misses 2-pt jump shot from 14 ft,95-78, ,,4,78,95,-17,2181.0
11:34.0, ,95-78,Defensive rebound by B. Adebayo,,4,78,95,-17,2186.0
11:19.0, ,95-80,B. Adebayo makes 2-pt jump shot from 13 ft,,4,80,95,-15,2201.0
11:01.0,B. Hyland makes 3-pt jump shot from 28 ft (assist by W. Barton),98-80, ,,4,80,98,-18,2219.0
10:41.0, ,98-83,M. Strus makes 3-pt jump shot from 27 ft (assist by B. Adebayo),,4,83,98,-15,2239.0
10:23.0,B. Hyland misses 3-pt jump shot from 27 ft,98-83, ,,4,83,98,-15,2257.0
10:18.0, ,98-83,Defensive rebound by M. Strus,,4,83,98,-15,2262.0
10:15.0, ,98-85,C. Martin makes 2-pt dunk at rim (assist by G. Vincent),,4,85,98,-13,2265.0
10:15.0,Denver full timeout,98-85, ,,4,85,98,-13,2265.0
9:55.0,W. Barton makes 3-pt jump shot from 23 ft (assist by B. Hyland),101-85, ,,4,85,101,-16,2285.0
9:35.0, ,101-85,Shooting foul by J. Green (drawn by B. Adebayo),,4,85,101,-16,2305.0
9:35.0, ,101-86,B. Adebayo makes free throw 1 of 2,,4,86,101,-15,2305.0
9:35.0, ,101-86,B. Adebayo misses free throw 2 of 2,,4,86,101,-15,2305.0
9:32.0,Defensive rebound by W. Barton,101-86, ,,4,86,101,-15,2308.0
9:18.0,A. Gordon makes 2-pt dunk from 2 ft (assist by W. Barton),103-86, ,,4,86,103,-17,2322.0
8:59.0, ,103-89,M. Strus makes 3-pt jump shot from 26 ft,,4,89,103,-14,2341.0
8:43.0,Turnover by F. Campazzo (bad pass),103-89, ,,4,89,103,-14,2357.0
8:33.0, ,103-89,M. Strus misses 3-pt jump shot from 28 ft,,4,89,103,-14,2367.0
8:29.0, ,103-89,Offensive rebound by B. Adebayo,,4,89,103,-14,2371.0
8:26.0, ,103-89,Offensive foul by B. Adebayo (drawn by F. Campazzo),,4,89,103,-14,2374.0
8:26.0, ,103-89,Turnover by B. Adebayo (offensive foul),,4,89,103,-14,2374.0
8:26.0,N. Jokić enters the game for W. Barton,103-89, ,,4,89,103,-14,2374.0
8:26.0,M. Morris enters the game for J. Green,103-89, ,,4,89,103,-14,2374.0
8:06.0,F. Campazzo makes 2-pt jump shot from 10 ft (assist by M. Morris),105-89, ,,4,89,105,-16,2394.0
7:48.0, ,105-91,G. Vincent makes 2-pt layup from 1 ft (assist by B. Adebayo),,4,91,105,-14,2412.0
7:31.0,A. Gordon makes 2-pt layup from 2 ft (assist by N. Jokić),107-91, ,,4,91,107,-16,2429.0
7:30.0, ,107-91,Miami full timeout,,4,91,107,-16,2430.0
7:30.0, ,107-91,K. Lowry enters the game for D. Robinson,,4,91,107,-16,2430.0
7:19.0, ,107-91,G. Vincent misses 2-pt layup from 2 ft,,4,91,107,-16,2441.0
7:15.0,Defensive rebound by N. Jokić,107-91, ,,4,91,107,-16,2445.0
6:59.0,B. Hyland makes 3-pt jump shot from 23 ft (assist by N. Jokić),110-91, ,,4,91,110,-19,2461.0
6:58.0,Technical foul by B. Hyland,110-91, ,,4,91,110,-19,2462.0
6:58.0, ,110-92,M. Strus makes technical free throw,,4,92,110,-18,2462.0
6:43.0, ,110-92,Turnover by B. Adebayo (out of bounds lost ball),,4,92,110,-18,2477.0
6:29.0,Personal foul by M. Strus (drawn by B. Hyland),110-92, ,,4,92,110,-18,2491.0
6:29.0, ,110-92,P. Tucker enters the game for C. Martin,,4,92,110,-18,2491.0
6:20.0,Offensive foul by B. Hyland (drawn by K. Lowry),110-92, ,,4,92,110,-18,2500.0
6:20.0,Turnover by B. Hyland (offensive foul),110-92, ,,4,92,110,-18,2500.0
6:10.0, ,110-95,K. Lowry makes 3-pt jump shot from 27 ft (assist by M. Strus),,4,95,110,-15,2510.0
5:50.0,M. Morris makes 2-pt jump shot from 8 ft,112-95, ,,4,95,112,-17,2530.0
5:38.0, ,112-97,B. Adebayo makes 2-pt dunk from 2 ft (assist by G. Vincent),,4,97,112,-15,2542.0
5:23.0,A. Gordon misses 3-pt jump shot from 27 ft,112-97, ,,4,97,112,-15,2557.0
5:19.0, ,112-97,Defensive rebound by B. Adebayo,,4,97,112,-15,2561.0
5:05.0, ,112-97,M. Strus misses 3-pt jump shot from 24 ft,,4,97,112,-15,2575.0
5:01.0,Defensive rebound by A. Gordon,112-97, ,,4,97,112,-15,2579.0
4:43.0,A. Gordon makes 2-pt layup from 2 ft (assist by N. Jokić),114-97, ,,4,97,114,-17,2597.0
4:43.0, ,114-97,Miami full timeout,,4,97,114,-17,2597.0
4:43.0,W. Barton enters the game for F. Campazzo,114-97, ,,4,97,114,-17,2597.0
4:43.0,J. Green enters the game for B. Hyland,114-97, ,,4,97,114,-17,2597.0
4:31.0, ,114-97,Turnover by G. Vincent (bad pass; steal by N. Jokić),,4,97,114,-17,2609.0
4:17.0,Shooting foul by B. Adebayo (drawn by A. Gordon),114-97, ,,4,97,114,-17,2623.0
4:17.0,A. Gordon makes free throw 1 of 2,115-97, ,,4,97,115,-18,2623.0
4:17.0,A. Gordon makes free throw 2 of 2,116-97, ,,4,97,116,-19,2623.0
4:04.0, ,116-97,P. Tucker misses 3-pt jump shot from 23 ft,,4,97,116,-19,2636.0
3:59.0,Defensive rebound by N. Jokić,116-97, ,,4,97,116,-19,2641.0
3:46.0,N. Jokić makes 2-pt jump shot from 9 ft (assist by M. Morris),118-97, ,,4,97,118,-21,2654.0
3:39.0, ,118-97,Turnover by B. Adebayo (bad pass),,4,97,118,-21,2661.0
3:14.0,N. Jokić misses 2-pt jump shot from 18 ft,118-97, ,,4,97,118,-21,2686.0
3:09.0, ,118-97,Defensive rebound by P. Tucker,,4,97,118,-21,2691.0
3:01.0, ,118-97,G. Vincent misses 3-pt jump shot from 26 ft,,4,97,118,-21,2699.0
2:57.0,Defensive rebound by N. Jokić,118-97, ,,4,97,118,-21,2703.0
2:37.0,Turnover by A. Gordon (traveling),118-97, ,,4,97,118,-21,2723.0
2:25.0, ,118-100,M. Strus makes 3-pt jump shot from 27 ft (assist by K. Lowry),,4,100,118,-18,2735.0
1:59.0,M. Morris makes 2-pt jump shot from 18 ft,120-100, ,,4,100,120,-20,2761.0
1:40.0, ,120-103,G. Vincent makes 3-pt jump shot from 23 ft (assist by P. Tucker),,4,103,120,-17,2780.0
1:40.0,Denver full timeout,120-103, ,,4,103,120,-17,2780.0
1:40.0,B. Bol enters the game for W. Barton,120-103, ,,4,103,120,-17,2780.0
1:40.0,F. Campazzo enters the game for A. Gordon,120-103, ,,4,103,120,-17,2780.0
1:40.0,V. Čančar enters the game for J. Green,120-103, ,,4,103,120,-17,2780.0
1:40.0,B. Hyland enters the game for N. Jokić,120-103, ,,4,103,120,-17,2780.0
1:40.0,Z. Nnaji enters the game for M. Morris,120-103, ,,4,103,120,-17,2780.0
1:40.0, ,120-103,C. Martin enters the game for B. Adebayo,,4,103,120,-17,2780.0
1:40.0, ,120-103,K. Okpala enters the game for K. Lowry,,4,103,120,-17,2780.0
1:40.0, ,120-103,O. Yurtseven enters the game for P. Tucker,,4,103,120,-17,2780.0
1:16.0,F. Campazzo misses 2-pt jump shot from 14 ft,120-103, ,,4,103,120,-17,2804.0
1:12.0, ,120-103,Defensive rebound by K. Okpala,,4,103,120,-17,2808.0
1:11.0, ,120-103,Personal foul by B. Hyland (drawn by G. Vincent),,4,103,120,-17,2809.0
1:11.0,M. Howard enters the game for B. Hyland,120-103, ,,4,103,120,-17,2809.0
1:04.0, ,120-106,G. Vincent makes 3-pt jump shot from 25 ft (assist by C. Martin),,4,106,120,-14,2816.0
0:40.0,V. Čančar misses 2-pt layup from 3 ft,120-106, ,,4,106,120,-14,2840.0
0:40.0, ,120-106,Defensive rebound by O. Yurtseven,,4,106,120,-14,2840.0
0:34.0, ,120-106,C. Martin misses 2-pt jump shot from 10 ft,,4,106,120,-14,2846.0
0:32.0, ,120-106,Offensive rebound by C. Martin,,4,106,120,-14,2848.0
0:31.0, ,120-108,C. Martin makes 2-pt layup from 2 ft,,4,108,120,-12,2849.0
0:10.0,M. Howard misses 3-pt jump shot from 28 ft,120-108, ,,4,108,120,-12,2870.0
0:05.0, ,120-108,Defensive rebound by O. Yurtseven,,4,108,120,-12,2875.0
0:00.0, ,120-111,G. Vincent makes 3-pt jump shot from 29 ft,,4,111,120,-9,2880.0
0:00.0, ,120-111,Instant Replay (Request: Ruling Stands),,4,111,120,-9,2880.0
0:00.0,End of 4th quarter,120-111,,,4,111,120,-9,2880.0
