Time,Miami,Score,Brooklyn,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
7:41.0, ,36-29,Brooklyn full timeout,,2,36,29,7,979.0
7:41.0,J. Butler enters the game for T. Herro,36-29, ,,2,36,29,7,979.0
7:41.0, ,36-29,J. Harden enters the game for J. Carter,,2,36,29,7,979.0
7:41.0,B. Adebayo makes free throw 2 of 2,37-29, ,,2,37,29,8,979.0
7:30.0, ,37-29,D. Bembry misses 3-pt jump shot from 26 ft,,2,37,29,8,990.0
7:27.0,Defensive rebound by M. Morris,37-29, ,,2,37,29,8,993.0
7:22.0,B. Adebayo makes 2-pt layup from 1 ft,39-29, ,,2,39,29,10,998.0
7:12.0, ,39-29,Turnover by J. Harden (bad pass; steal by M. Strus),,2,39,29,10,1008.0
7:07.0,J. Butler makes 2-pt layup from 1 ft (assist by K. Lowry),41-29, ,,2,41,29,12,1013.0
6:43.0, ,41-32,J. Harden makes 3-pt jump shot from 25 ft,,2,41,32,9,1037.0
6:21.0,J. Butler misses 2-pt layup from 1 ft,41-32, ,,2,41,32,9,1059.0
6:20.0, ,41-32,Defensive rebound by P. Millsap,,2,41,32,9,1060.0
6:16.0, ,41-32,Turnover by J. Harden (out of bounds lost ball),,2,41,32,9,1064.0
6:16.0,T. Herro enters the game for K. Lowry,41-32, ,,2,41,32,9,1064.0
6:16.0, ,41-32,K. Durant enters the game for D. Bembry,,2,41,32,9,1064.0
6:16.0, ,41-32,B. Griffin enters the game for J. Harris,,2,41,32,9,1064.0
6:16.0, ,41-32,P. Mills enters the game for P. Millsap,,2,41,32,9,1064.0
5:59.0,J. Butler misses 2-pt jump shot from 14 ft,41-32, ,,2,41,32,9,1081.0
5:55.0, ,41-32,Defensive rebound by K. Durant,,2,41,32,9,1085.0
5:50.0, ,41-34,J. Harden makes 2-pt dunk from 1 ft (assist by B. Griffin),,2,41,34,7,1090.0
5:38.0,M. Strus misses 3-pt jump shot from 25 ft,41-34, ,,2,41,34,7,1102.0
5:36.0,Offensive rebound by J. Butler,41-34, ,,2,41,34,7,1104.0
5:35.0,J. Butler makes 2-pt layup from 1 ft,43-34, ,,2,43,34,9,1105.0
5:27.0, ,43-34,Personal foul by J. Butler (drawn by P. Mills),,2,43,34,9,1113.0
5:27.0,D. Robinson enters the game for M. Strus,43-34, ,,2,43,34,9,1113.0
5:18.0, ,43-34,P. Mills misses 3-pt jump shot from 26 ft,,2,43,34,9,1122.0
5:15.0,Defensive rebound by T. Herro,43-34, ,,2,43,34,9,1125.0
5:13.0,Offensive foul by M. Morris (drawn by P. Mills),43-34, ,,2,43,34,9,1127.0
5:13.0,Turnover by M. Morris (offensive foul),43-34, ,,2,43,34,9,1127.0
5:03.0, ,43-37,J. Harden makes 3-pt jump shot from 26 ft,,2,43,37,6,1137.0
5:03.0, ,43-37,Shooting foul by D. Robinson (drawn by J. Harden),,2,43,37,6,1137.0
5:03.0, ,43-38,J. Harden makes free throw 1 of 1,,2,43,38,5,1137.0
4:52.0,T. Herro misses 2-pt jump shot from 13 ft,43-38, ,,2,43,38,5,1148.0
4:48.0, ,43-38,Defensive rebound by B. Griffin,,2,43,38,5,1152.0
4:42.0, ,43-38,Shooting foul by M. Morris (drawn by J. Harden),,2,43,38,5,1158.0
4:42.0, ,43-39,J. Harden makes free throw 1 of 2,,2,43,39,4,1158.0
4:42.0,D. Dedmon enters the game for B. Adebayo,43-39, ,,2,43,39,4,1158.0
4:42.0,P. Tucker enters the game for M. Morris,43-39, ,,2,43,39,4,1158.0
4:42.0, ,43-40,J. Harden makes free throw 2 of 2,,2,43,40,3,1158.0
4:20.0,J. Butler misses 2-pt jump shot from 15 ft,43-40, ,,2,43,40,3,1180.0
4:16.0,Offensive rebound by D. Dedmon,43-40, ,,2,43,40,3,1184.0
