Time,Chicago,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
8:51.0,Defensive rebound by D. DeRozan,48-63, ,,3,63,48,15,1629.0
8:46.0,N. Vučević misses 3-pt jump shot from 27 ft,48-63, ,,3,63,48,15,1634.0
8:42.0, ,48-63,Defensive rebound by P. Tucker,,3,63,48,15,1638.0
8:30.0, ,48-65,J. Butler makes 2-pt jump shot from 16 ft,,3,65,48,17,1650.0
8:10.0,A. Dosunmu makes 3-pt jump shot from 23 ft (assist by N. Vučević),51-65, ,,3,65,51,14,1670.0
7:49.0, ,51-65,J. Butler misses 2-pt layup from 7 ft,,3,65,51,14,1691.0
7:47.0,Defensive rebound by N. Vučević,51-65, ,,3,65,51,14,1693.0
7:44.0,Offensive foul by Z. LaVine (drawn by G. Vincent),51-65, ,,3,65,51,14,1696.0
7:44.0,Turnover by Z. LaVine (offensive foul),51-65, ,,3,65,51,14,1696.0
7:44.0,Chicago full timeout,51-65, ,,3,65,51,14,1696.0
7:44.0,Instant Replay (Challenge: Stands),51-65, ,,3,65,51,14,1696.0
7:34.0, ,51-67,J. Butler makes 2-pt layup from 2 ft (assist by B. Adebayo),,3,67,51,16,1706.0
7:34.0, ,51-67,Shooting foul by A. Dosunmu (drawn by J. Butler),,3,67,51,16,1706.0
7:34.0, ,51-67,J. Butler misses free throw 1 of 1,,3,67,51,16,1706.0
7:32.0,Defensive rebound by N. Vučević,51-67, ,,3,67,51,16,1708.0
7:25.0,Z. LaVine misses 2-pt jump shot from 8 ft,51-67, ,,3,67,51,16,1715.0
7:20.0, ,51-67,Defensive rebound by B. Adebayo,,3,67,51,16,1720.0
7:15.0, ,51-67,J. Butler misses 2-pt layup from 2 ft (block by J. Green),,3,67,51,16,1725.0
7:10.0, ,51-67,Offensive rebound by J. Butler,,3,67,51,16,1730.0
7:08.0, ,51-69,B. Adebayo makes 2-pt dunk from 3 ft (assist by J. Butler),,3,69,51,18,1732.0
6:58.0,D. DeRozan misses 2-pt jump shot from 22 ft,51-69, ,,3,69,51,18,1742.0
6:53.0, ,51-69,Defensive rebound by B. Adebayo,,3,69,51,18,1747.0
6:42.0, ,51-69,J. Butler misses 2-pt jump shot from 16 ft,,3,69,51,18,1758.0
6:38.0,Defensive rebound by J. Green,51-69, ,,3,69,51,18,1762.0
6:26.0,N. Vučević makes 2-pt hook shot from 6 ft,53-69, ,,3,69,53,16,1774.0
6:14.0, ,53-69,Personal foul by J. Green (drawn by B. Adebayo),,3,69,53,16,1786.0
6:07.0, ,53-72,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,3,72,53,19,1793.0
6:06.0,Chicago full timeout,53-72, ,,3,72,53,19,1794.0
6:06.0,D. Jones enters the game for D. DeRozan,53-72, ,,3,72,53,19,1794.0
6:06.0,C. White enters the game for J. Green,53-72, ,,3,72,53,19,1794.0
5:48.0,Turnover by N. Vučević (bad pass),53-72, ,,3,72,53,19,1812.0
5:32.0, ,53-72,J. Butler misses 3-pt jump shot from 23 ft,,3,72,53,19,1828.0
5:29.0,Defensive rebound by C. White,53-72, ,,3,72,53,19,1831.0
5:16.0,Z. LaVine makes 2-pt layup from 2 ft (assist by A. Dosunmu),55-72, ,,3,72,55,17,1844.0
