Time,Golden State,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
7:22.0, ,36-42,K. Lowry enters the game for G. Vincent,,2,42,36,6,998.0
7:04.0,K. Thompson misses 2-pt jump shot from 22 ft,36-42, ,,2,42,36,6,1016.0
7:00.0, ,36-42,Defensive rebound by K. Lowry,,2,42,36,6,1020.0
6:53.0, ,36-42,K. Lowry misses 3-pt jump shot from 25 ft,,2,42,36,6,1027.0
6:51.0,Defensive rebound by K. Thompson,36-42, ,,2,42,36,6,1029.0
6:35.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by A. Wiggins),39-42, ,,2,42,39,3,1045.0
6:18.0, ,39-44,B. Adebayo makes 2-pt dunk from 2 ft (assist by T. Herro),,2,44,39,5,1062.0
6:03.0,K. Thompson misses 3-pt jump shot from 24 ft,39-44, ,,2,44,39,5,1077.0
6:01.0,Offensive rebound by A. Wiggins,39-44, ,,2,44,39,5,1079.0
6:01.0,Shooting foul by C. Martin (drawn by A. Wiggins),39-44, ,,2,44,39,5,1079.0
6:01.0,A. Wiggins misses free throw 1 of 2,39-44, ,,2,44,39,5,1079.0
6:01.0,Offensive rebound by Team,39-44, ,,2,44,39,5,1079.0
6:01.0, ,39-44,J. Butler enters the game for B. Adebayo,,2,44,39,5,1079.0
6:01.0, ,39-44,D. Dedmon enters the game for T. Herro,,2,44,39,5,1079.0
6:01.0, ,39-44,M. Strus enters the game for C. Martin,,2,44,39,5,1079.0
6:01.0,A. Wiggins makes free throw 2 of 2,40-44, ,,2,44,40,4,1079.0
5:41.0, ,40-44,D. Dedmon misses 3-pt jump shot from 25 ft,,2,44,40,4,1099.0
5:37.0,Defensive rebound by S. Curry,40-44, ,,2,44,40,4,1103.0
5:31.0,A. Wiggins makes 3-pt jump shot from 28 ft (assist by D. Green),43-44, ,,2,44,43,1,1109.0
5:09.0, ,43-44,M. Strus misses 2-pt jump shot from 22 ft,,2,44,43,1,1131.0
5:06.0,Defensive rebound by D. Green,43-44, ,,2,44,43,1,1134.0
5:03.0,S. Curry misses 3-pt jump shot from 30 ft,43-44, ,,2,44,43,1,1137.0
5:03.0, ,43-44,Defensive rebound by D. Dedmon,,2,44,43,1,1137.0
4:55.0, ,43-44,Turnover by D. Dedmon (traveling),,2,44,43,1,1145.0
4:47.0,S. Curry misses 3-pt jump shot from 24 ft,43-44, ,,2,44,43,1,1153.0
4:45.0, ,43-44,Defensive rebound by D. Robinson,,2,44,43,1,1155.0
4:36.0, ,43-44,Offensive foul by J. Butler (drawn by M. Moody),,2,44,43,1,1164.0
4:36.0, ,43-44,Turnover by J. Butler (offensive foul),,2,44,43,1,1164.0
4:36.0,J. Poole enters the game for A. Wiggins,43-44, ,,2,44,43,1,1164.0
4:36.0, ,43-44,B. Adebayo enters the game for D. Dedmon,,2,44,43,1,1164.0
4:36.0, ,43-44,G. Vincent enters the game for D. Robinson,,2,44,43,1,1164.0
4:23.0,J. Poole makes 2-pt layup from 1 ft (assist by M. Moody),45-44, ,Lead change,2,44,45,-1,1177.0
4:23.0,Shooting foul by G. Vincent (drawn by J. Poole),45-44, ,,2,44,45,-1,1177.0
4:23.0,J. Poole misses free throw 1 of 1,45-44, ,,2,44,45,-1,1177.0
4:21.0, ,45-44,Defensive rebound by B. Adebayo,,2,44,45,-1,1179.0
4:15.0, ,45-44,Personal foul by D. Green (drawn by B. Adebayo),,2,44,45,-1,1185.0
4:13.0, ,45-44,Personal foul by S. Curry (drawn by M. Strus),,2,44,45,-1,1187.0
4:05.0, ,45-44,Turnover by B. Adebayo (bad pass; steal by M. Moody),,2,44,45,-1,1195.0
3:59.0,J. Poole misses 3-pt jump shot from 26 ft,45-44, ,,2,44,45,-1,1201.0
3:54.0,Offensive rebound by S. Curry,45-44, ,,2,44,45,-1,1206.0
3:50.0,Offensive foul by J. Poole (drawn by G. Vincent),45-44, ,,2,44,45,-1,1210.0
3:50.0,Turnover by J. Poole (offensive foul),45-44, ,,2,44,45,-1,1210.0
3:31.0, ,45-44,J. Butler misses 2-pt jump shot from 11 ft,,2,44,45,-1,1229.0
3:30.0,Defensive rebound by K. Thompson,45-44, ,,2,44,45,-1,1230.0
3:29.0,Turnover by K. Thompson (bad pass; steal by B. Adebayo),45-44, ,,2,44,45,-1,1231.0
3:27.0, ,45-46,B. Adebayo makes 2-pt layup from 2 ft,Lead change,2,46,45,1,1233.0
3:21.0,Turnover by J. Poole (discontinued dribble),45-46, ,,2,46,45,1,1239.0
3:07.0, ,45-46,J. Butler misses 2-pt layup from 2 ft,,2,46,45,1,1253.0
3:07.0, ,45-46,Offensive rebound by Team,,2,46,45,1,1253.0
3:07.0,A. Wiggins enters the game for M. Moody,45-46, ,,2,46,45,1,1253.0
3:04.0, ,45-49,J. Butler makes 3-pt jump shot from 24 ft (assist by K. Lowry),,2,49,45,4,1256.0
2:49.0,Shooting foul by M. Strus (drawn by S. Curry),45-49, ,,2,49,45,4,1271.0
2:49.0, ,45-49,Miami full timeout,,2,49,45,4,1271.0
2:49.0,S. Curry makes free throw 1 of 2,46-49, ,,2,49,46,3,1271.0
2:49.0,S. Curry makes free throw 2 of 2,47-49, ,,2,49,47,2,1271.0
2:27.0, ,47-52,J. Butler makes 3-pt jump shot from 24 ft (assist by B. Adebayo),,2,52,47,5,1293.0
2:08.0,S. Curry misses 3-pt jump shot from 27 ft,47-52, ,,2,52,47,5,1312.0
2:03.0, ,47-52,Defensive rebound by G. Vincent,,2,52,47,5,1317.0
1:46.0, ,47-54,M. Strus makes 2-pt jump shot from 3 ft (assist by J. Butler),,2,54,47,7,1334.0
1:44.0,Technical foul by D. Green,47-54, ,,2,54,47,7,1336.0
1:44.0, ,47-55,J. Butler makes technical free throw,,2,55,47,8,1336.0
1:32.0,J. Poole makes 2-pt layup from 2 ft,49-55, ,,2,55,49,6,1348.0
1:10.0, ,49-55,Turnover by K. Lowry (traveling),,2,55,49,6,1370.0
0:58.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by A. Wiggins),52-55, ,,2,55,52,3,1382.0
0:40.0, ,52-55,G. Vincent misses 3-pt jump shot from 25 ft,,2,55,52,3,1400.0
0:36.0,Defensive rebound by D. Green,52-55, ,,2,55,52,3,1404.0
0:33.0,Personal foul by G. Vincent (drawn by J. Poole),52-55, ,,2,55,52,3,1407.0
0:33.0,J. Poole makes free throw 1 of 2,53-55, ,,2,55,53,2,1407.0
0:33.0, ,53-55,D. Robinson enters the game for G. Vincent,,2,55,53,2,1407.0
0:33.0,J. Poole makes free throw 2 of 2,54-55, ,,2,55,54,1,1407.0
0:30.0, ,54-58,K. Lowry makes 3-pt jump shot from 28 ft,,2,58,54,4,1410.0
0:30.0, ,54-58,C. Martin enters the game for D. Robinson,,2,58,54,4,1410.0
0:12.0,A. Wiggins makes 2-pt dunk from 2 ft (assist by S. Curry),56-58, ,,2,58,56,2,1428.0
0:05.0, ,56-58,M. Strus misses 2-pt jump shot from 19 ft (block by K. Thompson),,2,58,56,2,1435.0
0:04.0, ,56-58,Offensive rebound by J. Butler,,2,58,56,2,1436.0
0:03.0, ,56-58,Turnover by J. Butler (lost ball; steal by D. Green),,2,58,56,2,1437.0
0:01.0,J. Poole misses 3-pt jump shot from 54 ft,56-58, ,,2,58,56,2,1439.0
0:01.0,Offensive rebound by Team,56-58, ,,2,58,56,2,1439.0
0:00.0,End of 2nd quarter,56-58,,,2,58,56,2,1440.0
12:00.0,Start of 3rd quarter,56-58,,,3,58,56,2,1440.0
11:47.0,K. Thompson misses 3-pt jump shot from 29 ft,56-58, ,,3,58,56,2,1453.0
11:43.0, ,56-58,Defensive rebound by B. Adebayo,,3,58,56,2,1457.0
