Time,New York,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
2:22.0, ,91-88,T. Herro makes 3-pt jump shot from 27 ft (assist by C. Martin),,3,88,91,-3,2018.0
1:54.0,Turnover by I. Quickley (traveling),91-88, ,,3,88,91,-3,2046.0
1:54.0,R. Barrett enters the game for Q. Grimes,91-88, ,,3,88,91,-3,2046.0
1:42.0, ,91-88,J. Butler misses 2-pt jump shot from 10 ft,,3,88,91,-3,2058.0
1:39.0,Defensive rebound by I. Hartenstein,91-88, ,,3,88,91,-3,2061.0
1:19.0,I. Hartenstein makes 2-pt jump shot from 10 ft (assist by I. Quickley),93-88, ,,3,88,93,-5,2081.0
1:03.0, ,93-88,V. Oladipo misses 2-pt jump shot from 13 ft,,3,88,93,-5,2097.0
0:59.0,Defensive rebound by J. Hart,93-88, ,,3,88,93,-5,2101.0
0:59.0, ,93-88,G. Vincent enters the game for J. Butler,,3,88,93,-5,2101.0
0:51.0,J. Randle misses 3-pt jump shot from 28 ft,93-88, ,,3,88,93,-5,2109.0
0:47.0,Offensive rebound by I. Quickley,93-88, ,,3,88,93,-5,2113.0
0:46.0,I. Quickley misses 3-pt jump shot from 26 ft,93-88, ,,3,88,93,-5,2114.0
0:46.0,Offensive rebound by J. Hart,93-88, ,,3,88,93,-5,2114.0
0:34.0,I. Quickley makes 3-pt jump shot from 23 ft (assist by R. Barrett),96-88, ,,3,88,96,-8,2126.0
0:34.0,Away from play foul by C. Zeller (drawn by I. Hartenstein),96-88, ,,3,88,96,-8,2126.0
0:34.0,Instant Replay (Request: Ruling Stands),96-88, ,,3,88,96,-8,2126.0
0:34.0,I. Hartenstein misses free throw 1 of 1,96-88, ,,3,88,96,-8,2126.0
0:32.0, ,96-88,Defensive rebound by T. Herro,,3,88,96,-8,2128.0
0:14.0, ,96-88,G. Vincent misses 3-pt jump shot from 24 ft,,3,88,96,-8,2146.0
0:09.0, ,96-88,Offensive rebound by C. Zeller,,3,88,96,-8,2151.0
0:02.0, ,96-88,Turnover by T. Herro (bad pass; steal by R. Barrett),,3,88,96,-8,2158.0
0:00.0,End of 3rd quarter,96-88,,,3,88,96,-8,2160.0
12:00.0,Start of 4th quarter,96-88,,,4,88,96,-8,2160.0
11:45.0,I. Quickley misses 3-pt jump shot from 27 ft,96-88, ,,4,88,96,-8,2175.0
11:41.0, ,96-88,Defensive rebound by C. Martin,,4,88,96,-8,2179.0
11:32.0, ,96-90,C. Martin makes 2-pt layup from 5 ft (assist by M. Strus),,4,90,96,-6,2188.0
11:21.0,Personal foul by V. Oladipo (drawn by R. Barrett),96-90, ,,4,90,96,-6,2199.0
11:14.0,R. Barrett misses 2-pt jump shot from 7 ft (block by B. Adebayo),96-90, ,,4,90,96,-6,2206.0
11:10.0, ,96-90,Defensive rebound by B. Adebayo,,4,90,96,-6,2210.0
11:05.0, ,96-90,G. Vincent misses 3-pt jump shot from 28 ft,,4,90,96,-6,2215.0
11:01.0,Defensive rebound by J. Hart,96-90, ,,4,90,96,-6,2219.0
10:53.0,Turnover by J. Hart (bad pass; steal by V. Oladipo),96-90, ,,4,90,96,-6,2227.0
10:53.0, ,96-90,Shooting foul by J. Hart (drawn by B. Adebayo),,4,90,96,-6,2227.0
10:53.0,J. Brunson enters the game for R. Barrett,96-90, ,,4,90,96,-6,2227.0
10:53.0, ,96-91,B. Adebayo makes free throw 1 of 2,,4,91,96,-5,2227.0
10:53.0, ,96-92,B. Adebayo makes free throw 2 of 2,,4,92,96,-4,2227.0
10:34.0,Personal foul by B. Adebayo (drawn by J. Hart),96-92, ,,4,92,96,-4,2246.0
10:27.0,J. Brunson makes 2-pt jump shot from 7 ft,98-92, ,,4,92,98,-6,2253.0
10:03.0, ,98-94,C. Martin makes 2-pt layup from 4 ft (assist by M. Strus),,4,94,98,-4,2277.0
10:03.0, ,98-94,Shooting foul by O. Toppin (drawn by C. Martin),,4,94,98,-4,2277.0
10:03.0, ,98-95,C. Martin makes free throw 1 of 1,,4,95,98,-3,2277.0
9:45.0,I. Quickley makes 2-pt jump shot from 8 ft,100-95, ,,4,95,100,-5,2295.0
9:31.0, ,100-95,V. Oladipo misses 2-pt layup from 3 ft,,4,95,100,-5,2309.0
9:31.0, ,100-95,Offensive rebound by Team,,4,95,100,-5,2309.0
9:30.0, ,100-95,Turnover by V. Oladipo (back court),,4,95,100,-5,2310.0
9:20.0,J. Brunson misses 2-pt jump shot from 17 ft,100-95, ,,4,95,100,-5,2320.0
9:16.0, ,100-95,Defensive rebound by V. Oladipo,,4,95,100,-5,2324.0
8:59.0, ,100-95,Turnover by M. Strus (bad pass; steal by J. Hart),,4,95,100,-5,2341.0
8:55.0,I. Quickley makes 3-pt jump shot from 26 ft (assist by O. Toppin),103-95, ,,4,95,103,-8,2345.0
8:29.0, ,103-98,V. Oladipo makes 3-pt jump shot from 26 ft,,4,98,103,-5,2371.0
8:05.0,I. Quickley makes 3-pt jump shot from 25 ft (assist by J. Hart),106-98, ,,4,98,106,-8,2395.0
7:45.0, ,106-98,B. Adebayo misses 2-pt layup from 4 ft,,4,98,106,-8,2415.0
7:45.0,Defensive rebound by J. Hart,106-98, ,,4,98,106,-8,2415.0
7:39.0,J. Hart misses 2-pt layup from 5 ft (block by B. Adebayo),106-98, ,,4,98,106,-8,2421.0
7:39.0,Offensive rebound by Team,106-98, ,,4,98,106,-8,2421.0
7:39.0,M. Robinson enters the game for I. Hartenstein,106-98, ,,4,98,106,-8,2421.0
7:39.0, ,106-98,J. Butler enters the game for M. Strus,,4,98,106,-8,2421.0
7:39.0, ,106-98,T. Herro enters the game for G. Vincent,,4,98,106,-8,2421.0
7:37.0,I. Quickley misses 3-pt jump shot from 23 ft,106-98, ,,4,98,106,-8,2423.0
7:32.0, ,106-98,Defensive rebound by B. Adebayo,,4,98,106,-8,2428.0
7:24.0, ,106-100,J. Butler makes 2-pt layup from 2 ft (assist by B. Adebayo),,4,100,106,-6,2436.0
7:24.0, ,106-100,Shooting foul by J. Hart (drawn by J. Butler),,4,100,106,-6,2436.0
7:24.0,J. Randle enters the game for O. Toppin,106-100, ,,4,100,106,-6,2436.0
7:24.0, ,106-100,C. Zeller enters the game for B. Adebayo,,4,100,106,-6,2436.0
7:24.0, ,106-101,J. Butler makes free throw 1 of 1,,4,101,106,-5,2436.0
7:08.0,Personal foul by T. Herro (drawn by I. Quickley),106-101, ,,4,101,106,-5,2452.0
6:55.0,J. Randle misses 2-pt jump shot from 16 ft,106-101, ,,4,101,106,-5,2465.0
6:52.0, ,106-101,Defensive rebound by V. Oladipo,,4,101,106,-5,2468.0
6:43.0, ,106-101,V. Oladipo misses 3-pt jump shot from 27 ft,,4,101,106,-5,2477.0
6:39.0, ,106-101,Offensive rebound by C. Martin,,4,101,106,-5,2481.0
6:30.0, ,106-104,V. Oladipo makes 3-pt jump shot from 26 ft (assist by J. Butler),,4,104,106,-2,2490.0
6:05.0, ,106-104,Miami full timeout,,4,104,106,-2,2515.0
6:05.0, ,106-104,B. Adebayo enters the game for C. Zeller,,4,104,106,-2,2515.0
6:05.0,Turnover by  (5 sec),106-104, ,,4,104,106,-2,2515.0
5:45.0, ,106-107,C. Martin makes 3-pt jump shot from 26 ft (assist by T. Herro),Lead change,4,107,106,1,2535.0
5:25.0,J. Brunson makes 2-pt jump shot from 8 ft,108-107, ,Lead change,4,107,108,-1,2555.0
5:05.0, ,108-107,Turnover by T. Herro (step out of bounds),,4,107,108,-1,2575.0
5:05.0,R. Barrett enters the game for I. Quickley,108-107, ,,4,107,108,-1,2575.0
4:45.0,M. Robinson makes 2-pt dunk from 1 ft (assist by J. Brunson),110-107, ,,4,107,110,-3,2595.0
4:29.0, ,110-107,Shooting foul by M. Robinson (drawn by C. Martin),,4,107,110,-3,2611.0
4:29.0, ,110-108,C. Martin makes free throw 1 of 2,,4,108,110,-2,2611.0
4:29.0, ,110-109,C. Martin makes free throw 2 of 2,,4,109,110,-1,2611.0
4:10.0,J. Brunson makes 2-pt jump shot from 11 ft,112-109, ,,4,109,112,-3,2630.0
3:56.0, ,112-109,B. Adebayo misses 2-pt layup from 3 ft,,4,109,112,-3,2644.0
3:56.0, ,112-109,Offensive rebound by J. Butler,,4,109,112,-3,2644.0
3:56.0, ,112-109,Shooting foul by J. Hart (drawn by J. Butler),,4,109,112,-3,2644.0
3:56.0, ,112-110,J. Butler makes free throw 1 of 2,,4,110,112,-2,2644.0
3:56.0,New York full timeout,112-110, ,,4,110,112,-2,2644.0
3:56.0, ,112-111,J. Butler makes free throw 2 of 2,,4,111,112,-1,2644.0
3:45.0,J. Brunson misses 3-pt jump shot from 25 ft,112-111, ,,4,111,112,-1,2655.0
3:42.0, ,112-111,Defensive rebound by J. Butler,,4,111,112,-1,2658.0
3:35.0, ,112-111,Shooting foul by M. Robinson (drawn by J. Butler),,4,111,112,-1,2665.0
3:35.0, ,112-112,J. Butler makes free throw 1 of 2,Tie,4,112,112,0,2665.0
3:35.0, ,112-112,J. Butler misses free throw 2 of 2,,4,112,112,0,2665.0
3:33.0,Defensive rebound by J. Randle,112-112, ,,4,112,112,0,2667.0
3:13.0,J. Randle makes 2-pt jump shot from 8 ft,114-112, ,,4,112,114,-2,2687.0
2:54.0, ,114-112,T. Herro misses 2-pt jump shot from 7 ft,,4,112,114,-2,2706.0
2:49.0,Defensive rebound by J. Randle,114-112, ,,4,112,114,-2,2711.0
2:33.0,J. Randle misses 3-pt jump shot from 26 ft,114-112, ,,4,112,114,-2,2727.0
2:29.0, ,114-112,Defensive rebound by V. Oladipo,,4,112,114,-2,2731.0
2:13.0, ,114-112,V. Oladipo misses 2-pt layup from 8 ft,,4,112,114,-2,2747.0
2:09.0,Defensive rebound by M. Robinson,114-112, ,,4,112,114,-2,2751.0
2:08.0,Personal foul by V. Oladipo (drawn by R. Barrett),114-112, ,,4,112,114,-2,2752.0
2:00.0,J. Brunson makes 2-pt jump shot from 6 ft,116-112, ,,4,112,116,-4,2760.0
1:44.0, ,116-114,B. Adebayo makes 2-pt dunk from 3 ft (assist by T. Herro),,4,114,116,-2,2776.0
1:21.0,Turnover by J. Brunson (bad pass),116-114, ,,4,114,116,-2,2799.0
1:07.0, ,116-114,B. Adebayo misses 2-pt jump shot from 12 ft,,4,114,116,-2,2813.0
1:04.0, ,116-114,Offensive rebound by J. Butler,,4,114,116,-2,2816.0
1:04.0, ,116-116,J. Butler makes 2-pt layup from 3 ft,Tie,4,116,116,0,2816.0
1:04.0,New York full timeout,116-116, ,,4,116,116,0,2816.0
1:04.0,I. Quickley enters the game for M. Robinson,116-116, ,,4,116,116,0,2816.0
0:56.0,J. Randle makes 2-pt jump shot from 14 ft,118-116, ,,4,116,118,-2,2824.0
0:56.0,Shooting foul by B. Adebayo (drawn by J. Randle),118-116, ,,4,116,118,-2,2824.0
0:56.0,M. Robinson enters the game for R. Barrett,118-116, ,,4,116,118,-2,2824.0
0:56.0,J. Randle makes free throw 1 of 1,119-116, ,,4,116,119,-3,2824.0
0:46.0,Loose ball foul by I. Quickley (drawn by T. Herro),119-116, ,,4,116,119,-3,2834.0
0:46.0,New York full timeout,119-116, ,,4,116,119,-3,2834.0
0:46.0,Instant Replay (Challenge: Stands),119-116, ,,4,116,119,-3,2834.0
0:46.0, ,119-117,T. Herro makes free throw 1 of 2,,4,117,119,-2,2834.0
0:46.0, ,119-118,T. Herro makes free throw 2 of 2,,4,118,119,-1,2834.0
0:29.0,Turnover by J. Randle (lost ball; steal by T. Herro),119-118, ,,4,118,119,-1,2851.0
0:23.0, ,119-120,T. Herro makes 2-pt layup from 3 ft,Lead change,4,120,119,1,2857.0
0:01.0,J. Randle makes 3-pt jump shot from 26 ft,122-120, ,Lead change,4,120,122,-2,2879.0
0:01.0,Instant Replay (Request: Ruling Stands),122-120, ,,4,120,122,-2,2879.0
0:01.0, ,122-120,Miami full timeout,,4,120,122,-2,2879.0
0:01.0,Q. Grimes enters the game for J. Brunson,122-120, ,,4,120,122,-2,2879.0
0:01.0, ,122-120,K. Love enters the game for C. Martin,,4,120,122,-2,2879.0
0:01.0, ,122-120,M. Strus enters the game for V. Oladipo,,4,120,122,-2,2879.0
0:00.0, ,122-120,Turnover by K. Love (bad pass; steal by M. Robinson),,4,120,122,-2,2880.0
0:00.0,End of 4th quarter,122-120,,,4,120,122,-2,2880.0
