Time,Miami,Score,Philadelphia,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
6:26.0,Shooting foul by J. Embiid (drawn by J. Butler),78-61, ,,3,78,61,17,1774.0
6:26.0,J. Butler makes free throw 1 of 1,79-61, ,,3,79,61,18,1774.0
6:09.0, ,79-61,Turnover by J. Embiid (lost ball; steal by G. Vincent),,3,79,61,18,1791.0
5:56.0,J. Butler makes 2-pt jump shot from 10 ft,81-61, ,,3,81,61,20,1804.0
5:56.0,Shooting foul by D. House (drawn by J. Butler),81-61, ,,3,81,61,20,1804.0
5:56.0,J. Butler misses free throw 1 of 1,81-61, ,,3,81,61,20,1804.0
5:54.0, ,81-61,Defensive rebound by J. Harden,,3,81,61,20,1806.0
5:36.0, ,81-63,J. Embiid makes 2-pt layup from 3 ft,,3,81,63,18,1824.0
5:11.0,B. Adebayo makes 2-pt jump shot from 8 ft,83-63, ,,3,83,63,20,1849.0
4:48.0, ,83-63,Personal foul by J. Butler (drawn by J. Harden),,3,83,63,20,1872.0
4:48.0, ,83-63,S. Milton enters the game for J. Harden,,3,83,63,20,1872.0
4:35.0, ,83-65,J. Embiid makes 2-pt jump shot from 12 ft,,3,83,65,18,1885.0
4:18.0,B. Adebayo misses 2-pt jump shot from 6 ft,83-65, ,,3,83,65,18,1902.0
4:15.0, ,83-65,Defensive rebound by D. House,,3,83,65,18,1905.0
4:05.0, ,83-67,T. Harris makes 2-pt layup from 2 ft,,3,83,67,16,1915.0
3:49.0,G. Vincent makes 2-pt jump shot from 16 ft (assist by B. Adebayo),85-67, ,,3,85,67,18,1931.0
3:42.0, ,85-67,Offensive foul by T. Harris (drawn by M. Strus),,3,85,67,18,1938.0
3:42.0, ,85-67,Turnover by T. Harris (offensive foul),,3,85,67,18,1938.0
3:42.0,K. Love enters the game for B. Adebayo,85-67, ,,3,85,67,18,1938.0
3:42.0,K. Lowry enters the game for T. Herro,85-67, ,,3,85,67,18,1938.0
3:42.0,C. Martin enters the game for G. Vincent,85-67, ,,3,85,67,18,1938.0
3:20.0,M. Strus misses 3-pt jump shot from 28 ft,85-67, ,,3,85,67,18,1960.0
3:18.0, ,85-67,Defensive rebound by J. Embiid,,3,85,67,18,1962.0
3:12.0, ,85-67,S. Milton misses 3-pt jump shot from 25 ft,,3,85,67,18,1968.0
3:09.0,Defensive rebound by K. Lowry,85-67, ,,3,85,67,18,1971.0
2:56.0,J. Butler makes 2-pt layup from 2 ft (assist by K. Love),87-67, ,,3,87,67,20,1984.0
2:56.0, ,87-67,Philadelphia full timeout,,3,87,67,20,1984.0
2:56.0, ,87-67,J. McDaniels enters the game for T. Harris,,3,87,67,20,1984.0
2:56.0, ,87-67,G. Niang enters the game for P. Tucker,,3,87,67,20,1984.0
2:45.0, ,87-69,J. McDaniels makes 2-pt dunk from 1 ft (assist by S. Milton),,3,87,69,18,1995.0
2:27.0,Turnover by M. Strus (bad pass; steal by J. McDaniels),87-69, ,,3,87,69,18,2013.0
2:22.0, ,87-71,D. House makes 2-pt jump shot from 15 ft (assist by S. Milton),,3,87,71,16,2018.0
2:06.0,K. Love misses 3-pt jump shot from 25 ft,87-71, ,,3,87,71,16,2034.0
2:05.0, ,87-71,Defensive rebound by J. Embiid,,3,87,71,16,2035.0
1:59.0, ,87-74,G. Niang makes 3-pt jump shot from 26 ft (assist by J. Embiid),,3,87,74,13,2041.0
1:35.0,M. Strus makes 3-pt jump shot from 23 ft (assist by K. Lowry),90-74, ,,3,90,74,16,2065.0
1:22.0, ,90-76,G. Niang makes 2-pt jump shot from 10 ft (assist by S. Milton),,3,90,76,14,2078.0
1:09.0,M. Strus misses 3-pt jump shot from 23 ft,90-76, ,,3,90,76,14,2091.0
1:07.0,Offensive rebound by C. Martin,90-76, ,,3,90,76,14,2093.0
1:05.0,K. Love misses 3-pt jump shot from 25 ft,90-76, ,,3,90,76,14,2095.0
1:02.0,Offensive rebound by C. Martin,90-76, ,,3,90,76,14,2098.0
0:49.0,M. Strus makes 3-pt jump shot from 25 ft (assist by K. Love),93-76, ,,3,93,76,17,2111.0
0:38.0, ,93-78,S. Milton makes 2-pt jump shot from 9 ft (assist by J. McDaniels),,3,93,78,15,2122.0
0:28.0,K. Lowry makes 3-pt jump shot from 24 ft (assist by K. Love),96-78, ,,3,96,78,18,2132.0
0:28.0,H. Highsmith enters the game for J. Butler,96-78, ,,3,96,78,18,2132.0
0:05.0, ,96-78,G. Niang misses 3-pt jump shot from 27 ft,,3,96,78,18,2155.0
0:02.0,Defensive rebound by K. Love,96-78, ,,3,96,78,18,2158.0
0:01.0,Turnover by K. Love (bad pass; steal by G. Niang),96-78, ,,3,96,78,18,2159.0
0:00.0,End of 3rd quarter,96-78,,,3,96,78,18,2160.0
12:00.0,Start of 4th quarter,96-78,,,4,96,78,18,2160.0
11:36.0, ,96-78,Turnover by Team (shot clock),,4,96,78,18,2184.0
11:16.0,T. Herro makes 2-pt jump shot from 10 ft,98-78, ,,4,98,78,20,2204.0
10:52.0, ,98-78,Turnover by S. Milton (lost ball; steal by K. Lowry),,4,98,78,20,2228.0
10:48.0,T. Herro misses 3-pt jump shot from 26 ft,98-78, ,,4,98,78,20,2232.0
10:44.0,Offensive rebound by K. Lowry,98-78, ,,4,98,78,20,2236.0
10:31.0,T. Herro makes 3-pt jump shot from 26 ft (assist by K. Lowry),101-78, ,,4,101,78,23,2249.0
10:13.0, ,101-78,G. Niang misses 3-pt jump shot from 23 ft,,4,101,78,23,2267.0
10:11.0,Defensive rebound by K. Lowry,101-78, ,,4,101,78,23,2269.0
